	node1	node2	provenance
734	POLE4	POLE3	pathways
735	BRCA1	RMI1	pathways
736	BRCA1	ATR	pathways
737	BRCA1	ATRIP	pathways
738	BRCA1	RAD51	pathways
739	BRCA1	BARD1	pathways
740	BRCA1	RPA2	pathways
741	BARD1	RMI1	pathways
742	BARD1	ATR	pathways
743	BARD1	ATRIP	pathways
744	BARD1	RAD51	pathways
745	BARD1	RPA2	pathways
746	MSH6	PCNA	pathways
747	MSH6	MSH2	pathways
748	TP53	ATRIP	pathways
749	TP53	ATR	pathways
750	RMI1	ATRIP	pathways
751	RMI1	ATR	pathways
752	RMI1	RPA2	pathways
753	POLE3	POLA2	pathways
754	RPA2	POLD3	pathways
755	RPA2	PCNA	pathways
756	RPA2	ATR	pathways
757	RPA2	ATRIP	pathways
758	RPA2	ERCC4	pathways
759	RPA2	LIG1	pathways
760	RPA2	POLA2	pathways
761	RPA2	RAD9A	pathways
762	RPA2	XRCC1	pathways
763	LIG1	POLD3	pathways
764	LIG1	PCNA	pathways
765	PCNA	MSH2	pathways
766	PCNA	POLD3	pathways
767	PCNA	POLA2	pathways
768	PCNA	XRCC1	pathways
769	ATRIP	ATR	pathways
770	XRCC1	POLD3	pathways
771	POLA2	POLD3	pathways
772	RAD51	ERCC4	pathways
773	WDR48	RAD9B	coexp
774	RAD9B	HLTF	coexp
775	ERCC1	ERCC4	complexes
776	ERCC1	MSH2	complexes
777	ERCC1	XPA	complexes
778	ERCC1	RAD52	complexes
779	ERCC1	RPA1	complexes
780	PRKDC	XRCC5	complexes
781	PRKDC	XRCC6	complexes
782	PRKDC	MDC1	complexes
783	PRKDC	PARP1	complexes
784	PRKDC	WRN	complexes
785	APEX1	HUS1	complexes
786	APEX1	RAD1	complexes
787	APEX1	RAD9A	complexes
788	CHRAC1	POLE3	complexes
789	CHRAC1	POLA1	complexes
790	CHRAC1	POLE	complexes
791	CHRAC1	POLE4	complexes
792	RMI2	RMI1	complexes
793	RMI2	TOP3A	complexes
794	RPA3	BLM	complexes
795	RPA3	MLH1	complexes
796	RPA3	RMI1	complexes
797	RPA3	RPA1	complexes
798	RPA3	RPA2	complexes
799	RPA3	TOP3A	complexes
800	RPA3	CDK2	complexes
801	RPA3	LIG1	complexes
802	RPA3	PARP1	complexes
803	RPA3	POLA1	complexes
804	RPA3	POLD1	complexes
805	RPA3	POLE	complexes
806	RPA3	RPA4	complexes
807	POLB	LIG3	complexes
808	POLB	PNKP	complexes
809	POLB	XRCC1	complexes
810	POLB	NEIL1	complexes
811	POLB	HUS1	complexes
812	POLB	RAD1	complexes
813	POLB	RAD9A	complexes
814	POLB	APLF	complexes
815	POLB	HLTF	complexes
816	POLB	APTX	complexes
817	RPA1	BLM	complexes
818	RPA1	MLH1	complexes
819	RPA1	RMI1	complexes
820	RPA1	RPA2	complexes
821	RPA1	TOP3A	complexes
822	RPA1	PCNA	complexes
823	RPA1	CDK2	complexes
824	RPA1	LIG1	complexes
825	RPA1	PARP1	complexes
826	RPA1	POLA1	complexes
827	RPA1	POLD1	complexes
828	RPA1	POLE	complexes
829	RPA1	POLA2	complexes
830	RPA1	POLD2	complexes
831	RPA1	POLD3	complexes
832	RPA1	POLD4	complexes
833	RPA1	PRIM1	complexes
834	RPA1	PRIM2	complexes
835	RPA1	POLE2	complexes
836	RPA1	POLE3	complexes
837	RPA1	POLE4	complexes
838	RPA1	TP53BP1	complexes
839	RPA1	XRCC5	complexes
840	RPA1	XRCC6	complexes
841	RPA1	XPA	complexes
842	RPA1	RPA4	complexes
843	RPA1	MSH2	complexes
844	POLD4	PCNA	complexes
845	POLD4	POLD1	complexes
846	POLD4	POLD2	complexes
847	POLD4	POLD3	complexes
848	POLD4	POLA1	complexes
849	POLD4	POLA2	complexes
850	POLD4	PRIM1	complexes
851	POLD4	PRIM2	complexes
852	POLD4	POLE	complexes
853	POLD4	POLE2	complexes
854	POLD4	POLE3	complexes
855	POLD4	POLE4	complexes
