B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-199991	Membrane Trafficking	5.1786365060737445e-28	True	Membrane Trafficking	624	82	42	10790	0.5121951219512195	0.0673076923076923	query_1	['REAC:R-HSA-5653656']	['RAB14', 'RAB1B', 'SORT1', 'RAB7A', 'OPTN', 'RAB39A', 'RAB8A', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB6A', 'RAB3IL1']
11	GO:CC	GO:0005769	early endosome	2.07544491702496e-26	True	"""A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."" [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]"	418	94	30	22122	0.3191489361702128	0.0717703349282296	query_1	['GO:0005768']	['RAB14', 'RBSN', 'SORT1', 'RUFY1', 'EEA1', 'PSEN1', 'HTT', 'RAB31', 'BACE1', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'EHD3', 'RAB1A', 'GGA2', 'GGA3', 'EHD2', 'APH1A', 'APP', 'EHD1', 'RAB22A', 'PTP4A2']
12	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	1.57793030294722e-25	True	Vesicle-mediated transport	718	82	42	10790	0.5121951219512195	0.0584958217270195	query_1	['REAC:0000000']	['RAB14', 'RAB1B', 'SORT1', 'RAB7A', 'OPTN', 'RAB39A', 'RAB8A', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB6A', 'RAB3IL1']
13	GO:BP	GO:0015031	protein transport	3.2619508975302584e-25	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1807	95	50	21110	0.5263157894736842	0.0276701715550636	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
14	GO:BP	GO:0045184	establishment of protein localization	4.675071952051683e-25	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1920	95	51	21110	0.5368421052631579	0.0265625	query_1	['GO:0008104', 'GO:0051234']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
15	GO:CC	GO:0098588	bounding membrane of organelle	7.50236738132257e-25	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2156	94	51	22122	0.5425531914893617	0.0236549165120593	query_1	['GO:0031090']	['RAB14', 'RAB34', 'GPAM', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'APH1B', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'B4GALT7', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'NAT8', 'GGA3', 'EHD2', 'APH1A', 'RAB10', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
16	GO:BP	GO:0046907	intracellular transport	7.646114640590288e-24	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1834	95	49	21110	0.5157894736842106	0.0267175572519083	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['RAB14', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'EEA1', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'RAB3A', 'RAB22A', 'RAB6A']
17	GO:BP	GO:0008104	protein localization	8.996071710867011e-23	True	"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]"	2723	95	56	21110	0.5894736842105263	0.0205655526992287	query_1	['GO:0070727']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
18	GO:BP	GO:0070727	cellular macromolecule localization	1.0841659255582538e-22	True	"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]"	2733	95	56	21110	0.5894736842105263	0.0204903036955726	query_1	['GO:0033036', 'GO:0051641']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
19	GO:BP	GO:0071705	nitrogen compound transport	1.813358119998392e-22	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	2290	95	52	21110	0.5473684210526316	0.022707423580786	query_1	['GO:0006810']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'MECP2', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
20	GO:CC	GO:0012505	endomembrane system	2.25233216015887e-22	True	"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]"	4776	94	67	22122	0.7127659574468085	0.0140284757118927	query_1	['GO:0110165']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'OSBPL1A', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'B4GALT7', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'NAT8', 'RAB3GAP2', 'GGA3', 'PPFIA3', 'EHD2', 'GDI1', 'APH1A', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
21	GO:CC	GO:0031982	vesicle	4.465353396049738e-22	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3998	94	62	22122	0.6595744680851063	0.0155077538769384	query_1	['GO:0043227']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'OSBPL1A', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'APH1A', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
22	GO:BP	GO:0051641	cellular localization	6.019887273110696e-22	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3635	95	62	21110	0.6526315789473685	0.0170563961485557	query_1	['GO:0009987', 'GO:0051179']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
23	GO:MF	GO:0005525	GTP binding	2.565341028210083e-21	True	"""Binding to GTP, guanosine triphosphate."" [GOC:ai]"	391	96	27	20195	0.28125	0.0690537084398976	query_1	['GO:0032561', 'GO:0035639']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'RAB10', 'RAB18', 'RAB35', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
24	REAC	REAC:R-HSA-8854214	TBC/RABGAPs	3.76849750423411e-21	True	TBC/RABGAPs	44	82	16	10790	0.1951219512195122	0.3636363636363636	query_1	['REAC:R-HSA-9007101']	['RAB7A', 'OPTN', 'RAB8A', 'RAB8B', 'RABEP1', 'RAB5B', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'GGA2', 'GGA3', 'TBC1D17', 'RAB35', 'RAB6A']
25	GO:MF	GO:0019001	guanyl nucleotide binding	1.0981391919209006e-20	True	"""Binding to a guanyl nucleotide, consisting of guanosine esterified with (ortho)phosphate."" [ISBN:0198506732]"	413	96	27	20195	0.28125	0.0653753026634382	query_1	['GO:0017076']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'RAB10', 'RAB18', 'RAB35', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
26	GO:MF	GO:0032561	guanyl ribonucleotide binding	1.0981391919209006e-20	True	"""Binding to a guanyl ribonucleotide, any compound consisting of guanosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]"	413	96	27	20195	0.28125	0.0653753026634382	query_1	['GO:0019001', 'GO:0032555']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'RAB10', 'RAB18', 'RAB35', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
27	GO:BP	GO:0051649	establishment of localization in cell	1.2038248259936627e-20	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2386	95	51	21110	0.5368421052631579	0.0213746856663872	query_1	['GO:0051234', 'GO:0051641']	['RAB14', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'EEA1', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'GDI1', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A']
28	GO:CC	GO:0030139	endocytic vesicle	2.5599682615378108e-20	True	"""A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting."" [GOC:go_curators, PMID:19696797]"	343	94	24	22122	0.2553191489361702	0.0699708454810495	query_1	['GO:0031410']	['RAB14', 'RAB34', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB13', 'RILP', 'EHD3', 'EHD2', 'RAB10', 'RAB35', 'EHD1', 'RAB23', 'RAB22A']
