Ataxia-telangiectasia	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
5	REAC	REAC:R-HSA-9675135	Diseases of DNA repair	3.391849241458724e-71	True	Diseases of DNA repair	50	95	39	10022	0.4105263157894737	0.78	query_1	['REAC:R-HSA-1643685']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'RAD51D', 'MLH1', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'PMS2', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'NEIL1', 'RAD51B', 'PALB2', 'MSH6']
5	GO:BP	GO:0033554	cellular response to stress	4.131666916735901e-68	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1891	99	89	15719	0.898989898989899	0.047065044949762	query_1	['GO:0006950', 'GO:0051716']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
6	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	3.343989640172988e-59	True	Homologous DNA Pairing and Strand Exchange	43	95	33	10022	0.3473684210526316	0.7674418604651163	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'XRCC3', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
8	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	7.575482708910338e-58	True	Diseases of DNA Double-Strand Break Repair	41	95	32	10022	0.3368421052631579	0.7804878048780488	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
7	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	7.575482708910338e-58	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	95	32	10022	0.3368421052631579	0.7804878048780488	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
9	REAC	REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3.927308991648375e-53	True	Presynaptic phase of homologous DNA pairing and strand exchange	40	95	30	10022	0.3157894736842105	0.75	query_1	['REAC:R-HSA-5693579']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B']
6	GO:BP	GO:0000725	recombinational repair	3.808175697645368e-51	True	"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]"	171	99	40	15719	0.404040404040404	0.2339181286549707	query_1	['GO:0006281', 'GO:0006310']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'MUS81', 'TP53BP1', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'XRCC2', 'KAT5', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'KDM1A', 'PALB2']
0	GO:CC	GO:0005694	chromosome	5.967014157453818e-51	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	100	77	16420	0.77	0.0419389978213507	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'RPA4', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
2	GO:CC	GO:0005654	nucleoplasm	3.5489269235807765e-50	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	100	95	16420	0.95	0.0237618809404702	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
1	GO:CC	GO:0031981	nuclear lumen	3.5489269235807765e-50	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	100	97	16420	0.97	0.0222988505747126	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
10	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	1.1889854531541033e-49	True	HDR through Single Strand Annealing (SSA)	37	95	28	10022	0.2947368421052631	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
7	GO:BP	GO:0000724	double-strand break repair via homologous recombination	7.147660241841495e-48	True	"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]"	167	99	38	15719	0.3838383838383838	0.2275449101796407	query_1	['GO:0000725', 'GO:0006302']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'MUS81', 'TP53BP1', 'RAD52', 'RAD51AP1', 'LIG3', 'WDR48', 'RAD51D', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'XRCC2', 'KAT5', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'KDM1A', 'PALB2']
11	REAC	REAC:R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	3.404425712798368e-46	True	Resolution of D-loop Structures through Holliday Junction Intermediates	34	95	26	10022	0.2736842105263158	0.7647058823529411	query_1	['REAC:R-HSA-5693537']	['RBBP8', 'BRIP1', 'NBN', 'MUS81', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
8	GO:BP	GO:0006260	DNA replication	7.361820999961351e-46	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	99	42	15719	0.4242424242424242	0.1544117647058823	query_1	['GO:0006259']	['RBBP8', 'RPA4', 'NBN', 'MUS81', 'POLD3', 'RAD50', 'LIG3', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'CHRAC1', 'POLA2', 'POLD1', 'POLB', 'BARD1', 'WRN', 'SLX4', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'POLE', 'POLD2']
