SHORT syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
8	GO:BP	GO:0006468	protein phosphorylation	3.7513207667570216e-27	True	"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	1482	99	54	15719	0.5454545454545454	0.0364372469635627	query_1	['GO:0016310', 'GO:0036211']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PKN3', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
2	REAC	REAC:R-HSA-194138	Signaling by VEGF	7.466796413441246e-27	True	Signaling by VEGF	104	95	25	10022	0.2631578947368421	0.2403846153846154	query_1	['REAC:R-HSA-9006934']	['NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'PIK3R2', 'BCAR1', 'DOCK1', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'PXN', 'FYN', 'SHB', 'PIK3CA', 'KDR', 'VAV1', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'PRKCZ', 'ELMO1', 'NCK2', 'ELMO2']
9	GO:BP	GO:0070848	response to growth factor	1.2768480810774065e-26	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	99	40	15719	0.404040404040404	0.0599700149925037	query_1	['GO:0009719']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
10	GO:BP	GO:0042325	regulation of phosphorylation	2.821901806907886e-26	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1135	99	48	15719	0.4848484848484848	0.0422907488986784	query_1	['GO:0016310', 'GO:0019220']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
11	GO:BP	GO:0016310	phosphorylation	2.821901806907886e-26	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1704	99	56	15719	0.5656565656565656	0.0328638497652582	query_1	['GO:0006796']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PKN3', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
12	GO:BP	GO:0030335	positive regulation of cell migration	5.736456376377866e-26	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	99	36	15719	0.3636363636363636	0.0700389105058365	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['RHOJ', 'MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'PIK3CD', 'ITGA5', 'DOCK8', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
0	GO:CC	GO:0070161	anchoring junction	1.0166366010330324e-25	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	98	42	16420	0.4285714285714285	0.0491228070175438	query_1	['GO:0030054']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'ITK', 'CTNNB1', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'PARD6B', 'PRKCI', 'PARD6G', 'WAS', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'PTK2B', 'VEGFA', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'PRKCZ', 'CBL', 'F11R']
13	GO:BP	GO:0001775	cell activation	1.7807807131393755e-25	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1059	99	46	15719	0.4646464646464646	0.0434372049102927	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'DOCK8', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'TRAF6', 'TLN1', 'TGFBR1', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
14	GO:BP	GO:2000147	positive regulation of cell motility	1.7807807131393755e-25	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	99	36	15719	0.3636363636363636	0.0675422138836773	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['RHOJ', 'MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'PIK3CD', 'ITGA5', 'DOCK8', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
1	GO:CC	GO:0005886	plasma membrane	2.0368496088480047e-25	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4850	98	81	16420	0.826530612244898	0.016701030927835	query_1	['GO:0016020', 'GO:0071944']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'DOCK8', 'PARD6B', 'FYN', 'PRKCI', 'PARD6G', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'DIP2A', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'WDR6', 'ELMO1', 'CBL', 'PDGFRA', 'F11R']
16	GO:BP	GO:0051174	regulation of phosphorus metabolic process	4.00968297755208e-25	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:ai]"	1281	99	49	15719	0.494949494949495	0.0382513661202185	query_1	['GO:0006793', 'GO:0031323']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
15	GO:BP	GO:0019220	regulation of phosphate metabolic process	4.00968297755208e-25	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	1280	99	49	15719	0.494949494949495	0.03828125	query_1	['GO:0006796', 'GO:0051174']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
17	GO:BP	GO:0040011	locomotion	4.1356113561546437e-25	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	99	49	15719	0.494949494949495	0.0381322957198443	query_1	['GO:0008150']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'DOCK8', 'PARD6B', 'FYN', 'WAS', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'DOCK2', 'SMAD3', 'DOCK5', 'PDGFRA', 'ELMO2']
18	GO:BP	GO:0040017	positive regulation of locomotion	4.1356113561546437e-25	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	99	36	15719	0.3636363636363636	0.0655737704918032	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['RHOJ', 'MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'PIK3CD', 'ITGA5', 'DOCK8', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
19	GO:BP	GO:0045785	positive regulation of cell adhesion	4.380579469865681e-25	True	"""Any process that activates or increases the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	466	99	34	15719	0.3434343434343434	0.0729613733905579	query_1	['GO:0007155', 'GO:0030155', 'GO:0048522']	['NCK1', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'CRK', 'TGFBR2', 'ITGA5', 'DOCK8', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'VTN', 'LCK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'F11R']
