Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-8951664	Neddylation	1.8662448568880812e-16	True	Neddylation	236	83	23	10022	0.2771084337349397	0.097457627118644	query_1	['REAC:R-HSA-597592']	['CUL3', 'CUL4B', 'DDB2', 'LMO7', 'VCP', 'ELOB', 'DDB1', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
5	GO:BP	GO:0010498	proteasomal protein catabolic process	2.07598379504823e-16	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]"	510	99	28	15719	0.2828282828282828	0.0549019607843137	query_1	['GO:0030163', 'GO:0051603']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'SKP1', 'SEL1L', 'SHH', 'FAF2', 'ERLEC1', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
7	GO:BP	GO:1903513	endoplasmic reticulum to cytosol transport	2.5526226893749235e-15	True	"""The directed movement of substances from endoplasmic reticulum to cytosol."" [GO_REF:0000076, GOC:BHF, GOC:mtg_cardiac_conduct_nov11, GOC:rl, GOC:TermGenie, PMID:16402920]"	28	99	11	15719	0.1111111111111111	0.3928571428571428	query_1	['GO:0046907']	['SELENOS', 'SYVN1', 'DERL2', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
6	GO:BP	GO:0030970	retrograde protein transport, ER to cytosol	2.5526226893749235e-15	True	"""The directed movement of unfolded or misfolded proteins from the endoplasmic reticulum to the cytosol through the translocon."" [PMID:11994744]"	28	99	11	15719	0.1111111111111111	0.3928571428571428	query_1	['GO:0032527', 'GO:0036503', 'GO:1903513']	['SELENOS', 'SYVN1', 'DERL2', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
8	GO:BP	GO:0030163	protein catabolic process	2.2179032684356337e-14	True	"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]"	992	99	34	15719	0.3434343434343434	0.034274193548387	query_1	['GO:0009057', 'GO:0019538', 'GO:1901565']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
4	GO:CC	GO:0008250	oligosaccharyltransferase complex	2.768915360723558e-13	True	"""A protein complex that is found in the endoplasmic reticulum membrane of eukaryotes and transfers lipid-linked oligosaccharide precursor to asparagine residues on nascent proteins. In yeast, the complex includes at least nine different subunits, whereas in mammalian cells at least three different forms of the complex have been detected."" [ISBN:0879695595, PMID:15835887]"	14	100	8	16420	0.08	0.5714285714285714	query_1	['GO:0005789', 'GO:0098796', 'GO:0140534', 'GO:1990234']	['STT3B', 'DAD1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
2	REAC	REAC:R-HSA-5358351	Signaling by Hedgehog	4.486884449591721e-13	True	Signaling by Hedgehog	149	83	17	10022	0.2048192771084337	0.1140939597315436	query_1	['REAC:R-HSA-162582']	['CUL3', 'PTCH1', 'IHH', 'SYVN1', 'BOC', 'DHH', 'CDON', 'DERL2', 'VCP', 'OS9', 'RBX1', 'SKP1', 'SEL1L', 'SHH', 'ERLEC1', 'HHIP', 'CUL1']
5	GO:CC	GO:0031461	cullin-RING ubiquitin ligase complex	6.829632868999567e-13	True	"""Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity."" [PMID:15571813, PMID:15688063]"	179	100	16	16420	0.16	0.0893854748603352	query_1	['GO:0000151']	['CUL3', 'CUL4B', 'DDB2', 'ELOB', 'ZYG11B', 'DDB1', 'RBX1', 'SKP1', 'ELOC', 'CAND1', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
9	GO:BP	GO:0032527	protein exit from endoplasmic reticulum	8.843375226109114e-13	True	"""The directed movement of proteins from the endoplasmic reticulum."" [GOC:rb]"	45	99	11	15719	0.1111111111111111	0.2444444444444444	query_1	['GO:0006886']	['SELENOS', 'SYVN1', 'DERL2', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
10	GO:BP	GO:0030433	ubiquitin-dependent ERAD pathway	1.4980322661632628e-12	True	"""The series of steps necessary to target endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. Begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein ubiquitination necessary for correct substrate transfer, transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome."" [GOC:mah, GOC:rb, PMID:14607247, PMID:19520858]"	85	99	13	15719	0.1313131313131313	0.1529411764705882	query_1	['GO:0036503', 'GO:0043161']	['SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
3	REAC	REAC:R-HSA-5632681	Ligand-receptor interactions	1.866623964089999e-12	True	Ligand-receptor interactions	8	83	7	10022	0.0843373493975903	0.875	query_1	['REAC:R-HSA-5632684']	['PTCH1', 'IHH', 'BOC', 'DHH', 'CDON', 'SHH', 'HHIP']
11	GO:BP	GO:0018279	protein N-linked glycosylation via asparagine	2.0257328779989733e-12	True	"""The glycosylation of protein via the N4 atom of peptidyl-asparagine forming N4-glycosyl-L-asparagine; the most common form is N-acetylglucosaminyl asparagine; N-acetylgalactosaminyl asparagine and N4 glucosyl asparagine also occur. This modification typically occurs in extracellular peptides with an N-X-(ST) motif. Partial modification has been observed to occur with cysteine, rather than serine or threonine, in the third position; secondary structure features are important, and proline in the second or fourth positions inhibits modification."" [GOC:jsg, RESID:AA0151, RESID:AA0420, RESID:AA0421]"	23	99	9	15719	0.0909090909090909	0.391304347826087	query_1	['GO:0006487']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
4	REAC	REAC:R-HSA-1234174	Cellular response to hypoxia	2.0633332952563907e-12	True	Cellular response to hypoxia	74	83	13	10022	0.1566265060240964	0.1756756756756756	query_1	['REAC:R-HSA-2262752']	['EGLN3', 'CREBBP', 'ELOB', 'RBX1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'EP300', 'ARNT', 'UBE2D2', 'CUL2']
5	REAC	REAC:R-HSA-392499	Metabolism of proteins	3.770030375133915e-12	True	Metabolism of proteins	1857	83	46	10022	0.5542168674698795	0.0247711362412493	query_1	['REAC:0000000']	['CUL3', 'RXRA', 'PNPLA2', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'ARF1', 'DAD1', 'LMO7', 'DERL2', 'VCP', 'ELOB', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3']
12	GO:BP	GO:0032446	protein modification by small protein conjugation	1.1723052967406164e-11	True	"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein."" [GOC:mah]"	872	99	29	15719	0.2929292929292929	0.0332568807339449	query_1	['GO:0070647']	['CUL3', 'CUL4B', 'DDB2', 'SYVN1', 'LMO7', 'HSP90AB1', 'VCP', 'ELOB', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'ARNT', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
13	GO:BP	GO:0009057	macromolecule catabolic process	1.3657014516096689e-11	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	1330	99	35	15719	0.3535353535353535	0.0263157894736842	query_1	['GO:0043170', 'GO:1901575']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
6	GO:CC	GO:1902494	catalytic complex	1.681096806113712e-11	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1723	100	38	16420	0.38	0.0220545560069645	query_1	['GO:0032991']	['CUL3', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'DERL2', 'VCP', 'COX10', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'SKP1', 'SEL1L', 'ELOC', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'RPN2', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3', 'NAA35']
14	GO:BP	GO:0036503	ERAD pathway	2.722448107989292e-11	True	"""The protein catabolic pathway which targets endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. It begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein modifications necessary for correct substrate transfer (e.g. ubiquitination), transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome."" [GOC:bf, GOC:PARL, PMID:20940304, PMID:21969857]"	108	99	13	15719	0.1313131313131313	0.1203703703703703	query_1	['GO:0010243', 'GO:0010498', 'GO:0034976']	['SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
7	GO:CC	GO:0000153	cytoplasmic ubiquitin ligase complex	3.4737138498665797e-11	True	"""A ubiquitin ligase complex found in the cytoplasm."" [GOC:mah]"	14	100	7	16420	0.07	0.5	query_1	['GO:0000151', 'GO:0005737']	['SYVN1', 'DERL2', 'ELOB', 'OS9', 'DERL1', 'SEL1L', 'CUL2']
15	GO:BP	GO:1901565	organonitrogen compound catabolic process	3.8951334009489855e-11	True	"""The chemical reactions and pathways resulting in the breakdown of organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	1302	99	34	15719	0.3434343434343434	0.0261136712749615	query_1	['GO:1901564', 'GO:1901575']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
16	GO:BP	GO:0006508	proteolysis	5.976138485015419e-11	True	"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]"	1668	99	38	15719	0.3838383838383838	0.0227817745803357	query_1	['GO:0019538']	['CUL3', 'EGLN3', 'PTCH1', 'IHH', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DHH', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
17	GO:BP	GO:0070647	protein modification by small protein conjugation or removal	2.5377348776504663e-10	True	"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."" [GOC:mah]"	998	99	29	15719	0.2929292929292929	0.0290581162324649	query_1	['GO:0036211']	['CUL3', 'CUL4B', 'DDB2', 'SYVN1', 'LMO7', 'HSP90AB1', 'VCP', 'ELOB', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'ARNT', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
18	GO:BP	GO:0019538	protein metabolic process	3.15991669011212e-10	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	5066	99	66	15719	0.6666666666666666	0.0130280300039478	query_1	['GO:0043170', 'GO:0044238', 'GO:1901564']	['CUL3', 'EGLN3', 'PTCH1', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'DAD1', 'LMO7', 'DHH', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'PKD2', 'CUL4A', 'TUSC3', 'NAA35']
19	GO:BP	GO:0036211	protein modification process	4.884038478435878e-10	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3399	99	53	15719	0.5353535353535354	0.0155928214180641	query_1	['GO:0019538', 'GO:0043412']	['CUL3', 'EGLN3', 'NAA38', 'LIMCH1', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'CDON', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'STT3A', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'CUL1', 'CUL2', 'PKD2', 'CUL4A', 'TUSC3', 'NAA35']
8	GO:CC	GO:0031984	organelle subcompartment	6.009457717331088e-10	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]"	1388	100	32	16420	0.32	0.0230547550432276	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	['PNPLA2', 'IHH', 'SELENOS', 'SYVN1', 'STT3B', 'DAD1', 'DHH', 'DERL2', 'VCP', 'ARL1', 'ZMPSTE24', 'SCOC', 'OS9', 'UBE2J1', 'DERL1', 'DDOST', 'ARFRP1', 'RPN1', 'HSP90B1', 'ARFIP2', 'SEL1L', 'GBF1', 'SHH', 'STT3A', 'FAF2', 'SELENOK', 'MAGT1', 'RPN2', 'PLEKHA8', 'PKD2', 'SYS1', 'TUSC3']
20	GO:BP	GO:1901575	organic substance catabolic process	7.545736399290037e-10	True	"""The chemical reactions and pathways resulting in the breakdown of an organic substance, any molecular entity containing carbon."" [GOC:pr, GOC:TermGenie]"	2015	99	40	15719	0.404040404040404	0.0198511166253101	query_1	['GO:0009056', 'GO:0071704']	['CUL3', 'PNPLA2', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'PPARD', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
21	GO:BP	GO:0035966	response to topologically incorrect protein	2.194775120019004e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a protein that is not folded in its correct three-dimensional structure."" [GOC:bf]"	156	99	13	15719	0.1313131313131313	0.0833333333333333	query_1	['GO:0006950', 'GO:0010033']	['CUL3', 'SELENOS', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'OS9', 'DERL1', 'FAF2', 'ERLEC1', 'COPS5', 'HSPA8']
22	GO:BP	GO:0009056	catabolic process	4.076448837797173e-09	True	"""The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]"	2443	99	43	15719	0.4343434343434343	0.0176013098649201	query_1	['GO:0008152']	['CUL3', 'PNPLA2', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'PPARD', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'SCOC', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'HIF1A', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
