Myoclonic-astatic epilepsy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:CC	GO:0005905	clathrin-coated pit	3.0193433212583795e-20	True	"""A part of the endomembrane system in the form of an invagination of a membrane upon which a clathrin coat forms, and that can be converted by vesicle budding into a clathrin-coated vesicle. Coated pits form on the plasma membrane, where they are involved in receptor-mediated selective transport of many proteins and other macromolecules across the cell membrane, in the trans-Golgi network, and on some endosomes."" [GOC:mah, ISBN:0198506732, NIF_Subcellular:sao1969557946, PMID:10559856, PMID:17284835]"	74	104	16	22122	0.1538461538461538	0.2162162162162162	query_1	['GO:0012505', 'GO:0098590']	['LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LRP1', 'TF', 'AP2A1', 'APP', 'DAB2', 'NUMB']
11	GO:CC	GO:0005576	extracellular region	9.538613750910568e-20	True	"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]"	4236	104	65	22122	0.625	0.0153446647780925	query_1	['GO:0110165']	['C3', 'ITGB1', 'APOC3', 'NTS', 'TCN2', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'HBD', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'LTBP1', 'LOX', 'ITGA2B', 'HFE', 'SYNE2', 'MYO6', 'LDLR', 'PCSK9', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'FBN1', 'ORM2', 'HP', 'FGB', 'APOA2', 'FBN2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'NLN', 'SERPINA1', 'VTN', 'APOC2', 'TLN1', 'LRP8', 'APP', 'CP', 'A1BG', 'ALB', 'ELN', 'HPX', 'ORM1']
12	GO:CC	GO:1903561	extracellular vesicle	1.7934448379536317e-19	True	"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]"	2133	104	48	22122	0.4615384615384615	0.0225035161744022	query_1	['GO:0031982', 'GO:0065010']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
13	GO:CC	GO:0065010	extracellular membrane-bounded organelle	1.8297030749723096e-19	True	"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]"	2134	104	48	22122	0.4615384615384615	0.0224929709465791	query_1	['GO:0043227', 'GO:0043230']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
14	GO:CC	GO:0043230	extracellular organelle	1.8297030749723096e-19	True	"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]"	2134	104	48	22122	0.4615384615384615	0.0224929709465791	query_1	['GO:0005576', 'GO:0043226']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
15	GO:CC	GO:0012505	endomembrane system	2.742302181122492e-19	True	"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]"	4776	104	68	22122	0.6538461538461539	0.0142378559463986	query_1	['GO:0110165']	['C3', 'ITGB1', 'APOC3', 'NTS', 'SYNE1', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'LTBP1', 'CD320', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'SYNE2', 'FYN', 'MYO6', 'TPD52', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'ITIH2', 'LDLRAP1', 'BIN1', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'GALNT12', 'FBN1', 'ORM2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'AGRN', 'CTSG', 'DMTN', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'GDPD1', 'APP', 'DAB2', 'CP', 'NUMB', 'A1BG', 'ALB', 'ORM1']
16	GO:CC	GO:0070062	extracellular exosome	9.05914659499212e-19	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2109	104	47	22122	0.4519230769230769	0.0222854433380749	query_1	['GO:0005615', 'GO:1903561']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
17	GO:CC	GO:0031012	extracellular matrix	1.3852592580051345e-18	True	"""A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."" [GOC:BHF, GOC:mah, GOC:rph, NIF_Subcellular:nlx_subcell_20090513, PMID:21123617, PMID:28089324]"	567	104	28	22122	0.2692307692307692	0.0493827160493827	query_1	['GO:0030312']	['APOC3', 'FN1', 'FGA', 'TGFB3', 'APOE', 'LTBP1', 'LOX', 'AGT', 'ITIH2', 'FBLN5', 'FBLN2', 'APOA1', 'FBN1', 'ORM2', 'FGB', 'FBN2', 'FGG', 'APOA4', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'SERPINA1', 'VTN', 'A1BG', 'ELN', 'HPX', 'ORM1']
18	GO:CC	GO:0030312	external encapsulating structure	1.452143076227178e-18	True	"""A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space."" [GOC:go_curators]"	568	104	28	22122	0.2692307692307692	0.0492957746478873	query_1	['GO:0071944', 'GO:0110165']	['APOC3', 'FN1', 'FGA', 'TGFB3', 'APOE', 'LTBP1', 'LOX', 'AGT', 'ITIH2', 'FBLN5', 'FBLN2', 'APOA1', 'FBN1', 'ORM2', 'FGB', 'FBN2', 'FGG', 'APOA4', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'SERPINA1', 'VTN', 'A1BG', 'ELN', 'HPX', 'ORM1']
19	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	1.5332061002244025e-18	True	Extracellular matrix organization	297	99	28	10790	0.2828282828282828	0.0942760942760942	query_1	['REAC:0000000']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'LRP4', 'LTBP1', 'LOX', 'ITGA2B', 'ITGA5', 'FBLN5', 'FBLN2', 'FBN1', 'FGB', 'FBN2', 'FGG', 'MUSK', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'APP', 'ELN']
20	GO:CC	GO:0005615	extracellular space	3.8436207061259766e-18	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3384	104	57	22122	0.5480769230769231	0.0168439716312056	query_1	['GO:0005576', 'GO:0110165']	['C3', 'ITGB1', 'APOC3', 'TCN2', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'HBD', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'LOX', 'ITGA2B', 'HFE', 'SYNE2', 'MYO6', 'LDLR', 'PCSK9', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'APOA1', 'TF', 'FBN1', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'APOC2', 'TLN1', 'LRP8', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
21	GO:BP	GO:0016192	vesicle-mediated transport	6.495540331116299e-18	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1654	103	43	21110	0.4174757281553398	0.0259975816203143	query_1	['GO:0006810']	['C3', 'ITGB1', 'APOC3', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'AMPH', 'LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'CD320', 'AP2B1', 'HFE', 'FYN', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'TFR2', 'AP2A1', 'FGB', 'APOA2', 'FGR', 'FGG', 'DMTN', 'VTN', 'APOC2', 'LRP8', 'PTK2', 'APP', 'DAB2', 'NUMB']
22	GO:MF	GO:0005102	signaling receptor binding	1.0821786712050472e-17	True	"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	1564	103	42	20195	0.4077669902912621	0.0268542199488491	query_1	['GO:0005515']	['C3', 'ITGB1', 'APOC3', 'NTS', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'CLTC', 'AP2M1', 'LRP4', 'APOE', 'CD320', 'ITGA2B', 'ITGA5', 'HFE', 'FYN', 'PCSK9', 'AGT', 'LDLRAP1', 'FBLN5', 'APOA1', 'LRP1', 'TF', 'FBN1', 'AP2A1', 'FGB', 'APOA2', 'FGR', 'FGG', 'CTSG', 'DMTN', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'APP', 'DAB2']
23	GO:BP	GO:0030100	regulation of endocytosis	5.673806146199307e-17	True	"""Any process that modulates the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	290	103	22	21110	0.2135922330097087	0.0758620689655172	query_1	['GO:0006897', 'GO:0051128', 'GO:0060627']	['C3', 'APOC3', 'ITGAV', 'SRC', 'ITGB3', 'AP2M1', 'APOE', 'HFE', 'AP2S1', 'PCSK9', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'FGR', 'VTN', 'APOC2', 'DAB2', 'NUMB']
24	GO:MF	GO:0044877	protein-containing complex binding	1.0579833063956921e-16	True	"""Binding to a macromolecular complex."" [GOC:jl]"	1311	103	38	20195	0.3689320388349514	0.0289855072463768	query_1	['GO:0005488']	['ITGB1', 'SYNE1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ADD2', 'ITGB3', 'TGFB3', 'ADD3', 'SNX9', 'TFRC', 'APOE', 'LOX', 'ITGA2B', 'ITGA5', 'SYNE2', 'MYO6', 'LDLR', 'PCSK9', 'LDLRAP1', 'FBLN5', 'BIN1', 'NTSR1', 'APOA1', 'LRP1', 'FBN1', 'APOA2', 'FGR', 'MUSK', 'DMTN', 'VTN', 'TLN1', 'LRP8', 'PTK2', 'ITGB6', 'ADD1']
25	GO:CC	GO:0098590	plasma membrane region	1.8812685116506503e-16	True	"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]"	1292	104	36	22122	0.3461538461538461	0.0278637770897832	query_1	['GO:0005886', 'GO:0016020']	['SLC6A1', 'ITGB1', 'SYNE1', 'FN1', 'ITGAV', 'SRC', 'HEPH', 'ADD2', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'AP2B1', 'ITGA5', 'SYNE2', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LDLRAP1', 'LRP1', 'TF', 'AP2A1', 'FGR', 'MUSK', 'DMTN', 'SLC40A1', 'TLN1', 'LRP8', 'APP', 'DAB2', 'NUMB']
26	GO:CC	GO:0098552	side of membrane	2.076529578710016e-16	True	"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]"	685	104	28	22122	0.2692307692307692	0.0408759124087591	query_1	['GO:0016020', 'GO:0110165']	['ITGB1', 'TCN2', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'LRP2', 'AP2M1', 'TFRC', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'FYN', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'NTSR1', 'TF', 'TFR2', 'AP2A1', 'FGB', 'FGR', 'FGG', 'PTK2', 'ITGB6']
27	REAC	REAC:R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	6.437656261463715e-16	True	Plasma lipoprotein assembly, remodeling, and clearance	71	99	16	10790	0.1616161616161616	0.2253521126760563	query_1	['REAC:R-HSA-382551']	['APOC3', 'CLTC', 'AP2M1', 'APOE', 'AP2B1', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'APOA1', 'AP2A1', 'APOA2', 'APOA4', 'APOC2', 'ALB']
28	GO:MF	GO:0070325	lipoprotein particle receptor binding	7.205763916705634e-16	True	"""Binding to a lipoprotein particle receptor."" [GOC:BHF, GOC:rl]"	29	103	11	20195	0.1067961165048543	0.3793103448275862	query_1	['GO:0005102']	['APOC3', 'CLTC', 'AP2M1', 'APOE', 'PCSK9', 'LDLRAP1', 'APOA1', 'LRP1', 'AP2A1', 'APOA2', 'DAB2']
29	GO:BP	GO:0051128	regulation of cellular component organization	2.006917599721933e-15	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2462	103	48	21110	0.4660194174757281	0.0194963444354183	query_1	['GO:0016043', 'GO:0050794']	['C3', 'ITGB1', 'APOC3', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ADD2', 'ITGB3', 'TGFB3', 'ADD3', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'HFE', 'SYNE2', 'FYN', 'LDLR', 'AP2S1', 'PCSK9', 'SYNGAP1', 'AGT', 'LDLRAP1', 'FBLN5', 'BIN1', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'FGR', 'APOA4', 'MUSK', 'AGRN', 'DMTN', 'VTN', 'APOC2', 'TLN1', 'LRP8', 'PTK2', 'APP', 'DAB2', 'NUMB', 'ADD1', 'ELN']
30	GO:CC	GO:0030139	endocytic vesicle	2.8379820079693774e-15	True	"""A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting."" [GOC:go_curators, PMID:19696797]"	343	104	21	22122	0.2019230769230769	0.0612244897959183	query_1	['GO:0031410']	['ITGB5', 'ITGAV', 'HBB', 'LRP2', 'CLTC', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LDLRAP1', 'APOA1', 'LRP1', 'TF', 'AP2A1', 'HP', 'MPO', 'HPX']
