Vascular Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0031589	cell-substrate adhesion	3.5208675865382344e-41	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	367	99	40	21110	0.404040404040404	0.108991825613079	query_1	['GO:0007155']	['P4HB', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'PDGFB', 'DOCK1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ITGA2']
11	GO:MF	GO:0005102	signaling receptor binding	3.759951916955489e-41	True	"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	1564	99	62	20195	0.6262626262626263	0.0396419437340153	query_1	['GO:0005515']	['P4HB', 'ITGB1', 'ITGA9', 'NCK1', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'SOS1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'DOCK4', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'PDGFRB', 'JAM3', 'ITGAE', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'VEGFA', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'SEMA4D', 'ITGA2', 'PGF']
12	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	1.1116818609408962e-40	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	990	99	53	21110	0.5353535353535354	0.0535353535353535	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'NCK1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'FLT1', 'PGF']
13	GO:BP	GO:0030334	regulation of cell migration	2.3067116759192203e-39	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	927	99	51	21110	0.5151515151515151	0.0550161812297734	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'COL3A1', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
14	GO:BP	GO:0030335	positive regulation of cell migration	4.54095290304001e-39	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	532	99	43	21110	0.4343434343434343	0.0808270676691729	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
15	GO:MF	GO:0005178	integrin binding	4.545666903058546e-39	True	"""Binding to an integrin."" [GOC:ceb]"	158	99	31	20195	0.3131313131313131	0.1962025316455696	query_1	['GO:0005102', 'GO:0044877', 'GO:0050839']	['P4HB', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'JAM3', 'ITGAE', 'KDR', 'SYK', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'ITGA2']
16	GO:BP	GO:0007160	cell-matrix adhesion	2.399862172667191e-38	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	238	99	34	21110	0.3434343434343434	0.1428571428571428	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'CTNNB1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'VEGFA', 'PTK2B', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ITGA2']
17	GO:BP	GO:2000147	positive regulation of cell motility	3.584372812816757e-38	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	558	99	43	21110	0.4343434343434343	0.0770609318996415	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
18	GO:BP	GO:2000145	regulation of cell motility	5.635218362663781e-38	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	988	99	51	21110	0.5151515151515151	0.0516194331983805	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'COL3A1', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
19	GO:BP	GO:0040017	positive regulation of locomotion	1.2147133859166685e-37	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	574	99	43	21110	0.4343434343434343	0.0749128919860627	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
20	GO:BP	GO:0040012	regulation of locomotion	5.211219690997502e-37	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	1033	99	51	21110	0.5151515151515151	0.0493707647628267	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'COL3A1', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
21	GO:BP	GO:0071363	cellular response to growth factor stimulus	6.867831813514045e-36	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	680	99	44	21110	0.4444444444444444	0.0647058823529411	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'KDR', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
22	GO:BP	GO:0070848	response to growth factor	4.5095334408965706e-35	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	710	99	44	21110	0.4444444444444444	0.0619718309859154	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'KDR', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
23	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	4.5652562222781825e-35	True	Integrin cell surface interactions	84	98	28	10790	0.2857142857142857	0.3333333333333333	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGA11', 'ITGB3', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'COL1A2', 'TNC', 'JAM3', 'ITGAE', 'KDR', 'COL10A1', 'CDH1', 'COL1A1', 'VTN', 'VCAM1', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2', 'ITGA2']
24	GO:CC	GO:0070161	anchoring junction	6.023355602728103e-35	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	902	99	46	22122	0.4646464646464646	0.0509977827050997	query_1	['GO:0030054']	['P4HB', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'ITK', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'LAT', 'SH3PXD2A', 'ZAP70', 'LYN', 'GRB2', 'PDGFRB', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'VEGFA', 'PTK2B', 'TLN1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'FLT1', 'ITGA2']
25	GO:BP	GO:0030155	regulation of cell adhesion	2.3799174909510306e-33	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	778	99	44	21110	0.4444444444444444	0.0565552699228791	query_1	['GO:0007155', 'GO:0050794']	['P4HB', 'NCK1', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'LYN', 'SHB', 'TNC', 'JAM3', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'NCK2', 'SEMA4D', 'ITGA2', 'PLXNA1']
26	WP	WP:WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	4.6679284950272876e-32	True	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	302	89	40	8133	0.449438202247191	0.1324503311258278	query_1	['WP:000000']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'SPP1', 'ITGA11', 'ITGB3', 'PIK3R1', 'VEGFC', 'HGF', 'FLT4', 'SOS1', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'GRB2', 'PDGFRB', 'COL1A2', 'TNC', 'EGFR', 'ITGAE', 'KDR', 'VEGFA', 'COL1A1', 'VTN', 'VEGFD', 'PTK2', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
