Dyskeratosis congenita	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
5	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	3.4821981256431537e-56	True	HDR through Homologous Recombination (HRR)	68	104	37	10022	0.3557692307692308	0.5441176470588235	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'RAD51AP1', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'RTEL1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
5	GO:BP	GO:0033554	cellular response to stress	5.213579819987592e-56	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1891	111	87	15719	0.7837837837837838	0.0460074034902168	query_1	['GO:0006950', 'GO:0051716']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'DHFR', 'LIG1', 'WDR45B', 'POLA1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'TERT', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
0	GO:CC	GO:0031981	nuclear lumen	8.844149629854362e-55	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	112	108	16420	0.9642857142857144	0.0248275862068965	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'TYMS', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'USB1', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
6	GO:BP	GO:0000723	telomere maintenance	2.9029471526912315e-54	True	"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences."" [GOC:BHF, GOC:BHF_telomere, GOC:elh, GOC:rl, PMID:11092831]"	156	111	42	15719	0.3783783783783784	0.2692307692307692	query_1	['GO:0006259', 'GO:0032200']	['HUS1', 'NBN', 'STN1', 'RAD50', 'XRCC6', 'FEN1', 'NHP2', 'RPA2', 'TEN1', 'DCP2', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'ATR', 'RPA3', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'NOP10', 'WRAP53', 'PNKP', 'PIF1', 'CTC1']
7	GO:BP	GO:0051052	regulation of DNA metabolic process	1.673134868122256e-52	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	517	111	57	15719	0.5135135135135135	0.1102514506769826	query_1	['GO:0006259', 'GO:0019219', 'GO:0060255']	['RBBP8', 'AKT1', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'TEN1', 'DCP2', 'TINF2', 'PCNA', 'ATR', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'SMG6', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'RTEL1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'RNF8', 'MSH6']
2	GO:CC	GO:0005654	nucleoplasm	3.371928509250351e-52	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	112	104	16420	0.9285714285714286	0.0260130065032516	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'APEX1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'USB1', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
1	GO:CC	GO:0000781	chromosome, telomeric region	3.371928509250351e-52	True	"""The end of a linear chromosome, required for the integrity and maintenance of the end. A chromosome telomere usually includes a region of telomerase-encoded repeats the length of which rarely exceeds 20 bp each and that permits the formation of a telomeric loop (T-loop). The telomeric repeat region is usually preceded by a sub-telomeric region that is gene-poor but rich in repetitive elements. Some telomeres only consist of the latter part (for eg. D. melanogaster telomeres)."" [GOC:elh]"	167	112	41	16420	0.3660714285714285	0.2455089820359281	query_1	['GO:0098687']	['RPA4', 'NBN', 'STN1', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'XRCC6', 'LIG4', 'FEN1', 'H2AX', 'NHP2', 'RPA2', 'TEN1', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'ATR', 'TERT', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'SMG6', 'APEX1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'WRN', 'WRAP53', 'PIF1', 'CTC1', 'RNF8']
8	GO:BP	GO:0032200	telomere organization	1.1971017466911804e-50	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	187	111	42	15719	0.3783783783783784	0.2245989304812834	query_1	['GO:0051276']	['HUS1', 'NBN', 'STN1', 'RAD50', 'XRCC6', 'FEN1', 'NHP2', 'RPA2', 'TEN1', 'DCP2', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'ATR', 'RPA3', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'NOP10', 'WRAP53', 'PNKP', 'PIF1', 'CTC1']
6	REAC	REAC:R-HSA-1640170	Cell Cycle	4.89011210481933e-50	True	Cell Cycle	676	104	66	10022	0.6346153846153846	0.0976331360946745	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'STN1', 'TP53BP1', 'POLD3', 'RAD50', 'TYMS', 'MLH1', 'FEN1', 'SHQ1', 'POLD4', 'H2AX', 'NHP2', 'RPA2', 'MDC1', 'DHFR', 'LIG1', 'TEN1', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'TERT', 'DKC1', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'POLA2', 'RTEL1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'NOP10', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8']
3	GO:CC	GO:0005694	chromosome	2.9265210553055016e-49	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	112	80	16420	0.7142857142857143	0.0435729847494553	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'RPA4', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'NHP2', 'RPA2', 'MDC1', 'TEN1', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'TERT', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
7	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3.26001982902736e-48	True	HDR through Single Strand Annealing (SSA)	37	104	28	10022	0.2692307692307692	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	GO:BP	GO:0071897	DNA biosynthetic process	5.723719369840694e-48	True	"""The biosynthetic process resulting in the formation of DNA."" [GOC:mah]"	196	111	41	15719	0.3693693693693693	0.2091836734693877	query_1	['GO:0006259', 'GO:0009059', 'GO:0034654']	['STN1', 'USP1', 'POLD3', 'RAD50', 'LIG3', 'TYMS', 'LIG4', 'POLD4', 'NHP2', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'GAR1', 'PCNA', 'ATR', 'TERT', 'DKC1', 'PARN', 'XRCC5', 'RPA1', 'ATM', 'POLE3', 'MRE11', 'NAF1', 'SMG6', 'CHRAC1', 'POLD1', 'POLB', 'WRN', 'NOP10', 'POLE2', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'POLE', 'POLD2']
10	GO:BP	GO:0006260	DNA replication	1.2330254985555099e-46	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	111	44	15719	0.3963963963963964	0.1617647058823529	query_1	['GO:0006259']	['RBBP8', 'RPA4', 'NBN', 'STN1', 'POLD3', 'RAD50', 'LIG3', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'BRCA2', 'PRIM1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'CHRAC1', 'POLA2', 'RTEL1', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'PIF1', 'CTC1', 'POLE', 'POLD2']
