Waardenburg syndrome type 1	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
357	GO:BP	GO:0009653	anatomical structure morphogenesis	6.840327039532965e-10	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2538	101	42	17376	0.4158415841584158	0.0165484633569739	query_1	['GO:0032502', 'GO:0048856']	['SMAD1', 'AKT1', 'CREBBP', 'SMURF2', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'FOXG1', 'SIN3A', 'PAX3', 'AR', 'E2F2', 'WWTR1', 'SMAD2', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'SKI', 'SP1', 'ESR1', 'RARA', 'FOXH1', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'THRB', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
358	GO:BP	GO:0050673	epithelial cell proliferation	6.955183702650718e-10	True	"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances."" [ISBN:0721662544]"	425	101	18	17376	0.1782178217821782	0.0423529411764705	query_1	['GO:0008283']	['AKT1', 'WDR77', 'STAT3', 'PPARG', 'CTNNB1', 'RB1', 'AR', 'NOTCH1', 'RBPJ', 'NOTCH2', 'SP1', 'ESR1', 'CDK4', 'CDKN1B', 'SMAD3', 'CDK6', 'CCND1', 'VDR']
359	GO:BP	GO:0051960	regulation of nervous system development	7.197423087104917e-10	True	"""Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]"	426	101	18	17376	0.1782178217821782	0.0422535211267605	query_1	['GO:0007399', 'GO:2000026']	['REST', 'AKT1', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'FOXG1', 'NOTCH1', 'MECP2', 'E2F1', 'PRMT5', 'SKI', 'SNW1', 'RARA', 'TP53', 'HDAC2', 'KDM1A', 'SKIL']
360	GO:BP	GO:0030509	BMP signaling pathway	7.258192838947528e-10	True	"""The series of molecular signals initiated by the binding of a member of the BMP (bone morphogenetic protein) family to a receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling, ISBN:0878932437, PMID:17428827]"	144	101	12	17376	0.1188118811881188	0.0833333333333333	query_1	['GO:0007178', 'GO:0071773']	['SMAD1', 'SMURF2', 'PPARG', 'SMAD2', 'SMAD9', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'SKI', 'SKIL', 'HIPK2']
361	GO:BP	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	8.250753850671225e-10	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, and ends when the execution phase of apoptosis is triggered."" [GOC:mah, GOC:mtg_apoptosis]"	83	101	10	17376	0.099009900990099	0.1204819277108433	query_1	['GO:0072331', 'GO:0097193']	['MDM2', 'CDKN1A', 'E2F2', 'EP300', 'E2F1', 'SNW1', 'TP53', 'PML', 'KDM1A', 'HIPK2']
362	REAC	REAC:R-HSA-5633007	Regulation of TP53 Activity	8.680767305723704e-10	True	Regulation of TP53 Activity	160	101	12	17376	0.1188118811881188	0.075	query_1	['REAC:R-HSA-3700989']	['AKT1', 'MDM2', 'HDAC1', 'DAXX', 'USP7', 'EP300', 'PRMT5', 'CDK2', 'TP53', 'PML', 'HDAC2', 'HIPK2']
363	REAC	REAC:R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	8.738132939202736e-10	True	BMAL1:CLOCK,NPAS2 activates circadian gene expression	27	101	7	17376	0.0693069306930693	0.2592592592592592	query_1	['REAC:R-HSA-400253']	['RXRA', 'CREBBP', 'NCOA2', 'PPARA', 'TBL1X', 'TBL1XR1', 'NCOA1']
364	GO:BP	GO:0030518	intracellular steroid hormone receptor signaling pathway	8.968306343518238e-10	True	"""The series of molecular signals initiated by a steroid binding to an intracellular steroid hormone receptor."" [GOC:mah, GOC:signaling]"	113	101	11	17376	0.1089108910891089	0.0973451327433628	query_1	['GO:0030522', 'GO:0043401']	['HDAC1', 'SMARCA4', 'NCOR2', 'AR', 'DAXX', 'EP300', 'NCOR1', 'ESR2', 'ESR1', 'FOXH1', 'KDM1A']
365	GO:BP	GO:0030097	hemopoiesis	9.214270421598886e-10	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	914	101	25	17376	0.2475247524752475	0.0273522975929978	query_1	['GO:0048468']	['REST', 'CBFB', 'STAT3', 'PPARG', 'FOXO3', 'CTNNB1', 'RB1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'GPS2', 'SMARCC2', 'RCOR1', 'RARA', 'TP53', 'PML', 'SMARCC1', 'CDK6', 'HIPK2']
366	GO:BP	GO:1901698	response to nitrogen compound	1.0297458044297606e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1081	101	27	17376	0.2673267326732673	0.0249768732654949	query_1	['GO:0042221']	['AKT1', 'MDM2', 'STAT3', 'PPARG', 'NCOA2', 'CTNNB1', 'RB1', 'PPARA', 'NCOR2', 'SIN3A', 'DAXX', 'NOTCH1', 'PRMT5', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'CCND1']
367	GO:BP	GO:0009790	embryo development	1.0692149300861266e-09	True	"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	1083	101	27	17376	0.2673267326732673	0.0249307479224376	query_1	['GO:0007275']	['SMAD1', 'AKT1', 'CREBBP', 'CTNNB1', 'HDAC1', 'FOXG1', 'SIN3A', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'NOTCH1', 'EP300', 'RBPJ', 'NOTCH2', 'HDAC3', 'SKI', 'KAT2B', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'SKIL', 'NCOA1', 'HIPK2']
368	GO:BP	GO:0009628	response to abiotic stimulus	1.133475069421944e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1086	101	27	17376	0.2673267326732673	0.0248618784530386	query_1	['GO:0050896']	['REST', 'AKT1', 'CREBBP', 'MDM2', 'PPARG', 'CTNNB1', 'PPARA', 'CDKN1A', 'SUMO1', 'DAXX', 'SMAD4', 'NOTCH1', 'EP300', 'RBPJ', 'MECP2', 'CCND2', 'E2F1', 'FABP1', 'FOXO1', 'CDKN1B', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'HIPK2', 'CCND1']
369	GO:BP	GO:0006974	DNA damage response	1.4040175194721374e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	855	101	24	17376	0.2376237623762376	0.0280701754385964	query_1	['GO:0033554']	['MDM2', 'HDAC10', 'CDK7', 'SMARCA4', 'SMARCA2', 'CDKN1A', 'SUMO1', 'SMARCB1', 'USP7', 'EP300', 'E2F1', 'SMARCC2', 'SNW1', 'CDK2', 'KAT2B', 'FOXO1', 'CDKN1B', 'TP53', 'PML', 'KDM1A', 'SMARCC1', 'SKIL', 'HIPK2', 'CCND1']
370	GO:BP	GO:0071773	cellular response to BMP stimulus	1.5326597144190454e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]"	154	101	12	17376	0.1188118811881188	0.0779220779220779	query_1	['GO:0071363', 'GO:0071772']	['SMAD1', 'SMURF2', 'PPARG', 'SMAD2', 'SMAD9', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'SKI', 'SKIL', 'HIPK2']
371	GO:BP	GO:0071772	response to BMP	1.5326597144190454e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]"	154	101	12	17376	0.1188118811881188	0.0779220779220779	query_1	['GO:0070848']	['SMAD1', 'SMURF2', 'PPARG', 'SMAD2', 'SMAD9', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'SKI', 'SKIL', 'HIPK2']
372	GO:BP	GO:0051101	regulation of DNA binding	1.5326597144190454e-09	True	"""Any process that modulates the frequency, rate or extent of DNA binding. DNA binding is any process in which a gene product interacts selectively with DNA (deoxyribonucleic acid)."" [GOC:ai, GOC:dph, GOC:tb]"	119	101	11	17376	0.1089108910891089	0.0924369747899159	query_1	['GO:0051098']	['PPARG', 'CTNNB1', 'RB1', 'SIN3A', 'SUMO1', 'EP300', 'E2F1', 'SKI', 'HDAC2', 'KDM1A', 'HIPK2']
373	GO:BP	GO:0048145	regulation of fibroblast proliferation	1.602233407392055e-09	True	"""Any process that modulates the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]"	89	101	10	17376	0.099009900990099	0.1123595505617977	query_1	['GO:0042127', 'GO:0048144']	['PPARG', 'CTNNB1', 'CDKN1A', 'E2F1', 'SKI', 'ESR1', 'CDK4', 'TP53', 'PML', 'CDK6']
374	GO:BP	GO:0010628	positive regulation of gene expression	1.602233407392055e-09	True	"""Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]"	1104	101	27	17376	0.2673267326732673	0.0244565217391304	query_1	['GO:0010467', 'GO:0010468', 'GO:0010604']	['SMAD1', 'AKT1', 'WDR77', 'STAT3', 'PPARG', 'NR1H2', 'CTNNB1', 'HDAC1', 'AR', 'SMAD2', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'E2F1', 'PRMT5', 'SNW1', 'SP1', 'NR1H4', 'KAT2B', 'RARA', 'CLNS1A', 'TP53', 'SMAD3', 'HDAC2', 'CDK6', 'VDR']
375	GO:BP	GO:1901992	positive regulation of mitotic cell cycle phase transition	1.785118121229926e-09	True	"""Any process that activates or increases the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	90	101	10	17376	0.099009900990099	0.1111111111111111	query_1	['GO:0044772', 'GO:0045931', 'GO:1901989', 'GO:1901990']	['AKT1', 'MDM2', 'TFDP1', 'RB1', 'SIN3A', 'MECP2', 'CCND2', 'CCND3', 'CDK4', 'CCND1']
376	GO:BP	GO:0051052	regulation of DNA metabolic process	1.861884331838028e-09	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	515	101	19	17376	0.1881188118811881	0.0368932038834951	query_1	['GO:0006259', 'GO:0019219', 'GO:0060255']	['AKT1', 'HDAC10', 'PPARG', 'TFDP1', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'CDKN1A', 'SMARCB1', 'USP7', 'MECP2', 'PRMT5', 'SMARCC2', 'CDK2', 'KAT2B', 'TP53', 'PML', 'KDM1A', 'SMARCC1']
377	GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	1.938789288331576e-09	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1114	101	27	17376	0.2673267326732673	0.0242369838420107	query_1	['GO:0009653', 'GO:0032502']	['SMAD1', 'AKT1', 'STAT3', 'PPARG', 'CTNNB1', 'HDAC1', 'PPARA', 'AR', 'E2F2', 'SMAD2', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'SKI', 'SP1', 'RARA', 'FOXH1', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'SKIL', 'HIPK2']
378	REAC	REAC:R-HSA-9029558	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	1.940082747577667e-09	True	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	8	101	5	17376	0.0495049504950495	0.625	query_1	['REAC:R-HSA-9024446']	['NRIP1', 'RXRA', 'NR1H2', 'RXRB', 'NR1H3']
379	REAC	REAC:R-HSA-8941326	RUNX2 regulates bone development	1.940082747577667e-09	True	RUNX2 regulates bone development	30	101	7	17376	0.0693069306930693	0.2333333333333333	query_1	['REAC:R-HSA-8878166']	['SMAD1', 'CBFB', 'RB1', 'AR', 'WWTR1', 'SMAD4', 'HDAC3']
380	GO:BP	GO:0034660	ncRNA metabolic process	2.086826565622809e-09	True	"""The chemical reactions and pathways involving non-coding RNA transcripts (ncRNAs)."" [GOC:mah]"	584	101	20	17376	0.198019801980198	0.0342465753424657	query_1	['GO:0016070']	['SMAD1', 'REST', 'STAT3', 'PPARG', 'CDK7', 'FOXO3', 'NR1H2', 'PPARA', 'SMARCA4', 'NCOR2', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'NCOR1', 'KAT2B', 'ESR1', 'RARA', 'TP53', 'SMAD3']
381	GO:BP	GO:0001503	ossification	2.086826565622809e-09	True	"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]"	398	101	17	17376	0.1683168316831683	0.0427135678391959	query_1	['GO:0032501']	['SMAD1', 'REST', 'RXRA', 'AKT1', 'CBFB', 'PPARG', 'CTNNB1', 'RXRB', 'WWTR1', 'SMAD4', 'NOTCH1', 'RUNX1', 'RBPJ', 'SKI', 'SMAD3', 'CDK6', 'VDR']
382	GO:BP	GO:0030510	regulation of BMP signaling pathway	2.184274433660366e-09	True	"""Any process that modulates the frequency, rate or extent of the activity of any BMP receptor signaling pathway."" [GOC:mah]"	92	101	10	17376	0.099009900990099	0.108695652173913	query_1	['GO:0030509', 'GO:0090092', 'GO:0090287']	['SMURF2', 'PPARG', 'SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'SKI', 'SKIL', 'HIPK2']
383	GO:BP	GO:0060537	muscle tissue development	2.2360129051258572e-09	True	"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]"	400	101	17	17376	0.1683168316831683	0.0425	query_1	['GO:0009888']	['SMAD1', 'MAML1', 'CTNNB1', 'RB1', 'PPARA', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'HDAC3', 'SKI', 'RARA', 'FOXH1', 'SMAD3', 'SKIL']
384	GO:BP	GO:0060765	regulation of androgen receptor signaling pathway	2.339264913619675e-09	True	"""Any process that modulates the rate, frequency, or extent of the androgen receptor signaling pathway."" [GOC:dph]"	27	101	7	17376	0.0693069306930693	0.2592592592592592	query_1	['GO:0030521', 'GO:0033143']	['HDAC1', 'SMARCA4', 'NCOR2', 'EP300', 'NCOR1', 'FOXH1', 'KDM1A']
385	REAC	REAC:R-HSA-6807070	PTEN Regulation	2.656771206256384e-09	True	PTEN Regulation	138	101	11	17376	0.1089108910891089	0.0797101449275362	query_1	['REAC:R-HSA-1257604']	['REST', 'AKT1', 'PPARG', 'HDAC1', 'USP7', 'HDAC3', 'RCOR1', 'TP53', 'PML', 'HDAC2', 'KDM1A']
386	GO:BP	GO:0051247	positive regulation of protein metabolic process	2.6737016787171794e-09	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1399	101	30	17376	0.297029702970297	0.0214438884917798	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['REST', 'AKT1', 'MDM2', 'STAT3', 'PPARG', 'NR1H2', 'CTNNB1', 'NR1H3', 'CDKN1A', 'SUMO1', 'DAXX', 'SMARCB1', 'SMAD4', 'MECP2', 'CCND2', 'SUMO2', 'HDAC3', 'SNW1', 'SP1', 'FOXO1', 'PDE8A', 'CCND3', 'CDKN1B', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'HIPK2', 'CCND1']
387	GO:CC	GO:1902554	serine/threonine protein kinase complex	2.766608017979432e-09	True	"""A protein complex which is capable of protein serine/threonine kinase activity."" [GOC:bhm, GOC:TermGenie, PMID:18191223]"	130	101	11	17376	0.1089108910891089	0.0846153846153846	query_1	['GO:1902911']	['CDK7', 'RB1', 'CDKN1A', 'CCND2', 'SNW1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1', 'CCNC']
388	GO:BP	GO:0035556	intracellular signal transduction	2.856335545390217e-09	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2546	101	41	17376	0.4059405940594059	0.0161036920659858	query_1	['GO:0007165']	['SMAD1', 'UBE2I', 'AKT1', 'MDM2', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'CDKN1A', 'AR', 'E2F2', 'WWTR1', 'SMAD2', 'DAXX', 'SMAD9', 'SMAD4', 'NOTCH1', 'USP7', 'EP300', 'E2F1', 'PRMT5', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'CDK2', 'NR1H4', 'ESR1', 'FOXO1', 'PDE8A', 'CDKN1B', 'TP53', 'SMAD3', 'PML', 'KDM1A', 'SKIL', 'HIPK2', 'CCND1']
389	GO:BP	GO:1903131	mononuclear cell differentiation	2.914380444046962e-09	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]"	467	101	18	17376	0.1782178217821782	0.038543897216274	query_1	['GO:0002521']	['CBFB', 'STAT3', 'PPARG', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'GPS2', 'SMARCC2', 'RARA', 'TP53', 'SMARCC1', 'CDK6']
390	GO:BP	GO:0042063	gliogenesis	2.993550505016849e-09	True	"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]"	299	101	15	17376	0.1485148514851485	0.0501672240802675	query_1	['GO:0022008']	['AKT1', 'STAT3', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'FOXG1', 'NOTCH1', 'MECP2', 'E2F1', 'PRMT5', 'SKI', 'TP53', 'HDAC2', 'CDK6']
391	GO:BP	GO:0044092	negative regulation of molecular function	3.0325796461921483e-09	True	"""Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	971	101	25	17376	0.2475247524752475	0.0257466529351184	query_1	['GO:0065009']	['AKT1', 'PPARG', 'TFDP1', 'RB1', 'PPARA', 'SIN3A', 'CDKN1A', 'E2F2', 'WWTR1', 'SUMO1', 'NOTCH1', 'USP7', 'E2F1', 'HDAC3', 'ESR2', 'FABP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXH1', 'CDKN1B', 'TP53', 'PML', 'HDAC2', 'KDM1A']
392	GO:BP	GO:0031667	response to nutrient levels	3.0867349862959322e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."" [GOC:mah]"	469	101	18	17376	0.1782178217821782	0.0383795309168443	query_1	['GO:0009991']	['RXRA', 'AKT1', 'PPARG', 'FOXO3', 'NR1H2', 'PPARA', 'RXRB', 'CDKN1A', 'SNW1', 'SP1', 'NR1H4', 'FOXO1', 'RARA', 'TBL1XR1', 'TP53', 'NCOA1', 'CCND1', 'VDR']
393	GO:BP	GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3.158522625701632e-09	True	"""Any process that decreases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."" [GOC:dph, GOC:tb]"	128	101	11	17376	0.1089108910891089	0.0859375	query_1	['GO:0007178', 'GO:0009968', 'GO:0090092']	['SMURF2', 'PPARG', 'HDAC1', 'PPARA', 'SIN3A', 'NOTCH1', 'SKI', 'TP53', 'HDAC2', 'SKIL', 'HIPK2']
394	REAC	REAC:R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	3.4411366071273163e-09	True	Regulation of cholesterol biosynthesis by SREBP (SREBF)	52	101	8	17376	0.0792079207920792	0.1538461538461538	query_1	['REAC:R-HSA-8957322']	['RXRA', 'CREBBP', 'NCOA2', 'PPARA', 'TBL1X', 'SP1', 'TBL1XR1', 'NCOA1']
395	GO:BP	GO:2000036	regulation of stem cell population maintenance	3.4614968122992194e-09	True	"""Any process that modulates the frequency, rate or extent of stem cell population maintenance."" [GOC:obol]"	69	101	9	17376	0.0891089108910891	0.1304347826086956	query_1	['GO:0019827', 'GO:0050793', 'GO:0051239']	['REST', 'NCOA3', 'HDAC1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'HDAC2', 'SMARCC1']
396	GO:CC	GO:0071144	heteromeric SMAD protein complex	3.6722912876140286e-09	True	"""A protein complex composed of SMAD family proteins, a transcription factor complex which binds to the promoters of target genes and recruits co-activators and histone acetyltransferases, facilitating transcription. Phosphorylation of the non-SMAD4 subunit(s) enables binding of SMAD4 to form heteromeric complexes that enter the nucleus to initiate gene transcription. DNA-binding specificity is conferred by other transcription factors binding to SMAD complexes. Interactions with coactivators or corepressors modulate their transcriptional activity. Can be heterotrimeric or heterodimeric."" [GOC:bhm, GOC:mah, PMID:11779505, PMID:15350224, PMID:16322555, PMID:9389648, PMID:9670020]"	8	101	5	17376	0.0495049504950495	0.625	query_1	['GO:0071141', 'GO:0090575']	['SMAD1', 'SMAD2', 'SMAD9', 'SMAD4', 'SMAD3']
397	GO:BP	GO:0030098	lymphocyte differentiation	4.243517433225571e-09	True	"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]"	418	101	17	17376	0.1683168316831683	0.0406698564593301	query_1	['GO:0046649', 'GO:1903131']	['CBFB', 'STAT3', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'GPS2', 'SMARCC2', 'RARA', 'TP53', 'SMARCC1', 'CDK6']
398	GO:BP	GO:0035239	tube morphogenesis	4.409679094670684e-09	True	"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]"	830	101	23	17376	0.2277227722772277	0.0277108433734939	query_1	['GO:0009653', 'GO:0035295']	['SMAD1', 'AKT1', 'STAT3', 'PPARG', 'CTNNB1', 'AR', 'E2F2', 'SMAD2', 'SMAD4', 'NOTCH1', 'RUNX1', 'RBPJ', 'MECP2', 'NOTCH2', 'SKI', 'SP1', 'ESR1', 'RARA', 'FOXH1', 'SMAD3', 'PML', 'HIPK2', 'VDR']
399	GO:BP	GO:0050767	regulation of neurogenesis	4.435801037775875e-09	True	"""Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."" [GOC:ai]"	362	101	16	17376	0.1584158415841584	0.0441988950276243	query_1	['GO:0022008', 'GO:0051960', 'GO:0060284']	['REST', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'FOXG1', 'NOTCH1', 'MECP2', 'E2F1', 'PRMT5', 'SKI', 'SNW1', 'TP53', 'HDAC2', 'KDM1A', 'SKIL']
400	GO:BP	GO:0043433	negative regulation of DNA-binding transcription factor activity	4.4490704280314444e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription."" [GOC:jl]"	170	101	12	17376	0.1188118811881188	0.0705882352941176	query_1	['GO:0044092', 'GO:0051090']	['TFDP1', 'RB1', 'E2F2', 'SUMO1', 'USP7', 'E2F1', 'HDAC3', 'NR1H4', 'ESR1', 'FOXH1', 'HDAC2', 'KDM1A']
401	GO:BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	5.109413926762686e-09	True	"""Any process that activates or increases the frequency, rate or extent of activity of a transcription factor, any factor involved in the initiation or regulation of transcription."" [GOC:ai]"	261	101	14	17376	0.1386138613861386	0.053639846743295	query_1	['GO:0044093', 'GO:0051090']	['AKT1', 'STAT3', 'PPARG', 'TFDP1', 'CTNNB1', 'SMARCA4', 'AR', 'SMARCB1', 'EP300', 'ESR2', 'ESR1', 'SMAD3', 'KDM1A', 'HIPK2']
402	GO:BP	GO:0043066	negative regulation of apoptotic process	5.11956518337394e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	837	101	23	17376	0.2277227722772277	0.027479091995221	query_1	['GO:0006915', 'GO:0042981', 'GO:0043069']	['AKT1', 'MDM2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SIN3A', 'AR', 'NOTCH1', 'MECP2', 'CCND2', 'NOTCH2', 'HDAC3', 'FABP1', 'NR1H4', 'FOXO1', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'HIPK2', 'CCND1']
403	GO:BP	GO:0018205	peptidyl-lysine modification	5.557680871576961e-09	True	"""The modification of peptidyl-lysine."" [GOC:go_curators]"	368	101	16	17376	0.1584158415841584	0.0434782608695652	query_1	['GO:0018193']	['UBE2I', 'CREBBP', 'MDM2', 'HDAC10', 'CTNNB1', 'SUMO1', 'SMARCB1', 'SMAD4', 'EP300', 'MECP2', 'SUMO2', 'SNW1', 'KAT2B', 'PML', 'HDAC2', 'KDM1A']
