Autosomal recessive cerebellar ataxia due to STUB1 deficiency	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
12	REAC	REAC:R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	2.565884333293416e-11	True	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	55	99	10	17376	0.101010101010101	0.1818181818181818	query_1	['REAC:R-HSA-2262752']	['STIP1', 'HSPA1A', 'HSP90AB1', 'DNAJA2', 'FKBP5', 'DNAJA4', 'HSP90AA1', 'DNAJA1', 'HSPA8', 'PTGES3']
13	REAC	REAC:R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	5.8165314385463116e-11	True	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	41	99	9	17376	0.0909090909090909	0.2195121951219512	query_1	['REAC:R-HSA-422356']	['AKAP5', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'KCNB1', 'PRKACG', 'PRKAR2A', 'PRKACA']
14	GO:BP	GO:0009408	response to heat	6.762124804301253e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]"	104	99	13	17376	0.1313131313131313	0.125	query_1	['GO:0006950', 'GO:0009266']	['SCARA5', 'HSPA1A', 'HSP90AB1', 'STUB1', 'DNAJA2', 'DNAJA4', 'HSP90AA1', 'CHORDC1', 'PRKACA', 'DNAJA1', 'DNAJC7', 'BAG3', 'PDCD6']
15	REAC	REAC:R-HSA-5576890	Phase 3 - rapid repolarisation	9.982934498923655e-11	True	Phase 3 - rapid repolarisation	9	99	6	17376	0.0606060606060606	0.6666666666666666	query_1	['REAC:R-HSA-5576891']	['KCNE5', 'KCNH2', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
16	REAC	REAC:R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	1.0480085263628769e-10	True	Signaling by ERBB2 TMD/JMD mutants	17	99	7	17376	0.0707070707070707	0.4117647058823529	query_1	['REAC:R-HSA-1227990']	['SHC1', 'SOS1', 'EGFR', 'HSP90AA1', 'PLCG1', 'ERBB2', 'CDC37']
17	REAC	REAC:R-HSA-164378	PKA activation in glucagon signalling	1.0480085263628769e-10	True	PKA activation in glucagon signalling	17	99	7	17376	0.0707070707070707	0.4117647058823529	query_1	['REAC:R-HSA-163359']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
18	REAC	REAC:R-HSA-163615	PKA activation	1.6065663392736607e-10	True	PKA activation	18	99	7	17376	0.0707070707070707	0.3888888888888889	query_1	['REAC:R-HSA-111931']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
19	REAC	REAC:R-HSA-111931	PKA-mediated phosphorylation of CREB	3.661846650235571e-10	True	PKA-mediated phosphorylation of CREB	20	99	7	17376	0.0707070707070707	0.35	query_1	['REAC:R-HSA-111933']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
20	GO:CC	GO:0005952	cAMP-dependent protein kinase complex	4.6303454449790244e-10	True	"""An enzyme complex, composed of regulatory and catalytic subunits, that catalyzes protein phosphorylation. Inactive forms of the enzyme have two regulatory chains and two catalytic chains; activation by cAMP produces two active catalytic monomers and a regulatory dimer."" [PMID:18178622]"	9	99	6	17376	0.0606060606060606	0.6666666666666666	query_1	['GO:0140535', 'GO:1902554']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKAR2A', 'PRKACA']
21	REAC	REAC:R-HSA-422475	Axon guidance	6.599912468043524e-10	True	Axon guidance	540	99	20	17376	0.202020202020202	0.037037037037037	query_1	['REAC:R-HSA-9675108']	['AKAP5', 'PIK3R1', 'HSP90AB1', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PRKACB', 'GFRA3', 'EGFR', 'PRKACG', 'PRKAR2A', 'HSP90AA1', 'PLCG1', 'ERBB2', 'PRKACA', 'GAB2', 'SHC3', 'HSPA8', 'ARTN']
22	GO:BP	GO:0006457	protein folding	9.207590202475997e-10	True	"""The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."" [GOC:go_curators, GOC:rb]"	205	99	15	17376	0.1515151515151515	0.073170731707317	query_1	['GO:0009987']	['STIP1', 'HSPA1A', 'HSP90AB1', 'HSPH1', 'DNAJA2', 'FKBP5', 'DNAJA4', 'HSP90AA1', 'CHORDC1', 'DNAJA1', 'HSPA8', 'PTGES3', 'DNAJC7', 'BAG3', 'CDC37']
23	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.1562877332571078e-09	True	Signaling by Receptor Tyrosine Kinases	495	99	19	17376	0.1919191919191919	0.0383838383838383	query_1	['REAC:R-HSA-162582']	['PIK3R1', 'SHC1', 'STUB1', 'SOS1', 'GAB1', 'PRKACB', 'EGFR', 'PRKACG', 'HSP90AA1', 'PLCG1', 'USP8', 'ERBB2', 'ESR1', 'PRKACA', 'GAB2', 'SHC3', 'CBL', 'GRAP2', 'CDC37']
24	REAC	REAC:R-HSA-9675108	Nervous system development	1.3004043783576381e-09	True	Nervous system development	564	99	20	17376	0.202020202020202	0.0354609929078014	query_1	['REAC:R-HSA-1266738']	['AKAP5', 'PIK3R1', 'HSP90AB1', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PRKACB', 'GFRA3', 'EGFR', 'PRKACG', 'PRKAR2A', 'HSP90AA1', 'PLCG1', 'ERBB2', 'PRKACA', 'GAB2', 'SHC3', 'HSPA8', 'ARTN']
25	REAC	REAC:R-HSA-180024	DARPP-32 events	1.3130327469832475e-09	True	DARPP-32 events	24	99	7	17376	0.0707070707070707	0.2916666666666667	query_1	['REAC:R-HSA-111885']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
26	REAC	REAC:R-HSA-1489509	DAG and IP3 signaling	1.377690508020422e-09	True	DAG and IP3 signaling	40	99	8	17376	0.0808080808080808	0.2	query_1	['REAC:R-HSA-9006925']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PLCG1', 'PRKACA']
27	REAC	REAC:R-HSA-9006925	Intracellular signaling by second messengers	2.0143857508525635e-09	True	Intracellular signaling by second messengers	288	99	15	17376	0.1515151515151515	0.0520833333333333	query_1	['REAC:R-HSA-162582']	['PIK3R1', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'STUB1', 'GAB1', 'PRKACB', 'EGFR', 'PRKACG', 'PRKAR2A', 'PLCG1', 'ERBB2', 'ESR1', 'PRKACA', 'GAB2']
28	GO:BP	GO:0034605	cellular response to heat	2.1503412071774224e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:mah]"	63	99	10	17376	0.101010101010101	0.1587301587301587	query_1	['GO:0009408', 'GO:0033554']	['SCARA5', 'HSPA1A', 'HSP90AB1', 'STUB1', 'HSP90AA1', 'CHORDC1', 'PRKACA', 'DNAJC7', 'BAG3', 'PDCD6']
29	REAC	REAC:R-HSA-9664323	FCGR3A-mediated IL10 synthesis	2.3566742652332924e-09	True	FCGR3A-mediated IL10 synthesis	43	99	8	17376	0.0808080808080808	0.1860465116279069	query_1	['REAC:R-HSA-9662851']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PLCG1', 'PRKACA']
30	REAC	REAC:R-HSA-9010642	ROBO receptors bind AKAP5	6.6240440296295205e-09	True	ROBO receptors bind AKAP5	8	99	5	17376	0.0505050505050505	0.625	query_1	['REAC:R-HSA-376176']	['AKAP5', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
31	GO:CC	GO:0101031	protein folding chaperone complex	8.654827165145251e-09	True	"""A protein complex required for the non-covalent folding or unfolding, maturation, stabilization or assembly or disassembly of macromolecular structures. Usually active during or immediately after completion of translation. Many chaperone complexes contain heat shock proteins."" [GOC:bhm, PMID:21855797]"	41	99	8	17376	0.0808080808080808	0.1951219512195122	query_1	['GO:0140535']	['STIP1', 'HSP90AB1', 'STUB1', 'HSPB8', 'HSPA8', 'PTGES3', 'BAG3', 'CDC37']
32	REAC	REAC:R-HSA-422356	Regulation of insulin secretion	9.669159098124896e-09	True	Regulation of insulin secretion	76	99	9	17376	0.0909090909090909	0.1184210526315789	query_1	['REAC:R-HSA-163685']	['AKAP5', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'KCNB1', 'PRKACG', 'PRKAR2A', 'PRKACA']
33	GO:BP	GO:0009266	response to temperature stimulus	1.0117967793670516e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."" [GOC:hb]"	170	99	13	17376	0.1313131313131313	0.0764705882352941	query_1	['GO:0009628']	['SCARA5', 'HSPA1A', 'HSP90AB1', 'STUB1', 'DNAJA2', 'DNAJA4', 'HSP90AA1', 'CHORDC1', 'PRKACA', 'DNAJA1', 'DNAJC7', 'BAG3', 'PDCD6']
34	GO:CC	GO:0097546	ciliary base	1.1872988294456721e-08	True	"""Area of the cilium (also called flagellum) where the basal body and the axoneme are anchored to the plasma membrane. The ciliary base encompasses the distal part of the basal body, transition fibers and transition zone and is structurally and functionally very distinct from the rest of the cilium. In this area proteins are sorted and filtered before entering the cilium, and many ciliary proteins localize specifically to this area."" [GOC:cilia, GOC:krc, PMID:22653444]"	44	99	8	17376	0.0808080808080808	0.1818181818181818	query_1	['GO:0005929', 'GO:0110165']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'KCNQ1', 'PRKACA']
35	REAC	REAC:R-HSA-163359	Glucagon signaling in metabolic regulation	1.2212967295331354e-08	True	Glucagon signaling in metabolic regulation	33	99	7	17376	0.0707070707070707	0.2121212121212121	query_1	['REAC:R-HSA-163685']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
36	REAC	REAC:R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	1.3302053868828125e-08	True	Constitutive Signaling by Overexpressed ERBB2	9	99	5	17376	0.0505050505050505	0.5555555555555556	query_1	['REAC:R-HSA-1227990']	['SHC1', 'SOS1', 'HSP90AA1', 'ERBB2', 'CDC37']
37	REAC	REAC:R-HSA-111933	Calmodulin induced events	1.3826632811719722e-08	True	Calmodulin induced events	34	99	7	17376	0.0707070707070707	0.2058823529411764	query_1	['REAC:R-HSA-111997']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
38	REAC	REAC:R-HSA-111997	CaM pathway	1.3826632811719722e-08	True	CaM pathway	34	99	7	17376	0.0707070707070707	0.2058823529411764	query_1	['REAC:R-HSA-111996', 'REAC:R-HSA-1489509']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
39	REAC	REAC:R-HSA-111996	Ca-dependent events	2.05925581638641e-08	True	Ca-dependent events	36	99	7	17376	0.0707070707070707	0.1944444444444444	query_1	['REAC:R-HSA-112043']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
40	REAC	REAC:R-HSA-3371556	Cellular response to heat stress	2.7054112037220508e-08	True	Cellular response to heat stress	87	99	9	17376	0.0909090909090909	0.1034482758620689	query_1	['REAC:R-HSA-2262752']	['HSPA1A', 'HSP90AB1', 'HSPH1', 'HSPB8', 'HSP90AA1', 'HSPA8', 'PTGES3', 'DNAJC7', 'BAG3']
41	GO:BP	GO:0038127	ERBB signaling pathway	5.543294866819635e-08	True	"""The series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptor tyrosine kinases on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:jc, PMID:16460914, Wikipedia:ErbB]"	122	99	11	17376	0.1111111111111111	0.0901639344262295	query_1	['GO:0007169']	['SHC1', 'STUB1', 'SOS1', 'GAB1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'SHC3', 'GAREM1', 'CBL']
42	REAC	REAC:R-HSA-3371571	HSF1-dependent transactivation	6.147653417434154e-08	True	HSF1-dependent transactivation	24	99	6	17376	0.0606060606060606	0.25	query_1	['REAC:R-HSA-3371556']	['HSPA1A', 'HSP90AB1', 'HSPB8', 'HSP90AA1', 'HSPA8', 'PTGES3']
43	REAC	REAC:R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	7.035512867200118e-08	True	Vasopressin regulates renal water homeostasis via Aquaporins	43	99	7	17376	0.0707070707070707	0.1627906976744186	query_1	['REAC:R-HSA-445717']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
44	REAC	REAC:R-HSA-9634597	GPER1 signaling	8.096484887538943e-08	True	GPER1 signaling	44	99	7	17376	0.0707070707070707	0.1590909090909091	query_1	['REAC:R-HSA-418555']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
45	GO:BP	GO:0051338	regulation of transferase activity	8.712680520508456e-08	True	"""Any process that modulates the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [GOC:ai]"	829	99	23	17376	0.2323232323232323	0.0277442702050663	query_1	['GO:0050790']	['UBE2I', 'DDR2', 'LRRK2', 'PIK3R1', 'HSP90AB1', 'CDK5RAP2', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'RET', 'SHC1', 'STUB1', 'SOS1', 'EGFR', 'PRKAR2A', 'HSP90AA1', 'CHORDC1', 'ERBB2', 'DNAJA1', 'PTGES3', 'CBL', 'UBE2N', 'CDC37']
46	REAC	REAC:R-HSA-8863795	Downregulation of ERBB2 signaling	9.574684776194181e-08	True	Downregulation of ERBB2 signaling	26	99	6	17376	0.0606060606060606	0.2307692307692307	query_1	['REAC:R-HSA-1227986']	['STUB1', 'EGFR', 'HSP90AA1', 'USP8', 'ERBB2', 'CDC37']
47	REAC	REAC:R-HSA-163685	Integration of energy metabolism	1.265355944628561e-07	True	Integration of energy metabolism	105	99	9	17376	0.0909090909090909	0.0857142857142857	query_1	['REAC:R-HSA-1430728']	['AKAP5', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'KCNB1', 'PRKACG', 'PRKAR2A', 'PRKACA']
48	REAC	REAC:R-HSA-177929	Signaling by EGFR	1.3743391961474092e-07	True	Signaling by EGFR	48	99	7	17376	0.0707070707070707	0.1458333333333333	query_1	['REAC:R-HSA-9006934']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'PLCG1', 'CBL']
49	REAC	REAC:R-HSA-112043	PLC beta mediated events	1.3743391961474092e-07	True	PLC beta mediated events	48	99	7	17376	0.0707070707070707	0.1458333333333333	query_1	['REAC:R-HSA-112040']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
50	GO:BP	GO:0097623	potassium ion export across plasma membrane	1.4112846597766037e-07	True	"""The directed movement of potassium ions from inside of a cell, across the plasma membrane and into the extracellular region."" [GOC:vw, PMID:11932440]"	17	99	6	17376	0.0606060606060606	0.3529411764705882	query_1	['GO:0071805', 'GO:0140115']	['KCNE5', 'KCNH2', 'KCNB1', 'KCNE2', 'KCNQ1', 'KCNE1']
51	REAC	REAC:R-HSA-3371568	Attenuation phase	1.4615607522252284e-07	True	Attenuation phase	14	99	5	17376	0.0505050505050505	0.3571428571428571	query_1	['REAC:R-HSA-3371571']	['HSPA1A', 'HSP90AB1', 'HSP90AA1', 'HSPA8', 'PTGES3']
52	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	1.468249346843894e-07	True	Diseases of signal transduction by growth factor receptors and second messengers	410	99	15	17376	0.1515151515151515	0.0365853658536585	query_1	['REAC:R-HSA-1643685']	['PIK3R1', 'PRKAR1A', 'SHC1', 'SOS1', 'GAB1', 'GRB2', 'EGFR', 'HSP90AA1', 'PLCG1', 'AKAP9', 'ERBB2', 'ESR1', 'GAB2', 'CBL', 'CDC37']
53	GO:BP	GO:0007173	epidermal growth factor receptor signaling pathway	1.9797219362174818e-07	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	108	99	10	17376	0.101010101010101	0.0925925925925925	query_1	['GO:0038127']	['SHC1', 'SOS1', 'GAB1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'SHC3', 'GAREM1', 'CBL']
54	REAC	REAC:R-HSA-445717	Aquaporin-mediated transport	1.9824625736543478e-07	True	Aquaporin-mediated transport	51	99	7	17376	0.0707070707070707	0.1372549019607843	query_1	['REAC:R-HSA-382551']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
55	REAC	REAC:R-HSA-5576893	Phase 2 - plateau phase	2.0336578634658665e-07	True	Phase 2 - plateau phase	15	99	5	17376	0.0505050505050505	0.3333333333333333	query_1	['REAC:R-HSA-5576891']	['KCNE5', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
56	GO:BP	GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	2.3843965897560825e-07	True	"""Any process that modulates the establishment or extent of a membrane potential in the polarizing direction towards the resting potential in a ventricular cardiomyocyte."" [GOC:BHF, GOC:dph, GOC:mtg_cardiac_conduct_nov11, GOC:tb]"	19	99	6	17376	0.0606060606060606	0.3157894736842105	query_1	['GO:0099623', 'GO:0099625']	['KCNE5', 'KCNH2', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
57	REAC	REAC:R-HSA-112040	G-protein mediated events	2.498844300781516e-07	True	G-protein mediated events	53	99	7	17376	0.0707070707070707	0.1320754716981132	query_1	['REAC:R-HSA-111885']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
58	GO:BP	GO:0050896	response to stimulus	3.59583376776266e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7974	99	75	17376	0.7575757575757576	0.009405568096313	query_1	['GO:0008150']	['SCARA5', 'UBE2I', 'STIP1', 'HSPA1A', 'DDR2', 'LRRK2', 'AKAP5', 'PIK3R1', 'HSP90AB1', 'HSPH1', 'CDK5RAP2', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'RET', 'SHC1', 'STUB1', 'DNAJA2', 'FKBP5', 'SOS1', 'GAB1', 'UBE2D3', 'PRKACB', 'UBE4B', 'AKAP11', 'ANXA11', 'KCNH2', 'ENDOG', 'KCNB1', 'GFRA3', 'GRB2', 'KCNE2', 'HSPB8', 'EGFR', 'AKAP10', 'PRKACG', 'PRKAR2A', 'DNAJA4', 'HSP90AA1', 'RADX', 'OTUB1', 'FTH1', 'GPR161', 'PLCG1', 'PUM1', 'CHORDC1', 'USP8', 'AKAP9', 'ERBB2', 'UBE2V2', 'KCNQ1', 'ESR1', 'PRKACA', 'GAB2', 'AKAP3', 'SHC3', 'GTF2IRD1', 'SIRT5', 'DNAJA1', 'TOM1L2', 'HSPA8', 'PTGES3', 'ARTN', 'UBL7', 'DNAJC7', 'GAREM1', 'BAG3', 'CBL', 'KCNE1', 'PDCD6', 'CCDC117', 'UBE2N', 'AKAP1', 'GRAP2', 'CDC37']
