Transaldolase deficiency	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	GO:CC	GO:0005967	mitochondrial pyruvate dehydrogenase complex	5.449354111697724e-17	True	"""Complex that carries out the oxidative decarboxylation of pyruvate to form acetyl-CoA in eukaryotes; includes subunits possessing three catalytic activities: pyruvate dehydrogenase (E1), dihydrolipoamide S-acetyltransferase (E2), and dihydrolipoamide dehydrogenase (E3). The This Eukaryotic form usually contains more subunits than its bacterial counterpart; for example, one known complex contains 30 E1 dimers, 60 E2 monomers, and 6 E3 dimers as well as a few copies of pyruvate dehydrogenase kinase and pyruvate dehydrogenase phosphatase."" [GOC:mtg_sensu, ISBN:0471331309, ISBN:0716720094]"	8	97	8	16420	0.0824742268041237	1.0	query_1	['GO:0005759', 'GO:0045254', 'GO:0098798']	['DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK1', 'DLD', 'PDK2']
6	GO:CC	GO:0070013	intracellular organelle lumen	8.525870099394883e-17	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5424	97	74	16420	0.7628865979381443	0.0136430678466076	query_1	['GO:0043229', 'GO:0043233']	['PPIF', 'RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'BRCA2', 'SIL1', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'HDAC6', 'ISCU', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'DLD', 'PDK2', 'MBD1', 'TRIM28', 'BARD1', 'MICU2', 'PMPCB', 'OGDH', 'PHB1', 'STAT5B', 'BCKDHA']
7	GO:CC	GO:0031974	membrane-enclosed lumen	8.525870099394883e-17	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5424	97	74	16420	0.7628865979381443	0.0136430678466076	query_1	['GO:0110165']	['PPIF', 'RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'BRCA2', 'SIL1', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'HDAC6', 'ISCU', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'DLD', 'PDK2', 'MBD1', 'TRIM28', 'BARD1', 'MICU2', 'PMPCB', 'OGDH', 'PHB1', 'STAT5B', 'BCKDHA']
8	GO:CC	GO:0043233	organelle lumen	8.525870099394883e-17	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5424	97	74	16420	0.7628865979381443	0.0136430678466076	query_1	['GO:0031974', 'GO:0043226']	['PPIF', 'RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'BRCA2', 'SIL1', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'HDAC6', 'ISCU', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'DLD', 'PDK2', 'MBD1', 'TRIM28', 'BARD1', 'MICU2', 'PMPCB', 'OGDH', 'PHB1', 'STAT5B', 'BCKDHA']
9	GO:CC	GO:0032991	protein-containing complex	1.669110217158785e-16	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	5491	97	74	16420	0.7628865979381443	0.0134765980695683	query_1	['GO:0005575']	['PPIF', 'RBBP8', 'SNX6', 'UBE2I', 'GCSH', 'SPG7', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'H2AX', 'UFL1', 'PMPCA', 'PHB2', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'FLYWCH1', 'BLM', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'GJA10', 'PHB1', 'STAT5B', 'BCKDHA']
4	REAC	REAC:R-HSA-204174	Regulation of pyruvate dehydrogenase (PDH) complex	4.8586645084836655e-16	True	Regulation of pyruvate dehydrogenase (PDH) complex	16	83	10	10022	0.1204819277108433	0.625	query_1	['REAC:R-HSA-70268']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
10	GO:CC	GO:0098800	inner mitochondrial membrane protein complex	8.170900324777764e-16	True	"""Any protein complex that is part of the inner mitochondrial membrane."" [GOC:dos]"	155	97	17	16420	0.1752577319587628	0.1096774193548387	query_1	['GO:0005743', 'GO:0098796', 'GO:0098798']	['PPIF', 'SPG7', 'HSPA9', 'MCUB', 'PHB2', 'SDHD', 'MCU', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'PHB1']
1	GO:BP	GO:0006085	acetyl-CoA biosynthetic process	8.901062375541897e-16	True	"""The chemical reactions and pathways resulting in the formation of acetyl-CoA, a derivative of coenzyme A in which the sulfhydryl group is acetylated."" [GOC:go_curators]"	17	95	10	15719	0.1052631578947368	0.5882352941176471	query_1	['GO:0006084', 'GO:0071616']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
5	REAC	REAC:R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport	6.297208395247974e-15	True	The citric acid (TCA) cycle and respiratory electron transport	172	83	19	10022	0.2289156626506024	0.1104651162790697	query_1	['REAC:R-HSA-1430728']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'VDAC1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'OGDH']
6	REAC	REAC:R-HSA-70268	Pyruvate metabolism	1.5841798684774022e-14	True	Pyruvate metabolism	30	83	11	10022	0.1325301204819277	0.3666666666666666	query_1	['REAC:R-HSA-71406']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'VDAC1', 'PDK1', 'DLD', 'PDK2']
2	GO:BP	GO:0006084	acetyl-CoA metabolic process	1.9887598650995182e-14	True	"""The chemical reactions and pathways involving acetyl-CoA, a derivative of coenzyme A in which the sulfhydryl group is acetylated; it is a metabolite derived from several pathways (e.g. glycolysis, fatty acid oxidation, amino-acid catabolism) and is further metabolized by the tricarboxylic acid cycle. It is a key intermediate in lipid and terpenoid biosynthesis."" [ISBN:0198547684]"	32	95	11	15719	0.1157894736842105	0.34375	query_1	['GO:0006637']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
3	GO:BP	GO:0006851	mitochondrial calcium ion transmembrane transport	4.7820849538370826e-14	True	"""The process in which a calcium ion (Ca2+) is transported across a mitochondrial membrane, into or out of the mitochondrion."" [GOC:ai]"	16	95	9	15719	0.0947368421052631	0.5625	query_1	['GO:0070588']	['MAIP1', 'MCUB', 'MCU', 'VDAC1', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2', 'PMPCB']
4	GO:BP	GO:0036444	calcium import into the mitochondrion	1.0163329226094281e-13	True	"""A process in which a calcium ion (Ca2+) is transported from the cytosol into the mitochondrial matrix."" [GOC:vw]"	11	95	8	15719	0.0842105263157894	0.7272727272727273	query_1	['GO:0006851']	['MAIP1', 'MCUB', 'MCU', 'VDAC1', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2']
11	GO:CC	GO:1902494	catalytic complex	4.81422559039346e-13	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1723	97	39	16420	0.4020618556701031	0.0226349390597794	query_1	['GO:0032991']	['PPIF', 'UBE2I', 'GCSH', 'SPG7', 'LYRM4', 'DLST', 'TP53BP1', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'SDHD', 'DBT', 'BRCA2', 'BCKDK', 'BCKDHB', 'PDHA1', 'BLM', 'RAD51', 'AFG3L2', 'HDAC6', 'GPD1', 'PDK1', 'SDHB', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'BARD1', 'PMPCB', 'OGDH', 'BCKDHA']
12	GO:CC	GO:0045240	dihydrolipoyl dehydrogenase complex	5.425171376777549e-13	True	"""A protein complex that possesses alpha-ketoglutarate dehydrogenase activity."" [GOC:mah]"	10	97	7	16420	0.0721649484536082	0.7	query_1	['GO:0045239', 'GO:1990204']	['DLST', 'DBT', 'BCKDK', 'BCKDHB', 'DLD', 'OGDH', 'BCKDHA']
13	GO:CC	GO:0005743	mitochondrial inner membrane	5.77797457019299e-13	True	"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]"	466	97	22	16420	0.2268041237113402	0.0472103004291845	query_1	['GO:0019866', 'GO:0031966']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'PMPCB', 'PHB1']
5	GO:BP	GO:0006099	tricarboxylic acid cycle	6.314974880945352e-13	True	"""A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."" [ISBN:0198506732]"	31	95	10	15719	0.1052631578947368	0.3225806451612903	query_1	['GO:0009060', 'GO:0044238']	['DLST', 'DLAT', 'PDHA2', 'PDHB', 'SDHD', 'PDHA1', 'SDHB', 'SDHA', 'SDHC', 'OGDH']
14	GO:CC	GO:0031966	mitochondrial membrane	6.380212281328056e-13	True	"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]"	709	97	26	16420	0.268041237113402	0.0366713681241184	query_1	['GO:0005740', 'GO:0031090']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'VDAC1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'PHB1']
15	GO:CC	GO:0070533	BRCA1-C complex	6.721942525940136e-13	True	"""A protein complex that contains the BRCA1-BARD1 heterodimer, CtIP and Mre11/Rad50/NBS1 (M/R/N) complex, and binds to DNA at DNA damage sites. BRCA1-C binding ta damaged DNA is required for DNA damage-induced Chk1 phosphorylation and the G2/M transition checkpoint."" [GOC:mah, PMID:15485915, PMID:16391231]"	6	97	6	16420	0.0618556701030927	1.0	query_1	['GO:0140513']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
7	REAC	REAC:R-HSA-5693532	DNA Double-Strand Break Repair	1.0262708094442774e-12	True	DNA Double-Strand Break Repair	168	83	17	10022	0.2048192771084337	0.1011904761904761	query_1	['REAC:R-HSA-73894']	['RBBP8', 'UBE2I', 'NBN', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'H2AX', 'MDC1', 'BRCA2', 'SUMO1', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
6	GO:BP	GO:0009152	purine ribonucleotide biosynthetic process	1.6665100527756437e-12	True	"""The chemical reactions and pathways resulting in the formation of a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	205	95	17	15719	0.1789473684210526	0.0829268292682926	query_1	['GO:0006164', 'GO:0009150', 'GO:0009260']	['PDK4', 'ADSL', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3']
7	GO:BP	GO:0006790	sulfur compound metabolic process	2.377995957887728e-12	True	"""The chemical reactions and pathways involving the nonmetallic element sulfur or compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."" [GOC:ai]"	290	95	19	15719	0.2	0.0655172413793103	query_1	['GO:0044237']	['PDK4', 'LYRM4', 'DLST', 'HSPA9', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'ISCU', 'PDK1', 'NFS1', 'NDUFAB1', 'STAT5A', 'DLD', 'PDK2', 'OGDH', 'STAT5B']
16	GO:CC	GO:0005740	mitochondrial envelope	2.432372357224326e-12	True	"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]"	755	97	26	16420	0.268041237113402	0.0344370860927152	query_1	['GO:0005739', 'GO:0031967']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'VDAC1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'PHB1']
8	GO:BP	GO:0006163	purine nucleotide metabolic process	3.509380338326697e-12	True	"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	442	95	22	15719	0.231578947368421	0.0497737556561085	query_1	['GO:0009117', 'GO:0072521']	['PDK4', 'ADSL', 'DLST', 'TALDO1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'GPD1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MFN1', 'OGDH']
9	GO:BP	GO:0009260	ribonucleotide biosynthetic process	3.509380338326697e-12	True	"""The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	219	95	17	15719	0.1789473684210526	0.0776255707762557	query_1	['GO:0009165', 'GO:0009259', 'GO:0046390']	['PDK4', 'ADSL', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3']
10	GO:BP	GO:0009150	purine ribonucleotide metabolic process	3.792903895452339e-12	True	"""The chemical reactions and pathways involving a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	348	95	20	15719	0.2105263157894736	0.057471264367816	query_1	['GO:0006163', 'GO:0009259']	['PDK4', 'ADSL', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MFN1', 'OGDH']
11	GO:BP	GO:0009060	aerobic respiration	4.4055095154332e-12	True	"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]"	188	95	16	15719	0.1684210526315789	0.0851063829787234	query_1	['GO:0045333']	['PPIF', 'ADSL', 'DLST', 'DLAT', 'PDHA2', 'PDHB', 'SDHD', 'PDHA1', 'ISCU', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'NDUFV3', 'OGDH']
12	GO:BP	GO:0046390	ribose phosphate biosynthetic process	4.5492788522596994e-12	True	"""The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."" [GOC:ai]"	226	95	17	15719	0.1789473684210526	0.0752212389380531	query_1	['GO:0019693', 'GO:0090407', 'GO:1901137']	['PDK4', 'ADSL', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3']
8	REAC	REAC:R-HSA-9709603	Impaired BRCA2 binding to PALB2	5.053452009587248e-12	True	Impaired BRCA2 binding to PALB2	24	83	9	10022	0.108433734939759	0.375	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
9	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	5.053452009587248e-12	True	Impaired BRCA2 binding to RAD51	35	83	10	10022	0.1204819277108433	0.2857142857142857	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
17	GO:CC	GO:0019866	organelle inner membrane	5.428903321063067e-12	True	"""The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."" [GOC:mah]"	527	97	22	16420	0.2268041237113402	0.0417457305502846	query_1	['GO:0031090', 'GO:0031967']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'PMPCB', 'PHB1']
