Vascular Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
9	GO:BP	GO:0007160	cell-matrix adhesion	4.314244633115934e-36	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	220	99	34	15719	0.3434343434343434	0.1545454545454545	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'CTNNB1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'VEGFA', 'PTK2B', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ITGA2']
10	GO:BP	GO:0030335	positive regulation of cell migration	3.184224182979125e-35	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	99	43	15719	0.4343434343434343	0.0836575875486381	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
11	GO:BP	GO:0030334	regulation of cell migration	5.669266981138579e-35	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	886	99	51	15719	0.5151515151515151	0.0575620767494356	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'COL3A1', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
12	GO:BP	GO:2000147	positive regulation of cell motility	1.2804231773138681e-34	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	99	43	15719	0.4343434343434343	0.0806754221388367	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
1	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	1.4682904523354158e-34	True	Integrin cell surface interactions	83	98	28	10022	0.2857142857142857	0.3373493975903614	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGA11', 'ITGB3', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'COL1A2', 'TNC', 'JAM3', 'ITGAE', 'KDR', 'COL10A1', 'CDH1', 'COL1A1', 'VTN', 'VCAM1', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2', 'ITGA2']
13	GO:BP	GO:0040017	positive regulation of locomotion	4.217847654751252e-34	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	99	43	15719	0.4343434343434343	0.0783242258652094	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
14	GO:BP	GO:2000145	regulation of cell motility	7.657225236585502e-34	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	938	99	51	15719	0.5151515151515151	0.0543710021321961	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'COL3A1', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
15	GO:BP	GO:0040012	regulation of locomotion	6.884896526436565e-33	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	982	99	51	15719	0.5151515151515151	0.0519348268839103	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'COL3A1', 'ITGA5', 'ITGA4', 'DOCK4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
16	GO:BP	GO:0071363	cellular response to growth factor stimulus	1.0298756014523443e-32	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	99	44	15719	0.4444444444444444	0.0689655172413793	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'KDR', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
17	GO:BP	GO:0070848	response to growth factor	6.633697069472221e-32	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	99	44	15719	0.4444444444444444	0.0659670164917541	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'KDR', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
2	REAC	REAC:R-HSA-194138	Signaling by VEGF	1.1181061942002198e-31	True	Signaling by VEGF	104	98	28	10022	0.2857142857142857	0.2692307692307692	query_1	['REAC:R-HSA-9006934']	['NCK1', 'VEGFB', 'ITGAV', 'BCAR1', 'DOCK1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'FLT4', 'CTNNB1', 'PXN', 'FYN', 'SHB', 'NRP2', 'KDR', 'VAV1', 'PLCG1', 'VEGFA', 'PTK2B', 'VEGFD', 'PTK2', 'NRP1', 'ELMO1', 'NCK2', 'ELMO2', 'FLT1', 'PGF']
3	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	1.1181061942002198e-31	True	Extracellular matrix organization	284	98	38	10022	0.3877551020408163	0.1338028169014084	query_1	['REAC:0000000']	['P4HB', 'ITGB1', 'ITGA9', 'P4HA3', 'ITGB5', 'FN1', 'ITGAV', 'PDGFB', 'SPP1', 'ITGA11', 'ITGB3', 'TGFB3', 'P4HA2', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'ADAM19', 'COL1A2', 'TNC', 'JAM3', 'P4HA1', 'ITGAE', 'KDR', 'COL10A1', 'CDH1', 'COL1A1', 'ADAM12', 'VTN', 'VCAM1', 'ITGB6', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'ITGA2']
0	GO:CC	GO:0070161	anchoring junction	3.0371861614895152e-30	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	99	46	16420	0.4646464646464646	0.0538011695906432	query_1	['GO:0030054']	['P4HB', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'ITK', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'LAT', 'SH3PXD2A', 'ZAP70', 'LYN', 'GRB2', 'PDGFRB', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'VEGFA', 'PTK2B', 'TLN1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'FLT1', 'ITGA2']
18	GO:BP	GO:0030155	regulation of cell adhesion	1.1358789218593902e-29	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	99	44	15719	0.4444444444444444	0.0584329349269588	query_1	['GO:0007155', 'GO:0050794']	['P4HB', 'NCK1', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'LYN', 'SHB', 'TNC', 'JAM3', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'COL1A1', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'NCK2', 'SEMA4D', 'ITGA2', 'PLXNA1']
19	GO:BP	GO:0033627	cell adhesion mediated by integrin	5.407187053300137e-28	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	99	22	15719	0.2222222222222222	0.2588235294117647	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGA11', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'JAM3', 'ITGAE', 'SYK', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'ITGB7', 'ITGA3', 'PTPN11', 'ITGA2']
20	GO:BP	GO:0018108	peptidyl-tyrosine phosphorylation	1.8512993992699885e-27	True	"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]"	362	99	33	15719	0.3333333333333333	0.0911602209944751	query_1	['GO:0006468', 'GO:0018212']	['MET', 'VEGFB', 'PDGFB', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'PDGFRB', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'VEGFA', 'PTK2B', 'VTN', 'DOCK3', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'SEMA4D', 'FLT1']
21	GO:BP	GO:0018212	peptidyl-tyrosine modification	2.119899779941712e-27	True	"""The modification of peptidyl-tyrosine."" [GOC:go_curators]"	364	99	33	15719	0.3333333333333333	0.0906593406593406	query_1	['GO:0018193']	['MET', 'VEGFB', 'PDGFB', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'PDGFRB', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'VEGFA', 'PTK2B', 'VTN', 'DOCK3', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'SEMA4D', 'FLT1']
4	REAC	REAC:R-HSA-109582	Hemostasis	3.5009461167641706e-27	True	Hemostasis	608	98	45	10022	0.4591836734693877	0.0740131578947368	query_1	['REAC:0000000']	['ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'LAT', 'DOCK4', 'LYN', 'COL1A2', 'LCP2', 'JAM3', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'VEGFA', 'COL1A1', 'DOCK3', 'TLN1', 'VEGFD', 'L1CAM', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'JAM2', 'PTPN11', 'CALU', 'ITGA2']
