Noonan syndrome with multiple lentigines	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	2.305080284306486e-44	True	Signaling by Receptor Tyrosine Kinases	502	101	55	10790	0.5445544554455446	0.1095617529880478	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'PXN', 'FYN', 'LYN', 'BRAF', 'NRP2', 'MAP2K1', 'EGFR', 'PIK3CA', 'YWHAB', 'KDR', 'HSP90AA1', 'HRAS', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'CRKL', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
11	GO:BP	GO:0009719	response to endogenous stimulus	2.763929691261764e-44	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1720	103	67	21110	0.6504854368932039	0.038953488372093	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAMTOR3', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'LAMTOR2', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
12	GO:BP	GO:2000145	regulation of cell motility	2.623559470544942e-42	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	988	103	55	21110	0.5339805825242718	0.0556680161943319	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'MAPK3', 'TGFBR2', 'PIK3CD', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'EGFR', 'KDR', 'VCL', 'HRAS', 'PLCG1', 'RAF1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'MAP2K2', 'SMAD3', 'ADAM15', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
13	GO:BP	GO:0023052	signaling	2.6492654043008698e-42	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	6493	103	99	21110	0.9611650485436892	0.0152471892807639	query_1	['GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LAMTOR3', 'LYN', 'CNKSR1', 'GRB2', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'ITGAE', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'CRKL', 'VTN', 'LAMTOR2', 'TLN1', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
14	GO:CC	GO:0070161	anchoring junction	4.541378859063828e-42	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	902	103	52	22122	0.5048543689320388	0.0576496674057649	query_1	['GO:0030054']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'ITK', 'CTNNB1', 'MAPK3', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'LAT', 'SH3PXD2A', 'ZAP70', 'LAMTOR3', 'LYN', 'CNKSR1', 'GRB2', 'TNC', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'TLN1', 'TGFBR1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'MAP2K2', 'ITGB7', 'ADAM15', 'CBL', 'FLT1']
15	GO:BP	GO:0071495	cellular response to endogenous stimulus	6.14864640060729e-42	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]"	1469	103	62	21110	0.6019417475728155	0.0422055820285908	query_1	['GO:0009719']	['RAPGEF1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAMTOR3', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'HRAS', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'CDH1', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'LAMTOR2', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
16	GO:BP	GO:0007154	cell communication	1.3944021133990452e-41	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	6604	103	99	21110	0.9611650485436892	0.0149909145972138	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LAMTOR3', 'LYN', 'CNKSR1', 'GRB2', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'ITGAE', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'CRKL', 'VTN', 'LAMTOR2', 'TLN1', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
17	GO:BP	GO:0040012	regulation of locomotion	2.92726307704355e-41	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	1033	103	55	21110	0.5339805825242718	0.0532429816069699	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'MAPK3', 'TGFBR2', 'PIK3CD', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'EGFR', 'KDR', 'VCL', 'HRAS', 'PLCG1', 'RAF1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'MAP2K2', 'SMAD3', 'ADAM15', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
18	GO:BP	GO:0030334	regulation of cell migration	5.299886345617229e-41	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	927	103	53	21110	0.5145631067961165	0.0571736785329018	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'MAPK3', 'TGFBR2', 'PIK3CD', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'EGFR', 'KDR', 'VCL', 'HRAS', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'SMAD3', 'ADAM15', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
19	GO:BP	GO:0007155	cell adhesion	7.124596361430171e-41	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1530	103	62	21110	0.6019417475728155	0.0405228758169934	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'ITGB5', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'EGFR', 'CD44', 'PIK3CA', 'KDR', 'ITGAE', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
20	GO:BP	GO:0042325	regulation of phosphorylation	8.86256154484997e-41	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1181	103	57	21110	0.5533980582524272	0.0482641828958509	query_1	['GO:0016310', 'GO:0019220']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'MAPK3', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'BRAF', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'FCGR1A', 'RAF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'MAP2K2', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
