Transaldolase deficiency	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:CC	GO:0043233	organelle lumen	1.61827955374175e-18	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	6635	97	74	22122	0.7628865979381443	0.0111529766390354	query_1	['GO:0031974', 'GO:0043226']	['PPIF', 'RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'BRCA2', 'SIL1', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'HDAC6', 'ISCU', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'DLD', 'PDK2', 'MBD1', 'TRIM28', 'BARD1', 'MICU2', 'PMPCB', 'OGDH', 'PHB1', 'STAT5B', 'BCKDHA']
11	REAC	REAC:R-HSA-389661	Glyoxylate metabolism and glycine degradation	1.0877757921655333e-17	True	Glyoxylate metabolism and glycine degradation	31	84	13	10790	0.1547619047619047	0.4193548387096774	query_1	['REAC:R-HSA-71291']	['GCSH', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'DBT', 'BCKDHB', 'PDHA1', 'NDUFAB1', 'DLD', 'OGDH', 'BCKDHA']
12	GO:CC	GO:0005967	mitochondrial pyruvate dehydrogenase complex	2.8897554318054986e-17	True	"""Complex that carries out the oxidative decarboxylation of pyruvate to form acetyl-CoA in eukaryotes; includes subunits possessing three catalytic activities: pyruvate dehydrogenase (E1), dihydrolipoamide S-acetyltransferase (E2), and dihydrolipoamide dehydrogenase (E3). The This Eukaryotic form usually contains more subunits than its bacterial counterpart; for example, one known complex contains 30 E1 dimers, 60 E2 monomers, and 6 E3 dimers as well as a few copies of pyruvate dehydrogenase kinase and pyruvate dehydrogenase phosphatase."" [GOC:mtg_sensu, ISBN:0471331309, ISBN:0716720094]"	8	97	8	22122	0.0824742268041237	1.0	query_1	['GO:0005759', 'GO:0045254', 'GO:0098798']	['DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK1', 'DLD', 'PDK2']
13	GO:CC	GO:0045254	pyruvate dehydrogenase complex	2.8897554318054986e-17	True	"""Complex that carries out the oxidative decarboxylation of pyruvate to form acetyl-CoA; comprises subunits possessing three catalytic activities: pyruvate dehydrogenase (E1), dihydrolipoamide S-acetyltransferase (E2), and dihydrolipoamide dehydrogenase (E3)."" [ISBN:0716720094]"	8	97	8	22122	0.0824742268041237	1.0	query_1	['GO:0005737', 'GO:1990204']	['DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK1', 'DLD', 'PDK2']
14	GO:CC	GO:0098800	inner mitochondrial membrane protein complex	1.533920280864104e-16	True	"""Any protein complex that is part of the inner mitochondrial membrane."" [GOC:dos]"	163	97	17	22122	0.1752577319587628	0.1042944785276073	query_1	['GO:0005743', 'GO:0098796', 'GO:0098798']	['PPIF', 'SPG7', 'HSPA9', 'MCUB', 'PHB2', 'SDHD', 'MCU', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'PHB1']
15	GO:BP	GO:0006085	acetyl-CoA biosynthetic process	2.3606035904746783e-16	True	"""The chemical reactions and pathways resulting in the formation of acetyl-CoA, a derivative of coenzyme A in which the sulfhydryl group is acetylated."" [GOC:go_curators]"	18	96	10	21110	0.1041666666666666	0.5555555555555556	query_1	['GO:0006084', 'GO:0071616']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
16	GO:CC	GO:1902494	catalytic complex	9.84360022306661e-16	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1792	97	39	22122	0.4020618556701031	0.0217633928571428	query_1	['GO:0032991']	['PPIF', 'UBE2I', 'GCSH', 'SPG7', 'LYRM4', 'DLST', 'TP53BP1', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PMPCA', 'SDHD', 'DBT', 'BRCA2', 'BCKDK', 'BCKDHB', 'PDHA1', 'BLM', 'RAD51', 'AFG3L2', 'HDAC6', 'GPD1', 'PDK1', 'SDHB', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'BARD1', 'PMPCB', 'OGDH', 'BCKDHA']
17	REAC	REAC:R-HSA-204174	Regulation of pyruvate dehydrogenase (PDH) complex	1.462815695640896e-15	True	Regulation of pyruvate dehydrogenase (PDH) complex	16	84	10	10790	0.119047619047619	0.625	query_1	['REAC:R-HSA-70268']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
18	GO:BP	GO:0006084	acetyl-CoA metabolic process	4.040985210294569e-15	True	"""The chemical reactions and pathways involving acetyl-CoA, a derivative of coenzyme A in which the sulfhydryl group is acetylated; it is a metabolite derived from several pathways (e.g. glycolysis, fatty acid oxidation, amino-acid catabolism) and is further metabolized by the tricarboxylic acid cycle. It is a key intermediate in lipid and terpenoid biosynthesis."" [ISBN:0198547684]"	33	96	11	21110	0.1145833333333333	0.3333333333333333	query_1	['GO:0006637']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
19	KEGG	KEGG:00020	Citrate cycle (TCA cycle)	9.282564857374952e-15	True	Citrate cycle (TCA cycle)	30	63	11	8161	0.1746031746031746	0.3666666666666666	query_1	['KEGG:00000']	['DLST', 'DLAT', 'PDHA2', 'PDHB', 'SDHD', 'PDHA1', 'SDHB', 'SDHA', 'SDHC', 'DLD', 'OGDH']
20	REAC	REAC:R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport	2.41910249641518e-14	True	The citric acid (TCA) cycle and respiratory electron transport	177	84	19	10790	0.2261904761904762	0.1073446327683615	query_1	['REAC:R-HSA-1430728']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'VDAC1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'OGDH']
21	GO:CC	GO:0031966	mitochondrial membrane	5.6082530921108953e-14	True	"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]"	767	97	26	22122	0.268041237113402	0.0338983050847457	query_1	['GO:0005740', 'GO:0031090']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'VDAC1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'PHB1']
22	REAC	REAC:R-HSA-70268	Pyruvate metabolism	6.318244910597398e-14	True	Pyruvate metabolism	30	84	11	10790	0.1309523809523809	0.3666666666666666	query_1	['REAC:R-HSA-71406']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'VDAC1', 'PDK1', 'DLD', 'PDK2']
23	GO:BP	GO:0006851	mitochondrial calcium ion transmembrane transport	6.337691893293834e-14	True	"""The process in which a calcium ion (Ca2+) is transported across a mitochondrial membrane, into or out of the mitochondrion."" [GOC:ai]"	18	96	9	21110	0.09375	0.5	query_1	['GO:0070588']	['MAIP1', 'MCUB', 'MCU', 'VDAC1', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2', 'PMPCB']
24	GO:CC	GO:0005743	mitochondrial inner membrane	1.3620330127991405e-13	True	"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]"	513	97	22	22122	0.2268041237113402	0.0428849902534113	query_1	['GO:0019866', 'GO:0031966']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'PMPCB', 'PHB1']
25	GO:BP	GO:0036444	calcium import into the mitochondrion	1.576311779802387e-13	True	"""A process in which a calcium ion (Ca2+) is transported from the cytosol into the mitochondrial matrix."" [GOC:vw]"	12	96	8	21110	0.0833333333333333	0.6666666666666666	query_1	['GO:0006851']	['MAIP1', 'MCUB', 'MCU', 'VDAC1', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2']
26	GO:CC	GO:0032991	protein-containing complex	1.7243540725031329e-13	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	7966	97	74	22122	0.7628865979381443	0.0092894802912377	query_1	['GO:0005575']	['PPIF', 'RBBP8', 'SNX6', 'UBE2I', 'GCSH', 'SPG7', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'H2AX', 'UFL1', 'PMPCA', 'PHB2', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'MCU', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'FLYWCH1', 'BLM', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'GJA10', 'PHB1', 'STAT5B', 'BCKDHA']
27	GO:BP	GO:1901564	organonitrogen compound metabolic process	1.8462367149356472e-13	True	"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	6441	96	69	21110	0.71875	0.0107126222636236	query_1	['GO:0006807', 'GO:0071704']	['PPIF', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'SNX1', 'ADSL', 'CDK5RAP3', 'NBN', 'OTC', 'DLST', 'RAD50', 'UBAC2', 'XRCC6', 'TALDO1', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'DDRGK1', 'UFL1', 'PMPCA', 'PHB2', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'SETDB1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'PDK3', 'BLM', 'PIAS1', 'MRE11', 'RAD51', 'AFG3L2', 'HDAC6', 'MOCS3', 'GPD1', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'STAT5A', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'BARD1', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
28	GO:CC	GO:0005740	mitochondrial envelope	2.766545101029246e-13	True	"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]"	820	97	26	22122	0.268041237113402	0.0317073170731707	query_1	['GO:0005739', 'GO:0031967']	['PPIF', 'SPG7', 'MAIP1', 'OTC', 'HSPA9', 'MCUB', 'PMPCA', 'PHB2', 'SDHD', 'MCU', 'HSPD1', 'VDAC1', 'AFG3L2', 'SDHB', 'NDUFAB1', 'SDHA', 'MICU1', 'SMDT1', 'SDHC', 'NDUFV3', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'OGDH', 'PHB1']
29	GO:BP	GO:0009152	purine ribonucleotide biosynthetic process	3.5958770245826897e-13	True	"""The chemical reactions and pathways resulting in the formation of a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	219	96	17	21110	0.1770833333333333	0.0776255707762557	query_1	['GO:0006164', 'GO:0009150', 'GO:0009260']	['PDK4', 'ADSL', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3']
30	GO:BP	GO:0006163	purine nucleotide metabolic process	3.622090351033444e-13	True	"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	469	96	22	21110	0.2291666666666666	0.0469083155650319	query_1	['GO:0009117', 'GO:0072521']	['PDK4', 'ADSL', 'DLST', 'TALDO1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'GPD1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MFN1', 'OGDH']
31	GO:BP	GO:0006082	organic acid metabolic process	5.224140048691693e-13	True	"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	979	96	29	21110	0.3020833333333333	0.0296220633299285	query_1	['GO:0044237', 'GO:0044281', 'GO:0071704']	['PDK4', 'GCSH', 'OTC', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'MCAT', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'PDK3', 'VDAC1', 'GPD1', 'PDK1', 'SDHB', 'NDUFAB1', 'BRCA1', 'SDHA', 'STAT5A', 'DLD', 'PDK2', 'ABHD6', 'PEPD', 'OGDH', 'STAT5B', 'BCKDHA']
32	GO:BP	GO:0009150	purine ribonucleotide metabolic process	6.517815068696178e-13	True	"""The chemical reactions and pathways involving a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	369	96	20	21110	0.2083333333333333	0.05420054200542	query_1	['GO:0006163', 'GO:0009259']	['PDK4', 'ADSL', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MFN1', 'OGDH']
33	GO:BP	GO:0006099	tricarboxylic acid cycle	6.665944677654962e-13	True	"""A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."" [ISBN:0198506732]"	34	96	10	21110	0.1041666666666666	0.2941176470588235	query_1	['GO:0009060', 'GO:0044238']	['DLST', 'DLAT', 'PDHA2', 'PDHB', 'SDHD', 'PDHA1', 'SDHB', 'SDHA', 'SDHC', 'OGDH']
34	GO:BP	GO:0006790	sulfur compound metabolic process	8.293309113199964e-13	True	"""The chemical reactions and pathways involving the nonmetallic element sulfur or compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."" [GOC:ai]"	322	96	19	21110	0.1979166666666666	0.0590062111801242	query_1	['GO:0044237']	['PDK4', 'LYRM4', 'DLST', 'HSPA9', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'ISCU', 'PDK1', 'NFS1', 'NDUFAB1', 'STAT5A', 'DLD', 'PDK2', 'OGDH', 'STAT5B']
35	GO:CC	GO:0045240	dihydrolipoyl dehydrogenase complex	8.43022347476298e-13	True	"""A protein complex that possesses alpha-ketoglutarate dehydrogenase activity."" [GOC:mah]"	10	97	7	22122	0.0721649484536082	0.7	query_1	['GO:0045239', 'GO:1990204']	['DLST', 'DBT', 'BCKDK', 'BCKDHB', 'DLD', 'OGDH', 'BCKDHA']
36	GO:BP	GO:0009260	ribonucleotide biosynthetic process	1.0201162758933768e-12	True	"""The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	233	96	17	21110	0.1770833333333333	0.0729613733905579	query_1	['GO:0009165', 'GO:0009259', 'GO:0046390']	['PDK4', 'ADSL', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3']
37	GO:BP	GO:0072521	purine-containing compound metabolic process	1.318329835406226e-12	True	"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]"	499	96	22	21110	0.2291666666666666	0.0440881763527054	query_1	['GO:0006725', 'GO:0034641', 'GO:0046483', 'GO:1901360', 'GO:1901564']	['PDK4', 'ADSL', 'DLST', 'TALDO1', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'GPD1', 'PDK1', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'MFN1', 'OGDH']
38	GO:BP	GO:0009060	aerobic respiration	1.3520582697834705e-12	True	"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]"	196	96	16	21110	0.1666666666666666	0.0816326530612244	query_1	['GO:0045333']	['PPIF', 'ADSL', 'DLST', 'DLAT', 'PDHA2', 'PDHB', 'SDHD', 'PDHA1', 'ISCU', 'SDHB', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'NDUFV3', 'OGDH']
