Trichothiodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
185	REAC	REAC:R-HSA-9022537	Loss of MECP2 binding ability to the NCoR/SMRT complex	4.0793795051209594e-13	True	Loss of MECP2 binding ability to the NCoR/SMRT complex	6	107	6	17376	0.0560747663551401	1.0	query_1	['REAC:R-HSA-9005891']	['TBL1X', 'NCOR2', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1']
186	REAC	REAC:R-HSA-8986944	Transcriptional Regulation by MECP2	4.333838111385192e-13	True	Transcriptional Regulation by MECP2	58	107	11	17376	0.102803738317757	0.1896551724137931	query_1	['REAC:R-HSA-212436']	['HDAC1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1', 'HDAC2', 'HIPK2']
187	REAC	REAC:R-HSA-350054	Notch-HLH transcription pathway	4.668644011025583e-13	True	Notch-HLH transcription pathway	28	107	9	17376	0.0841121495327102	0.3214285714285714	query_1	['REAC:R-HSA-212436']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
188	REAC	REAC:R-HSA-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	4.668644011025583e-13	True	RNA Polymerase III Transcription Initiation From Type 1 Promoter	28	107	9	17376	0.0841121495327102	0.3214285714285714	query_1	['REAC:R-HSA-76046']	['GTF3C3', 'GTF3C1', 'GTF3A', 'BDP1', 'GTF3C2', 'BRF1', 'GTF3C4', 'TBP', 'GTF3C5']
189	REAC	REAC:R-HSA-427413	NoRC negatively regulates rRNA expression	4.755916510816069e-13	True	NoRC negatively regulates rRNA expression	103	107	13	17376	0.1214953271028037	0.1262135922330097	query_1	['REAC:R-HSA-5250941']	['CDK7', 'HDAC1', 'GTF2H4', 'GTF2H1', 'ERCC3', 'SIN3A', 'GTF2H3', 'CCNH', 'MNAT1', 'TBP', 'GTF2H5', 'ERCC2', 'HDAC2']
190	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	5.016188438072193e-13	True	Diseases of signal transduction by growth factor receptors and second messengers	410	107	21	17376	0.1962616822429906	0.0512195121951219	query_1	['REAC:R-HSA-1643685']	['AKT1', 'CREBBP', 'FOXO3', 'CTNNB1', 'HDAC1', 'TBL1X', 'NCOR2', 'SMAD2', 'SMAD4', 'EP300', 'NCOR1', 'HDAC3', 'GTF2F1', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'TBL1XR1', 'SMAD3', 'HDAC2', 'CARS1']
191	REAC	REAC:R-HSA-1368082	RORA activates gene expression	5.206552214098828e-13	True	RORA activates gene expression	18	107	8	17376	0.0747663551401869	0.4444444444444444	query_1	['REAC:R-HSA-400253']	['RXRA', 'CREBBP', 'NCOA2', 'CARM1', 'TBL1X', 'EP300', 'TBL1XR1', 'NCOA1']
192	GO:BP	GO:0010586	miRNA metabolic process	5.633370229033504e-13	True	"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]"	93	107	13	17376	0.1214953271028037	0.1397849462365591	query_1	['GO:0034660']	['FOXO3', 'NR1H2', 'DDX5', 'SMARCA4', 'NCOR2', 'AR', 'POU2F1', 'SMAD4', 'NCOR1', 'ESR1', 'RARA', 'TP53', 'SMAD3']
193	GO:CC	GO:1902554	serine/threonine protein kinase complex	5.84219340240606e-13	True	"""A protein complex which is capable of protein serine/threonine kinase activity."" [GOC:bhm, GOC:TermGenie, PMID:18191223]"	130	107	14	17376	0.1308411214953271	0.1076923076923077	query_1	['GO:1902911']	['CCNT1', 'CDK7', 'GTF2H4', 'CCNT2', 'GTF2H1', 'ERCC3', 'CDK9', 'GTF2H3', 'CCNK', 'CCNH', 'MNAT1', 'CDK13', 'GTF2H5', 'ERCC2']
194	REAC	REAC:R-HSA-9707564	Cytoprotection by HMOX1	5.92617024083808e-13	True	Cytoprotection by HMOX1	60	107	11	17376	0.102803738317757	0.1833333333333333	query_1	['REAC:R-HSA-9711123']	['RXRA', 'CREBBP', 'NCOA2', 'CARM1', 'TBL1X', 'NCOR2', 'SIN3A', 'NCOR1', 'HDAC3', 'TBL1XR1', 'NCOA1']
195	GO:BP	GO:0019083	viral transcription	6.543943770927822e-13	True	"""The process by which a viral genome, or part of a viral genome, is transcribed within the host cell."" [GOC:jl, ISBN:0781702534]"	53	107	11	17376	0.102803738317757	0.2075471698113207	query_1	['GO:0016032', 'GO:0019080']	['CCNT1', 'HDAC1', 'SMARCA4', 'CCNT2', 'CDK9', 'SMARCB1', 'CTDP1', 'GTF2B', 'EP300', 'SP1', 'HEXIM1']
196	REAC	REAC:R-HSA-5250941	Negative epigenetic regulation of rRNA expression	6.587709377790015e-13	True	Negative epigenetic regulation of rRNA expression	106	107	13	17376	0.1214953271028037	0.1226415094339622	query_1	['REAC:R-HSA-212165']	['CDK7', 'HDAC1', 'GTF2H4', 'GTF2H1', 'ERCC3', 'SIN3A', 'GTF2H3', 'CCNH', 'MNAT1', 'TBP', 'GTF2H5', 'ERCC2', 'HDAC2']
197	REAC	REAC:R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	6.936219797708522e-13	True	Transcriptional regulation of white adipocyte differentiation	82	107	12	17376	0.1121495327102803	0.1463414634146341	query_1	['REAC:R-HSA-1266738']	['RXRA', 'NCOA3', 'CREBBP', 'NCOA2', 'CARM1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'TBL1XR1', 'NCOA1']
198	REAC	REAC:R-HSA-73854	RNA Polymerase I Promoter Clearance	7.26464204075393e-13	True	RNA Polymerase I Promoter Clearance	107	107	13	17376	0.1214953271028037	0.1214953271028037	query_1	['REAC:R-HSA-73864']	['CDK7', 'HDAC1', 'GTF2H4', 'GTF2H1', 'ERCC3', 'GTF2H3', 'CCNH', 'MNAT1', 'TBP', 'GTF2H5', 'KAT2B', 'ERCC2', 'HDAC2']
199	REAC	REAC:R-HSA-73864	RNA Polymerase I Transcription	8.110411992939406e-13	True	RNA Polymerase I Transcription	108	107	13	17376	0.1214953271028037	0.1203703703703703	query_1	['REAC:R-HSA-74160']	['CDK7', 'HDAC1', 'GTF2H4', 'GTF2H1', 'ERCC3', 'GTF2H3', 'CCNH', 'MNAT1', 'TBP', 'GTF2H5', 'KAT2B', 'ERCC2', 'HDAC2']
200	REAC	REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	8.930328542322381e-13	True	Global Genome Nucleotide Excision Repair (GG-NER)	84	107	12	17376	0.1121495327102803	0.1428571428571428	query_1	['REAC:R-HSA-5696398']	['UBE2I', 'CDK7', 'GTF2H4', 'GTF2H1', 'ERCC3', 'GTF2H3', 'SUMO1', 'CCNH', 'SUMO2', 'MNAT1', 'GTF2H5', 'ERCC2']
201	REAC	REAC:R-HSA-5696398	Nucleotide Excision Repair	8.930328542322381e-13	True	Nucleotide Excision Repair	109	107	13	17376	0.1214953271028037	0.1192660550458715	query_1	['REAC:R-HSA-73894']	['UBE2I', 'CDK7', 'GTF2H4', 'GTF2H1', 'ERCC3', 'GTF2H3', 'SUMO1', 'CCNH', 'EP300', 'SUMO2', 'MNAT1', 'GTF2H5', 'ERCC2']
202	REAC	REAC:R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	9.673937605977941e-13	True	NOTCH1 Intracellular Domain Regulates Transcription	45	107	10	17376	0.0934579439252336	0.2222222222222222	query_1	['REAC:R-HSA-1980143']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
203	GO:BP	GO:0051093	negative regulation of developmental process	1.0792818511275969e-12	True	"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	863	107	29	17376	0.2710280373831775	0.033603707995365	query_1	['GO:0032502', 'GO:0048519', 'GO:0050793']	['WDR77', 'CBFB', 'NR1H2', 'CARM1', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'SIN3A', 'NR1H3', 'CTDP1', 'SMAD4', 'RUNX1', 'MECP2', 'PRMT5', 'PRMT1', 'GPS2', 'HDAC3', 'SKI', 'CDK13', 'FOXO1', 'RARA', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'SMARCC1', 'SKIL']
204	GO:BP	GO:0007179	transforming growth factor beta receptor signaling pathway	1.3516925059971702e-12	True	"""The series of molecular signals initiated by an extracellular ligand binding to a transforming growth factor beta receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah, GOC:signaling]"	189	107	16	17376	0.1495327102803738	0.0846560846560846	query_1	['GO:0007178', 'GO:0071560']	['SMURF2', 'CREBBP', 'HDAC1', 'SIN3A', 'SMAD2', 'SMAD9', 'SMAD4', 'EP300', 'SKI', 'FOXH1', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'SKIL', 'HIPK2']
205	REAC	REAC:R-HSA-167287	HIV elongation arrest and recovery	1.563191404335964e-12	True	HIV elongation arrest and recovery	32	107	9	17376	0.0841121495327102	0.28125	query_1	['REAC:R-HSA-167172']	['CCNT1', 'SUPT4H1', 'CCNT2', 'CDK9', 'SUPT5H', 'CCNK', 'CTDP1', 'GTF2F1', 'GTF2F2']
206	REAC	REAC:R-HSA-167290	Pausing and recovery of HIV elongation	1.563191404335964e-12	True	Pausing and recovery of HIV elongation	32	107	9	17376	0.0841121495327102	0.28125	query_1	['REAC:R-HSA-167172']	['CCNT1', 'SUPT4H1', 'CCNT2', 'CDK9', 'SUPT5H', 'CCNK', 'CTDP1', 'GTF2F1', 'GTF2F2']
207	GO:BP	GO:0080135	regulation of cellular response to stress	1.573884231187487e-12	True	"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	681	107	26	17376	0.2429906542056074	0.0381791483113069	query_1	['GO:0033554', 'GO:0050794', 'GO:0080134']	['AKT1', 'CREBBP', 'NR1H2', 'CTNNB1', 'DDX5', 'SMARCA4', 'SMARCA2', 'CDK9', 'NR1H3', 'SMARCB1', 'EP300', 'PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'BRCA1', 'KAT2B', 'FOXO1', 'PDE8A', 'TP53', 'PML', 'KDM1A', 'SMARCC1', 'SKIL', 'HIPK2']
208	GO:BP	GO:2000628	regulation of miRNA metabolic process	1.7511710257133729e-12	True	"""Any process that modulates the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]"	78	107	12	17376	0.1121495327102803	0.1538461538461538	query_1	['GO:0010586', 'GO:0051252']	['FOXO3', 'NR1H2', 'SMARCA4', 'NCOR2', 'AR', 'POU2F1', 'SMAD4', 'NCOR1', 'ESR1', 'RARA', 'TP53', 'SMAD3']
209	REAC	REAC:R-HSA-400253	Circadian Clock	1.886125017392594e-12	True	Circadian Clock	67	107	11	17376	0.102803738317757	0.1641791044776119	query_1	['REAC:0000000']	['NRIP1', 'RXRA', 'CREBBP', 'NCOA2', 'CARM1', 'TBL1X', 'EP300', 'NCOR1', 'HDAC3', 'TBL1XR1', 'NCOA1']
210	GO:BP	GO:0043923	positive regulation by host of viral transcription	2.334797210373904e-12	True	"""Any process in which a host organism activates or increases the frequency, rate or extent of viral transcription, the synthesis of either RNA on a template of DNA or DNA on a template of RNA."" [GOC:jl]"	18	107	8	17376	0.0747663551401869	0.4444444444444444	query_1	['GO:0019083', 'GO:0051851']	['CCNT1', 'SMARCA4', 'CCNT2', 'CDK9', 'SMARCB1', 'CTDP1', 'EP300', 'SP1']
211	GO:CC	GO:1902911	protein kinase complex	2.3728740919465232e-12	True	"""A protein complex which is capable of protein kinase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:24606918]"	144	107	14	17376	0.1308411214953271	0.0972222222222222	query_1	['GO:0061695']	['CCNT1', 'CDK7', 'GTF2H4', 'CCNT2', 'GTF2H1', 'ERCC3', 'CDK9', 'GTF2H3', 'CCNK', 'CCNH', 'MNAT1', 'CDK13', 'GTF2H5', 'ERCC2']
212	GO:CC	GO:0043228	non-membrane-bounded organelle	3.324076726263179e-12	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5009	107	67	17376	0.6261682242990654	0.0133759233379916	query_1	['GO:0043226']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'AKT1', 'CREBBP', 'GTF3C1', 'MPLKIP', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDK9', 'RXRB', 'NR1H3', 'AR', 'POU2F1', 'SUMO1', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'BRCA1', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'RARA', 'FOXH1', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2']
213	GO:CC	GO:0043232	intracellular non-membrane-bounded organelle	3.324076726263179e-12	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5008	107	67	17376	0.6261682242990654	0.0133785942492012	query_1	['GO:0043228', 'GO:0043229']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'AKT1', 'CREBBP', 'GTF3C1', 'MPLKIP', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDK9', 'RXRB', 'NR1H3', 'AR', 'POU2F1', 'SUMO1', 'SMAD2', 'DAXX', 'SMARCB1', 'CTDP1', 'GTF2B', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'BRCA1', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'RARA', 'FOXH1', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2']
214	GO:BP	GO:0048523	negative regulation of cellular process	4.063475883350081e-12	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	4496	107	64	17376	0.5981308411214953	0.0142348754448398	query_1	['GO:0009987', 'GO:0048519', 'GO:0050794']	['NRIP1', 'RXRA', 'UBE2I', 'TGIF1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'CBFB', 'SUPT4H1', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'SUPT5H', 'NR1H3', 'AR', 'POU2F1', 'SUMO1', 'SMAD2', 'DAXX', 'SMARCB1', 'RNF113A', 'CTDP1', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'HIPK2']
215	REAC	REAC:R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	4.408826871666343e-12	True	Formation of TC-NER Pre-Incision Complex	52	107	10	17376	0.0934579439252336	0.1923076923076923	query_1	['REAC:R-HSA-6781827']	['CDK7', 'GTF2H4', 'GTF2H1', 'ERCC3', 'GTF2H3', 'CCNH', 'EP300', 'MNAT1', 'GTF2H5', 'ERCC2']
216	GO:BP	GO:0006368	transcription elongation by RNA polymerase II	4.858627011450567e-12	True	"""The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II."" [GOC:mah, GOC:txnOH]"	110	107	13	17376	0.1214953271028037	0.1181818181818181	query_1	['GO:0006354', 'GO:0006366']	['CCNT1', 'SUPT4H1', 'CTNNB1', 'CCNT2', 'ERCC3', 'CDK9', 'SUPT5H', 'CCNK', 'CTDP1', 'GTF2F1', 'CDK13', 'GTF2F2', 'HEXIM1']
217	REAC	REAC:R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	4.95949182124269e-12	True	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	36	107	9	17376	0.0841121495327102	0.25	query_1	['REAC:R-HSA-8878171']	['CBFB', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'SMARCC2', 'SMARCC1', 'HIPK2']
218	GO:BP	GO:0030521	androgen receptor signaling pathway	5.945769947569407e-12	True	"""The series of molecular signals initiated by androgen binding to its receptor, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah]"	46	107	10	17376	0.0934579439252336	0.217391304347826	query_1	['GO:0030518']	['DDX5', 'HDAC1', 'SMARCA4', 'NCOR2', 'AR', 'DAXX', 'EP300', 'NCOR1', 'FOXH1', 'KDM1A']
219	GO:CC	GO:0043226	organelle	6.198001931873518e-12	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	12942	107	106	17376	0.9906542056074766	0.0081903878844073	query_1	['GO:0110165']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'MPLKIP', 'ZNF143', 'GTF3A', 'COPRS', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'RNF113A', 'CTDP1', 'GTF2B', 'TARS1', 'SMAD9', 'RNF26', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'PRMT1', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
220	GO:CC	GO:0043229	intracellular organelle	6.198001931873518e-12	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12235	107	104	17376	0.97196261682243	0.0085002043318349	query_1	['GO:0005622', 'GO:0043226']	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'MPLKIP', 'ZNF143', 'GTF3A', 'COPRS', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'RNF113A', 'CTDP1', 'GTF2B', 'SMAD9', 'RNF26', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'PRMT1', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2']
221	GO:BP	GO:0030518	intracellular steroid hormone receptor signaling pathway	6.793411367547889e-12	True	"""The series of molecular signals initiated by a steroid binding to an intracellular steroid hormone receptor."" [GOC:mah, GOC:signaling]"	113	107	13	17376	0.1214953271028037	0.1150442477876106	query_1	['GO:0030522', 'GO:0043401']	['CARM1', 'DDX5', 'HDAC1', 'SMARCA4', 'NCOR2', 'AR', 'DAXX', 'EP300', 'NCOR1', 'BRCA1', 'ESR1', 'FOXH1', 'KDM1A']
222	REAC	REAC:R-HSA-4090294	SUMOylation of intracellular receptors	7.106535989870553e-12	True	SUMOylation of intracellular receptors	24	107	8	17376	0.0747663551401869	0.3333333333333333	query_1	['REAC:R-HSA-3108232']	['RXRA', 'UBE2I', 'NR1H2', 'AR', 'SUMO1', 'SUMO2', 'ESR1', 'RARA']
223	REAC	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	7.410102590387311e-12	True	Constitutive Signaling by NOTCH1 PEST Domain Mutants	55	107	10	17376	0.0934579439252336	0.1818181818181818	query_1	['REAC:R-HSA-2644602']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
224	REAC	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	7.410102590387311e-12	True	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	55	107	10	17376	0.0934579439252336	0.1818181818181818	query_1	['REAC:R-HSA-2644603']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
225	REAC	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	7.410102590387311e-12	True	Signaling by NOTCH1 in Cancer	55	107	10	17376	0.0934579439252336	0.1818181818181818	query_1	['REAC:R-HSA-5663202']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
226	REAC	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	7.410102590387311e-12	True	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	55	107	10	17376	0.0934579439252336	0.1818181818181818	query_1	['REAC:R-HSA-2894858']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
227	REAC	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	7.410102590387311e-12	True	Signaling by NOTCH1 PEST Domain Mutants in Cancer	55	107	10	17376	0.0934579439252336	0.1818181818181818	query_1	['REAC:R-HSA-2644603']	['CREBBP', 'HDAC1', 'TBL1X', 'NCOR2', 'EP300', 'NCOR1', 'HDAC3', 'KAT2B', 'TBL1XR1', 'HDAC2']
228	GO:BP	GO:0048511	rhythmic process	7.761036823285779e-12	True	"""Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."" [GOC:jid]"	294	107	18	17376	0.1682242990654205	0.0612244897959183	query_1	['GO:0008150']	['NRIP1', 'CREBBP', 'NCOA2', 'DDX5', 'HDAC1', 'NCOR2', 'SIN3A', 'NR1H3', 'EP300', 'PRMT5', 'NCOR1', 'HDAC3', 'SP1', 'KAT2B', 'ESR1', 'TP53', 'PML', 'HDAC2']
229	GO:BP	GO:0051726	regulation of cell cycle	7.820318307636667e-12	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1084	107	31	17376	0.2897196261682243	0.0285977859778597	query_1	['GO:0007049', 'GO:0050794']	['CCNT1', 'AKT1', 'CDK7', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'ERCC3', 'SIN3A', 'CDK9', 'CCNK', 'CCNH', 'SMARCB1', 'MECP2', 'PRMT5', 'HDAC3', 'MNAT1', 'SMARCC2', 'BRCA1', 'CDK13', 'KAT2B', 'RARA', 'TP53', 'PML', 'ERCC2', 'SMARCC1', 'HEXIM1', 'SKIL', 'HIPK2']
230	GO:BP	GO:0045597	positive regulation of cell differentiation	1.2683582610527408e-11	True	"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]"	815	107	27	17376	0.2523364485981308	0.0331288343558282	query_1	['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']	['NCOA3', 'AKT1', 'CBFB', 'FOXO3', 'CARM1', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'SIN3A', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'RUNX1', 'MECP2', 'PRMT5', 'PRMT1', 'SMARCC2', 'RARA', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1']
