Wiedemann-Rautenstrauch syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
5	GO:BP	GO:0007166	cell surface receptor signaling pathway	2.252387196430062e-22	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	100	63	15719	0.63	0.0238817285822592	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LAT', 'MADCAM1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'APOA1', 'PFDN5', 'FBN1', 'ITGAE', 'FGB', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
1	GO:CC	GO:0008305	integrin complex	5.579900024063813e-22	True	"""A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands."" [PMID:17543136]"	29	101	14	16420	0.1386138613861386	0.4827586206896552	query_1	['GO:0098636', 'GO:0098802']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'ITGAE', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3']
6	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	5.928433933824812e-22	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	100	41	15719	0.41	0.0442286947141316	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'FBN1', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
4	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	4.750900762549898e-21	True	Platelet activation, signaling and aggregation	252	93	28	10022	0.3010752688172043	0.1111111111111111	query_1	['REAC:R-HSA-109582']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'FYN', 'LAT', 'LYN', 'LCP2', 'APOA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'VEGFA', 'TLN1', 'PTK2', 'LCK', 'THBS1', 'PTPN11']
8	GO:BP	GO:0098609	cell-cell adhesion	6.654780128012791e-21	True	"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]"	873	100	39	15719	0.39	0.0446735395189003	query_1	['GO:0007155']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'SHC1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'LYN', 'JAM3', 'EGFR', 'APOA1', 'ITGAE', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'CDH1', 'VEGFA', 'TLN1', 'VCAM1', 'PTK2', 'LCK', 'EMILIN1', 'ITGB7', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA']
7	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	6.654780128012791e-21	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	100	34	15719	0.34	0.056198347107438	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA']
5	REAC	REAC:R-HSA-354192	Integrin signaling	1.1219206046493686e-20	True	Integrin signaling	26	93	14	10022	0.1505376344086021	0.5384615384615384	query_1	['REAC:R-HSA-162582', 'REAC:R-HSA-76009']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'FGB', 'SYK', 'FGG', 'TLN1', 'PTK2']
9	GO:BP	GO:0016477	cell migration	1.2979677402411233e-20	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	100	47	15719	0.47	0.0329362298528381	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'MADCAM1', 'LYN', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'HSP90AA1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA']
10	GO:BP	GO:0071363	cellular response to growth factor stimulus	3.027113355109322e-20	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	100	34	15719	0.34	0.0532915360501567	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'GRB2', 'EGFR', 'URI1', 'FBN1', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
11	GO:BP	GO:0030155	regulation of cell adhesion	4.2923138023259e-20	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	100	36	15719	0.36	0.047808764940239	query_1	['GO:0007155', 'GO:0050794']	['FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'LYN', 'TNC', 'FBLN2', 'JAM3', 'APOA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11']
12	GO:BP	GO:0070848	response to growth factor	1.0679007374256157e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	100	34	15719	0.34	0.0509745127436281	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'GRB2', 'EGFR', 'URI1', 'FBN1', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
13	GO:BP	GO:0010810	regulation of cell-substrate adhesion	8.220658901653441e-19	True	"""Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	205	100	22	15719	0.22	0.1073170731707317	query_1	['GO:0030155', 'GO:0031589']	['FN1', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FBLN2', 'APOA1', 'FGB', 'VCL', 'FGG', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3']
14	GO:BP	GO:0048870	cell motility	1.3722783634118788e-18	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	100	47	15719	0.47	0.0292106898694841	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'MADCAM1', 'LYN', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'HSP90AA1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA']
6	REAC	REAC:R-HSA-109582	Hemostasis	1.419895827801155e-18	True	Hemostasis	608	93	36	10022	0.3870967741935484	0.0592105263157894	query_1	['REAC:0000000']	['ITGB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'LAT', 'LYN', 'LCP2', 'JAM3', 'APOA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'VEGFA', 'TLN1', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'JAM2', 'PTPN11']
2	GO:CC	GO:0071944	cell periphery	1.5721137757431717e-18	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	101	78	16420	0.7722772277227723	0.0147811256395679	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LAT', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'MFAP3', 'LCP2', 'FBLN2', 'LOXL1', 'JAM3', 'EGFR', 'APOA1', 'FBN1', 'ITGAE', 'HSP90AA1', 'FGB', 'VCL', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'JAM2', 'PDGFRA', 'MFAP4']
7	REAC	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	2.380416324291227e-18	True	p130Cas linkage to MAPK signaling for integrins	15	93	11	10022	0.1182795698924731	0.7333333333333333	query_1	['REAC:R-HSA-354192']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'CRK', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
3	GO:CC	GO:0070161	anchoring junction	3.423097759989595e-18	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	101	35	16420	0.3465346534653465	0.0409356725146198	query_1	['GO:0030054']	['ITGB1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'ITK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'IQGAP1', 'LAT', 'SH3PXD2A', 'LYN', 'GRB2', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'ITGB6', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2']
8	REAC	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	6.8521207885342854e-18	True	Platelet Aggregation (Plug Formation)	38	93	14	10022	0.1505376344086021	0.3684210526315789	query_1	['REAC:R-HSA-76002']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'FGB', 'SYK', 'FGG', 'TLN1', 'PTK2']
15	GO:BP	GO:0042060	wound healing	1.2962317705112712e-17	True	"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]"	424	100	27	15719	0.27	0.0636792452830188	query_1	['GO:0009611']	['ITGB1', 'FN1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'PLCG2', 'LOX', 'ITGA5', 'LYN', 'PAPSS2', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'VEGFA', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'PDGFRA']
16	GO:BP	GO:0051128	regulation of cellular component organization	1.776485234226958e-17	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	100	54	15719	0.54	0.0230080954409884	query_1	['GO:0016043', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PLCG2', 'LRP4', 'PFDN1', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'JAM3', 'EGFR', 'URI1', 'APOA1', 'VBP1', 'PFDN5', 'HSP90AA1', 'VCL', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'PFDN4', 'CRKL', 'VTN', 'PFDN2', 'PFDN6', 'TLN1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'PTPN11', 'PDGFRA', 'PIH1D1']
9	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.865096804181161e-17	True	Signaling by Receptor Tyrosine Kinases	495	93	32	10022	0.3440860215053763	0.0646464646464646	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'EGFR', 'HSP90AA1', 'VAV1', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
17	GO:BP	GO:0040011	locomotion	4.743185157879193e-17	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	100	41	15719	0.41	0.0319066147859922	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA']
18	GO:BP	GO:0009611	response to wounding	7.086783391180143e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]"	552	100	29	15719	0.29	0.0525362318840579	query_1	['GO:0006950']	['ITGB1', 'FN1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'PLCG2', 'LOX', 'ITGA5', 'LYN', 'TNC', 'PAPSS2', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'VEGFA', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'PDGFRA']
19	GO:BP	GO:0009719	response to endogenous stimulus	8.838110634467141e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	100	45	15719	0.45	0.0277093596059113	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'ITGB5', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'URI1', 'FBN1', 'HSP90AA1', 'FGB', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
21	GO:BP	GO:0050900	leukocyte migration	1.0969899519971976e-16	True	"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]"	378	100	25	15719	0.25	0.0661375661375661	query_1	['GO:0002376', 'GO:0016477']	['ITGB1', 'ITGA9', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SOS1', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'JAM3', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'CRKL', 'VCAM1', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2']
22	GO:BP	GO:0034113	heterotypic cell-cell adhesion	1.0969899519971976e-16	True	"""The attachment of a cell to a cell of a different type via adhesion molecules."" [GOC:add]"	59	100	14	15719	0.14	0.2372881355932203	query_1	['GO:0098609']	['ITGB1', 'ITGAV', 'FGA', 'ITGB3', 'ITGA5', 'ITGA4', 'MADCAM1', 'JAM3', 'APOA1', 'FGB', 'FGG', 'VCAM1', 'LCK', 'ITGB7']
