Branchioskeletogenital syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	1.0262099628368594e-37	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1934	99	69	15719	0.696969696969697	0.0356773526370217	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
0	REAC	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	6.143182719155069e-37	True	Signaling by NOTCH1 PEST Domain Mutants in Cancer	55	98	26	10022	0.2653061224489796	0.4727272727272727	query_1	['REAC:R-HSA-2644603']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
1	REAC	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	6.143182719155069e-37	True	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	55	98	26	10022	0.2653061224489796	0.4727272727272727	query_1	['REAC:R-HSA-2644603']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
2	REAC	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	6.143182719155069e-37	True	Constitutive Signaling by NOTCH1 PEST Domain Mutants	55	98	26	10022	0.2653061224489796	0.4727272727272727	query_1	['REAC:R-HSA-2644602']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
3	REAC	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	6.143182719155069e-37	True	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	55	98	26	10022	0.2653061224489796	0.4727272727272727	query_1	['REAC:R-HSA-2894858']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
4	REAC	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	6.143182719155069e-37	True	Signaling by NOTCH1 in Cancer	55	98	26	10022	0.2653061224489796	0.4727272727272727	query_1	['REAC:R-HSA-5663202']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
11	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	3.2227332706546533e-36	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3145	99	80	15719	0.8080808080808081	0.0254372019077901	query_1	['GO:0097659', 'GO:2001141']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
12	GO:BP	GO:0006355	regulation of DNA-templated transcription	3.2227332706546533e-36	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3143	99	80	15719	0.8080808080808081	0.0254533884823417	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
13	GO:BP	GO:2001141	regulation of RNA biosynthetic process	4.973079684506185e-36	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3166	99	80	15719	0.8080808080808081	0.0252684775742261	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
0	GO:CC	GO:0005667	transcription regulator complex	6.272549424662514e-36	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	508	100	43	16420	0.43	0.0846456692913385	query_1	['GO:0032991']	['SMAD1', 'REST', 'RXRA', 'CTBP1', 'CREBBP', 'CBFB', 'STAT3', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'WWTR1', 'SMAD2', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'RCOR1', 'SP1', 'ESR1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'HIPK2']
14	GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	2.1625488157165105e-35	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	3000	99	78	15719	0.7878787878787878	0.026	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'PSENEN', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'APH1A', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CLNS1A', 'TBL1XR1', 'TP53', 'CDH5', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
16	GO:BP	GO:0006351	DNA-templated transcription	4.377761899127947e-35	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3265	99	80	15719	0.8080808080808081	0.0245022970903522	query_1	['GO:0097659']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
