Autosomal dominant cutis laxa	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
9	GO:BP	GO:0007160	cell-matrix adhesion	5.980761753196729e-34	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	220	102	33	15719	0.3235294117647059	0.15	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'FBLN5', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
10	GO:BP	GO:0009653	anatomical structure morphogenesis	5.380156159971821e-32	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2539	102	72	15719	0.7058823529411765	0.0283576211106734	query_1	['GO:0032502', 'GO:0048856']	['MET', 'ITGB1', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'SH3PXD2A', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'FBN1', 'KDR', 'VCL', 'FBN2', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'SH3GL2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'ELN', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
11	GO:BP	GO:0030335	positive regulation of cell migration	7.382575866048742e-32	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	102	41	15719	0.4019607843137255	0.0797665369649805	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
12	GO:BP	GO:0030334	regulation of cell migration	1.0971124063041823e-31	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	886	102	49	15719	0.4803921568627451	0.0553047404063205	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
13	GO:BP	GO:0031589	cell-substrate adhesion	1.0990684005158028e-31	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	345	102	36	15719	0.3529411764705882	0.1043478260869565	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'FBLN5', 'FBLN2', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
1	REAC	REAC:R-HSA-1566948	Elastic fibre formation	1.5806158276177768e-31	True	Elastic fibre formation	43	99	22	10022	0.2222222222222222	0.5116279069767442	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'LOX', 'ITGA5', 'FBLN5', 'MFAP3', 'FBLN2', 'LOXL1', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'EMILIN1', 'ELN', 'MFAP4']
14	GO:BP	GO:0007229	integrin-mediated signaling pathway	1.80249339083307e-31	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	102	26	15719	0.2549019607843137	0.2300884955752212	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11']
15	GO:BP	GO:2000147	positive regulation of cell motility	2.417190281376405e-31	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	102	41	15719	0.4019607843137255	0.0769230769230769	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
16	GO:BP	GO:0040017	positive regulation of locomotion	7.531374393518154e-31	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	102	41	15719	0.4019607843137255	0.0746812386156648	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
17	GO:BP	GO:2000145	regulation of cell motility	1.1657096643968363e-30	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	938	102	49	15719	0.4803921568627451	0.0522388059701492	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
2	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.2614573663099978e-30	True	Signaling by Receptor Tyrosine Kinases	495	99	45	10022	0.4545454545454545	0.0909090909090909	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'MEMO1', 'LYN', 'NRP2', 'EGFR', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3KBP1', 'SH3GL2', 'ADAM12', 'CRKL', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
0	GO:CC	GO:0071944	cell periphery	4.769436979436466e-30	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	103	91	16420	0.883495145631068	0.0172446465794959	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'SMURF2', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'MFAP3', 'TGFB1', 'NRP2', 'LCP2', 'FBLN2', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'SH3GL2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELN', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1', 'MFAP4']
18	GO:BP	GO:0009719	response to endogenous stimulus	7.048752548489496e-30	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	102	59	15719	0.5784313725490197	0.0363300492610837	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
19	GO:BP	GO:0040012	regulation of locomotion	9.003726414017076e-30	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	982	102	49	15719	0.4803921568627451	0.0498981670061099	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
20	GO:BP	GO:0071495	cellular response to endogenous stimulus	3.1020553191012626e-29	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]"	1385	102	55	15719	0.5392156862745098	0.03971119133574	query_1	['GO:0009719']	['RAPGEF1', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'SMURF1', 'ERBB2', 'CDH1', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
21	GO:BP	GO:0033627	cell adhesion mediated by integrin	1.0451002645363656e-27	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	102	22	15719	0.2156862745098039	0.2588235294117647	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'JAM3', 'FBN1', 'ITGAE', 'SYK', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'EMILIN1', 'ITGB7', 'ITGA3', 'PTPN11']
