Rabson-Mendenhall syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0070848	response to growth factor	5.4904955514070786e-42	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	710	100	49	21110	0.49	0.0690140845070422	query_1	['GO:0009719']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PIK3CA', 'KDR', 'IGF1R', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
11	GO:BP	GO:0048584	positive regulation of response to stimulus	2.21373580881902e-41	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2283	100	70	21110	0.7	0.0306614104248795	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'ZAP70', 'MS4A1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'PTK2B', 'IGHM', 'VEGFA', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'CD19', 'BLNK', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'CR2', 'PGF']
12	GO:BP	GO:0040011	locomotion	6.764693866459592e-41	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1365	100	59	21110	0.59	0.0432234432234432	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'PLCG2', 'FLT4', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'TNC', 'NRP2', 'EGFR', 'APOA1', 'KDR', 'IGF1R', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'SMAD3', 'ADAM15', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
13	GO:BP	GO:0023052	signaling	8.693900328294942e-41	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	6493	100	96	21110	0.96	0.0147851532419528	query_1	['GO:0050789']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'MS4A1', 'LYN', 'GRB2', 'TGFB1', 'TNC', 'NRP2', 'LCP2', 'EGFR', 'APOA1', 'PIK3CA', 'ITGAE', 'KDR', 'FGB', 'IGF1R', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TLN1', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
14	GO:BP	GO:0009719	response to endogenous stimulus	3.243217211584978e-40	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1720	100	63	21110	0.63	0.0366279069767441	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
15	GO:BP	GO:0007154	cell communication	4.3457646881041605e-40	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	6604	100	96	21110	0.96	0.0145366444579043	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'MS4A1', 'LYN', 'GRB2', 'TGFB1', 'TNC', 'NRP2', 'LCP2', 'EGFR', 'APOA1', 'PIK3CA', 'ITGAE', 'KDR', 'FGB', 'IGF1R', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TLN1', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
16	GO:BP	GO:0007165	signal transduction	5.5184836120969445e-39	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	6034	100	93	21110	0.93	0.0154126615843553	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'MS4A1', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'APOA1', 'PIK3CA', 'ITGAE', 'KDR', 'FGB', 'IGF1R', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'SMURF1', 'ERBB2', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TLN1', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
17	GO:BP	GO:0071495	cellular response to endogenous stimulus	8.917682751053609e-38	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]"	1469	100	58	21110	0.58	0.0394826412525527	query_1	['GO:0009719']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'PLCG1', 'SMURF1', 'ERBB2', 'CDH1', 'VEGFA', 'PIK3R3', 'SH3GL2', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
18	GO:BP	GO:0030334	regulation of cell migration	1.0131588267829796e-37	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	927	100	50	21110	0.5	0.0539374325782092	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'PIK3CD', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'TNC', 'NRP2', 'EGFR', 'KDR', 'IGF1R', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'TGFBR1', 'PTK2', 'NRP1', 'SMAD3', 'ADAM15', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
19	GO:BP	GO:0030335	positive regulation of cell migration	2.3153915404694825e-37	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	532	100	42	21110	0.42	0.0789473684210526	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'PIK3CD', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'EGFR', 'KDR', 'IGF1R', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'SMAD3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
20	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	3.884275245676867e-37	True	Signaling by Receptor Tyrosine Kinases	502	97	49	10790	0.5051546391752577	0.097609561752988	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'LYN', 'NRP2', 'EGFR', 'PIK3CA', 'KDR', 'IGF1R', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'IRS1', 'CRKL', 'ESR1', 'PTK2', 'NRP1', 'LCK', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
