Acral peeling skin syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
9	REAC	REAC:R-HSA-350054	Notch-HLH transcription pathway	4.39909511155557e-31	True	Notch-HLH transcription pathway	28	98	19	10022	0.1938775510204081	0.6785714285714286	query_1	['REAC:R-HSA-212436']	['MAML1', 'MAML2', 'NOTCH3', 'CREBBP', 'KAT2A', 'HDAC1', 'TBL1X', 'NCOR2', 'NOTCH1', 'RBPJ', 'NOTCH2', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'NOTCH4', 'HDAC2']
1	GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	3.200716803799326e-30	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1648	101	60	15719	0.594059405940594	0.0364077669902912	query_1	['GO:0010557', 'GO:0031328', 'GO:0032774', 'GO:0051254', 'GO:2001141']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
2	GO:BP	GO:1903508	positive regulation of nucleic acid-templated transcription	3.200716803799326e-30	True	"""Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1641	101	60	15719	0.594059405940594	0.036563071297989	query_1	['GO:0097659', 'GO:1902680', 'GO:1903506']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
3	GO:BP	GO:0045893	positive regulation of DNA-templated transcription	3.200716803799326e-30	True	"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1641	101	60	15719	0.594059405940594	0.036563071297989	query_1	['GO:0006351', 'GO:0006355', 'GO:1903508']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
10	REAC	REAC:R-HSA-9012852	Signaling by NOTCH3	2.2031883649623405e-29	True	Signaling by NOTCH3	46	98	21	10022	0.2142857142857142	0.4565217391304347	query_1	['REAC:R-HSA-157118']	['MAML1', 'MAML2', 'NOTCH3', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'TACC3', 'NCSTN', 'DLL1', 'PSENEN', 'EGFR', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'SNW1', 'KAT2B', 'MAML3', 'JAG1']
4	GO:BP	GO:0051254	positive regulation of RNA metabolic process	1.5528620438487174e-28	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1773	101	60	15719	0.594059405940594	0.0338409475465313	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
5	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	1.6298795147680774e-28	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1860	101	61	15719	0.6039603960396039	0.0327956989247311	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
6	GO:BP	GO:0009891	positive regulation of biosynthetic process	5.585768510009272e-28	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	1989	101	62	15719	0.6138613861386139	0.0311714429361488	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
7	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	5.680799012504298e-28	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2347	101	66	15719	0.6534653465346535	0.0281210055389859	query_1	['GO:0006355', 'GO:0006366']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
8	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	9.886395880969423e-28	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1934	101	61	15719	0.6039603960396039	0.0315408479834539	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
9	GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	2.060013036045393e-27	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1963	101	61	15719	0.6039603960396039	0.0310748853795211	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
10	GO:BP	GO:0006366	transcription by RNA polymerase II	5.6075077046263034e-27	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2450	101	66	15719	0.6534653465346535	0.026938775510204	query_1	['GO:0006351']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
11	GO:BP	GO:0006355	regulation of DNA-templated transcription	2.658792524195813e-26	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3143	101	72	15719	0.7128712871287128	0.0229080496341075	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ITGB3BP', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
12	GO:BP	GO:0000122	negative regulation of transcription by RNA polymerase II	2.658792524195813e-26	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	927	101	45	15719	0.4455445544554455	0.0485436893203883	query_1	['GO:0006357', 'GO:0006366', 'GO:0045892']	['NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'TGIF1', 'CREBBP', 'SMURF2', 'PSEN1', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'NR1H3', 'AR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL']
13	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	2.658792524195813e-26	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3145	101	72	15719	0.7128712871287128	0.0228934817170111	query_1	['GO:0097659', 'GO:2001141']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ITGB3BP', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
14	GO:BP	GO:2001141	regulation of RNA biosynthetic process	3.8416377145649743e-26	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3166	101	72	15719	0.7128712871287128	0.0227416298168035	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ITGB3BP', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
