Autosomal recessive cerebellar ataxia due to STUB1 deficiency	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
9	REAC	REAC:R-HSA-1643713	Signaling by EGFR in Cancer	2.483916247997569e-12	True	Signaling by EGFR in Cancer	23	77	9	10022	0.1168831168831168	0.391304347826087	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL', 'CDC37']
10	REAC	REAC:R-HSA-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase	4.8019749544421635e-11	True	CREB1 phosphorylation through the activation of Adenylate Cyclase	12	77	7	10022	0.0909090909090909	0.5833333333333334	query_1	['REAC:R-HSA-438064']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
0	GO:BP	GO:0009408	response to heat	2.3811618264519357e-10	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]"	104	99	13	15719	0.1313131313131313	0.125	query_1	['GO:0006950', 'GO:0009266']	['SCARA5', 'HSPA1A', 'HSP90AB1', 'STUB1', 'DNAJA2', 'DNAJA4', 'HSP90AA1', 'CHORDC1', 'PRKACA', 'DNAJA1', 'DNAJC7', 'BAG3', 'PDCD6']
11	REAC	REAC:R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	4.1649033833883567e-10	True	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	55	77	10	10022	0.1298701298701298	0.1818181818181818	query_1	['REAC:R-HSA-2262752']	['STIP1', 'HSPA1A', 'HSP90AB1', 'DNAJA2', 'FKBP5', 'DNAJA4', 'HSP90AA1', 'DNAJA1', 'HSPA8', 'PTGES3']
1	GO:CC	GO:0005952	cAMP-dependent protein kinase complex	6.104658892333222e-10	True	"""An enzyme complex, composed of regulatory and catalytic subunits, that catalyzes protein phosphorylation. Inactive forms of the enzyme have two regulatory chains and two catalytic chains; activation by cAMP produces two active catalytic monomers and a regulatory dimer."" [PMID:18178622]"	9	98	6	16420	0.0612244897959183	0.6666666666666666	query_1	['GO:0140535', 'GO:1902554']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKAR2A', 'PRKACA']
12	REAC	REAC:R-HSA-5576890	Phase 3 - rapid repolarisation	6.155169792326186e-10	True	Phase 3 - rapid repolarisation	9	77	6	10022	0.0779220779220779	0.6666666666666666	query_1	['REAC:R-HSA-5576891']	['KCNE5', 'KCNH2', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
13	REAC	REAC:R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	6.811198862302756e-10	True	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	41	77	9	10022	0.1168831168831168	0.2195121951219512	query_1	['REAC:R-HSA-422356']	['AKAP5', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'KCNB1', 'PRKACG', 'PRKAR2A', 'PRKACA']
14	REAC	REAC:R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	7.861802201160114e-10	True	Signaling by ERBB2 TMD/JMD mutants	17	77	7	10022	0.0909090909090909	0.4117647058823529	query_1	['REAC:R-HSA-1227990']	['SHC1', 'SOS1', 'EGFR', 'HSP90AA1', 'PLCG1', 'ERBB2', 'CDC37']
15	REAC	REAC:R-HSA-164378	PKA activation in glucagon signalling	7.861802201160114e-10	True	PKA activation in glucagon signalling	17	77	7	10022	0.0909090909090909	0.4117647058823529	query_1	['REAC:R-HSA-163359']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
16	REAC	REAC:R-HSA-163615	PKA activation	1.2033972804342463e-09	True	PKA activation	18	77	7	10022	0.0909090909090909	0.3888888888888889	query_1	['REAC:R-HSA-111931']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
17	REAC	REAC:R-HSA-111931	PKA-mediated phosphorylation of CREB	2.734743422200187e-09	True	PKA-mediated phosphorylation of CREB	20	77	7	10022	0.0909090909090909	0.35	query_1	['REAC:R-HSA-111933']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
1	GO:BP	GO:0006457	protein folding	4.349473712687826e-09	True	"""The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."" [GOC:go_curators, GOC:rb]"	207	99	15	15719	0.1515151515151515	0.072463768115942	query_1	['GO:0009987']	['STIP1', 'HSPA1A', 'HSP90AB1', 'HSPH1', 'DNAJA2', 'FKBP5', 'DNAJA4', 'HSP90AA1', 'CHORDC1', 'DNAJA1', 'HSPA8', 'PTGES3', 'DNAJC7', 'BAG3', 'CDC37']
2	GO:BP	GO:0034605	cellular response to heat	5.708202822408921e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:mah]"	63	99	10	15719	0.101010101010101	0.1587301587301587	query_1	['GO:0009408', 'GO:0033554']	['SCARA5', 'HSPA1A', 'HSP90AB1', 'STUB1', 'HSP90AA1', 'CHORDC1', 'PRKACA', 'DNAJC7', 'BAG3', 'PDCD6']
18	REAC	REAC:R-HSA-180024	DARPP-32 events	1.1286855905303653e-08	True	DARPP-32 events	24	77	7	10022	0.0909090909090909	0.2916666666666667	query_1	['REAC:R-HSA-111885']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
2	GO:CC	GO:0101031	protein folding chaperone complex	1.2422012575073641e-08	True	"""A protein complex required for the non-covalent folding or unfolding, maturation, stabilization or assembly or disassembly of macromolecular structures. Usually active during or immediately after completion of translation. Many chaperone complexes contain heat shock proteins."" [GOC:bhm, PMID:21855797]"	41	98	8	16420	0.0816326530612244	0.1951219512195122	query_1	['GO:0140535']	['STIP1', 'HSP90AB1', 'STUB1', 'HSPB8', 'HSPA8', 'PTGES3', 'BAG3', 'CDC37']
19	REAC	REAC:R-HSA-1489509	DAG and IP3 signaling	1.518386734033573e-08	True	DAG and IP3 signaling	40	77	8	10022	0.1038961038961039	0.2	query_1	['REAC:R-HSA-9006925']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PLCG1', 'PRKACA']
3	GO:CC	GO:0097546	ciliary base	2.0610978687244587e-08	True	"""Area of the cilium (also called flagellum) where the basal body and the axoneme are anchored to the plasma membrane. The ciliary base encompasses the distal part of the basal body, transition fibers and transition zone and is structurally and functionally very distinct from the rest of the cilium. In this area proteins are sorted and filtered before entering the cilium, and many ciliary proteins localize specifically to this area."" [GOC:cilia, GOC:krc, PMID:22653444]"	45	98	8	16420	0.0816326530612244	0.1777777777777777	query_1	['GO:0005929', 'GO:0110165']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'KCNQ1', 'PRKACA']
20	REAC	REAC:R-HSA-9664323	FCGR3A-mediated IL10 synthesis	2.676864887322851e-08	True	FCGR3A-mediated IL10 synthesis	43	77	8	10022	0.1038961038961039	0.1860465116279069	query_1	['REAC:R-HSA-9662851']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PLCG1', 'PRKACA']
21	REAC	REAC:R-HSA-9010642	ROBO receptors bind AKAP5	3.374333060049073e-08	True	ROBO receptors bind AKAP5	8	77	5	10022	0.0649350649350649	0.625	query_1	['REAC:R-HSA-376176']	['AKAP5', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
3	GO:BP	GO:0009266	response to temperature stimulus	3.7139280128001775e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."" [GOC:hb]"	171	99	13	15719	0.1313131313131313	0.0760233918128654	query_1	['GO:0009628']	['SCARA5', 'HSPA1A', 'HSP90AB1', 'STUB1', 'DNAJA2', 'DNAJA4', 'HSP90AA1', 'CHORDC1', 'PRKACA', 'DNAJA1', 'DNAJC7', 'BAG3', 'PDCD6']
22	REAC	REAC:R-HSA-422475	Axon guidance	6.2012946402167e-08	True	Axon guidance	540	77	20	10022	0.2597402597402597	0.037037037037037	query_1	['REAC:R-HSA-9675108']	['AKAP5', 'PIK3R1', 'HSP90AB1', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PRKACB', 'GFRA3', 'EGFR', 'PRKACG', 'PRKAR2A', 'HSP90AA1', 'PLCG1', 'ERBB2', 'PRKACA', 'GAB2', 'SHC3', 'HSPA8', 'ARTN']
23	REAC	REAC:R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	6.917886307549015e-08	True	Constitutive Signaling by Overexpressed ERBB2	9	77	5	10022	0.0649350649350649	0.5555555555555556	query_1	['REAC:R-HSA-1227990']	['SHC1', 'SOS1', 'HSP90AA1', 'ERBB2', 'CDC37']
25	REAC	REAC:R-HSA-9006925	Intracellular signaling by second messengers	8.338968347290852e-08	True	Intracellular signaling by second messengers	288	77	15	10022	0.1948051948051948	0.0520833333333333	query_1	['REAC:R-HSA-162582']	['PIK3R1', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'STUB1', 'GAB1', 'PRKACB', 'EGFR', 'PRKACG', 'PRKAR2A', 'PLCG1', 'ERBB2', 'ESR1', 'PRKACA', 'GAB2']
24	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	8.338968347290852e-08	True	Signaling by Receptor Tyrosine Kinases	495	77	19	10022	0.2467532467532467	0.0383838383838383	query_1	['REAC:R-HSA-162582']	['PIK3R1', 'SHC1', 'STUB1', 'SOS1', 'GAB1', 'PRKACB', 'EGFR', 'PRKACG', 'HSP90AA1', 'PLCG1', 'USP8', 'ERBB2', 'ESR1', 'PRKACA', 'GAB2', 'SHC3', 'CBL', 'GRAP2', 'CDC37']
26	REAC	REAC:R-HSA-163359	Glucagon signaling in metabolic regulation	9.277255831316129e-08	True	Glucagon signaling in metabolic regulation	33	77	7	10022	0.0909090909090909	0.2121212121212121	query_1	['REAC:R-HSA-163685']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
30	REAC	REAC:R-HSA-111933	Calmodulin induced events	1.0112843202845707e-07	True	Calmodulin induced events	34	77	7	10022	0.0909090909090909	0.2058823529411764	query_1	['REAC:R-HSA-111997']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
27	REAC	REAC:R-HSA-9675108	Nervous system development	1.0112843202845707e-07	True	Nervous system development	564	77	20	10022	0.2597402597402597	0.0354609929078014	query_1	['REAC:R-HSA-1266738']	['AKAP5', 'PIK3R1', 'HSP90AB1', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PRKACB', 'GFRA3', 'EGFR', 'PRKACG', 'PRKAR2A', 'HSP90AA1', 'PLCG1', 'ERBB2', 'PRKACA', 'GAB2', 'SHC3', 'HSPA8', 'ARTN']
28	REAC	REAC:R-HSA-111997	CaM pathway	1.0112843202845707e-07	True	CaM pathway	34	77	7	10022	0.0909090909090909	0.2058823529411764	query_1	['REAC:R-HSA-111996', 'REAC:R-HSA-1489509']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
29	REAC	REAC:R-HSA-422356	Regulation of insulin secretion	1.0112843202845707e-07	True	Regulation of insulin secretion	76	77	9	10022	0.1168831168831168	0.1184210526315789	query_1	['REAC:R-HSA-163685']	['AKAP5', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'KCNB1', 'PRKACG', 'PRKAR2A', 'PRKACA']
31	REAC	REAC:R-HSA-111996	Ca-dependent events	1.5016635561765162e-07	True	Ca-dependent events	36	77	7	10022	0.0909090909090909	0.1944444444444444	query_1	['REAC:R-HSA-112043']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
4	GO:BP	GO:0038127	ERBB signaling pathway	1.580868663535127e-07	True	"""The series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptor tyrosine kinases on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:jc, PMID:16460914, Wikipedia:ErbB]"	122	99	11	15719	0.1111111111111111	0.0901639344262295	query_1	['GO:0007169']	['SHC1', 'STUB1', 'SOS1', 'GAB1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'SHC3', 'GAREM1', 'CBL']
5	GO:BP	GO:0097623	potassium ion export across plasma membrane	2.988328099415028e-07	True	"""The directed movement of potassium ions from inside of a cell, across the plasma membrane and into the extracellular region."" [GOC:vw, PMID:11932440]"	17	99	6	15719	0.0606060606060606	0.3529411764705882	query_1	['GO:0071805', 'GO:0140115']	['KCNE5', 'KCNH2', 'KCNB1', 'KCNE2', 'KCNQ1', 'KCNE1']
32	REAC	REAC:R-HSA-3371556	Cellular response to heat stress	3.1895854894522897e-07	True	Cellular response to heat stress	87	77	9	10022	0.1168831168831168	0.1034482758620689	query_1	['REAC:R-HSA-2262752']	['HSPA1A', 'HSP90AB1', 'HSPH1', 'HSPB8', 'HSP90AA1', 'HSPA8', 'PTGES3', 'DNAJC7', 'BAG3']
33	REAC	REAC:R-HSA-3371571	HSF1-dependent transactivation	3.441687387460669e-07	True	HSF1-dependent transactivation	24	77	6	10022	0.0779220779220779	0.25	query_1	['REAC:R-HSA-3371556']	['HSPA1A', 'HSP90AB1', 'HSPB8', 'HSP90AA1', 'HSPA8', 'PTGES3']
6	GO:BP	GO:0051338	regulation of transferase activity	4.568505510780328e-07	True	"""Any process that modulates the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [GOC:ai]"	832	99	23	15719	0.2323232323232323	0.0276442307692307	query_1	['GO:0050790']	['UBE2I', 'DDR2', 'LRRK2', 'PIK3R1', 'HSP90AB1', 'CDK5RAP2', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'RET', 'SHC1', 'STUB1', 'SOS1', 'EGFR', 'PRKAR2A', 'HSP90AA1', 'CHORDC1', 'ERBB2', 'DNAJA1', 'PTGES3', 'CBL', 'UBE2N', 'CDC37']
7	GO:BP	GO:0007173	epidermal growth factor receptor signaling pathway	4.568505510780328e-07	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	108	99	10	15719	0.101010101010101	0.0925925925925925	query_1	['GO:0038127']	['SHC1', 'SOS1', 'GAB1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'SHC3', 'GAREM1', 'CBL']
8	GO:BP	GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	4.568505510780328e-07	True	"""Any process that modulates the establishment or extent of a membrane potential in the polarizing direction towards the resting potential in a ventricular cardiomyocyte."" [GOC:BHF, GOC:dph, GOC:mtg_cardiac_conduct_nov11, GOC:tb]"	19	99	6	15719	0.0606060606060606	0.3157894736842105	query_1	['GO:0099623', 'GO:0099625']	['KCNE5', 'KCNH2', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
34	REAC	REAC:R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	5.077230063714741e-07	True	Vasopressin regulates renal water homeostasis via Aquaporins	43	77	7	10022	0.0909090909090909	0.1627906976744186	query_1	['REAC:R-HSA-445717']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
35	REAC	REAC:R-HSA-8863795	Downregulation of ERBB2 signaling	5.492727554285107e-07	True	Downregulation of ERBB2 signaling	26	77	6	10022	0.0779220779220779	0.2307692307692307	query_1	['REAC:R-HSA-1227986']	['STUB1', 'EGFR', 'HSP90AA1', 'USP8', 'ERBB2', 'CDC37']
36	REAC	REAC:R-HSA-9634597	GPER1 signaling	5.676504484770633e-07	True	GPER1 signaling	44	77	7	10022	0.0909090909090909	0.1590909090909091	query_1	['REAC:R-HSA-418555']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
37	REAC	REAC:R-HSA-3371568	Attenuation phase	6.736830541919563e-07	True	Attenuation phase	14	77	5	10022	0.0649350649350649	0.3571428571428571	query_1	['REAC:R-HSA-3371571']	['HSPA1A', 'HSP90AB1', 'HSP90AA1', 'HSPA8', 'PTGES3']
40	REAC	REAC:R-HSA-177929	Signaling by EGFR	9.60426416896688e-07	True	Signaling by EGFR	48	77	7	10022	0.0909090909090909	0.1458333333333333	query_1	['REAC:R-HSA-9006934']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'PLCG1', 'CBL']
39	REAC	REAC:R-HSA-5576893	Phase 2 - plateau phase	9.60426416896688e-07	True	Phase 2 - plateau phase	15	77	5	10022	0.0649350649350649	0.3333333333333333	query_1	['REAC:R-HSA-5576891']	['KCNE5', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
38	REAC	REAC:R-HSA-112043	PLC beta mediated events	9.60426416896688e-07	True	PLC beta mediated events	48	77	7	10022	0.0909090909090909	0.1458333333333333	query_1	['REAC:R-HSA-112040']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
41	REAC	REAC:R-HSA-163685	Integration of energy metabolism	1.3145323672236578e-06	True	Integration of energy metabolism	105	77	9	10022	0.1168831168831168	0.0857142857142857	query_1	['REAC:R-HSA-1430728']	['AKAP5', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'KCNB1', 'PRKACG', 'PRKAR2A', 'PRKACA']
42	REAC	REAC:R-HSA-445717	Aquaporin-mediated transport	1.413697968036108e-06	True	Aquaporin-mediated transport	51	77	7	10022	0.0909090909090909	0.1372549019607843	query_1	['REAC:R-HSA-382551']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
9	GO:BP	GO:0099623	regulation of cardiac muscle cell membrane repolarization	1.4185635308730846e-06	True	"""Any process that modulates the establishment or extent of a change in membrane potential in the polarizing direction towards the resting potential in a cardiomyocyte."" [GOC:BHF, GOC:dos, GOC:rl]"	23	99	6	15719	0.0606060606060606	0.2608695652173913	query_1	['GO:0060306', 'GO:0099622']	['KCNE5', 'KCNH2', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
10	GO:BP	GO:0099625	ventricular cardiac muscle cell membrane repolarization	1.7107554771717363e-06	True	"""The process in which ions are transported across the plasma membrane of a ventricular cardiac muscle cell such that the membrane potential changes in the repolarizing direction, toward the steady state potential. For example, the repolarization during an action potential is from a positive membrane potential towards a negative resting potential."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]"	24	99	6	15719	0.0606060606060606	0.25	query_1	['GO:0099622']	['KCNE5', 'KCNH2', 'KCNE2', 'AKAP9', 'KCNQ1', 'KCNE1']
43	REAC	REAC:R-HSA-112040	G-protein mediated events	1.8170031417781897e-06	True	G-protein mediated events	53	77	7	10022	0.0909090909090909	0.1320754716981132	query_1	['REAC:R-HSA-111885']	['PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'PRKACB', 'PRKACG', 'PRKAR2A', 'PRKACA']
11	GO:BP	GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential	2.603637343755067e-06	True	"""The process in which ions are transported across a membrane such that the ventricular cardiomyocyte membrane potential changes in the direction from the positive membrane potential at the peak of the action potential towards the negative resting potential."" [GOC:BHF, GOC:dph, GOC:mtg_cardiac_conduct_nov11, GOC:tb]"	13	99	5	15719	0.0505050505050505	0.3846153846153846	query_1	['GO:0086005', 'GO:0086013', 'GO:0099625']	['KCNE5', 'KCNH2', 'KCNE2', 'KCNQ1', 'KCNE1']
12	GO:BP	GO:0006986	response to unfolded protein	2.603637343755067e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus."" [GOC:jl]"	134	99	10	15719	0.101010101010101	0.0746268656716417	query_1	['GO:0035966']	['HSPA1A', 'PIK3R1', 'HSP90AB1', 'HSPH1', 'STUB1', 'HSPB8', 'HSP90AA1', 'DNAJA1', 'HSPA8', 'BAG3']
13	GO:BP	GO:0042026	protein refolding	2.911433072912064e-06	True	"""The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones."" [GOC:mb]"	27	99	6	15719	0.0606060606060606	0.2222222222222222	query_1	['GO:0006457']	['HSPA1A', 'DNAJA2', 'DNAJA4', 'HSP90AA1', 'DNAJA1', 'HSPA8']
4	GO:CC	GO:0140535	intracellular protein-containing complex	4.862631113352135e-06	True	"""A protein-containing complex located intracellularly."" [GOC:pg]"	904	98	21	16420	0.2142857142857142	0.0232300884955752	query_1	['GO:0032991']	['STIP1', 'HSP90AB1', 'PRKAR1B', 'PRKAR1A', 'PRKAR2B', 'STUB1', 'PRKACB', 'UBE4B', 'HSPB8', 'FTL', 'PRKAR2A', 'FTH1', 'UBE2V2', 'UBE2D2', 'PRKACA', 'HSPA8', 'PTGES3', 'BAG3', 'PDCD6', 'UBE2N', 'CDC37']
45	REAC	REAC:R-HSA-5655291	Signaling by FGFR4 in disease	5.021102451836338e-06	True	Signaling by FGFR4 in disease	9	77	4	10022	0.0519480519480519	0.4444444444444444	query_1	['REAC:R-HSA-1226099']	['PIK3R1', 'SOS1', 'GAB1', 'PLCG1']
