Thanatophoric dysplasia type 1	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
3	GO:BP	GO:0018108	peptidyl-tyrosine phosphorylation	1.7282592135276686e-14	True	"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]"	362	96	23	15719	0.2395833333333333	0.0635359116022099	query_1	['GO:0006468', 'GO:0018212']	['MET', 'SRC', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'DVL2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'DOCK3', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
0	GO:CC	GO:0005829	cytosol	2.7146369006774943e-14	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5250	97	71	16420	0.7319587628865979	0.0135238095238095	query_1	['GO:0005737', 'GO:0110165']	['CYS1', 'RAPGEF1', 'LATS1', 'EPS15L1', 'NCK1', 'BCAR1', 'DOCK1', 'TBC1D13', 'SRC', 'CYCS', 'PIK3R1', 'UNC119B', 'WIPF3', 'CRK', 'APAF1', 'NPHP4', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'RPGRIP1L', 'WIPF1', 'NPHP1', 'PXN', 'ASAP1', 'WIPF2', 'FYN', 'B9D1', 'CENPN', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'GSTK1', 'LYN', 'SHB', 'GRB2', 'DVL2', 'CORO1B', 'LCP2', 'CASP9', 'APIP', 'SPATA7', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CYB5R3', 'HTRA2', 'GNAT1', 'SH3GL2', 'CRKL', 'XIAP', 'DOCK3', 'HAP1', 'B9D2', 'DIABLO', 'PTK2', 'DOCK2', 'LCK', 'CYB5A', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'NCK2', 'ELMO2']
4	GO:BP	GO:0035556	intracellular signal transduction	4.8843105476039085e-14	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	96	51	15719	0.53125	0.0200392927308447	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'DOCK1', 'SRC', 'CYCS', 'PIK3R1', 'CRK', 'APAF1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'SLC44A2', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'UACA', 'LYN', 'FGFR3', 'GRB2', 'DVL2', 'LCP2', 'CASP9', 'ARL3', 'EGFR', 'APIP', 'VAV1', 'NEK8', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'HTRA2', 'CRKL', 'XIAP', 'DOCK3', 'DIABLO', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
7	REAC	REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	7.18717709305561e-14	True	VEGFA-VEGFR2 Pathway	94	84	15	10022	0.1785714285714285	0.1595744680851064	query_1	['REAC:R-HSA-194138']	['NCK1', 'BCAR1', 'DOCK1', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'SHB', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'ELMO1', 'NCK2', 'ELMO2']
5	GO:BP	GO:0051345	positive regulation of hydrolase activity	7.586176123709103e-14	True	"""Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds."" [GOC:ai]"	548	96	26	15719	0.2708333333333333	0.0474452554744525	query_1	['GO:0043085', 'GO:0051336']	['RAPGEF1', 'TBC1D13', 'CYCS', 'CRK', 'APAF1', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'RP2', 'DIABLO', 'LCK', 'PDGFRA']
6	GO:BP	GO:0043085	positive regulation of catalytic activity	1.2259050457908373e-13	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1078	96	34	15719	0.3541666666666667	0.0315398886827458	query_1	['GO:0044093', 'GO:0050790']	['MET', 'RAPGEF1', 'TBC1D13', 'SRC', 'CYCS', 'CRK', 'APAF1', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'LAT', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'LCP2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'RP2', 'DOCK3', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'PDGFRA']
8	REAC	REAC:R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	1.3319705030536858e-13	True	Interleukin-3, Interleukin-5 and GM-CSF signaling	47	84	12	10022	0.1428571428571428	0.2553191489361702	query_1	['REAC:R-HSA-449147']	['RAPGEF1', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'CRKL', 'CBL', 'PTPN11']
7	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.420590405965955e-13	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	96	51	15719	0.53125	0.0193328278999241	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'TMEM231', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'RPGRIP1L', 'PXN', 'FYN', 'B9D1', 'LAT', 'ZAP70', 'LYN', 'FGFR3', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'ARL3', 'EGFR', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'XIAP', 'HAP1', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'INVS']
9	REAC	REAC:R-HSA-177929	Signaling by EGFR	1.5877328085433293e-13	True	Signaling by EGFR	48	84	12	10022	0.1428571428571428	0.25	query_1	['REAC:R-HSA-9006934']	['EPS15L1', 'SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'EGFR', 'PLCG1', 'SH3KBP1', 'SH3GL2', 'CBL', 'PTPN11']
8	GO:BP	GO:0050790	regulation of catalytic activity	2.1076976952446412e-13	True	"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]"	1770	96	42	15719	0.4375	0.023728813559322	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'LATS1', 'TBC1D13', 'SRC', 'CYCS', 'PIK3R1', 'CRK', 'APAF1', 'HGF', 'SHC1', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'LAT', 'UACA', 'LYN', 'FGFR3', 'SHB', 'DVL2', 'LCP2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'XIAP', 'RP2', 'DOCK3', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'CBL', 'PDGFRA', 'NCK2']
9	GO:BP	GO:0038093	Fc receptor signaling pathway	2.2958840670853894e-13	True	"""The series of molecular signals initiated by the binding of the Fc portion of an immunoglobulin to an Fc receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, Wikipedia:Fc_receptor]"	57	96	12	15719	0.125	0.2105263157894736	query_1	['GO:0002768']	['RAPGEF1', 'SRC', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'LCK']
10	REAC	REAC:R-HSA-194138	Signaling by VEGF	2.5135926112696533e-13	True	Signaling by VEGF	104	84	15	10022	0.1785714285714285	0.1442307692307692	query_1	['REAC:R-HSA-9006934']	['NCK1', 'BCAR1', 'DOCK1', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'SHB', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'ELMO1', 'NCK2', 'ELMO2']
11	REAC	REAC:R-HSA-162582	Signal Transduction	3.621305067389103e-13	True	Signal Transduction	2438	84	54	10022	0.6428571428571429	0.0221493027071369	query_1	['REAC:0000000']	['MET', 'RAPGEF1', 'LATS1', 'EPS15L1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'PLCG2', 'WASL', 'SOS1', 'RPGRIP1L', 'WIPF1', 'PXN', 'WIPF2', 'FYN', 'CENPN', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'LYN', 'SHB', 'DVL2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'GNAT1', 'SH3GL2', 'CRKL', 'XIAP', 'DOCK3', 'B9D2', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'ELMO2']
12	REAC	REAC:R-HSA-186797	Signaling by PDGF	4.523362016307275e-13	True	Signaling by PDGF	53	84	12	10022	0.1428571428571428	0.2264150943396226	query_1	['REAC:R-HSA-9006934']	['RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PLCG1', 'CRKL', 'PTPN11', 'PDGFRA', 'NCK2']
10	GO:BP	GO:0051336	regulation of hydrolase activity	5.813230091363207e-13	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	933	96	31	15719	0.3229166666666667	0.0332261521972132	query_1	['GO:0050790']	['MET', 'RAPGEF1', 'TBC1D13', 'SRC', 'CYCS', 'CRK', 'APAF1', 'HGF', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'XIAP', 'RP2', 'DIABLO', 'PTK2', 'LCK', 'PDGFRA']
1	GO:CC	GO:0035869	ciliary transition zone	8.098068909276e-13	True	"""A region of the cilium between the basal body and proximal segment that is characterized by Y-shaped assemblages that connect axonemal microtubules to the ciliary membrane. The ciliary transition zone appears to function as a gate that controls ciliary membrane composition and separates the cytosol from the ciliary plasm."" [GOC:cilia, GOC:kmv, PMID:21422230]"	68	97	12	16420	0.1237113402061855	0.1764705882352941	query_1	['GO:0005929', 'GO:0110165']	['TMEM231', 'UNC119B', 'NPHP4', 'RPGRIP1L', 'NPHP1', 'B9D1', 'ARL3', 'SPATA7', 'AHI1', 'GNAT1', 'B9D2', 'RPGRIP1']
11	GO:BP	GO:0007173	epidermal growth factor receptor signaling pathway	8.427307712681932e-13	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	108	96	14	15719	0.1458333333333333	0.1296296296296296	query_1	['GO:0038127']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'NCK2']
13	REAC	REAC:R-HSA-6806834	Signaling by MET	1.2500489468425108e-12	True	Signaling by MET	75	84	13	10022	0.1547619047619047	0.1733333333333333	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'SH3KBP1', 'SH3GL2', 'CRKL', 'PTK2', 'CBL', 'PTPN11']
14	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	1.2966806770641249e-12	True	Regulation of signaling by CBL	21	84	9	10022	0.1071428571428571	0.4285714285714285	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3R1', 'CRK', 'FYN', 'LYN', 'VAV1', 'SYK', 'CRKL', 'CBL']
12	GO:BP	GO:0071363	cellular response to growth factor stimulus	1.3336453314031256e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	96	26	15719	0.2708333333333333	0.0407523510971786	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'LATS1', 'BCAR1', 'SRC', 'CRK', 'APAF1', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'FGFR3', 'GRB2', 'CORO1B', 'EGFR', 'PLCG1', 'ERBB2', 'HTRA2', 'SH3GL2', 'CRKL', 'XIAP', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'PDGFRA']
15	REAC	REAC:R-HSA-9658195	Leishmania infection	2.5927897967744845e-12	True	Leishmania infection	242	84	19	10022	0.2261904761904762	0.0785123966942148	query_1	['REAC:R-HSA-5663205']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'DVL2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
16	REAC	REAC:R-HSA-9006335	Signaling by Erythropoietin	3.1381790560781665e-12	True	Signaling by Erythropoietin	23	84	9	10022	0.1071428571428571	0.391304347826087	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'LYN', 'VAV1', 'PLCG1', 'CRKL']
13	GO:BP	GO:0070848	response to growth factor	3.536120809859504e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	96	26	15719	0.2708333333333333	0.0389805097451274	query_1	['GO:0009719']	['RAPGEF1', 'LATS1', 'BCAR1', 'SRC', 'CRK', 'APAF1', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'FGFR3', 'GRB2', 'CORO1B', 'EGFR', 'PLCG1', 'ERBB2', 'HTRA2', 'SH3GL2', 'CRKL', 'XIAP', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'PDGFRA']
14	GO:BP	GO:0038127	ERBB signaling pathway	3.851975376646648e-12	True	"""The series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptor tyrosine kinases on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:jc, PMID:16460914, Wikipedia:ErbB]"	122	96	14	15719	0.1458333333333333	0.1147540983606557	query_1	['GO:0007169']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'NCK2']
17	REAC	REAC:R-HSA-114604	GPVI-mediated activation cascade	4.631851659039143e-12	True	GPVI-mediated activation cascade	35	84	10	10022	0.119047619047619	0.2857142857142857	query_1	['REAC:R-HSA-76002']	['PIK3R1', 'PLCG2', 'FYN', 'LAT', 'LYN', 'LCP2', 'VAV1', 'SYK', 'LCK', 'PTPN11']
15	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	4.724300100886874e-12	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	305	96	19	15719	0.1979166666666666	0.0622950819672131	query_1	['GO:0002764', 'GO:0007166']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'CRKL', 'PTK2', 'LCK']
16	GO:BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	1.1149253306597187e-11	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of a cell, leading to the activation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	277	96	18	15719	0.1875	0.0649819494584837	query_1	['GO:0002757', 'GO:0002768']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'CRKL', 'PTK2', 'LCK']
17	GO:BP	GO:0044093	positive regulation of molecular function	1.2136970234047089e-11	True	"""Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	1469	96	36	15719	0.375	0.024506466984343	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'TBC1D13', 'SRC', 'CYCS', 'CRK', 'APAF1', 'ITK', 'PLCG2', 'SOS1', 'ASAP1', 'FYN', 'LAT', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'LCP2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'RP2', 'DOCK3', 'HAP1', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'PDGFRA']
19	REAC	REAC:R-HSA-9627069	Regulation of the apoptosome activity	1.9753683089933128e-11	True	Regulation of the apoptosome activity	11	84	7	10022	0.0833333333333333	0.6363636363636364	query_1	['REAC:R-HSA-111458']	['CYCS', 'APAF1', 'UACA', 'CASP9', 'APIP', 'XIAP', 'DIABLO']
18	REAC	REAC:R-HSA-111458	Formation of apoptosome	1.9753683089933128e-11	True	Formation of apoptosome	11	84	7	10022	0.0833333333333333	0.6363636363636364	query_1	['REAC:R-HSA-111461']	['CYCS', 'APAF1', 'UACA', 'CASP9', 'APIP', 'XIAP', 'DIABLO']
18	GO:BP	GO:0007165	signal transduction	5.0587458157536576e-11	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5252	96	67	15719	0.6979166666666666	0.0127570449352627	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'CYCS', 'PIK3R1', 'TMEM231', 'CRK', 'APAF1', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'OSTF1', 'SOS1', 'RPGRIP1L', 'SLC44A2', 'NPHP1', 'PXN', 'FYN', 'B9D1', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'UACA', 'LYN', 'FGFR3', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'CASP9', 'ARL3', 'EGFR', 'APIP', 'AHI1', 'VAV1', 'NEK8', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'SH3GL2', 'CRKL', 'XIAP', 'DOCK3', 'HAP1', 'DIABLO', 'PKD1', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'INVS']
19	GO:BP	GO:0038094	Fc-gamma receptor signaling pathway	7.66546093005079e-11	True	"""The series of molecular signals initiated by the binding of the Fc portion of immunoglobulin G (IgG) to an Fc-gamma receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, PMID:11244038]"	35	96	9	15719	0.09375	0.2571428571428571	query_1	['GO:0038093']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'LCK']
20	REAC	REAC:R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	8.217219888798736e-11	True	Constitutive Signaling by Aberrant PI3K in Cancer	63	84	11	10022	0.1309523809523809	0.1746031746031746	query_1	['REAC:R-HSA-2219528']	['MET', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
