B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	GO:CC	GO:0030659	cytoplasmic vesicle membrane	1.893052189586586e-26	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1158	94	46	16420	0.4893617021276595	0.0397236614853195	query_1	['GO:0012506', 'GO:0031410']	['RAB14', 'RAB34', 'RBSN', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'GGA3', 'EHD2', 'APH1A', 'RAB10', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
5	GO:CC	GO:0012506	vesicle membrane	3.0774542971740424e-26	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1176	94	46	16420	0.4893617021276595	0.0391156462585034	query_1	['GO:0031090', 'GO:0031982']	['RAB14', 'RAB34', 'RBSN', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'GGA3', 'EHD2', 'APH1A', 'RAB10', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
6	GO:CC	GO:0005769	early endosome	4.285192833211634e-24	True	"""A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."" [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]"	397	94	30	16420	0.3191489361702128	0.0755667506297229	query_1	['GO:0005768']	['RAB14', 'RBSN', 'SORT1', 'RUFY1', 'EEA1', 'PSEN1', 'HTT', 'RAB31', 'BACE1', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'EHD3', 'RAB1A', 'GGA2', 'GGA3', 'EHD2', 'APH1A', 'APP', 'EHD1', 'RAB22A', 'PTP4A2']
1	GO:BP	GO:0015031	protein transport	2.659755246470716e-23	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	94	50	15719	0.5319148936170213	0.0327439423706614	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
2	GO:BP	GO:0045184	establishment of protein localization	4.097245060637311e-23	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1636	94	51	15719	0.5425531914893617	0.0311735941320293	query_1	['GO:0008104', 'GO:0051234']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
3	GO:BP	GO:0046907	intracellular transport	3.037056371499132e-22	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1553	94	49	15719	0.5212765957446809	0.0315518351577591	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['RAB14', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'EEA1', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'RAB3A', 'RAB22A', 'RAB6A']
5	REAC	REAC:R-HSA-8854214	TBC/RABGAPs	1.597630973584345e-21	True	TBC/RABGAPs	44	82	16	10022	0.1951219512195122	0.3636363636363636	query_1	['REAC:R-HSA-9007101']	['RAB7A', 'OPTN', 'RAB8A', 'RAB8B', 'RABEP1', 'RAB5B', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'GGA2', 'GGA3', 'TBC1D17', 'RAB35', 'RAB6A']
7	GO:CC	GO:0098588	bounding membrane of organelle	4.522401729585653e-21	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2014	94	51	16420	0.5425531914893617	0.0253227408142999	query_1	['GO:0031090']	['RAB14', 'RAB34', 'GPAM', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'APH1B', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'B4GALT7', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'NAT8', 'GGA3', 'EHD2', 'APH1A', 'RAB10', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
4	GO:BP	GO:0071705	nitrogen compound transport	1.502158261959213e-20	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1969	94	52	15719	0.5531914893617021	0.026409344845099	query_1	['GO:0006810']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'MECP2', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
5	GO:BP	GO:0008104	protein localization	3.209830570451787e-20	True	"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]"	2399	94	56	15719	0.5957446808510638	0.02334305960817	query_1	['GO:0070727']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
6	GO:BP	GO:0070727	cellular macromolecule localization	3.386515974299738e-20	True	"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]"	2409	94	56	15719	0.5957446808510638	0.0232461602324616	query_1	['GO:0033036', 'GO:0051641']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
7	GO:BP	GO:0051649	establishment of localization in cell	7.359971732502254e-19	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2072	94	51	15719	0.5425531914893617	0.0246138996138996	query_1	['GO:0051234', 'GO:0051641']	['RAB14', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'EEA1', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'GDI1', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A']
8	GO:BP	GO:0051641	cellular localization	7.359971732502254e-19	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3251	94	62	15719	0.6595744680851063	0.0190710550599815	query_1	['GO:0009987', 'GO:0051179']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
8	GO:CC	GO:0030139	endocytic vesicle	1.4246394917190625e-18	True	"""A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting."" [GOC:go_curators, PMID:19696797]"	331	94	24	16420	0.2553191489361702	0.0725075528700906	query_1	['GO:0031410']	['RAB14', 'RAB34', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB13', 'RILP', 'EHD3', 'EHD2', 'RAB10', 'RAB35', 'EHD1', 'RAB23', 'RAB22A']
9	GO:BP	GO:0006886	intracellular protein transport	3.622023080134992e-18	True	"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]"	865	94	35	15719	0.3723404255319149	0.0404624277456647	query_1	['GO:0008104', 'GO:0015031', 'GO:0046907']	['RAB14', 'RAB1B', 'SORT1', 'RAB7A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'HPS4', 'RAB8B', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'GGA1', 'NGFR', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'RAB18', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
10	GO:BP	GO:0098876	vesicle-mediated transport to the plasma membrane	3.83808514695904e-18	True	"""The directed movement of substances to the plasma membrane in transport vesicles that fuse with the plasma membrane by exocytosis."" [GOC:dos]"	147	94	19	15719	0.202127659574468	0.1292517006802721	query_1	['GO:0016192', 'GO:0051668']	['RAB14', 'RAB34', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'RAB31', 'RAB8B', 'RABEP1', 'RAB3IP', 'GGA1', 'RAB13', 'EHD3', 'GGA2', 'GGA3', 'EHD2', 'RAB10', 'RAB35', 'EHD1']
11	GO:BP	GO:0033036	macromolecule localization	9.434829466351257e-18	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	2841	94	57	15719	0.6063829787234043	0.0200633579725448	query_1	['GO:0051179']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'OSBPL1A', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'EHD2', 'GDI1', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
9	GO:CC	GO:0012505	endomembrane system	1.3778836044072801e-17	True	"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]"	4431	94	67	16420	0.7127659574468085	0.0151207402392236	query_1	['GO:0110165']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'OSBPL1A', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'B4GALT7', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'NAT8', 'RAB3GAP2', 'GGA3', 'PPFIA3', 'EHD2', 'GDI1', 'APH1A', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
