Nicolaides-Baraitser syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
61	GO:BP	GO:0019222	regulation of metabolic process	2.2236676809237964e-37	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	7345	100	97	21110	0.97	0.0132062627637848	query_1	['GO:0008152', 'GO:0050789']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'CDKN2B', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CBFB', 'CDK5', 'E2F4', 'PPARG', 'CCNB1', 'CDK7', 'RBL1', 'FOXO3', 'CCNE2', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'RXRB', 'NR1H3', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'RIOK1', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2C', 'RCOR1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'SKP2', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'CLNS1A', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
62	GO:MF	GO:0140110	transcription regulator activity	2.659508942830126e-37	True	"""A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."" [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]"	1936	101	64	20195	0.6336633663366337	0.0330578512396694	query_1	['GO:0003674']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'WDR77', 'CREBBP', 'CBFB', 'E2F4', 'PPARG', 'FOXO3', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCND1']
63	GO:CC	GO:0000785	chromatin	3.1491068093483254e-37	True	"""The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."" [GOC:elh, PMID:20404130]"	1369	101	55	22122	0.5445544554455446	0.0401753104455807	query_1	['GO:0005694', 'GO:0110165']	['NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'CREBBP', 'E2F4', 'PPARG', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'NCOR1', 'SMARCC2', 'CDKN2A', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'RARA', 'FOXH1', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'NCOA1']
64	GO:BP	GO:0010468	regulation of gene expression	6.404532098302371e-37	True	"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]"	5491	100	89	21110	0.89	0.0162083409215079	query_1	['GO:0010467', 'GO:0060255']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CBFB', 'CDK5', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'RIOK1', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'CLNS1A', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
65	GO:BP	GO:0009893	positive regulation of metabolic process	1.524353471200772e-36	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3848	100	79	21110	0.79	0.0205301455301455	query_1	['GO:0008152', 'GO:0019222', 'GO:0048518']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'CDK5', 'E2F4', 'PPARG', 'CCNB1', 'CDK7', 'FOXO3', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SKP1', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'RIOK1', 'GPS2', 'HDAC3', 'MNAT1', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'SKP2', 'DRAP1', 'RARA', 'FOXH1', 'CDKN1B', 'CLNS1A', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
66	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	8.639197219404284e-36	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1942	100	62	21110	0.62	0.0319258496395468	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'E2F4', 'PPARG', 'CDK7', 'FOXO3', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'GPS2', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC']
67	GO:CC	GO:0005694	chromosome	4.516307922928266e-35	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1939	101	60	22122	0.594059405940594	0.0309437854564208	query_1	['GO:0043232']	['UBE2I', 'NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'CREBBP', 'E2F4', 'PPARG', 'CCNB1', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'NCOR1', 'CDK1', 'SMARCC2', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'RARA', 'FOXH1', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'NCOA1']
68	GO:BP	GO:0044770	cell cycle phase transition	5.665608961288269e-35	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	560	100	41	21110	0.41	0.0732142857142857	query_1	['GO:0022402']	['CDKN2B', 'AKT1', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'MECP2', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
69	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	9.669354707253258e-35	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	2023	100	62	21110	0.62	0.0306475531389026	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'E2F4', 'PPARG', 'CDK7', 'FOXO3', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'GPS2', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC']
70	GO:BP	GO:0044249	cellular biosynthetic process	4.259596720076956e-34	True	"""The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:jl]"	5521	100	87	21110	0.87	0.0157580148523818	query_1	['GO:0009058', 'GO:0044237']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CBFB', 'CDK5', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'RXRB', 'NR1H3', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
71	GO:BP	GO:0009891	positive regulation of biosynthetic process	5.113638755718286e-34	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	2081	100	62	21110	0.62	0.0297933685728015	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'E2F4', 'PPARG', 'CDK7', 'FOXO3', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'GPS2', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC']
72	GO:MF	GO:0140297	DNA-binding transcription factor binding	5.199051305652471e-34	True	"""Binding to a DNA-binding transcription factor, a protein that interacts with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription."" [GOC:txnOH-2018]"	489	101	39	20195	0.3861386138613861	0.0797546012269938	query_1	['GO:0008134']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'CREBBP', 'PPARG', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'TBL1X', 'NCOR2', 'SIN3A', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'E2F1', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'CDKN2A', 'SP1', 'KAT2B', 'ESR1', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'NCOA1', 'HIPK2']
73	GO:BP	GO:0000278	mitotic cell cycle	7.99454522501843e-34	True	"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]"	922	100	47	21110	0.47	0.0509761388286334	query_1	['GO:0007049']	['UBE2I', 'CDKN2B', 'AKT1', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'HDAC3', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT2B', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
74	GO:BP	GO:0010605	negative regulation of macromolecule metabolic process	8.777085992353775e-34	True	"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	3342	100	73	21110	0.73	0.0218432076600837	query_1	['GO:0009892', 'GO:0043170', 'GO:0060255']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CBFB', 'CDK5', 'PPARG', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'NR1H3', 'CDKN1A', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2C', 'RCOR1', 'CDKN2A', 'CDK2', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'HIPK2', 'CCND1']
75	GO:CC	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	1.7400788268916108e-33	True	"""Cyclin-dependent protein kinases (CDKs) are enzyme complexes that contain a kinase catalytic subunit associated with a regulatory cyclin partner."" [GOC:krc, PMID:11602261]"	55	101	21	22122	0.2079207920792079	0.3818181818181818	query_1	['GO:1902554']	['CKS1B', 'CDK5', 'CCNB1', 'CDK7', 'CCNE2', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDK1', 'SNW1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1', 'CCNC']
76	GO:BP	GO:1903047	mitotic cell cycle process	2.0062331973346278e-33	True	"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	766	100	44	21110	0.44	0.0574412532637075	query_1	['GO:0000278', 'GO:0022402']	['UBE2I', 'CDKN2B', 'AKT1', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT2B', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
77	GO:BP	GO:0051726	regulation of cell cycle	2.8524702826938404e-32	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1130	100	49	21110	0.49	0.043362831858407	query_1	['GO:0007049', 'GO:0050794']	['CDKN2B', 'AKT1', 'CKS1B', 'CDK8', 'CDK5', 'CCNB1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'SIN3A', 'CDKN2D', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'HDAC3', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT2B', 'CCND3', 'SKP2', 'RARA', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMARCC1', 'SKIL', 'CDK6', 'HIPK2', 'CCND1']
78	GO:BP	GO:0009892	negative regulation of metabolic process	6.564837798959702e-32	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3559	100	73	21110	0.73	0.0205113796010115	query_1	['GO:0008152', 'GO:0019222', 'GO:0048519']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'CDKN2B', 'TGIF1', 'AKT1', 'CREBBP', 'CBFB', 'CDK5', 'PPARG', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'NR1H3', 'CDKN1A', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2C', 'RCOR1', 'CDKN2A', 'CDK2', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'HIPK2', 'CCND1']
79	GO:BP	GO:1901576	organic substance biosynthetic process	9.6328851125375e-32	True	"""The chemical reactions and pathways resulting in the formation of an organic substance, any molecular entity containing carbon."" [GOC:pr, GOC:TermGenie]"	5894	100	87	21110	0.87	0.014760773668137	query_1	['GO:0009058', 'GO:0071704']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CBFB', 'CDK5', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'RXRB', 'NR1H3', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
80	GO:BP	GO:0009058	biosynthetic process	2.7388142749894407e-31	True	"""The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]"	5969	100	87	21110	0.87	0.0145753057463561	query_1	['GO:0008152']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'CBFB', 'CDK5', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'RXRB', 'NR1H3', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'SMARCB1', 'SMAD4', 'E2F6', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
81	WP	WP:WP45	G1 to S cell cycle control	3.541799280423346e-31	True	G1 to S cell cycle control	64	93	25	8133	0.2688172043010752	0.390625	query_1	['WP:000000']	['CDKN2B', 'CCNB1', 'CDK7', 'CCNE2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F2', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'CDK6', 'CCND1']
