GAPO syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	GO:BP	GO:0048284	organelle fusion	7.881009505244911e-37	True	"""The creation of a single organelle from two or more organelles."" [GOC:jid]"	151	98	31	15719	0.3163265306122449	0.2052980132450331	query_1	['GO:0006996']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
5	GO:BP	GO:0061025	membrane fusion	1.4901230583399209e-36	True	"""The membrane organization process that joins two lipid bilayers to form a single membrane."" [GOC:dph, GOC:tb]"	174	98	32	15719	0.3265306122448979	0.1839080459770115	query_1	['GO:0061024']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'RAB3A', 'STX5']
6	GO:BP	GO:0071705	nitrogen compound transport	6.574222841139761e-32	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1969	98	64	15719	0.6530612244897959	0.0325038090401218	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
8	GO:BP	GO:0061024	membrane organization	1.4997642299136803e-31	True	"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."" [GOC:dph, GOC:tb]"	785	98	46	15719	0.4693877551020408	0.0585987261146496	query_1	['GO:0016043']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'HGS', 'ATP10D', 'ATP10A', 'COLEC12', 'PICALM', 'STAM2', 'GOSR2', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'SH3BP1', 'ATP10B', 'STX10', 'STX3', 'STAM', 'VAMP4', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'RAB3A', 'STX5']
7	GO:BP	GO:0015031	protein transport	1.4997642299136803e-31	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	98	58	15719	0.5918367346938775	0.0379829731499672	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
6	GO:CC	GO:0030135	coated vesicle	5.604785326524176e-31	True	"""Small membrane-bounded organelle formed by pinching off of a coated region of membrane. Some coats are made of clathrin, whereas others are made from other proteins."" [ISBN:0815316194]"	300	101	33	16420	0.3267326732673267	0.11	query_1	['GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT1', 'PICALM', 'CLTC', 'GOSR2', 'VAMP2', 'STX6', 'PACS1', 'SLC17A7', 'AP1S1', 'AP1M2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'AP1S3', 'HEATR5B', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'AFTPH', 'VAMP8', 'FURIN', 'RAB3A', 'STX5']
7	GO:CC	GO:0030658	transport vesicle membrane	9.5747364737699e-31	True	"""The lipid bilayer surrounding a transport vesicle."" [GOC:mah]"	222	101	30	16420	0.297029702970297	0.1351351351351351	query_1	['GO:0030133', 'GO:0030659', 'GO:0098588']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT1', 'CLTC', 'GOSR2', 'VAMP2', 'TMEM30A', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'AP1M2', 'STX10', 'SYNRG', 'AP1G1', 'SLC18A3', 'AP1S3', 'AP1S2', 'VAMP1', 'AP1M1', 'SEC22B', 'STX12', 'SNAP47', 'AFTPH', 'STX16', 'RAB3A', 'STX5']
9	GO:BP	GO:0051649	establishment of localization in cell	9.855487404949341e-31	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2072	98	64	15719	0.6530612244897959	0.0308880308880308	query_1	['GO:0051234', 'GO:0051641']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'TINAGL1', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
8	GO:CC	GO:0005802	trans-Golgi network	1.2030084848502111e-30	True	"""The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."" [GOC:vw, ISBN:0815316194]"	251	101	31	16420	0.3069306930693069	0.1235059760956175	query_1	['GO:0098791']	['VAMP7', 'AP1B1', 'VTI1A', 'CLTC', 'VPS52', 'VAMP2', 'ATP8B1', 'ATP11A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'AP1G1', 'VAMP4', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'AFTPH', 'STX16', 'EIPR1', 'STX8', 'FURIN', 'VPS51']
9	GO:CC	GO:0098791	Golgi apparatus subcompartment	4.796975071878719e-30	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of the Golgi apparatus."" [GOC:dos]"	356	101	34	16420	0.3366336633663366	0.095505617977528	query_1	['GO:0005794', 'GO:0031984']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'B4GALNT4', 'CLTC', 'VPS52', 'VAMP2', 'ATP8B1', 'ATP11A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'AP1G1', 'VAMP4', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'AFTPH', 'STX16', 'EIPR1', 'STX8', 'FURIN', 'VPS51']
10	GO:BP	GO:0045184	establishment of protein localization	5.3250679483221975e-30	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1636	98	58	15719	0.5918367346938775	0.0354523227383863	query_1	['GO:0008104', 'GO:0051234']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
0	REAC	REAC:R-HSA-199991	Membrane Trafficking	7.244589498268854e-30	True	Membrane Trafficking	617	82	44	10022	0.5365853658536586	0.0713128038897893	query_1	['REAC:R-HSA-5653656']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'STX4', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'VAMP8', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
1	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	7.244589498268854e-30	True	Vesicle-mediated transport	661	82	45	10022	0.5487804878048781	0.0680786686838124	query_1	['REAC:0000000']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'STX4', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'VAMP8', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
10	GO:CC	GO:0031982	vesicle	3.9452601790469444e-29	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3794	101	78	16420	0.7722772277227723	0.0205587770163415	query_1	['GO:0043227']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'TINAGL1', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'PILRA', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'PACS1', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'NID2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
11	GO:CC	GO:0098588	bounding membrane of organelle	5.393785643806125e-29	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2014	101	61	16420	0.6039603960396039	0.0302879841112214	query_1	['GO:0031090']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'DNM2', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
12	GO:CC	GO:0030136	clathrin-coated vesicle	7.761638426326351e-29	True	"""A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."" [GOC:mah, PMID:11252894]"	206	101	28	16420	0.2772277227722772	0.1359223300970873	query_1	['GO:0030135']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1A', 'SYT1', 'PICALM', 'CLTC', 'VAMP2', 'STX6', 'SLC17A7', 'AP1S1', 'AP1M2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'AP1S3', 'HEATR5B', 'AP1S2', 'VAMP3', 'AP1M1', 'HSPA8', 'AFTPH', 'VAMP8', 'FURIN', 'RAB3A']
11	GO:BP	GO:0071702	organic substance transport	1.0757418446096203e-28	True	"""The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."" [GOC:mah]"	2638	98	68	15719	0.6938775510204082	0.0257771038665655	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'ATP10D', 'ATP10A', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
