GAPO syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
14	GO:BP	GO:0071705	nitrogen compound transport	2.2912188391484764e-33	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1966	101	64	17376	0.6336633663366337	0.0325534079348931	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
15	GO:BP	GO:0015031	protein transport	7.114156372912897e-33	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1525	101	58	17376	0.5742574257425742	0.0380327868852459	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
16	GO:BP	GO:0061024	membrane organization	1.4246423667004654e-32	True	"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."" [GOC:dph, GOC:tb]"	791	101	46	17376	0.4554455445544554	0.0581542351453855	query_1	['GO:0016043']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'HGS', 'ATP10D', 'ATP10A', 'COLEC12', 'PICALM', 'STAM2', 'GOSR2', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'SH3BP1', 'ATP10B', 'STX10', 'STX3', 'STAM', 'VAMP4', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'RAB3A', 'STX5']
17	GO:BP	GO:0051649	establishment of localization in cell	3.5798197526352915e-32	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2070	101	64	17376	0.6336633663366337	0.0309178743961352	query_1	['GO:0051234', 'GO:0051641']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'TINAGL1', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
18	GO:CC	GO:0030135	coated vesicle	9.182967708128403e-32	True	"""Small membrane-bounded organelle formed by pinching off of a coated region of membrane. Some coats are made of clathrin, whereas others are made from other proteins."" [ISBN:0815316194]"	300	101	33	17376	0.3267326732673267	0.11	query_1	['GO:0031410']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT1', 'PICALM', 'CLTC', 'GOSR2', 'VAMP2', 'STX6', 'PACS1', 'SLC17A7', 'AP1S1', 'AP1M2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'AP1S3', 'HEATR5B', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'AFTPH', 'VAMP8', 'FURIN', 'RAB3A', 'STX5']
19	GO:CC	GO:0030658	transport vesicle membrane	1.831202320169864e-31	True	"""The lipid bilayer surrounding a transport vesicle."" [GOC:mah]"	222	101	30	17376	0.297029702970297	0.1351351351351351	query_1	['GO:0030133', 'GO:0030659', 'GO:0098588']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT1', 'CLTC', 'GOSR2', 'VAMP2', 'TMEM30A', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'AP1M2', 'STX10', 'SYNRG', 'AP1G1', 'SLC18A3', 'AP1S3', 'AP1S2', 'VAMP1', 'AP1M1', 'SEC22B', 'STX12', 'SNAP47', 'AFTPH', 'STX16', 'RAB3A', 'STX5']
20	GO:BP	GO:0045184	establishment of protein localization	2.2830220444783376e-31	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1634	101	58	17376	0.5742574257425742	0.0354957160342717	query_1	['GO:0008104', 'GO:0051234']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
21	GO:CC	GO:0005802	trans-Golgi network	2.483929526630472e-31	True	"""The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."" [GOC:vw, ISBN:0815316194]"	252	101	31	17376	0.3069306930693069	0.123015873015873	query_1	['GO:0098791']	['VAMP7', 'AP1B1', 'VTI1A', 'CLTC', 'VPS52', 'VAMP2', 'ATP8B1', 'ATP11A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'AP1G1', 'VAMP4', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'AFTPH', 'STX16', 'EIPR1', 'STX8', 'FURIN', 'VPS51']
22	GO:CC	GO:0031982	vesicle	6.8302579189039105e-31	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3792	101	78	17376	0.7722772277227723	0.0205696202531645	query_1	['GO:0043227']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'TINAGL1', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'HGS', 'COLEC12', 'PICALM', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'PILRA', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'PACS1', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'NID2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
23	GO:CC	GO:0098791	Golgi apparatus subcompartment	6.8302579189039105e-31	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of the Golgi apparatus."" [GOC:dos]"	356	101	34	17376	0.3366336633663366	0.095505617977528	query_1	['GO:0005794', 'GO:0031984']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1A', 'B4GALNT4', 'CLTC', 'VPS52', 'VAMP2', 'ATP8B1', 'ATP11A', 'STX6', 'VPS54', 'AP1S1', 'AP1M2', 'STX10', 'AP1G1', 'VAMP4', 'DNM2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'AFTPH', 'STX16', 'EIPR1', 'STX8', 'FURIN', 'VPS51']
24	GO:CC	GO:0098588	bounding membrane of organelle	2.092066632100101e-30	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2011	101	61	17376	0.6039603960396039	0.0303331675783192	query_1	['GO:0031090']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'HGS', 'COLEC12', 'STAM2', 'DOK3', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'DNM2', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
25	GO:BP	GO:0071702	organic substance transport	3.741267987960595e-30	True	"""The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."" [GOC:mah]"	2637	101	68	17376	0.6732673267326733	0.0257868790291998	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'ATP10D', 'ATP10A', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
26	GO:CC	GO:0030136	clathrin-coated vesicle	1.6589086507756005e-29	True	"""A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."" [GOC:mah, PMID:11252894]"	206	101	28	17376	0.2772277227722772	0.1359223300970873	query_1	['GO:0030135']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1A', 'SYT1', 'PICALM', 'CLTC', 'VAMP2', 'STX6', 'SLC17A7', 'AP1S1', 'AP1M2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'AP1S3', 'HEATR5B', 'AP1S2', 'VAMP3', 'AP1M1', 'HSPA8', 'AFTPH', 'VAMP8', 'FURIN', 'RAB3A']
