Geroderma osteodysplastica	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-1643685	Disease	1.4825578691296208e-30	True	Disease	1725	100	58	17376	0.58	0.0336231884057971	query_1	['REAC:0000000']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'FGFR2', 'ITGB3', 'PIK3R1', 'WIPF3', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'WIPF1', 'ITGA2B', 'SQSTM1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'TRAF6', 'TLN1', 'TGFBR1', 'PTK2', 'DOCK2', 'LCK', 'BLNK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'PDGFRA', 'ELMO2']
11	REAC	REAC:R-HSA-194138	Signaling by VEGF	1.5104246086433675e-30	True	Signaling by VEGF	104	100	24	17376	0.24	0.2307692307692307	query_1	['REAC:R-HSA-9006934']	['NCK1', 'PIK3CB', 'ITGAV', 'PIK3R2', 'BCAR1', 'DOCK1', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'PXN', 'FYN', 'SHB', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'PRKCZ', 'ELMO1', 'NCK2', 'ELMO2']
12	REAC	REAC:R-HSA-109582	Hemostasis	2.474097986953477e-30	True	Hemostasis	606	100	40	17376	0.4	0.066006600660066	query_1	['REAC:0000000']	['ITGB1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'DOCK8', 'FYN', 'LAT', 'DOCK4', 'LYN', 'LCP2', 'PIK3CA', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'PIK3R3', 'DOCK3', 'TLN1', 'PTK2', 'DOCK2', 'LCK', 'PRKCZ', 'DOCK5', 'PTPN11', 'F11R']
13	GO:BP	GO:0006468	protein phosphorylation	3.98357206477581e-30	True	"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	1479	100	55	17376	0.55	0.0371872887085868	query_1	['GO:0016310', 'GO:0036211']	['MET', 'NCK1', 'PIK3CB', 'FN1', 'KITLG', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ABL2', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
14	GO:BP	GO:0007155	cell adhesion	3.98357206477581e-30	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1407	100	54	17376	0.54	0.0383795309168443	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'TGFBR2', 'ABL2', 'ITGA2B', 'ITGA5', 'PXN', 'DOCK8', 'FYN', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'TRAF6', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
15	GO:BP	GO:0007165	signal transduction	1.1918158738408835e-29	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5250	100	87	17376	0.87	0.0165714285714285	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'KLHDC10', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'DOCK8', 'FYN', 'PRKCI', 'GORAB', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
16	GO:BP	GO:0048584	positive regulation of response to stimulus	1.7612021257164074e-29	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2115	100	62	17376	0.62	0.0293144208037825	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'KLHDC10', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'KITLG', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'PRKCI', 'GORAB', 'WAS', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'TRAF6', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
17	GO:BP	GO:0016310	phosphorylation	2.5355133901550496e-29	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1701	100	57	17376	0.57	0.0335097001763668	query_1	['GO:0006796']	['MET', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'KITLG', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ABL2', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
18	GO:BP	GO:0001775	cell activation	2.913057627935283e-29	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1063	100	48	17376	0.48	0.0451552210724365	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'KITLG', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'DOCK8', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'TRAF6', 'TLN1', 'TGFBR1', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
19	GO:BP	GO:0040011	locomotion	6.48228363511836e-29	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1283	100	51	17376	0.51	0.0397505845674201	query_1	['GO:0008150']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'PRAG1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA5', 'DOCK8', 'PARD6B', 'FYN', 'WAS', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'DOCK2', 'SMAD3', 'DOCK5', 'PDGFRA', 'ELMO2']
20	REAC	REAC:R-HSA-168256	Immune System	7.429059901418063e-29	True	Immune System	1957	100	59	17376	0.59	0.030148185998978	query_1	['REAC:0000000']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'SMAD7', 'PIK3R1', 'WIPF3', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'PIK3CD', 'WIPF1', 'ABL2', 'SQSTM1', 'WIPF2', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'PIK3CA', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'PTK2', 'DOCK2', 'LCK', 'BLNK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'ELMO2']
21	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	9.202928557811102e-29	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	100	22	17376	0.22	0.247191011235955	query_1	['REAC:R-HSA-168249']	['NCK1', 'PIK3CB', 'PIK3R2', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
22	GO:BP	GO:0030335	positive regulation of cell migration	1.273693525399404e-28	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	100	37	17376	0.37	0.0719844357976653	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['RHOJ', 'MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA5', 'DOCK8', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'HRAS', 'PLCG1', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
23	REAC	REAC:R-HSA-186763	Downstream signal transduction	1.302304694507443e-28	True	Downstream signal transduction	26	100	16	17376	0.16	0.6153846153846154	query_1	['REAC:R-HSA-186797']	['RAPGEF1', 'NCK1', 'PIK3CB', 'PIK3R2', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PIK3CA', 'HRAS', 'PLCG1', 'CRKL', 'PTPN11', 'NCK2', 'PDGFRA']
24	GO:BP	GO:0023052	signaling	2.38794056043747e-28	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	5661	100	88	17376	0.88	0.0155449567214273	query_1	['GO:0050789']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'KLHDC10', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'DOCK8', 'FYN', 'PRKCI', 'GORAB', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
25	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	2.515293694190689e-28	True	Regulation of signaling by CBL	21	100	15	17376	0.15	0.7142857142857143	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'CBL']
