Myoclonic-astatic epilepsy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
6	GO:CC	GO:0005905	clathrin-coated pit	3.6450912973099283e-19	True	"""A part of the endomembrane system in the form of an invagination of a membrane upon which a clathrin coat forms, and that can be converted by vesicle budding into a clathrin-coated vesicle. Coated pits form on the plasma membrane, where they are involved in receptor-mediated selective transport of many proteins and other macromolecules across the cell membrane, in the trans-Golgi network, and on some endosomes."" [GOC:mah, ISBN:0198506732, NIF_Subcellular:sao1969557946, PMID:10559856, PMID:17284835]"	72	104	16	16420	0.1538461538461538	0.2222222222222222	query_1	['GO:0012505', 'GO:0098590']	['LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LRP1', 'TF', 'AP2A1', 'APP', 'DAB2', 'NUMB']
2	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	1.1071225449089306e-18	True	Extracellular matrix organization	284	99	28	10022	0.2828282828282828	0.0985915492957746	query_1	['REAC:0000000']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'LRP4', 'LTBP1', 'LOX', 'ITGA2B', 'ITGA5', 'FBLN5', 'FBLN2', 'FBN1', 'FGB', 'FBN2', 'FGG', 'MUSK', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'APP', 'ELN']
8	GO:CC	GO:0030312	external encapsulating structure	1.4946844644963676e-17	True	"""A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space."" [GOC:go_curators]"	499	104	28	16420	0.2692307692307692	0.0561122244488977	query_1	['GO:0071944', 'GO:0110165']	['APOC3', 'FN1', 'FGA', 'TGFB3', 'APOE', 'LTBP1', 'LOX', 'AGT', 'ITIH2', 'FBLN5', 'FBLN2', 'APOA1', 'FBN1', 'ORM2', 'FGB', 'FBN2', 'FGG', 'APOA4', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'SERPINA1', 'VTN', 'A1BG', 'ELN', 'HPX', 'ORM1']
7	GO:CC	GO:0031012	extracellular matrix	1.4946844644963676e-17	True	"""A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."" [GOC:BHF, GOC:mah, GOC:rph, NIF_Subcellular:nlx_subcell_20090513, PMID:21123617, PMID:28089324]"	499	104	28	16420	0.2692307692307692	0.0561122244488977	query_1	['GO:0030312']	['APOC3', 'FN1', 'FGA', 'TGFB3', 'APOE', 'LTBP1', 'LOX', 'AGT', 'ITIH2', 'FBLN5', 'FBLN2', 'APOA1', 'FBN1', 'ORM2', 'FGB', 'FBN2', 'FGG', 'APOA4', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'SERPINA1', 'VTN', 'A1BG', 'ELN', 'HPX', 'ORM1']
9	GO:CC	GO:0005576	extracellular region	2.423537545800303e-16	True	"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]"	3767	104	65	16420	0.625	0.0172551101672418	query_1	['GO:0110165']	['C3', 'ITGB1', 'APOC3', 'NTS', 'TCN2', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'HBD', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'LTBP1', 'LOX', 'ITGA2B', 'HFE', 'SYNE2', 'MYO6', 'LDLR', 'PCSK9', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'FBN1', 'ORM2', 'HP', 'FGB', 'APOA2', 'FBN2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'MFAP2', 'MFAP5', 'NLN', 'SERPINA1', 'VTN', 'APOC2', 'TLN1', 'LRP8', 'APP', 'CP', 'A1BG', 'ALB', 'ELN', 'HPX', 'ORM1']
3	REAC	REAC:R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	3.2884516342645875e-16	True	Plasma lipoprotein assembly, remodeling, and clearance	69	99	16	10022	0.1616161616161616	0.2318840579710145	query_1	['REAC:R-HSA-382551']	['APOC3', 'CLTC', 'AP2M1', 'APOE', 'AP2B1', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'APOA1', 'AP2A1', 'APOA2', 'APOA4', 'APOC2', 'ALB']
12	GO:CC	GO:0065010	extracellular membrane-bounded organelle	6.857913974433262e-16	True	"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]"	2045	104	48	16420	0.4615384615384615	0.0234718826405868	query_1	['GO:0043227', 'GO:0043230']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
11	GO:CC	GO:1903561	extracellular vesicle	6.857913974433262e-16	True	"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]"	2044	104	48	16420	0.4615384615384615	0.0234833659491193	query_1	['GO:0031982', 'GO:0065010']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
10	GO:CC	GO:0043230	extracellular organelle	6.857913974433262e-16	True	"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]"	2045	104	48	16420	0.4615384615384615	0.0234718826405868	query_1	['GO:0005576', 'GO:0043226']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'FBLN2', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
13	GO:CC	GO:0098552	side of membrane	8.851713978782424e-16	True	"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]"	593	104	28	16420	0.2692307692307692	0.0472175379426644	query_1	['GO:0016020', 'GO:0110165']	['ITGB1', 'TCN2', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'LRP2', 'AP2M1', 'TFRC', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'FYN', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'NTSR1', 'TF', 'TFR2', 'AP2A1', 'FGB', 'FGR', 'FGG', 'PTK2', 'ITGB6']
14	GO:CC	GO:0070062	extracellular exosome	2.2616727955422573e-15	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2021	104	47	16420	0.4519230769230769	0.0232558139534883	query_1	['GO:0005615', 'GO:1903561']	['C3', 'ITGB1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'ITGA2B', 'SYNE2', 'MYO6', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
15	GO:CC	GO:0005615	extracellular space	2.8900259995467017e-15	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3044	104	57	16420	0.5480769230769231	0.0187253613666228	query_1	['GO:0005576', 'GO:0110165']	['C3', 'ITGB1', 'APOC3', 'TCN2', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'HBD', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'LOX', 'ITGA2B', 'HFE', 'SYNE2', 'MYO6', 'LDLR', 'PCSK9', 'AGT', 'ITIH2', 'FBLN5', 'CFH', 'APOA1', 'TF', 'FBN1', 'ORM2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'AGRN', 'CTSG', 'SERPINA1', 'VTN', 'APOC2', 'TLN1', 'LRP8', 'APP', 'CP', 'A1BG', 'ALB', 'HPX', 'ORM1']
4	REAC	REAC:R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	5.1302996017069134e-15	True	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	118	99	18	10022	0.1818181818181818	0.1525423728813559	query_1	['REAC:R-HSA-392499']	['C3', 'FN1', 'SPP1', 'FGA', 'APOE', 'LTBP1', 'PCSK9', 'ITIH2', 'APOA1', 'TF', 'FBN1', 'APOA2', 'FGG', 'CTSG', 'SERPINA1', 'APP', 'CP', 'ALB']
3	GO:BP	GO:0016192	vesicle-mediated transport	6.4630329429697575e-15	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1517	103	43	15719	0.4174757281553398	0.028345418589321	query_1	['GO:0006810']	['C3', 'ITGB1', 'APOC3', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'AMPH', 'LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'CD320', 'AP2B1', 'HFE', 'FYN', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'TFR2', 'AP2A1', 'FGB', 'APOA2', 'FGR', 'FGG', 'DMTN', 'VTN', 'APOC2', 'LRP8', 'PTK2', 'APP', 'DAB2', 'NUMB']
2	GO:BP	GO:0030100	regulation of endocytosis	6.4630329429697575e-15	True	"""Any process that modulates the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	282	103	22	15719	0.2135922330097087	0.0780141843971631	query_1	['GO:0006897', 'GO:0051128', 'GO:0060627']	['C3', 'APOC3', 'ITGAV', 'SRC', 'ITGB3', 'AP2M1', 'APOE', 'HFE', 'AP2S1', 'PCSK9', 'LDLRAP1', 'BIN1', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'FGR', 'VTN', 'APOC2', 'DAB2', 'NUMB']
16	GO:CC	GO:0012505	endomembrane system	6.548763655626037e-15	True	"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]"	4431	104	68	16420	0.6538461538461539	0.0153464229293613	query_1	['GO:0110165']	['C3', 'ITGB1', 'APOC3', 'NTS', 'SYNE1', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'APOE', 'LTBP1', 'CD320', 'AP2B1', 'ITGA2B', 'ITGA5', 'HFE', 'SYNE2', 'FYN', 'MYO6', 'TPD52', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'ITIH2', 'LDLRAP1', 'BIN1', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'GALNT12', 'FBN1', 'ORM2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'AGRN', 'CTSG', 'DMTN', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'GDPD1', 'APP', 'DAB2', 'CP', 'NUMB', 'A1BG', 'ALB', 'ORM1']
5	REAC	REAC:R-HSA-8957275	Post-translational protein phosphorylation	8.471660669198486e-15	True	Post-translational protein phosphorylation	103	99	17	10022	0.1717171717171717	0.1650485436893204	query_1	['REAC:R-HSA-597592']	['C3', 'FN1', 'SPP1', 'FGA', 'APOE', 'LTBP1', 'PCSK9', 'ITIH2', 'APOA1', 'TF', 'FBN1', 'APOA2', 'FGG', 'SERPINA1', 'APP', 'CP', 'ALB']
17	GO:CC	GO:0098590	plasma membrane region	1.6160672840257272e-14	True	"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]"	1203	104	36	16420	0.3461538461538461	0.0299251870324189	query_1	['GO:0005886', 'GO:0016020']	['SLC6A1', 'ITGB1', 'SYNE1', 'FN1', 'ITGAV', 'SRC', 'HEPH', 'ADD2', 'ITGB3', 'LRP2', 'CLTC', 'SLC2A1', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'AP2B1', 'ITGA5', 'SYNE2', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LDLRAP1', 'LRP1', 'TF', 'AP2A1', 'FGR', 'MUSK', 'DMTN', 'SLC40A1', 'TLN1', 'LRP8', 'APP', 'DAB2', 'NUMB']
18	GO:CC	GO:0030139	endocytic vesicle	3.1934644510385104e-14	True	"""A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting."" [GOC:go_curators, PMID:19696797]"	331	104	21	16420	0.2019230769230769	0.0634441087613293	query_1	['GO:0031410']	['ITGB5', 'ITGAV', 'HBB', 'LRP2', 'CLTC', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LDLRAP1', 'APOA1', 'LRP1', 'TF', 'AP2A1', 'HP', 'MPO', 'HPX']
6	REAC	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	7.654970228044577e-14	True	GRB2:SOS provides linkage to MAPK signaling for Integrins 	14	99	9	10022	0.0909090909090909	0.6428571428571429	query_1	['REAC:R-HSA-354192']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
7	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	1.1022476445149316e-13	True	Integrin cell surface interactions	83	99	15	10022	0.1515151515151515	0.180722891566265	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'FGA', 'ITGB3', 'ITGA2B', 'ITGA5', 'FBN1', 'FGB', 'FGG', 'AGRN', 'VTN', 'ITGB6']
8	REAC	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	1.476425021230687e-13	True	p130Cas linkage to MAPK signaling for integrins	15	99	9	10022	0.0909090909090909	0.6	query_1	['REAC:R-HSA-354192']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
19	GO:CC	GO:0045334	clathrin-coated endocytic vesicle	1.4882165369193937e-13	True	"""A clathrin-coated, membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance."" [GOC:go_curators]"	86	104	13	16420	0.125	0.1511627906976744	query_1	['GO:0030136', 'GO:0030139']	['LRP2', 'CLTC', 'AP2M1', 'TFRC', 'APOE', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'AP2A2', 'LDLRAP1', 'TF', 'AP2A1']
20	GO:CC	GO:0031091	platelet alpha granule	1.9350445475045605e-13	True	"""A secretory organelle found in blood platelets, which is unique in that it exhibits further compartmentalization and acquires its protein content via two distinct mechanisms: (1) biosynthesis predominantly at the megakaryocyte (MK) level (with some vestigial platelet synthesis) (e.g. platelet factor 4) and (2) endocytosis and pinocytosis at both the MK and circulating platelet levels (e.g. fibrinogen (Fg) and IgG)."" [PMID:8467233]"	88	104	13	16420	0.125	0.1477272727272727	query_1	['GO:0030141']	['FN1', 'FGA', 'ITGB3', 'TGFB3', 'ITGA2B', 'ORM2', 'FGB', 'FGG', 'SERPINA1', 'APP', 'A1BG', 'ALB', 'ORM1']
