Williams syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
7	GO:BP	GO:0033627	cell adhesion mediated by integrin	1.4259269787730263e-27	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	118	23	15719	0.1949152542372881	0.2705882352941176	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'RET', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'JAM3', 'FBN1', 'ITGAE', 'SYK', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'EMILIN1', 'ITGB7', 'ITGA3', 'PTPN11']
8	GO:BP	GO:0031589	cell-substrate adhesion	1.4259269787730263e-27	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	345	118	35	15719	0.2966101694915254	0.1014492753623188	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'FBLN5', 'FBLN2', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
3	REAC	REAC:R-HSA-2129379	Molecules associated with elastic fibres	9.2046746018996e-27	True	Molecules associated with elastic fibres	36	108	19	10022	0.1759259259259259	0.5277777777777778	query_1	['REAC:R-HSA-1566948']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'FBLN5', 'MFAP3', 'FBLN2', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'EMILIN1', 'ELN', 'MFAP4']
4	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	1.3992398908561742e-26	True	Integrin cell surface interactions	83	108	24	10022	0.2222222222222222	0.2891566265060241	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'TNC', 'JAM3', 'FBN1', 'ITGAE', 'KDR', 'CDH1', 'AGRN', 'VTN', 'VCAM1', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2']
9	GO:BP	GO:0048870	cell motility	3.390937705890217e-26	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	118	60	15719	0.5084745762711864	0.0372902423865755	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'MIIP', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
10	GO:BP	GO:0040011	locomotion	2.042315766291313e-25	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	118	54	15719	0.4576271186440678	0.0420233463035019	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'MIIP', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
11	GO:BP	GO:0071363	cellular response to growth factor stimulus	3.906592398056675e-25	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	118	41	15719	0.3474576271186441	0.0642633228840125	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'LTBP1', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
12	GO:BP	GO:0070848	response to growth factor	1.9005431380671577e-24	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	118	41	15719	0.3474576271186441	0.0614692653673163	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'LTBP1', 'SOS1', 'GAB1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
13	GO:BP	GO:0018108	peptidyl-tyrosine phosphorylation	1.9005431380671577e-24	True	"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]"	362	118	33	15719	0.2796610169491525	0.0911602209944751	query_1	['GO:0006468', 'GO:0018212']	['MET', 'VEGFB', 'SRC', 'ITGB3', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'ITGA5', 'FYN', 'NCF1', 'ZAP70', 'LYN', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'VTN', 'BAZ1B', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1']
14	GO:BP	GO:0018212	peptidyl-tyrosine modification	1.9903499222731063e-24	True	"""The modification of peptidyl-tyrosine."" [GOC:go_curators]"	364	118	33	15719	0.2796610169491525	0.0906593406593406	query_1	['GO:0018193']	['MET', 'VEGFB', 'SRC', 'ITGB3', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'ITGA5', 'FYN', 'NCF1', 'ZAP70', 'LYN', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'VTN', 'BAZ1B', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1']
0	GO:CC	GO:0098636	protein complex involved in cell adhesion	4.413567534597735e-23	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	56	118	18	16420	0.1525423728813559	0.3214285714285714	query_1	['GO:0032991']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'TNC', 'JAM3', 'ITGAE', 'VTN', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3', 'JAM2']
15	GO:BP	GO:0030335	positive regulation of cell migration	5.010021885254672e-23	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	118	36	15719	0.3050847457627119	0.0700389105058365	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'GAB1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
16	GO:BP	GO:0030334	regulation of cell migration	8.277468422269509e-23	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	886	118	44	15719	0.3728813559322034	0.0496613995485327	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'MIIP', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'GAB1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
17	GO:BP	GO:2000147	positive regulation of cell motility	1.5587012803310612e-22	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	118	36	15719	0.3050847457627119	0.0675422138836773	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'GAB1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
1	GO:CC	GO:0070161	anchoring junction	3.6707688302935464e-22	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	118	42	16420	0.3559322033898305	0.0491228070175438	query_1	['GO:0030054']	['LIMK1', 'ITGB1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'ITK', 'GAB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'LAT', 'SH3PXD2A', 'ZAP70', 'LYN', 'GRB2', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'TLN1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'FLT1']
18	GO:BP	GO:0040017	positive regulation of locomotion	4.0817405308657044e-22	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	118	36	15719	0.3050847457627119	0.0655737704918032	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'GAB1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
19	GO:BP	GO:2000145	regulation of cell motility	7.1367571418566965e-22	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	938	118	44	15719	0.3728813559322034	0.0469083155650319	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'MIIP', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'GAB1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
20	GO:BP	GO:0009653	anatomical structure morphogenesis	1.0912827765851592e-21	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2539	118	67	15719	0.5677966101694916	0.0263883418668767	query_1	['GO:0032502', 'GO:0048856']	['LIMK1', 'MET', 'ITGB1', 'MLXIPL', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'RET', 'SHC1', 'LRP4', 'SOS1', 'GAB1', 'LOX', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'SH3PXD2A', 'GTF2I', 'GRB2', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'FBN1', 'KDR', 'VCL', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'SH3GL2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'ELN', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
2	GO:CC	GO:0008305	integrin complex	4.021222296705256e-21	True	"""A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands."" [PMID:17543136]"	29	118	14	16420	0.1186440677966101	0.4827586206896552	query_1	['GO:0098636', 'GO:0098802']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'ITGAE', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3']
21	GO:BP	GO:0040012	regulation of locomotion	4.118988127495575e-21	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	982	118	44	15719	0.3728813559322034	0.0448065173116089	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'MIIP', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'PLCG2', 'GAB1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
22	GO:BP	GO:0030155	regulation of cell adhesion	1.467515945835728e-20	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	118	39	15719	0.3305084745762712	0.0517928286852589	query_1	['GO:0007155', 'GO:0050794']	['PLXNB1', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'RET', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'LYN', 'TNC', 'FBLN2', 'JAM3', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'SEMA4D', 'PLXNA1']
