Keppen-Lubinsky syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
8	REAC	REAC:R-HSA-392518	Signal amplification	3.8437009746330894e-49	True	Signal amplification	32	84	26	10022	0.3095238095238095	0.8125	query_1	['REAC:R-HSA-76002']	['GNB3', 'GNA11', 'TBXA2R', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'P2RY12', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1']
9	REAC	REAC:R-HSA-372790	Signaling by GPCR	3.871539854463613e-49	True	Signaling by GPCR	631	84	58	10022	0.6904761904761905	0.0919175911251981	query_1	['REAC:R-HSA-162582']	['GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'PLXNB1', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'MTNR1A', 'ADRA2C', 'RHOA', 'P2RY12', 'GNG7', 'RGS12', 'GNAS', 'GNB2', 'RGS20', 'HTR1B', 'PTGER3', 'PLCB3', 'GNG12', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'RGS17', 'GPR39', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'HTR1A', 'GNG4', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'S1PR2', 'RGS14']
10	REAC	REAC:R-HSA-388396	GPCR downstream signalling	6.8182382922578405e-49	True	GPCR downstream signalling	564	84	56	10022	0.6666666666666666	0.0992907801418439	query_1	['REAC:R-HSA-372790']	['GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'PLXNB1', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'MTNR1A', 'ADRA2C', 'RHOA', 'P2RY12', 'GNG7', 'RGS12', 'GNAS', 'GNB2', 'RGS20', 'HTR1B', 'PTGER3', 'PLCB3', 'GNG12', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'GNAT3', 'RGS17', 'GPR39', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'S1PR2', 'RGS14']
0	GO:BP	GO:0007186	G protein-coupled receptor signaling pathway	8.606646300408529e-48	True	"""The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."" [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]"	835	99	60	15719	0.6060606060606061	0.0718562874251497	query_1	['GO:0007165']	['GNB3', 'GNA11', 'TBXA2R', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCTD16', 'MTNR1A', 'ADRA2C', 'PDCL', 'P2RY12', 'GNG7', 'RGS12', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'GNAO1', 'HTR1B', 'GCGR', 'PTGER3', 'PLCB3', 'GNG12', 'HTR1D', 'PTGIR', 'ADCY3', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'RGS17', 'GPR26', 'GPR39', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'HTR1A', 'GNG4', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'S1PR2', 'RGS14']
2	GO:CC	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	2.806303557989349e-47	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to its cytoplasmic surface, but not integrated into the hydrophobic region."" [GOC:mah]"	93	100	32	16420	0.32	0.3440860215053763	query_1	['GO:0009898', 'GO:0019897']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'FYN', 'RHOA', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
11	REAC	REAC:R-HSA-418597	G alpha (z) signalling events	6.847312456268044e-47	True	G alpha (z) signalling events	47	84	28	10022	0.3333333333333333	0.5957446808510638	query_1	['REAC:R-HSA-388396']	['GNB3', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'ADRA2C', 'GNG7', 'GNAS', 'GNB2', 'RGS20', 'GNG12', 'ADCY3', 'GNB1', 'GNAI3', 'GNAT3', 'RGS17', 'GNAI1', 'GNG3', 'GNAZ', 'GNG4', 'GNGT1', 'ADRA2A']
12	REAC	REAC:R-HSA-392170	ADP signalling through P2Y purinoceptor 12	7.869605675648068e-43	True	ADP signalling through P2Y purinoceptor 12	22	84	21	10022	0.25	0.9545454545454546	query_1	['REAC:R-HSA-392518']	['GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'P2RY12', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNAI3', 'GNAT3', 'GNAI1', 'GNG3', 'GNG4', 'GNGT1']
13	REAC	REAC:R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	5.51868147914398e-41	True	Neurotransmitter receptors and postsynaptic signal transmission	191	84	37	10022	0.4404761904761904	0.193717277486911	query_1	['REAC:R-HSA-112315']	['KCNJ16', 'GNB3', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'PLCB1', 'GNAL', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'PLCB3', 'GNG12', 'ADCY3', 'KCNJ2', 'GNB1', 'GABBR2', 'GNAI3', 'GNAT3', 'KCNJ3', 'GNAI1', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
14	REAC	REAC:R-HSA-428930	Thromboxane signalling through TP receptor	6.199456478122971e-41	True	Thromboxane signalling through TP receptor	24	84	21	10022	0.25	0.875	query_1	['REAC:R-HSA-392518']	['GNB3', 'GNA11', 'TBXA2R', 'GNG5', 'GNG13', 'GNB5', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNA13', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1']
3	GO:CC	GO:0019897	extrinsic component of plasma membrane	2.256772179512889e-39	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region."" [GOC:curators, GOC:dos]"	154	100	32	16420	0.32	0.2077922077922078	query_1	['GO:0005886', 'GO:0019898']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'FYN', 'RHOA', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
4	GO:CC	GO:0009898	cytoplasmic side of plasma membrane	1.3162584323919951e-38	True	"""The leaflet the plasma membrane that faces the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]"	163	100	32	16420	0.32	0.1963190184049079	query_1	['GO:0005886', 'GO:0098562']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'FYN', 'RHOA', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
15	REAC	REAC:R-HSA-1296071	Potassium Channels	6.897985451534633e-38	True	Potassium Channels	95	84	29	10022	0.3452380952380952	0.3052631578947368	query_1	['REAC:R-HSA-112316']	['KCNJ16', 'GNB3', 'GNG5', 'GNG13', 'GNB5', 'KCNJ15', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'GNG3', 'KCNJ14', 'GNG4', 'KCNJ12', 'GNGT1']
16	REAC	REAC:R-HSA-422356	Regulation of insulin secretion	2.9259354688760564e-37	True	Regulation of insulin secretion	76	84	27	10022	0.3214285714285714	0.3552631578947368	query_1	['REAC:R-HSA-163685']	['GNB3', 'GNA11', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'ADRA2C', 'GNG7', 'GNAS', 'GNB2', 'PLCB3', 'GNG12', 'GNB1', 'GNAI1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1', 'ADRA2A']
1	GO:BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	4.791579649456018e-37	True	"""A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP)."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	222	99	35	15719	0.3535353535353535	0.1576576576576576	query_1	['GO:0007186']	['GNA11', 'TBXA2R', 'PRKCA', 'GNAI2', 'GNA15', 'GNAL', 'GABBR1', 'GNG2', 'MTNR1A', 'ADRA2C', 'P2RY12', 'GNAS', 'RIC8A', 'GNAO1', 'HTR1B', 'GCGR', 'PTGER3', 'HTR1D', 'PTGIR', 'ADCY3', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'GPR26', 'GNAI1', 'GNAZ', 'GNAQ', 'HTR1A', 'GNA12', 'ADRA2A', 'S1PR2']
17	REAC	REAC:R-HSA-111885	Opioid Signalling	5.555701608049936e-37	True	Opioid Signalling	89	84	28	10022	0.3333333333333333	0.3146067415730337	query_1	['REAC:R-HSA-418594']	['GNB3', 'GNA11', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'PLCB3', 'GNG12', 'ADCY3', 'GNB1', 'GNAI3', 'GNAT3', 'GNAI1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1']
18	REAC	REAC:R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	1.0281376008923704e-36	True	Thrombin signalling through proteinase activated receptors (PARs)	31	84	21	10022	0.25	0.6774193548387096	query_1	['REAC:R-HSA-76002']	['GNB3', 'GNA11', 'GNG5', 'GNG13', 'GNB5', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNA13', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
19	REAC	REAC:R-HSA-392851	Prostacyclin signalling through prostacyclin receptor	1.5481055376659714e-36	True	Prostacyclin signalling through prostacyclin receptor	19	84	18	10022	0.2142857142857142	0.9473684210526316	query_1	['REAC:R-HSA-418346']	['GNB3', 'GNG5', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNG12', 'PTGIR', 'GNB1', 'GNG3', 'GNG4', 'GNGT1']
20	REAC	REAC:R-HSA-9634597	GPER1 signaling	1.5481055376659714e-36	True	GPER1 signaling	44	84	23	10022	0.2738095238095238	0.5227272727272727	query_1	['REAC:R-HSA-418555']	['GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNG12', 'ADCY3', 'GNB1', 'GNAI3', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNG4', 'GNGT1']
21	REAC	REAC:R-HSA-112315	Transmission across Chemical Synapses	1.9450082678771744e-36	True	Transmission across Chemical Synapses	252	84	37	10022	0.4404761904761904	0.1468253968253968	query_1	['REAC:R-HSA-112316']	['KCNJ16', 'GNB3', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'PLCB1', 'GNAL', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'PLCB3', 'GNG12', 'ADCY3', 'KCNJ2', 'GNB1', 'GABBR2', 'GNAI3', 'GNAT3', 'KCNJ3', 'GNAI1', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
5	GO:CC	GO:0098562	cytoplasmic side of membrane	7.449771326289609e-36	True	"""The side of a membrane that faces the cytoplasm."" [GOC:dos]"	197	100	32	16420	0.32	0.1624365482233502	query_1	['GO:0098552']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'FYN', 'RHOA', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
22	REAC	REAC:R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	9.408578913798678e-36	True	Adrenaline,noradrenaline inhibits insulin secretion	28	84	20	10022	0.238095238095238	0.7142857142857143	query_1	['REAC:R-HSA-422356']	['GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'ADRA2C', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNAI1', 'GNG3', 'GNG4', 'GNGT1', 'ADRA2A']
23	REAC	REAC:R-HSA-418217	G beta:gamma signalling through PLC beta	1.333345826472906e-35	True	G beta:gamma signalling through PLC beta	20	84	18	10022	0.2142857142857142	0.9	query_1	['REAC:R-HSA-397795']	['GNB3', 'GNG5', 'GNG13', 'GNB5', 'PLCB1', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'PLCB3', 'GNG12', 'GNB1', 'GNG3', 'GNG4', 'GNGT1']
25	REAC	REAC:R-HSA-202040	G-protein activation	1.7833011213636901e-35	True	G-protein activation	24	84	19	10022	0.2261904761904762	0.7916666666666666	query_1	['REAC:R-HSA-111885']	['GNB3', 'GNA11', 'GNG5', 'GNG13', 'GNB5', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1']
24	REAC	REAC:R-HSA-418592	ADP signalling through P2Y purinoceptor 1	1.7833011213636901e-35	True	ADP signalling through P2Y purinoceptor 1	24	84	19	10022	0.2261904761904762	0.7916666666666666	query_1	['REAC:R-HSA-392518']	['GNB3', 'GNA11', 'GNG5', 'GNG13', 'GNB5', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'GNG12', 'GNB1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1']
6	GO:CC	GO:0005886	plasma membrane	2.469261119068681e-35	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4850	100	90	16420	0.9	0.0185567010309278	query_1	['GO:0016020', 'GO:0071944']	['TRO', 'KCNJ16', 'GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'ICAM3', 'PLXNB1', 'PLXNA2', 'CNNM2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'ANKRD13B', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'PTK7', 'ICAM2', 'FYN', 'KCTD16', 'MTNR1A', 'PDZK1', 'ADRA2C', 'CNNM4', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'KCNJ9', 'KCNJ4', 'TMEM161B', 'KCNJ5', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'GNG12', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'GPR26', 'GPR39', 'GNAI1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNG4', 'KCNJ12', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
26	REAC	REAC:R-HSA-163685	Integration of energy metabolism	7.773161928207464e-35	True	Integration of energy metabolism	105	84	28	10022	0.3333333333333333	0.2666666666666666	query_1	['REAC:R-HSA-1430728']	['GNB3', 'GNA11', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'ADRA2C', 'GNG7', 'GNAS', 'GNB2', 'PLCB3', 'GNG12', 'ADCY3', 'GNB1', 'GNAI1', 'GNG3', 'GNAQ', 'GNG4', 'GNGT1', 'ADRA2A']
27	REAC	REAC:R-HSA-500657	Presynaptic function of Kainate receptors	7.950065691189713e-35	True	Presynaptic function of Kainate receptors	21	84	18	10022	0.2142857142857142	0.8571428571428571	query_1	['REAC:R-HSA-451326']	['GNB3', 'GNG5', 'GNG13', 'GNB5', 'PLCB1', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNB2', 'PLCB3', 'GNG12', 'GNB1', 'GNG3', 'GNG4', 'GNGT1']
