Wiedemann-Rautenstrauch syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-109582	Hemostasis	4.532697878610844e-25	True	Hemostasis	606	101	36	17376	0.3564356435643564	0.0594059405940594	query_1	['REAC:0000000']	['ITGB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'LAT', 'LYN', 'LCP2', 'JAM3', 'APOA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'VEGFA', 'TLN1', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'JAM2', 'PTPN11']
11	GO:CC	GO:0098636	protein complex involved in cell adhesion	7.372878371525151e-25	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	56	101	18	17376	0.1782178217821782	0.3214285714285714	query_1	['GO:0032991']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'TNC', 'JAM3', 'ITGAE', 'VTN', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3', 'JAM2']
12	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.922221909448985e-24	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2641	101	63	17376	0.6237623762376238	0.0238546005301022	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LAT', 'MADCAM1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'APOA1', 'PFDN5', 'FBN1', 'ITGAE', 'FGB', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
13	REAC	REAC:R-HSA-354192	Integrin signaling	1.543188501112463e-23	True	Integrin signaling	26	101	14	17376	0.1386138613861386	0.5384615384615384	query_1	['REAC:R-HSA-162582', 'REAC:R-HSA-76009']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'FGB', 'SYK', 'FGG', 'TLN1', 'PTK2']
14	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	2.152689513901795e-23	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	101	41	17376	0.4059405940594059	0.0442286947141316	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'FBN1', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
15	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	3.3671529660825484e-23	True	Signaling by Receptor Tyrosine Kinases	495	101	32	17376	0.3168316831683168	0.0646464646464646	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'EGFR', 'HSP90AA1', 'VAV1', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
16	GO:CC	GO:0008305	integrin complex	2.536328774954086e-22	True	"""A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands."" [PMID:17543136]"	29	101	14	17376	0.1386138613861386	0.4827586206896552	query_1	['GO:0098636', 'GO:0098802']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'ITGAE', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3']
17	GO:BP	GO:0098609	cell-cell adhesion	3.1279394762596305e-22	True	"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]"	873	101	39	17376	0.3861386138613861	0.0446735395189003	query_1	['GO:0007155']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'SHC1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'LYN', 'JAM3', 'EGFR', 'APOA1', 'ITGAE', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'CDH1', 'VEGFA', 'TLN1', 'VCAM1', 'PTK2', 'LCK', 'EMILIN1', 'ITGB7', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA']
18	GO:BP	GO:0016477	cell migration	3.474829800237342e-22	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1426	101	47	17376	0.4653465346534653	0.0329593267882187	query_1	['GO:0048870']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'MADCAM1', 'LYN', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'HSP90AA1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA']
19	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	3.6355234109030163e-22	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	101	34	17376	0.3366336633663366	0.056198347107438	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA']
20	GO:BP	GO:0071363	cellular response to growth factor stimulus	1.7672424235029314e-21	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	637	101	34	17376	0.3366336633663366	0.053375196232339	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'GRB2', 'EGFR', 'URI1', 'FBN1', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
21	GO:BP	GO:0030155	regulation of cell adhesion	2.2974220168989414e-21	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	101	36	17376	0.3564356435643564	0.047808764940239	query_1	['GO:0007155', 'GO:0050794']	['FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'LYN', 'TNC', 'FBLN2', 'JAM3', 'APOA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11']
22	GO:BP	GO:0070848	response to growth factor	6.315776008057618e-21	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	666	101	34	17376	0.3366336633663366	0.051051051051051	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'GRB2', 'EGFR', 'URI1', 'FBN1', 'FBN2', 'PLCG1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
23	REAC	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	1.1359579310873276e-20	True	Platelet Aggregation (Plug Formation)	38	101	14	17376	0.1386138613861386	0.3684210526315789	query_1	['REAC:R-HSA-76002']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'FGB', 'SYK', 'FGG', 'TLN1', 'PTK2']
24	REAC	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	1.1769887268575786e-20	True	p130Cas linkage to MAPK signaling for integrins	15	101	11	17376	0.1089108910891089	0.7333333333333333	query_1	['REAC:R-HSA-354192']	['FN1', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'CRK', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
25	GO:CC	GO:0071944	cell periphery	3.0543478631419937e-20	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5270	101	78	17376	0.7722772277227723	0.0148007590132827	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LAT', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'MFAP3', 'LCP2', 'FBLN2', 'LOXL1', 'JAM3', 'EGFR', 'APOA1', 'FBN1', 'ITGAE', 'HSP90AA1', 'FGB', 'VCL', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'JAM2', 'PDGFRA', 'MFAP4']
26	GO:BP	GO:0048870	cell motility	3.768153059647171e-20	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1608	101	47	17376	0.4653465346534653	0.029228855721393	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'MADCAM1', 'LYN', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'HSP90AA1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA']
27	GO:BP	GO:0010810	regulation of cell-substrate adhesion	1.1631243807913414e-19	True	"""Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	205	101	22	17376	0.2178217821782178	0.1073170731707317	query_1	['GO:0030155', 'GO:0031589']	['FN1', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FBLN2', 'APOA1', 'FGB', 'VCL', 'FGG', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3']
28	GO:BP	GO:0051128	regulation of cellular component organization	3.2482000809602613e-19	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	101	54	17376	0.5346534653465347	0.0230080954409884	query_1	['GO:0016043', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PLCG2', 'LRP4', 'PFDN1', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'JAM3', 'EGFR', 'URI1', 'APOA1', 'VBP1', 'PFDN5', 'HSP90AA1', 'VCL', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'PFDN4', 'CRKL', 'VTN', 'PFDN2', 'PFDN6', 'TLN1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'PTPN11', 'PDGFRA', 'PIH1D1']
29	GO:CC	GO:0070161	anchoring junction	5.677433882182573e-19	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	101	35	17376	0.3465346534653465	0.0409356725146198	query_1	['GO:0030054']	['ITGB1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'ITK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'IQGAP1', 'LAT', 'SH3PXD2A', 'LYN', 'GRB2', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'ITGB6', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2']
30	GO:BP	GO:0042060	wound healing	1.2924313261969046e-18	True	"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]"	424	101	27	17376	0.2673267326732673	0.0636792452830188	query_1	['GO:0009611']	['ITGB1', 'FN1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'PLCG2', 'LOX', 'ITGA5', 'LYN', 'PAPSS2', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'VEGFA', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'PDGFRA']
31	REAC	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	1.4973287646708185e-18	True	GRB2:SOS provides linkage to MAPK signaling for Integrins 	14	101	10	17376	0.099009900990099	0.7142857142857143	query_1	['REAC:R-HSA-354192']	['FN1', 'SRC', 'FGA', 'ITGB3', 'SOS1', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
32	GO:BP	GO:0040011	locomotion	1.8360149471708022e-18	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1283	101	41	17376	0.4059405940594059	0.0319563522992985	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA']
33	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	2.1006176555776795e-18	True	Diseases of signal transduction by growth factor receptors and second messengers	410	101	26	17376	0.2574257425742574	0.0634146341463414	query_1	['REAC:R-HSA-1643685']	['MET', 'FN1', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'HSP90AA1', 'FGB', 'VCL', 'VAV1', 'PLCG1', 'FGG', 'ERBB2', 'TLN1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA']
34	GO:BP	GO:0009719	response to endogenous stimulus	2.9605322946274112e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	101	45	17376	0.4455445544554455	0.0277093596059113	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'ITGB5', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'URI1', 'FBN1', 'HSP90AA1', 'FGB', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA']
