Autosomal recessive cutis laxa type 2, classic type	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	8.59848035865275e-29	True	Endosomal Sorting Complex Required For Transport (ESCRT)	31	78	18	10022	0.2307692307692307	0.5806451612903226	query_1	['REAC:R-HSA-199991']	['CHMP2A', 'CHMP2B', 'HGS', 'VPS4A', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
0	GO:CC	GO:0036452	ESCRT complex	1.902291402871552e-27	True	"""An endosomal sorting complex involved in membrane fission processes related to sorting of multivesicular bodies (MVB) in the endocytic pathway, cytokinesis and viral budding among other processes."" [PMID:16689637, VZ:1536]"	26	100	16	16420	0.16	0.6153846153846154	query_1	['GO:0005768', 'GO:0032991']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'STAM2', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
10	GO:BP	GO:0046761	viral budding from plasma membrane	1.9993019842780228e-27	True	"""A viral budding that starts with formation of a curvature in the host plasma membrane around which the virion particle assembles."" [GOC:bf, ISBN:0072370319, PMID:9394621, VZ:1947]"	13	97	13	15719	0.134020618556701	1.0	query_1	['GO:0046753', 'GO:0046755']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
11	GO:BP	GO:0019068	virion assembly	5.804325666916841e-27	True	"""A late phase of the viral life cycle during which all the components necessary for the formation of a mature virion collect at a particular site in the cell and the basic structure of the virus particle is formed."" [ISBN:0121585336]"	35	97	17	15719	0.1752577319587628	0.4857142857142857	query_1	['GO:0016032', 'GO:0019058']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
12	GO:BP	GO:0061952	midbody abscission	6.061883318041208e-27	True	"""The process by which the midbody, the cytoplasmic bridge that connects the two prospective daughter cells, is severed at the end of mitotic cytokinesis, resulting in two separate daughter cells."" [PMID:12737809, PMID:29903934]"	17	97	14	15719	0.1443298969072164	0.8235294117647058	query_1	['GO:0061024', 'GO:1902410']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'MITD1']
13	GO:BP	GO:0046753	non-lytic viral release	2.188310235026544e-26	True	"""The exit of a viral particle from a host cell that does not involve cell lysis."" [GOC:bf, GOC:jl, ISBN:0072370319]"	14	97	13	15719	0.134020618556701	0.9285714285714286	query_1	['GO:0019076']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
14	GO:BP	GO:0016236	macroautophagy	1.262692237362139e-25	True	"""The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure. Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."" [PMID:11099404, PMID:12914914, PMID:15798367, PMID:16973210, PMID:20159618, PMID:9412464]"	313	97	30	15719	0.3092783505154639	0.0958466453674121	query_1	['GO:0006914']	['ATP6V0A2', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'TCIRG1', 'VPS37C', 'CASP3', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'ATP6V1A', 'CHMP4C', 'ATP6V0C', 'TP53', 'ATP6V0D2']
1	GO:CC	GO:0010008	endosome membrane	3.696196279572308e-25	True	"""The lipid bilayer surrounding an endosome."" [GOC:mah]"	522	100	35	16420	0.35	0.0670498084291187	query_1	['GO:0005768', 'GO:0030659', 'GO:0098588']	['AP1G2', 'PIP4P1', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'CD68', 'TCIRG1', 'VPS37C', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'VPS28', 'LITAF', 'CHMP4C', 'ATP6AP1', 'ATP6V0C', 'ATP6V0D2', 'MITD1']
15	GO:BP	GO:0016050	vesicle organization	3.96847502049473e-25	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle."" [GOC:mah]"	361	97	31	15719	0.3195876288659793	0.0858725761772853	query_1	['GO:0006996']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'TFG', 'STAM', 'CHMP5', 'VPS37C', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'PLN', 'ATP6V1A', 'CHMP4C', 'ATP6AP1', 'ATP6V0C']
16	GO:BP	GO:1902410	mitotic cytokinetic process	2.1266266615504132e-24	True	"""Any cytokinetic process that is involved in mitotic cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	22	97	14	15719	0.1443298969072164	0.6363636363636364	query_1	['GO:0000281', 'GO:0032506', 'GO:1903047']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'MITD1']
17	GO:BP	GO:0035891	exit from host cell	2.368958672220127e-24	True	"""The movement of an organism out of a cell of the host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [GOC:bf, GOC:rs, PMID:19325115]"	29	97	15	15719	0.1546391752577319	0.5172413793103449	query_1	['GO:0044000']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'CHMP5', 'CHMP3', 'CHMP4C']
18	GO:BP	GO:0019076	viral release from host cell	2.368958672220127e-24	True	"""The dissemination of mature viral particles from a host cell, e.g. by cell lysis or the budding of virus particles from the cell membrane."" [GOC:jl]"	29	97	15	15719	0.1546391752577319	0.5172413793103449	query_1	['GO:0016032', 'GO:0019058', 'GO:0035891']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'CHMP5', 'CHMP3', 'CHMP4C']
19	GO:BP	GO:0032510	endosome to lysosome transport via multivesicular body sorting pathway	2.565481231067171e-24	True	"""The directed movement of substances from endosomes to lysosomes by a pathway in which molecules are sorted into multivesicular bodies, which then fuse with the lysosome."" [GOC:mah, PMID:12461556, PMID:16689637]"	17	97	13	15719	0.134020618556701	0.7647058823529411	query_1	['GO:0008333', 'GO:0032509']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
2	GO:CC	GO:0005774	vacuolar membrane	4.3714233684063945e-24	True	"""The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."" [GOC:ai]"	437	100	32	16420	0.32	0.0732265446224256	query_1	['GO:0005773', 'GO:0098588']	['PIP4P1', 'ANPEP', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'TMEM199', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'CCDC115', 'FLOT1', 'TM9SF1', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CD68', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'ATP6V1A', 'LITAF', 'TMEM79', 'CHMP4C', 'ATP6V0C', 'ATP6V0D2']
20	GO:BP	GO:0031468	nuclear membrane reassembly	1.0454928406262145e-23	True	"""The reformation of the nuclear membranes following their breakdown in the context of a normal process."" [GOC:mah]"	24	97	14	15719	0.1443298969072164	0.5833333333333334	query_1	['GO:0071709', 'GO:0071763']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'SPAST']
21	GO:BP	GO:0007034	vacuolar transport	1.3617441219961808e-23	True	"""The directed movement of substances into, out of or within a vacuole."" [GOC:ai]"	157	97	23	15719	0.2371134020618556	0.1464968152866242	query_1	['GO:0046907']	['AP1G2', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'ATP6V0D1', 'CHMP3', 'VPS28', 'CHMP4C', 'ATP6V0D2']
3	GO:CC	GO:0005768	endosome	1.7942891244942226e-23	True	"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]"	989	100	42	16420	0.42	0.0424671385237613	query_1	['GO:0012505', 'GO:0031410']	['AP1G2', 'PIP4P1', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'HGS', 'MIB2', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'CCDC115', 'VPS4B', 'FLOT1', 'TSG101', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'FLOT2', 'CHMP5', 'CD68', 'TCIRG1', 'VPS37C', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'LITAF', 'CHMP4C', 'ATP6AP1', 'ATP6V0C', 'ACE', 'SPAST', 'ATP6V0D2', 'MITD1']
4	GO:CC	GO:1904930	amphisome membrane	1.7942891244942226e-23	True	"""Any membrane that is part of an amphisome."" [GO_REF:0000064, GOC:bhm, GOC:TermGenie, PMID:17984323]"	11	100	11	16420	0.11	1.0	query_1	['GO:0000421', 'GO:0044753']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
6	GO:CC	GO:0005764	lysosome	1.8624121652505922e-23	True	"""A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."" [GOC:mah, ISBN:0198506732]"	710	100	37	16420	0.37	0.052112676056338	query_1	['GO:0000323']	['PIP4P1', 'C3', 'ANPEP', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'TMEM199', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'CCDC115', 'FLOT1', 'TM9SF1', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'CHMP5', 'CD68', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'ATP6V1A', 'LITAF', 'TMEM79', 'CHMP4C', 'ATP6V0C', 'ACE', 'ATP6V0D2', 'VMA21']
5	GO:CC	GO:0000323	lytic vacuole	1.8624121652505922e-23	True	"""A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."" [GOC:krc]"	710	100	37	16420	0.37	0.052112676056338	query_1	['GO:0005773']	['PIP4P1', 'C3', 'ANPEP', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'TMEM199', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'CCDC115', 'FLOT1', 'TM9SF1', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'CHMP5', 'CD68', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'ATP6V1A', 'LITAF', 'TMEM79', 'CHMP4C', 'ATP6V0C', 'ACE', 'ATP6V0D2', 'VMA21']
22	GO:BP	GO:0051469	vesicle fusion with vacuole	3.092833920720393e-23	True	"""The joining of the lipid bilayer membrane around a vesicle with the lipid bilayer membrane around the vacuole."" [GOC:ai]"	11	97	11	15719	0.1134020618556701	1.0	query_1	['GO:0006906', 'GO:0097576']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
23	GO:BP	GO:0061763	multivesicular body-lysosome fusion	3.092833920720393e-23	True	"""The organelle membrane fusion process in which the membrane of a multivesicular body fuses with a lysosome to create a hybrid organelle."" [GOC:dph, GOC:pad, GOC:PARL, PMID:21118109]"	11	97	11	15719	0.1134020618556701	1.0	query_1	['GO:0006906', 'GO:0032510', 'GO:0097212']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
1	REAC	REAC:R-HSA-162588	Budding and maturation of HIV virion	3.272068061851436e-23	True	Budding and maturation of HIV virion	28	78	15	10022	0.1923076923076923	0.5357142857142857	query_1	['REAC:R-HSA-162599']	['CHMP2A', 'CHMP2B', 'VPS4A', 'CHMP4B', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
7	GO:CC	GO:0031902	late endosome membrane	7.030224094012107e-23	True	"""The lipid bilayer surrounding a late endosome."" [GOC:pz]"	152	100	22	16420	0.22	0.1447368421052631	query_1	['GO:0005770', 'GO:0010008']	['PIP4P1', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'TSG101', 'ARL8A', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CD68', 'VPS37C', 'CHMP3', 'VPS28', 'LITAF', 'CHMP4C', 'MITD1']
24	GO:BP	GO:1902774	late endosome to lysosome transport	1.7201826804195908e-22	True	"""The directed movement of substances from late endosome to lysosome."" [GO_REF:0000076, GOC:TermGenie, PMID:23949442]"	21	97	13	15719	0.134020618556701	0.6190476190476191	query_1	['GO:0007041']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
25	GO:BP	GO:0097576	vacuole fusion	3.28246612812216e-22	True	"""Merging of two or more vacuoles, or of vacuoles and vesicles within a cell to form a single larger vacuole."" [GOC:pr, GOC:vw, Wikipedia:Vacuole]"	12	97	11	15719	0.1134020618556701	0.9166666666666666	query_1	['GO:0007033', 'GO:0048284']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
26	GO:BP	GO:0032506	cytokinetic process	3.28246612812216e-22	True	"""A cellular process that is involved in cytokinesis (the division of the cytoplasm of a cell and its separation into two daughter cells)."" [GOC:bf, GOC:isa_complete, GOC:mah]"	38	97	15	15719	0.1546391752577319	0.3947368421052631	query_1	['GO:0000910', 'GO:0022402']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'SPAST', 'MITD1']
9	GO:CC	GO:0098852	lytic vacuole membrane	4.248360770058306e-22	True	"""The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell."" [GOC:dos]"	396	100	29	16420	0.29	0.0732323232323232	query_1	['GO:0000323', 'GO:0005774']	['PIP4P1', 'ANPEP', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'CHMP1A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'FLOT1', 'TM9SF1', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CD68', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'ATP6V1A', 'LITAF', 'TMEM79', 'CHMP4C', 'ATP6V0C', 'ATP6V0D2']
8	GO:CC	GO:0005765	lysosomal membrane	4.248360770058306e-22	True	"""The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm."" [GOC:ai]"	396	100	29	16420	0.29	0.0732323232323232	query_1	['GO:0005764', 'GO:0098852']	['PIP4P1', 'ANPEP', 'ATP6V0A2', 'CHMP2A', 'CHMP2B', 'CHMP1A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'FLOT1', 'TM9SF1', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CD68', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'ATP6V1A', 'LITAF', 'TMEM79', 'CHMP4C', 'ATP6V0C', 'ATP6V0D2']
27	GO:BP	GO:0007040	lysosome organization	4.649547447319186e-22	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a lysosome. A lysosome is a cytoplasmic, membrane-bounded organelle that is found in most animal cells and that contains a variety of hydrolases."" [GOC:mah]"	95	97	19	15719	0.1958762886597938	0.2	query_1	['GO:0080171']	['CHMP2A', 'CHMP2B', 'TMEM199', 'CHMP1A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'CCDC115', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'TCIRG1', 'CHMP3', 'ATP6V1A', 'CHMP4C', 'ATP6AP1', 'ATP6V0C']
28	GO:BP	GO:0080171	lytic vacuole organization	4.649547447319186e-22	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a lytic vacuole."" [PMID:20729380]"	95	97	19	15719	0.1958762886597938	0.2	query_1	['GO:0007033']	['CHMP2A', 'CHMP2B', 'TMEM199', 'CHMP1A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'CCDC115', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'TCIRG1', 'CHMP3', 'ATP6V1A', 'CHMP4C', 'ATP6AP1', 'ATP6V0C']
