Waardenburg syndrome type 2	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
12	GO:BP	GO:0030334	regulation of cell migration	8.585371804455e-30	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	927	106	45	21110	0.4245283018867924	0.0485436893203883	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'PLCG1', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
13	GO:MF	GO:0005178	integrin binding	2.8454812623715814e-29	True	"""Binding to an integrin."" [GOC:ceb]"	158	106	26	20195	0.2452830188679245	0.1645569620253164	query_1	['GO:0005102', 'GO:0044877', 'GO:0050839']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'JAM3', 'ITGAE', 'SYK', 'VTN', 'TLN1', 'VCAM1', 'ITGB6', 'PTK2', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2']
14	GO:BP	GO:2000145	regulation of cell motility	1.350256477895449e-28	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	988	106	45	21110	0.4245283018867924	0.0455465587044534	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'PLCG1', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
15	GO:BP	GO:0050900	leukocyte migration	4.649348248754376e-28	True	"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]"	396	106	33	21110	0.3113207547169811	0.0833333333333333	query_1	['GO:0002376', 'GO:0016477']	['ITGB1', 'ITGA9', 'EDN2', 'VEGFB', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'EDN3', 'SOS1', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'JAM3', 'VAV1', 'SYK', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2', 'FLT1', 'PGF']
16	GO:BP	GO:0040012	regulation of locomotion	9.171512517629209e-28	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	1033	106	45	21110	0.4245283018867924	0.0435624394966118	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'SNAI2', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'PLCG1', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
17	GO:BP	GO:0007160	cell-matrix adhesion	1.7484382572320998e-27	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	238	106	28	21110	0.2641509433962264	0.1176470588235294	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'VCL', 'PTK2B', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
18	GO:BP	GO:0033627	cell adhesion mediated by integrin	1.263272412739324e-26	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	89	106	21	21110	0.1981132075471698	0.2359550561797752	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'ITGA4', 'SNAI2', 'LYN', 'JAM3', 'ITGAE', 'SYK', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'ITGB7', 'ITGA3', 'PTPN11']
19	GO:BP	GO:0071363	cellular response to growth factor stimulus	1.6534895285124806e-26	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	680	106	38	21110	0.3584905660377358	0.0558823529411764	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'SNAI2', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'EDN1', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
20	GO:BP	GO:0070848	response to growth factor	8.096717138712226e-26	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	710	106	38	21110	0.3584905660377358	0.0535211267605633	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'SNAI2', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'EDN1', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
21	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	4.807811587739331e-25	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	990	106	42	21110	0.3962264150943396	0.0424242424242424	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
22	GO:BP	GO:0031589	cell-substrate adhesion	6.779297973256931e-25	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	367	106	30	21110	0.2830188679245283	0.0817438692098092	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
23	GO:CC	GO:0070161	anchoring junction	1.0539385317321482e-24	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	902	106	39	22122	0.3679245283018867	0.0432372505543237	query_1	['GO:0030054']	['ITGB1', 'ITGB5', 'ITGAV', 'BCAR1', 'CD2AP', 'SRC', 'ITGB3', 'PIK3R1', 'ITK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'LAT', 'SH3PXD2A', 'LYN', 'GRB2', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'TLN1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'FLT1']
24	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.1611862225534266e-24	True	Signaling by Receptor Tyrosine Kinases	502	96	39	10790	0.40625	0.0776892430278884	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'NRP2', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'SH3GL2', 'ADAM12', 'CRKL', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
25	GO:BP	GO:0009653	anatomical structure morphogenesis	2.34696570149798e-24	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2712	106	61	21110	0.5754716981132075	0.0224926253687315	query_1	['GO:0032502', 'GO:0048856']	['MET', 'KEL', 'ITGB1', 'EDN2', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'SH3PXD2A', 'SNAI2', 'SOX10', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'SYK', 'PLCG1', 'ERBB2', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'SH3GL2', 'ADAM12', 'CRKL', 'VTN', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'XK', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
26	WP	WP:WP185	Integrin-mediated cell adhesion	2.53717311945763e-24	True	Integrin-mediated cell adhesion	101	89	24	8133	0.2696629213483146	0.2376237623762376	query_1	['WP:000000']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'GRB2', 'ITGAE', 'VCL', 'TLN1', 'ITGB6', 'PTK2', 'ITGB7', 'ITGA3']
27	GO:MF	GO:0050839	cell adhesion molecule binding	2.9048998284261383e-24	True	"""Binding to a cell adhesion molecule."" [GOC:ai]"	562	106	34	20195	0.320754716981132	0.0604982206405693	query_1	['GO:0005515']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'CD2AP', 'SRC', 'SPP1', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'JAM3', 'EGFR', 'ITGAE', 'VCL', 'SYK', 'CDH1', 'NUDC', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'ITGB6', 'PTK2', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'PTPN11']
28	GO:CC	GO:0098636	protein complex involved in cell adhesion	5.232223343450084e-24	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	58	106	17	22122	0.160377358490566	0.293103448275862	query_1	['GO:0032991']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'TNC', 'JAM3', 'ITGAE', 'VTN', 'ITGB6', 'ITGB7', 'ITGA3', 'JAM2']
29	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	6.581476821472009e-24	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	632	106	35	21110	0.330188679245283	0.055379746835443	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA5', 'PXN', 'FYN', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
