Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	5.123411313786566e-57	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	98	44	10022	0.4489795918367347	0.3333333333333333	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
5	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	4.5406767296986135e-55	True	HDR through Homologous Recombination (HRR)	68	98	36	10022	0.3673469387755102	0.5294117647058824	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'RAD51AP1', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
0	GO:CC	GO:0031981	nuclear lumen	2.191950747038698e-52	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	104	101	16420	0.971153846153846	0.0232183908045977	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'USP12', 'ATR', 'RPA3', 'AR', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
1	GO:CC	GO:0005654	nucleoplasm	2.191950747038698e-52	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	104	99	16420	0.9519230769230768	0.0247623811905952	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'USP12', 'ATR', 'RPA3', 'AR', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
6	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	5.6917013947555866e-49	True	HDR through Single Strand Annealing (SSA)	37	98	28	10022	0.2857142857142857	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
6	GO:BP	GO:0009314	response to radiation	5.112854432462707e-45	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]"	432	103	48	15719	0.4660194174757281	0.1111111111111111	query_1	['GO:0009628']	['HUS1', 'AKT1', 'XPA', 'RAD9B', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'H2AX', 'ERCC3', 'OGG1', 'BRCA2', 'RAD1', 'PCNA', 'CDKN1A', 'ATR', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'CCND2', 'BRCA1', 'ERCC5', 'PRKDC', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'CCND1', 'RNF8', 'MSH6']
7	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	5.5157341983381884e-45	True	Impaired BRCA2 binding to RAD51	35	98	26	10022	0.2653061224489796	0.7428571428571429	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	1.533862188702242e-44	True	Diseases of DNA Double-Strand Break Repair	41	98	27	10022	0.2755102040816326	0.6585365853658537	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
8	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	1.533862188702242e-44	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	98	27	10022	0.2755102040816326	0.6585365853658537	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
2	GO:CC	GO:0005694	chromosome	6.944279671683299e-44	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	104	73	16420	0.7019230769230769	0.0397603485838779	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'RPA4', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
10	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	1.0349571097475957e-43	True	Homologous DNA Pairing and Strand Exchange	43	98	27	10022	0.2755102040816326	0.627906976744186	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
4	GO:CC	GO:0031974	membrane-enclosed lumen	3.3194268172584563e-43	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5424	104	101	16420	0.971153846153846	0.0186209439528023	query_1	['GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'USP12', 'ATR', 'RPA3', 'AR', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
3	GO:CC	GO:0043233	organelle lumen	3.3194268172584563e-43	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5424	104	101	16420	0.971153846153846	0.0186209439528023	query_1	['GO:0031974', 'GO:0043226']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'USP12', 'ATR', 'RPA3', 'AR', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
