Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:CC	GO:0000151	ubiquitin ligase complex	2.4104645255215428e-17	True	"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"	309	101	23	17376	0.2277227722772277	0.0744336569579288	query_1	['GO:0140535', 'GO:1990234']	['CUL3', 'CUL4B', 'DDB2', 'SYVN1', 'LMO7', 'DERL2', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'SKP1', 'SEL1L', 'ELOC', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
11	GO:BP	GO:0010498	proteasomal protein catabolic process	2.9527559813703217e-17	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]"	511	101	28	17376	0.2772277227722772	0.0547945205479452	query_1	['GO:0030163', 'GO:0051603']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'SKP1', 'SEL1L', 'SHH', 'FAF2', 'ERLEC1', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
12	REAC	REAC:R-HSA-392499	Metabolism of proteins	6.532449034148122e-17	True	Metabolism of proteins	1854	101	46	17376	0.4554455445544554	0.0248112189859762	query_1	['REAC:0000000']	['CUL3', 'RXRA', 'PNPLA2', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'ARF1', 'DAD1', 'LMO7', 'DERL2', 'VCP', 'ELOB', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3']
13	GO:BP	GO:1903513	endoplasmic reticulum to cytosol transport	1.07550024378349e-15	True	"""The directed movement of substances from endoplasmic reticulum to cytosol."" [GO_REF:0000076, GOC:BHF, GOC:mtg_cardiac_conduct_nov11, GOC:rl, GOC:TermGenie, PMID:16402920]"	28	101	11	17376	0.1089108910891089	0.3928571428571428	query_1	['GO:0046907']	['SELENOS', 'SYVN1', 'DERL2', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
14	GO:BP	GO:0030970	retrograde protein transport, ER to cytosol	1.07550024378349e-15	True	"""The directed movement of unfolded or misfolded proteins from the endoplasmic reticulum to the cytosol through the translocon."" [PMID:11994744]"	28	101	11	17376	0.1089108910891089	0.3928571428571428	query_1	['GO:0032527', 'GO:0036503', 'GO:1903513']	['SELENOS', 'SYVN1', 'DERL2', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
15	REAC	REAC:R-HSA-5358351	Signaling by Hedgehog	1.41924058753875e-15	True	Signaling by Hedgehog	149	101	17	17376	0.1683168316831683	0.1140939597315436	query_1	['REAC:R-HSA-162582']	['CUL3', 'PTCH1', 'IHH', 'SYVN1', 'BOC', 'DHH', 'CDON', 'DERL2', 'VCP', 'OS9', 'RBX1', 'SKP1', 'SEL1L', 'SHH', 'ERLEC1', 'HHIP', 'CUL1']
16	GO:BP	GO:0030163	protein catabolic process	2.2133135725632826e-15	True	"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]"	992	101	34	17376	0.3366336633663366	0.034274193548387	query_1	['GO:0009057', 'GO:0019538', 'GO:1901565']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
17	REAC	REAC:R-HSA-1234174	Cellular response to hypoxia	2.7691711035357845e-14	True	Cellular response to hypoxia	74	101	13	17376	0.1287128712871287	0.1756756756756756	query_1	['REAC:R-HSA-2262752']	['EGLN3', 'CREBBP', 'ELOB', 'RBX1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'EP300', 'ARNT', 'UBE2D2', 'CUL2']
18	REAC	REAC:R-HSA-5632681	Ligand-receptor interactions	1.095756785313243e-13	True	Ligand-receptor interactions	8	101	7	17376	0.0693069306930693	0.875	query_1	['REAC:R-HSA-5632684']	['PTCH1', 'IHH', 'BOC', 'DHH', 'CDON', 'SHH', 'HHIP']
19	GO:CC	GO:0008250	oligosaccharyltransferase complex	1.9146009706966374e-13	True	"""A protein complex that is found in the endoplasmic reticulum membrane of eukaryotes and transfers lipid-linked oligosaccharide precursor to asparagine residues on nascent proteins. In yeast, the complex includes at least nine different subunits, whereas in mammalian cells at least three different forms of the complex have been detected."" [ISBN:0879695595, PMID:15835887]"	14	101	8	17376	0.0792079207920792	0.5714285714285714	query_1	['GO:0005789', 'GO:0098796', 'GO:0140534', 'GO:1990234']	['STT3B', 'DAD1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
20	GO:CC	GO:0031461	cullin-RING ubiquitin ligase complex	3.39650691406672e-13	True	"""Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity."" [PMID:15571813, PMID:15688063]"	179	101	16	17376	0.1584158415841584	0.0893854748603352	query_1	['GO:0000151']	['CUL3', 'CUL4B', 'DDB2', 'ELOB', 'ZYG11B', 'DDB1', 'RBX1', 'SKP1', 'ELOC', 'CAND1', 'RNF7', 'CUL5', 'ERCC8', 'CUL1', 'CUL2', 'CUL4A']
21	GO:BP	GO:0032527	protein exit from endoplasmic reticulum	3.750580963440619e-13	True	"""The directed movement of proteins from the endoplasmic reticulum."" [GOC:rb]"	45	101	11	17376	0.1089108910891089	0.2444444444444444	query_1	['GO:0006886']	['SELENOS', 'SYVN1', 'DERL2', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
22	GO:BP	GO:0030433	ubiquitin-dependent ERAD pathway	5.517353257477357e-13	True	"""The series of steps necessary to target endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. Begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein ubiquitination necessary for correct substrate transfer, transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome."" [GOC:mah, GOC:rb, PMID:14607247, PMID:19520858]"	85	101	13	17376	0.1287128712871287	0.1529411764705882	query_1	['GO:0036503', 'GO:0043161']	['SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
23	GO:BP	GO:0018279	protein N-linked glycosylation via asparagine	9.968467337451318e-13	True	"""The glycosylation of protein via the N4 atom of peptidyl-asparagine forming N4-glycosyl-L-asparagine; the most common form is N-acetylglucosaminyl asparagine; N-acetylgalactosaminyl asparagine and N4 glucosyl asparagine also occur. This modification typically occurs in extracellular peptides with an N-X-(ST) motif. Partial modification has been observed to occur with cysteine, rather than serine or threonine, in the third position; secondary structure features are important, and proline in the second or fourth positions inhibits modification."" [GOC:jsg, RESID:AA0151, RESID:AA0420, RESID:AA0421]"	23	101	9	17376	0.0891089108910891	0.391304347826087	query_1	['GO:0006487']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
24	GO:BP	GO:0009057	macromolecule catabolic process	1.4042462506831396e-12	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	1330	101	35	17376	0.3465346534653465	0.0263157894736842	query_1	['GO:0043170', 'GO:1901575']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
25	GO:BP	GO:0032446	protein modification by small protein conjugation	1.4042462506831396e-12	True	"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein."" [GOC:mah]"	868	101	29	17376	0.2871287128712871	0.0334101382488479	query_1	['GO:0070647']	['CUL3', 'CUL4B', 'DDB2', 'SYVN1', 'LMO7', 'HSP90AB1', 'VCP', 'ELOB', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'ARNT', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
26	GO:CC	GO:1902494	catalytic complex	3.442245068066938e-12	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1713	101	38	17376	0.3762376237623762	0.0221833041447752	query_1	['GO:0032991']	['CUL3', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'DERL2', 'VCP', 'COX10', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'SKP1', 'SEL1L', 'ELOC', 'EP300', 'STT3A', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'RPN2', 'CUL1', 'CUL2', 'CUL4A', 'TUSC3', 'NAA35']
27	GO:BP	GO:1901565	organonitrogen compound catabolic process	4.4759222394349554e-12	True	"""The chemical reactions and pathways resulting in the breakdown of organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	1301	101	34	17376	0.3366336633663366	0.0261337432744043	query_1	['GO:1901564', 'GO:1901575']	['CUL3', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
28	GO:BP	GO:0006508	proteolysis	5.972110495687013e-12	True	"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]"	1670	101	38	17376	0.3762376237623762	0.022754491017964	query_1	['GO:0019538']	['CUL3', 'EGLN3', 'PTCH1', 'IHH', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'DHH', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'HSP90B1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
29	GO:BP	GO:0019538	protein metabolic process	7.625921771282359e-12	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	5057	101	66	17376	0.6534653465346535	0.013051216136049	query_1	['GO:0043170', 'GO:0044238', 'GO:1901564']	['CUL3', 'EGLN3', 'PTCH1', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'DAD1', 'LMO7', 'DHH', 'CDON', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'PKD2', 'CUL4A', 'TUSC3', 'NAA35']
30	GO:BP	GO:0036503	ERAD pathway	8.429647761472222e-12	True	"""The protein catabolic pathway which targets endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. It begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein modifications necessary for correct substrate transfer (e.g. ubiquitination), transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome."" [GOC:bf, GOC:PARL, PMID:20940304, PMID:21969857]"	108	101	13	17376	0.1287128712871287	0.1203703703703703	query_1	['GO:0010243', 'GO:0010498', 'GO:0034976']	['SELENOS', 'SYVN1', 'STT3B', 'DERL2', 'DNAJC10', 'VCP', 'OS9', 'UBE2J1', 'DERL1', 'HSP90B1', 'SEL1L', 'FAF2', 'ERLEC1']
31	GO:BP	GO:0036211	protein modification process	2.168420807865045e-11	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3393	101	53	17376	0.5247524752475248	0.0156203949307397	query_1	['GO:0019538', 'GO:0043412']	['CUL3', 'EGLN3', 'NAA38', 'LIMCH1', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'CDON', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'STT3A', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'CUL1', 'CUL2', 'PKD2', 'CUL4A', 'TUSC3', 'NAA35']
32	GO:CC	GO:0000153	cytoplasmic ubiquitin ligase complex	2.5153595614164385e-11	True	"""A ubiquitin ligase complex found in the cytoplasm."" [GOC:mah]"	14	101	7	17376	0.0693069306930693	0.5	query_1	['GO:0000151', 'GO:0005737']	['SYVN1', 'DERL2', 'ELOB', 'OS9', 'DERL1', 'SEL1L', 'CUL2']
33	GO:BP	GO:0070647	protein modification by small protein conjugation or removal	3.0377279246059526e-11	True	"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."" [GOC:mah]"	994	101	29	17376	0.2871287128712871	0.0291750503018108	query_1	['GO:0036211']	['CUL3', 'CUL4B', 'DDB2', 'SYVN1', 'LMO7', 'HSP90AB1', 'VCP', 'ELOB', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'ARNT', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'COPS5', 'CUL1', 'CUL2', 'CUL4A']
34	GO:BP	GO:1901575	organic substance catabolic process	6.401740289775799e-11	True	"""The chemical reactions and pathways resulting in the breakdown of an organic substance, any molecular entity containing carbon."" [GOC:pr, GOC:TermGenie]"	2014	101	40	17376	0.396039603960396	0.0198609731876861	query_1	['GO:0009056', 'GO:0071704']	['CUL3', 'PNPLA2', 'CUL4B', 'SELENOS', 'SYVN1', 'STT3B', 'PPARD', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'ZYG11B', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'CSDE1', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'FAF2', 'ERLEC1', 'UBE2D2', 'RNF7', 'CUL5', 'ERCC8', 'HSPA8', 'CUL1', 'CUL2', 'CUL4A']
35	GO:CC	GO:0031984	organelle subcompartment	1.909312342486146e-10	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]"	1390	101	32	17376	0.3168316831683168	0.0230215827338129	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	['PNPLA2', 'IHH', 'SELENOS', 'SYVN1', 'STT3B', 'DAD1', 'DHH', 'DERL2', 'VCP', 'ARL1', 'ZMPSTE24', 'SCOC', 'OS9', 'UBE2J1', 'DERL1', 'DDOST', 'ARFRP1', 'RPN1', 'HSP90B1', 'ARFIP2', 'SEL1L', 'GBF1', 'SHH', 'STT3A', 'FAF2', 'SELENOK', 'MAGT1', 'RPN2', 'PLEKHA8', 'PKD2', 'SYS1', 'TUSC3']
36	GO:BP	GO:0043412	macromolecule modification	2.0349811310014907e-10	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3593	101	53	17376	0.5247524752475248	0.0147509045365989	query_1	['GO:0043170']	['CUL3', 'EGLN3', 'NAA38', 'LIMCH1', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'DAD1', 'LMO7', 'CDON', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'ELOB', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'STT3A', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'RARA', 'RPN2', 'CUL1', 'CUL2', 'PKD2', 'CUL4A', 'TUSC3', 'NAA35']
37	REAC	REAC:R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	2.9238669008643407e-10	True	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	66	101	10	17376	0.099009900990099	0.1515151515151515	query_1	['REAC:R-HSA-1234174']	['EGLN3', 'ELOB', 'RBX1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'UBE2D2', 'CUL2']
