Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0000082	G1/S transition of mitotic cell cycle	8.374981891397099e-38	True	"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]"	226	101	35	17376	0.3465346534653465	0.1548672566371681	query_1	['GO:0044772', 'GO:0044843']	['CDKN2B', 'AKT1', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
11	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	8.374981891397099e-38	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	101	80	17376	0.7920792079207921	0.0254939451880178	query_1	['GO:0097659', 'GO:2001141']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
12	GO:BP	GO:0006355	regulation of DNA-templated transcription	8.374981891397099e-38	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3136	101	80	17376	0.7920792079207921	0.0255102040816326	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
13	GO:BP	GO:0044843	cell cycle G1/S phase transition	8.374981891397099e-38	True	"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]"	254	101	36	17376	0.3564356435643564	0.1417322834645669	query_1	['GO:0044770']	['CDKN2B', 'AKT1', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
14	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	1.788238988893646e-37	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2346	101	72	17376	0.7128712871287128	0.0306905370843989	query_1	['GO:0006355', 'GO:0006366']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SERTAD1', 'CBFB', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'FOXH1', 'CDK4', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
15	GO:BP	GO:0006351	DNA-templated transcription	5.388647628500006e-37	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3256	101	80	17376	0.7920792079207921	0.0245700245700245	query_1	['GO:0097659']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
16	GO:BP	GO:0097659	nucleic acid-templated transcription	5.388647628500006e-37	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3257	101	80	17376	0.7920792079207921	0.0245624808105618	query_1	['GO:0010467', 'GO:0032774']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
17	REAC	REAC:R-HSA-69206	G1/S Transition	7.840254899946131e-37	True	G1/S Transition	130	101	29	17376	0.2871287128712871	0.2230769230769231	query_1	['REAC:R-HSA-453279']	['AKT1', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'E2F5', 'CDKN1A', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'E2F1', 'MNAT1', 'CDK1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
18	GO:BP	GO:0032774	RNA biosynthetic process	9.291841052039789e-37	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3290	101	80	17376	0.7920792079207921	0.0243161094224924	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
19	GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	9.291841052039789e-37	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5234	101	93	17376	0.9207920792079208	0.0177684371417653	query_1	['GO:0006807', 'GO:0019222']	['REST', 'MAML1', 'CDKN2B', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CDKN1A', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SKP1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'CCND2', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
20	GO:BP	GO:0006366	transcription by RNA polymerase II	1.461657367662326e-36	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2443	101	72	17376	0.7128712871287128	0.0294719607040523	query_1	['GO:0006351']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SERTAD1', 'CBFB', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'FOXH1', 'CDK4', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
