Waardenburg-Shah syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0007160	cell-matrix adhesion	1.7092964535275343e-27	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	220	104	29	15719	0.2788461538461538	0.1318181818181818	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'VCL', 'PTK2B', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
11	GO:BP	GO:2000145	regulation of cell motility	1.535230584235396e-26	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	938	104	46	15719	0.4423076923076923	0.0490405117270788	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'PLCG1', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
12	GO:BP	GO:0050900	leukocyte migration	8.15285689274137e-26	True	"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]"	378	104	33	15719	0.3173076923076923	0.0873015873015873	query_1	['GO:0002376', 'GO:0016477']	['ITGB1', 'ITGA9', 'EDN2', 'VEGFB', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'EDN3', 'SOS1', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TGFB1', 'JAM3', 'VAV1', 'SYK', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'LCK', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2', 'FLT1', 'PGF']
13	GO:BP	GO:0040012	regulation of locomotion	9.598359955205196e-26	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	982	104	46	15719	0.4423076923076923	0.0468431771894093	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'EDN2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'PLCG1', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
14	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	9.598359955205196e-26	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	104	45	15719	0.4326923076923077	0.0485436893203883	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
15	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4.505241439740398e-25	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	104	38	15719	0.3653846153846153	0.0628099173553719	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
0	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	9.32379452928928e-25	True	Signaling by Receptor Tyrosine Kinases	495	96	40	10022	0.4166666666666667	0.0808080808080808	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'NRP2', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'SH3GL2', 'ADAM12', 'CRKL', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
16	GO:BP	GO:0031589	cell-substrate adhesion	1.4795895190408687e-24	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	345	104	31	15719	0.2980769230769231	0.0898550724637681	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3']
0	GO:CC	GO:0070161	anchoring junction	1.7806278398955122e-24	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	104	42	16420	0.4038461538461538	0.0491228070175438	query_1	['GO:0030054']	['ITGB1', 'ITGB5', 'ITGAV', 'PIK3R2', 'BCAR1', 'CD2AP', 'SRC', 'ITGB3', 'PIK3R1', 'ITK', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'LAT', 'SH3PXD2A', 'ZAP70', 'LYN', 'GRB2', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'TLN1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'FLT1']
17	GO:BP	GO:0071363	cellular response to growth factor stimulus	2.7876964547867718e-24	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	104	38	15719	0.3653846153846153	0.0595611285266457	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'EDN1', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
18	GO:BP	GO:0033627	cell adhesion mediated by integrin	7.507401545854633e-24	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	104	20	15719	0.1923076923076923	0.2352941176470588	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'JAM3', 'ITGAE', 'SYK', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'ITGB7', 'ITGA3', 'PTPN11']
19	GO:BP	GO:0070848	response to growth factor	1.2618618922505079e-23	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	104	38	15719	0.3653846153846153	0.0569715142428785	query_1	['GO:0009719']	['RAPGEF1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'EDN1', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
20	GO:BP	GO:0006935	chemotaxis	3.7425738662206204e-23	True	"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]"	593	104	36	15719	0.3461538461538461	0.0607082630691399	query_1	['GO:0042221', 'GO:0042330']	['MET', 'ITGA9', 'EDN2', 'VEGFB', 'PLXNB1', 'ITGAV', 'BCAR1', 'EDNRA', 'ITGB3', 'CRK', 'HGF', 'EDN3', 'SOS1', 'FYN', 'LYN', 'NRP2', 'JAM3', 'VAV1', 'SYK', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'ECE1', 'CRKL', 'EDNRB', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
21	GO:BP	GO:0042330	taxis	4.012618567717176e-23	True	"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]"	595	104	36	15719	0.3461538461538461	0.0605042016806722	query_1	['GO:0009605', 'GO:0040011']	['MET', 'ITGA9', 'EDN2', 'VEGFB', 'PLXNB1', 'ITGAV', 'BCAR1', 'EDNRA', 'ITGB3', 'CRK', 'HGF', 'EDN3', 'SOS1', 'FYN', 'LYN', 'NRP2', 'JAM3', 'VAV1', 'SYK', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'ECE1', 'CRKL', 'EDNRB', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
22	GO:BP	GO:0030155	regulation of cell adhesion	6.983981994994544e-23	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	104	39	15719	0.375	0.0517928286852589	query_1	['GO:0007155', 'GO:0050794']	['PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'TFE3', 'TGFBR2', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'LYN', 'TNC', 'TGFB1', 'JAM3', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'SEMA4D', 'PLXNA1']
1	GO:CC	GO:0098636	protein complex involved in cell adhesion	1.5277921661524993e-22	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	56	104	17	16420	0.1634615384615384	0.3035714285714285	query_1	['GO:0032991']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'TNC', 'JAM3', 'ITGAE', 'VTN', 'ITGB6', 'ITGB7', 'ITGA3', 'JAM2']
23	GO:BP	GO:0009653	anatomical structure morphogenesis	1.6411874558243524e-22	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2539	104	63	15719	0.6057692307692307	0.0248129184718393	query_1	['GO:0032502', 'GO:0048856']	['MET', 'KEL', 'ITGB1', 'EDN2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'SH3PXD2A', 'SOX10', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VCL', 'SYK', 'PLCG1', 'ERBB2', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'SH3GL2', 'ADAM12', 'CRKL', 'VTN', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'XK', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
1	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	1.7962883042242286e-22	True	Integrin cell surface interactions	83	96	21	10022	0.21875	0.253012048192771	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'TNC', 'JAM3', 'ITGAE', 'CDH1', 'VTN', 'VCAM1', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2']
24	GO:BP	GO:0098609	cell-cell adhesion	1.2954112245348317e-21	True	"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]"	873	104	40	15719	0.3846153846153846	0.0458190148911798	query_1	['GO:0007155']	['RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'CD2AP', 'SRC', 'ITGB3', 'SHC1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'TGFB1', 'JAM3', 'EGFR', 'ITGAE', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'VEGFA', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'LCK', 'ITGB7', 'ITGA3', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D']
25	GO:BP	GO:0009719	response to endogenous stimulus	2.4221027185940724e-21	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	104	51	15719	0.4903846153846153	0.0314039408866995	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'SOX10', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'CDH1', 'PTK2B', 'NUDC', 'VEGFA', 'SH3GL2', 'CRKL', 'EDNRB', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
