Vogt-Koyanagi-Harada disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-975155	MyD88 dependent cascade initiated on endosome	8.101749088427373e-42	True	MyD88 dependent cascade initiated on endosome	102	96	33	10790	0.34375	0.3235294117647059	query_1	['REAC:R-HSA-168138', 'REAC:R-HSA-168181']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
11	REAC	REAC:R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	1.1852979552708868e-41	True	Toll Like Receptor 7/8 (TLR7/8) Cascade	103	96	33	10790	0.34375	0.3203883495145631	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
12	GO:BP	GO:0035556	intracellular signal transduction	2.4123603599956404e-41	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2669	101	74	21110	0.7326732673267327	0.0277257399775196	query_1	['GO:0007165']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'NFKB2', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3']
13	REAC	REAC:R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	3.6138467699485565e-41	True	Toll Like Receptor 9 (TLR9) Cascade	106	96	33	10790	0.34375	0.3113207547169811	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
14	GO:BP	GO:1902531	regulation of intracellular signal transduction	5.376853754151719e-41	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1728	101	64	21110	0.6336633663366337	0.037037037037037	query_1	['GO:0009966', 'GO:0035556']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3']
15	REAC	REAC:R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	4.38022181710516e-40	True	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	101	96	32	10790	0.3333333333333333	0.3168316831683168	query_1	['REAC:R-HSA-975155']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
16	REAC	REAC:R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	1.3286651735799984e-36	True	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	112	96	31	10790	0.3229166666666667	0.2767857142857143	query_1	['REAC:R-HSA-166016', 'REAC:R-HSA-168179', 'REAC:R-HSA-168188']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
17	REAC	REAC:R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	1.3286651735799984e-36	True	Toll Like Receptor TLR6:TLR2 Cascade	112	96	31	10790	0.3229166666666667	0.2767857142857143	query_1	['REAC:R-HSA-181438']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
18	GO:BP	GO:0031349	positive regulation of defense response	1.532006629682711e-36	True	"""Any process that activates or increases the frequency, rate or extent of a defense response."" [GOC:mah]"	427	101	39	21110	0.3861386138613861	0.0913348946135831	query_1	['GO:0006952', 'GO:0031347', 'GO:0048584']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'OPTN', 'TRAF3', 'SARM1', 'IRAK3', 'TNFRSF1A', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'TRADD', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3']
19	REAC	REAC:R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	3.382395373987868e-36	True	Toll Like Receptor TLR1:TLR2 Cascade	115	96	31	10790	0.3229166666666667	0.2695652173913043	query_1	['REAC:R-HSA-181438']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
20	REAC	REAC:R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	3.382395373987868e-36	True	Toll Like Receptor 2 (TLR2) Cascade	115	96	31	10790	0.3229166666666667	0.2695652173913043	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
21	GO:BP	GO:0009607	response to biotic stimulus	4.7443108564933847e-35	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1621	101	58	21110	0.5742574257425742	0.0357803824799506	query_1	['GO:0050896']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
22	WP	WP:WP3851	TLR4 signaling and tolerance	6.918830070802388e-35	True	TLR4 signaling and tolerance	28	88	21	8133	0.2386363636363636	0.75	query_1	['WP:000000']	['MYD88', 'TRAF3', 'IRAK3', 'CHUK', 'TAB2', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'IRF7', 'NFKB1', 'RIPK1', 'IRAK1', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6', 'NFKBIA', 'TICAM1']
23	GO:BP	GO:0048584	positive regulation of response to stimulus	9.231388563822473e-35	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2283	101	65	21110	0.6435643564356436	0.0284713096802452	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['PTPN22', 'SHARPIN', 'CARD11', 'HSPA1A', 'CREBBP', 'MYD88', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'LRSAM1', 'UBE2N', 'TNFAIP3']
24	REAC	REAC:R-HSA-9020702	Interleukin-1 signaling	1.0941380489343392e-34	True	Interleukin-1 signaling	113	96	30	10790	0.3125	0.2654867256637168	query_1	['REAC:R-HSA-446652']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
25	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	1.3829974163460715e-34	True	"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	997	101	49	21110	0.4851485148514851	0.0491474423269809	query_1	['GO:0009967', 'GO:0035556', 'GO:1902531']	['PTPN22', 'SHARPIN', 'CARD11', 'MYD88', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'UBE2N']
26	GO:BP	GO:0051707	response to other organism	1.998559128299268e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1581	101	57	21110	0.5643564356435643	0.0360531309297912	query_1	['GO:0043207', 'GO:0044419']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
27	GO:BP	GO:0043207	response to external biotic stimulus	2.216231218930201e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1584	101	57	21110	0.5643564356435643	0.0359848484848484	query_1	['GO:0009605', 'GO:0009607']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
28	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	2.230612774771749e-34	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1752	101	59	21110	0.5841584158415841	0.0336757990867579	query_1	['GO:0008150']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
