Seckel syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
5	GO:BP	GO:0006310	DNA recombination	1.6813768219735691e-60	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	108	54	15719	0.5	0.1692789968652037	query_1	['GO:0006259']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'KDM1A', 'RNF8', 'MSH6']
5	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	2.4326035558102785e-58	True	HDR through Homologous Recombination (HRR)	68	104	38	10022	0.3653846153846153	0.5588235294117647	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'RAD51AP1', 'RAD51D', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
0	GO:CC	GO:0005694	chromosome	3.822461780846073e-50	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	109	80	16420	0.7339449541284404	0.0435729847494553	query_1	['GO:0043232']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'RAD51D', 'PAXIP1', 'LIG4', 'HDAC1', 'APLF', 'MLH1', 'FEN1', 'PLK4', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'TRAIP', 'PLK2', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'CENPE', 'SUMO1', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'NUP85', 'KAT5', 'POLD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
7	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	1.9485341110644855e-48	True	Diseases of DNA Double-Strand Break Repair	41	104	29	10022	0.2788461538461538	0.7073170731707317	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
6	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	1.9485341110644855e-48	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	104	29	10022	0.2788461538461538	0.7073170731707317	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
1	GO:CC	GO:0031981	nuclear lumen	2.990378304795178e-48	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	109	102	16420	0.9357798165137616	0.0234482758620689	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'UIMC1', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'HDAC1', 'APLF', 'MLH1', 'FEN1', 'PLK4', 'CEP152', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'TRAIP', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'SUMO1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ATRIP', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'SUMO2', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'NUP85', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'ABRAXAS1', 'PHLPP2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
8	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3.663641331668843e-48	True	HDR through Single Strand Annealing (SSA)	37	104	28	10022	0.2692307692307692	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ATRIP', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	1.5244481698529728e-47	True	Homologous DNA Pairing and Strand Exchange	43	104	29	10022	0.2788461538461538	0.6744186046511628	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
2	GO:CC	GO:0005654	nucleoplasm	1.8672778942842095e-47	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	109	99	16420	0.908256880733945	0.0247623811905952	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'UIMC1', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'HDAC1', 'APLF', 'MLH1', 'FEN1', 'CEP152', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'TRAIP', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'SUMO1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ATRIP', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'SUMO2', 'APEX1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'XRCC2', 'NUP85', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'ABRAXAS1', 'PHLPP2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
10	REAC	REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	1.316700686095692e-46	True	Presynaptic phase of homologous DNA pairing and strand exchange	40	104	28	10022	0.2692307692307692	0.7	query_1	['REAC:R-HSA-5693579']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
11	REAC	REAC:R-HSA-1640170	Cell Cycle	5.473372158420733e-46	True	Cell Cycle	676	104	63	10022	0.6057692307692307	0.0931952662721893	query_1	['REAC:0000000']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'UIMC1', 'HDAC1', 'MLH1', 'FEN1', 'PLK4', 'CENPJ', 'CEP152', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'CENPE', 'SUMO1', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CEP63', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'POLA2', 'NUP85', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'PCNT', 'TP53', 'ABRAXAS1', 'POLE', 'POLD2', 'RNF8']
12	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	2.3909853882720574e-44	True	Impaired BRCA2 binding to RAD51	35	104	26	10022	0.25	0.7428571428571429	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
6	GO:BP	GO:0006260	DNA replication	4.045783318264744e-42	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	108	41	15719	0.3796296296296296	0.150735294117647	query_1	['GO:0006259']	['RBBP8', 'RPA4', 'NBN', 'POLD3', 'RAD50', 'LIG3', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'TRAIP', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'CHRAC1', 'POLA2', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'POLE', 'POLD2']
7	GO:BP	GO:0010212	response to ionizing radiation	1.6081631979268308e-41	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]"	143	108	34	15719	0.3148148148148148	0.2377622377622377	query_1	['GO:0009314']	['HUS1', 'RAD9B', 'MSH2', 'TP53BP1', 'UIMC1', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'ATR', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'TP53', 'ABRAXAS1', 'KDM1A', 'RNF8']
