Dermatosparaxis Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0007165	signal transduction	6.696558600165306e-31	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	6034	100	87	21110	0.87	0.0144182963208485	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'STAM2', 'PIK3R6', 'CRK', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'GRAP2']
11	GO:BP	GO:0023052	signaling	1.0511633583203112e-30	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	6493	100	89	21110	0.89	0.0137070691513938	query_1	['GO:0050789']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'STAM2', 'PIK3R6', 'CRK', 'PTPN23', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'GRAP2']
12	KEGG	KEGG:05100	Bacterial invasion of epithelial cells	4.046240786457885e-30	True	Bacterial invasion of epithelial cells	77	85	25	8161	0.2941176470588235	0.3246753246753247	query_1	['KEGG:00000']	['MET', 'ITGB1', 'PIK3CB', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'CRK', 'SHC1', 'WASL', 'GAB1', 'PIK3CD', 'ITGA5', 'PXN', 'PIK3CA', 'VCL', 'PIK3R3', 'CRKL', 'SHC3', 'PTK2', 'ELMO1', 'CBL', 'ELMO2']
13	GO:BP	GO:0007154	cell communication	4.4206140825718216e-30	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	6604	100	89	21110	0.89	0.0134766807995154	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'STAM2', 'PIK3R6', 'CRK', 'PTPN23', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'GRAP2']
14	GO:BP	GO:0048870	cell motility	1.7953669289507496e-29	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1705	100	54	21110	0.54	0.0316715542521994	query_1	['GO:0009987']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PTPN23', 'HGF', 'RET', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'GFRA3', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2']
15	GO:BP	GO:0048584	positive regulation of response to stimulus	2.0298875172521864e-29	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2283	100	60	21110	0.6	0.026281208935611	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'BCAR1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'WAS', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'CD247', 'PTK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
16	GO:MF	GO:0005102	signaling receptor binding	1.240170366325255e-28	True	"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	1564	100	52	20195	0.52	0.0332480818414322	query_1	['GO:0005515']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PIK3AP1', 'SOS1', 'USP4', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'DOCK4', 'ZAP70', 'LYN', 'GFRA3', 'GRB2', 'FGB', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ELMO2']
17	GO:CC	GO:0005886	plasma membrane	9.610390915051424e-28	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	5819	100	81	22122	0.81	0.0139199175115999	query_1	['GO:0016020', 'GO:0071944']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'NCR3LG1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'RET', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'GRB7', 'GRAP2']
18	GO:MF	GO:0001784	phosphotyrosine residue binding	1.0982009848157556e-27	True	"""Binding to a phosphorylated tyrosine residue within a protein."" [PMID:14636584]"	46	100	18	20195	0.18	0.391304347826087	query_1	['GO:0045309']	['PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'ZAP70', 'SHB', 'GRB2', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'SHC3', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'GRAP2']
19	GO:CC	GO:0071944	cell periphery	2.8434951775053435e-27	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	6303	100	83	22122	0.83	0.0131683325400602	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'NCR3LG1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'ADAMTS2', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'GRB7', 'GRAP2']
20	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	4.070633005735855e-27	True	Platelet activation, signaling and aggregation	258	97	33	10790	0.3402061855670103	0.127906976744186	query_1	['REAC:R-HSA-109582']	['PIK3R5', 'PIK3CB', 'FN1', 'PIK3R2', 'BCAR1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'FYN', 'LAT', 'LYN', 'LCP2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'PIK3R3', 'TLN1', 'PTK2', 'LCK', 'PTPN11']
21	GO:BP	GO:0001775	cell activation	5.629945678598091e-27	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1157	100	45	21110	0.45	0.0388936905790838	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'PIK3R6', 'NCR3', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'LCP2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'GAB2', 'CD247', 'TLN1', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
22	GO:BP	GO:0007155	cell adhesion	3.864913314833291e-26	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1530	100	49	21110	0.49	0.0320261437908496	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'PIK3R1', 'PIK3R6', 'CRK', 'PTPN23', 'RET', 'SHC1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'SHB', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'CD3E', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2']
23	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	3.990946684281746e-26	True	"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	997	100	42	21110	0.42	0.0421263791374122	query_1	['GO:0009967', 'GO:0035556', 'GO:1902531']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'PIK3CA', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'LITAF', 'CRKL', 'PTK2', 'LCK', 'GAREM1', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
24	WP	WP:WP69	T-cell receptor signaling pathway	8.843820212104193e-26	True	T-cell receptor signaling pathway	90	88	24	8133	0.2727272727272727	0.2666666666666666	query_1	['WP:000000']	['NCK1', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'SOS1', 'FYN', 'WAS', 'LAT', 'ZAP70', 'GRB2', 'LCP2', 'VAV1', 'PLCG1', 'PTK2B', 'CRKL', 'GAB2', 'CD247', 'LCK', 'CD3E', 'PTPN11', 'CBL', 'GRAP2']
