Progeroid syndrome, Petty type	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0030155	regulation of cell adhesion	9.642488096868776e-23	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	98	37	17376	0.3775510204081632	0.049136786188579	query_1	['GO:0007155', 'GO:0050794']	['NCK1', 'ITGAV', 'FN1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'TGFBR2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'TLN1', 'PKD1', 'PTK2', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'ZDHHC2']
11	GO:BP	GO:0098609	cell-cell adhesion	9.642488096868776e-23	True	"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]"	873	98	39	17376	0.3979591836734694	0.0446735395189003	query_1	['GO:0007155']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'SKAP1', 'SFTPD', 'NPHP4', 'SHC1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'NPHP1', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'SIRPG', 'TLN1', 'PKD1', 'PTK2', 'LCK', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'ZDHHC2']
12	GO:BP	GO:0007229	integrin-mediated signaling pathway	3.1696282772653e-22	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	98	20	17376	0.2040816326530612	0.1769911504424778	query_1	['GO:0007166']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'FYB1', 'LAT', 'CD47', 'VAV1', 'SYK', 'PTK2B', 'TLN1', 'PTK2', 'ITGB6', 'PTPN11']
13	REAC	REAC:R-HSA-1500931	Cell-Cell communication	4.0617460009550825e-22	True	Cell-Cell communication	123	98	20	17376	0.2040816326530612	0.1626016260162601	query_1	['REAC:0000000']	['ITGB1', 'SFTPA1', 'NCK1', 'PIK3R1', 'SFTPD', 'WASL', 'PARD6A', 'PXN', 'FYN', 'FYB1', 'PARD3', 'SKAP2', 'CD47', 'SIRPA', 'PTK2B', 'SIRPG', 'PTK2', 'PTPN11', 'NCK2', 'SFTPA2']
14	GO:CC	GO:0005886	plasma membrane	2.9513905597841965e-21	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4844	98	75	17376	0.7653061224489796	0.0154830718414533	query_1	['GO:0016020', 'GO:0071944']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'CACNA2D2', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'ZDHHC2']
15	GO:CC	GO:0070161	anchoring junction	2.9513905597841965e-21	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	98	37	17376	0.3775510204081632	0.0432748538011695	query_1	['GO:0030054']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'NPHP4', 'ITK', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'CBL']
16	REAC	REAC:R-HSA-391160	Signal regulatory protein family interactions	2.971591860341272e-21	True	Signal regulatory protein family interactions	14	98	11	17376	0.1122448979591836	0.7857142857142857	query_1	['REAC:R-HSA-1500931']	['SFTPA1', 'SFTPD', 'FYB1', 'SKAP2', 'CD47', 'SIRPA', 'PTK2B', 'SIRPG', 'PTK2', 'PTPN11', 'SFTPA2']
17	GO:BP	GO:0045785	positive regulation of cell adhesion	2.9936718997753184e-21	True	"""Any process that activates or increases the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	466	98	30	17376	0.3061224489795918	0.0643776824034334	query_1	['GO:0007155', 'GO:0030155', 'GO:0048522']	['NCK1', 'ITGAV', 'FN1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'SKAP1', 'CRK', 'TGFBR2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'LCK', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2']
18	REAC	REAC:R-HSA-1643685	Disease	4.690866641429063e-21	True	Disease	1725	98	48	17376	0.4897959183673469	0.0278260869565217	query_1	['REAC:0000000']	['MET', 'ITGB1', 'SFTPA1', 'NCK1', 'FN1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'WIPF3', 'SFTPD', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'WIPF1', 'ITGA2B', 'WIPF2', 'FYN', 'WAS', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'SH3GL2', 'TLN1', 'TGFBR1', 'PTK2', 'DOCK2', 'LCK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'PDGFRA', 'ELMO2', 'SFTPA2', 'ZDHHC2']
19	GO:BP	GO:0001775	cell activation	8.12410725792032e-21	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1063	98	40	17376	0.4081632653061224	0.037629350893697	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'FYN', 'WAS', 'LAT', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'TGFB1', 'LCP2', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SIRPG', 'TLN1', 'TGFBR1', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
20	GO:CC	GO:0071944	cell periphery	8.271249144188312e-21	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5270	98	77	17376	0.7857142857142857	0.0146110056925996	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'DMBT1', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'CACNA2D2', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'ZDHHC2']
21	GO:BP	GO:0071363	cellular response to growth factor stimulus	8.396564754349355e-21	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	637	98	33	17376	0.336734693877551	0.0518053375196232	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'LATS1', 'SMURF2', 'ITGB5', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
22	GO:BP	GO:0002682	regulation of immune system process	1.599597985196063e-20	True	"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]"	1385	98	44	17376	0.4489795918367347	0.031768953068592	query_1	['GO:0002376', 'GO:0050789']	['RAPGEF1', 'NCK1', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'FYN', 'FYB1', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'TGFB1', 'LCP2', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CRKL', 'SIRPG', 'PTK2', 'LCK', 'SMAD3', 'PTPN11', 'NCK2']
23	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2.0443142140804876e-20	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	98	32	17376	0.3265306122448979	0.052892561983471	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
24	GO:BP	GO:0070848	response to growth factor	2.6680275168000024e-20	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	666	98	33	17376	0.336734693877551	0.0495495495495495	query_1	['GO:0009719']	['RAPGEF1', 'LATS1', 'SMURF2', 'ITGB5', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
25	GO:BP	GO:0040011	locomotion	5.674363490858358e-20	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1283	98	42	17376	0.4285714285714285	0.0327357755261106	query_1	['GO:0008150']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'WAS', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'DOCK2', 'SMAD3', 'DOCK5', 'PDGFRA', 'ELMO2']
26	GO:BP	GO:0042325	regulation of phosphorylation	5.674363490858358e-20	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1133	98	40	17376	0.4081632653061224	0.0353045013239188	query_1	['GO:0016310', 'GO:0019220']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
27	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6.585016782666594e-20	True	Platelet activation, signaling and aggregation	252	98	23	17376	0.2346938775510204	0.0912698412698412	query_1	['REAC:R-HSA-109582']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'FYN', 'LAT', 'LYN', 'LCP2', 'VCL', 'VAV1', 'SYK', 'TLN1', 'PTK2', 'LCK', 'PTPN11']
28	REAC	REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	1.1518158200472014e-19	True	VEGFA-VEGFR2 Pathway	94	98	17	17376	0.173469387755102	0.1808510638297872	query_1	['REAC:R-HSA-194138']	['NCK1', 'ITGAV', 'BCAR1', 'DOCK1', 'ITGB3', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'SHB', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'ELMO1', 'NCK2', 'ELMO2']
29	GO:BP	GO:0006909	phagocytosis	1.1544223560011453e-19	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	245	98	23	17376	0.2346938775510204	0.0938775510204081	query_1	['GO:0006897']	['MET', 'RAPGEF1', 'ITGB1', 'SFTPA1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'SFTPD', 'PLCG2', 'FYN', 'LYN', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'FCGR1A', 'SIRPA', 'SIRPG', 'PTK2', 'DOCK2', 'ELMO1', 'ELMO2']
30	GO:BP	GO:0006468	protein phosphorylation	1.469552304720139e-19	True	"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	1479	98	44	17376	0.4489795918367347	0.0297498309668695	query_1	['GO:0016310', 'GO:0036211']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
31	REAC	REAC:R-HSA-186763	Downstream signal transduction	2.39024970102863e-19	True	Downstream signal transduction	26	98	12	17376	0.1224489795918367	0.4615384615384615	query_1	['REAC:R-HSA-186797']	['RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PLCG1', 'CRKL', 'PTPN11', 'NCK2', 'PDGFRA']
32	REAC	REAC:R-HSA-9664407	Parasite infection	2.3940174525778016e-19	True	Parasite infection	63	98	15	17376	0.1530612244897959	0.238095238095238	query_1	['REAC:R-HSA-9658195']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
