Ablepharon macrostomia syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
221	GO:BP	GO:0008219	cell death	1.0840124724712898e-12	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2129	100	41	21110	0.41	0.0192578675434476	query_1	['GO:0009987']	['REST', 'SOX9', 'AKT1', 'NKX2-5', 'GBA1', 'FOXO3', 'SENP1', 'CTNNB1', 'HDAC1', 'ELK1', 'SIN3A', 'TEAD2', 'AR', 'GPR37L1', 'ASAH1', 'SMAD4', 'EP300', 'MECP2', 'HDAC3', 'GPR37', 'NR1H4', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'RARA', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
222	REAC	REAC:R-HSA-9005895	Pervasive developmental disorders	1.3344890603902277e-12	True	Pervasive developmental disorders	11	92	8	10790	0.0869565217391304	0.7272727272727273	query_1	['REAC:R-HSA-9697154']	['HDAC1', 'TBL1X', 'NCOR2', 'SIN3A', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1']
223	REAC	REAC:R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	1.3344890603902277e-12	True	Loss of function of MECP2 in Rett syndrome	11	92	8	10790	0.0869565217391304	0.7272727272727273	query_1	['REAC:R-HSA-9005895']	['HDAC1', 'TBL1X', 'NCOR2', 'SIN3A', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1']
224	REAC	REAC:R-HSA-9697154	Disorders of Nervous System Development	1.3344890603902277e-12	True	Disorders of Nervous System Development	11	92	8	10790	0.0869565217391304	0.7272727272727273	query_1	['REAC:R-HSA-9675151']	['HDAC1', 'TBL1X', 'NCOR2', 'SIN3A', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1']
225	REAC	REAC:R-HSA-9675151	Disorders of Developmental Biology	1.3344890603902277e-12	True	Disorders of Developmental Biology	11	92	8	10790	0.0869565217391304	0.7272727272727273	query_1	['REAC:R-HSA-1643685']	['HDAC1', 'TBL1X', 'NCOR2', 'SIN3A', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1']
226	GO:BP	GO:1902895	positive regulation of miRNA transcription	1.3546742534492702e-12	True	"""Any process that activates or increases the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]"	51	100	11	21110	0.11	0.2156862745098039	query_1	['GO:0045893', 'GO:0061614', 'GO:1902893', 'GO:2000630']	['FOXO3', 'NR1H2', 'SMARCA4', 'AR', 'SMAD4', 'TEAD1', 'WT1', 'TP53', 'SMAD3', 'MYOCD', 'SRF']
227	GO:BP	GO:0048585	negative regulation of response to stimulus	1.5625792857122817e-12	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	1616	100	36	21110	0.36	0.0222772277227722	query_1	['GO:0048519', 'GO:0048583', 'GO:0050896']	['SOX9', 'AKT1', 'NKX2-5', 'GBA1', 'NR1H2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'NCOR2', 'SIN3A', 'NR1H3', 'AR', 'WWTR1', 'GPR37L1', 'SMAD4', 'VGLL4', 'GPS2', 'NCOR1', 'HDAC3', 'RUNX2', 'GPR37', 'SKI', 'NR1H4', 'ESR1', 'GATA4', 'FOXO1', 'PDE8A', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'SKIL', 'HIPK2']
228	GO:BP	GO:0071704	organic substance metabolic process	2.629856143664364e-12	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	13946	100	98	21110	0.98	0.0070271045461064	query_1	['GO:0008152']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'GBA1', 'COPRS', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR', 'RANGAP1']
229	REAC	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	2.646351122201925e-12	True	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	50	92	12	10790	0.1304347826086956	0.24	query_1	['REAC:R-HSA-170834', 'REAC:R-HSA-212436']	['TGIF1', 'HDAC1', 'NCOR2', 'WWTR1', 'SMAD2', 'SMAD4', 'EP300', 'NCOR1', 'SKI', 'SP1', 'SMAD3', 'SKIL']
230	REAC	REAC:R-HSA-9614085	FOXO-mediated transcription	2.990789704145826e-12	True	FOXO-mediated transcription	66	92	13	10790	0.1413043478260869	0.1969696969696969	query_1	['REAC:R-HSA-212436']	['AKT1', 'CREBBP', 'FOXO3', 'HDAC1', 'FOXG1', 'SIN3A', 'SMAD2', 'SMAD4', 'EP300', 'KAT2B', 'FOXO1', 'SMAD3', 'HDAC2']
231	GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	3.014873476643936e-12	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1174	100	31	21110	0.31	0.0264054514480408	query_1	['GO:0009653', 'GO:0032502']	['SOX9', 'AKT1', 'NKX2-5', 'GBA1', 'CTNNB1', 'HDAC1', 'TBX5', 'TEAD2', 'MED12', 'AR', 'SMAD2', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD4', 'SKI', 'SP1', 'WT1', 'GATA4', 'HIPK1', 'RARA', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2', 'YAP1', 'SRF', 'SKIL', 'HIPK2']
232	GO:BP	GO:0060548	negative regulation of cell death	3.188690004640676e-12	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	1005	100	29	21110	0.29	0.0288557213930348	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['REST', 'SOX9', 'AKT1', 'NKX2-5', 'GBA1', 'CTNNB1', 'HDAC1', 'SIN3A', 'TEAD2', 'AR', 'GPR37L1', 'SMAD4', 'MECP2', 'HDAC3', 'GPR37', 'NR1H4', 'WT1', 'GATA4', 'FOXO1', 'PDE8A', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'HIPK2']
233	GO:BP	GO:0080135	regulation of cellular response to stress	3.442281651383124e-12	True	"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	700	100	25	21110	0.25	0.0357142857142857	query_1	['GO:0033554', 'GO:0050794', 'GO:0080134']	['REST', 'AKT1', 'CREBBP', 'NR1H2', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'NR1H3', 'GPR37L1', 'SMARCB1', 'EP300', 'GPS2', 'NCOR1', 'HDAC3', 'GPR37', 'SMARCC2', 'KAT2B', 'GATA4', 'FOXO1', 'PDE8A', 'TP53', 'KDM1A', 'SMARCC1', 'SKIL', 'HIPK2']
234	GO:BP	GO:2000630	positive regulation of miRNA metabolic process	6.303081550005222e-12	True	"""Any process that activates or increases the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]"	58	100	11	21110	0.11	0.1896551724137931	query_1	['GO:0010586', 'GO:0051254', 'GO:2000628']	['FOXO3', 'NR1H2', 'SMARCA4', 'AR', 'SMAD4', 'TEAD1', 'WT1', 'TP53', 'SMAD3', 'MYOCD', 'SRF']
235	GO:BP	GO:0030855	epithelial cell differentiation	6.99798350150204e-12	True	"""The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium."" [GOC:ecd, PMID:11839751]"	722	100	25	21110	0.25	0.0346260387811634	query_1	['GO:0030154', 'GO:0060429']	['SOX9', 'NCOA3', 'AKT1', 'WDR77', 'NKX2-5', 'CTNNB1', 'HDAC1', 'AR', 'MAF', 'WWTR1', 'SMARCB1', 'ASAH1', 'SMAD4', 'NR5A1', 'ESR1', 'WT1', 'GATA4', 'RARA', 'SMAD3', 'PSAP', 'HDAC2', 'YAP1', 'THRB', 'SKIL', 'VDR']
236	REAC	REAC:R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	8.695451882659124e-12	True	Downregulation of SMAD2/3:SMAD4 transcriptional activity	29	92	10	10790	0.108695652173913	0.3448275862068966	query_1	['REAC:R-HSA-2173793']	['TGIF1', 'HDAC1', 'NCOR2', 'WWTR1', 'SMAD2', 'SMAD4', 'NCOR1', 'SKI', 'SMAD3', 'SKIL']
237	REAC	REAC:R-HSA-3899300	SUMOylation of transcription cofactors	9.673553735780523e-12	True	SUMOylation of transcription cofactors	41	92	11	10790	0.1195652173913043	0.2682926829268293	query_1	['REAC:R-HSA-3108232']	['UBE2I', 'NRIP1', 'CREBBP', 'NCOA2', 'NCOR2', 'SIN3A', 'SUMO1', 'EP300', 'SUMO2', 'NCOA1', 'HIPK2']
238	GO:CC	GO:0032991	protein-containing complex	1.5056862591476397e-11	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	7966	100	73	22122	0.73	0.0091639467737886	query_1	['GO:0005575']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'GPR37L1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'TEAD1', 'TEAD4', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'RUNX2', 'GPR37', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'ESR1', 'WWP1', 'GATA4', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'VDR', 'RANGAP1']
239	WP	WP:WP170	Nuclear receptors	2.0156599974543352e-11	True	Nuclear receptors	38	89	11	8133	0.1235955056179775	0.2894736842105263	query_1	['WP:000000']	['RXRA', 'NR1H2', 'RXRB', 'NR1H3', 'AR', 'ESR2', 'NR5A1', 'ESR1', 'RARA', 'THRB', 'VDR']
240	GO:BP	GO:0060284	regulation of cell development	2.1660016047057377e-11	True	"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]"	835	100	26	21110	0.26	0.0311377245508982	query_1	['GO:0045595', 'GO:0048468']	['REST', 'AKT1', 'CBFB', 'FOXO3', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'GPR37L1', 'SMARCB1', 'SMAD4', 'RUNX1', 'MECP2', 'PRMT5', 'SMARCC2', 'SKI', 'RCOR1', 'RARA', 'TP53', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'SRF', 'SKIL']
241	GO:MF	GO:0005515	protein binding	3.4380485278138205e-11	True	"""Binding to a protein."" [GOC:go_curators]"	14881	100	100	20195	1.0	0.0067199784960688	query_1	['GO:0005488']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'GBA1', 'COPRS', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'GPR37L1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR', 'RANGAP1']
242	REAC	REAC:R-HSA-9623433	NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	3.719602470549121e-11	True	NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	9	92	7	10790	0.0760869565217391	0.7777777777777778	query_1	['REAC:R-HSA-9024446']	['RXRA', 'NR1H2', 'NCOR2', 'RXRB', 'NR1H3', 'NCOR1', 'NCOA1']
243	GO:BP	GO:0051241	negative regulation of multicellular organismal process	4.1371101423480036e-11	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1110	100	29	21110	0.29	0.0261261261261261	query_1	['GO:0032501', 'GO:0048519', 'GO:0051239']	['REST', 'SOX9', 'WDR77', 'CBFB', 'GBA1', 'NR1H2', 'CTNNB1', 'HDAC1', 'TBX5', 'SIN3A', 'NR1H3', 'GPR37L1', 'SMAD4', 'VGLL4', 'RUNX1', 'MECP2', 'HDAC3', 'SKI', 'NR5A1', 'NR1H4', 'WT1', 'FOXO1', 'RARA', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'ZFPM2', 'SRF']
244	GO:BP	GO:0045165	cell fate commitment	5.095914686039767e-11	True	"""The cellular developmental process by which a cell establishes the intrinsic character of a cell or tissue region irreversibly committing it to a particular fate."" [ISBN:0716731185]"	284	100	17	21110	0.17	0.0598591549295774	query_1	['GO:0030154', 'GO:0048869']	['SOX9', 'NKX2-5', 'CTNNB1', 'HDAC1', 'FOXG1', 'TBX5', 'AR', 'SMAD2', 'SMAD4', 'TEAD4', 'RUNX2', 'TEAD3', 'WT1', 'GATA4', 'RARA', 'TP53', 'HDAC2']
245	GO:BP	GO:0048732	gland development	5.283311778416231e-11	True	"""The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion."" [GOC:jid]"	447	100	20	21110	0.2	0.0447427293064877	query_1	['GO:0048513']	['SOX9', 'AKT1', 'WDR77', 'NKX2-5', 'CTNNB1', 'ELK1', 'NCOR2', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'PRMT5', 'NR5A1', 'ESR1', 'WT1', 'RARA', 'SMAD3', 'PSAP', 'SRF', 'VDR']
246	GO:BP	GO:0014706	striated muscle tissue development	5.5387107504110754e-11	True	"""The process whose specific outcome is the progression of a striated muscle over time, from its formation to the mature structure. Striated muscle contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle. Skeletal muscle myoblasts fuse to form myotubes and eventually multinucleated muscle fibers. The fusion of cardiac cells is very rare and can only form binucleate cells."" [CL:0000737, GOC:dph, GOC:mtg_muscle]"	239	100	16	21110	0.16	0.0669456066945606	query_1	['GO:0060537']	['NKX2-5', 'TBX5', 'SMAD4', 'VGLL4', 'RUNX1', 'HDAC3', 'SKI', 'WT1', 'GATA4', 'RARA', 'FOXH1', 'SMAD3', 'MYOCD', 'YAP1', 'ZFPM2', 'SRF']
247	GO:BP	GO:0008152	metabolic process	5.734556900641063e-11	True	"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"	14409	100	98	21110	0.98	0.0068013047400929	query_1	['GO:0008150']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'GBA1', 'COPRS', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR', 'RANGAP1']
248	CORUM	CORUM:2829	RSmad complex	5.864341348472179e-11	True	RSmad complex	10	63	8	3383	0.1269841269841269	0.8	query_1	['CORUM:0000000']	['NCOA3', 'CREBBP', 'SMARCA4', 'SMAD2', 'SMAD4', 'SMARCC2', 'SMAD3', 'SMARCC1']
249	WP	WP:WP560	TGF-beta receptor signaling	6.138201163408e-11	True	TGF-beta receptor signaling	55	89	12	8133	0.1348314606741573	0.2181818181818181	query_1	['WP:000000']	['TGIF1', 'CREBBP', 'CTNNB1', 'SMAD2', 'SMAD9', 'SMAD4', 'EP300', 'RUNX2', 'SKI', 'FOXH1', 'SMAD3', 'SKIL']
250	GO:BP	GO:0008284	positive regulation of cell population proliferation	6.175922747255058e-11	True	"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]"	955	100	27	21110	0.27	0.0282722513089005	query_1	['GO:0008283', 'GO:0042127', 'GO:0048522']	['SOX9', 'AKT1', 'WDR77', 'NKX2-5', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'TBX5', 'AR', 'WWTR1', 'GPR37L1', 'SMAD4', 'MECP2', 'RUNX2', 'SP1', 'ESR1', 'HIPK1', 'RARA', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'HIPK2']
251	GO:BP	GO:2000036	regulation of stem cell population maintenance	6.739779169217259e-11	True	"""Any process that modulates the frequency, rate or extent of stem cell population maintenance."" [GOC:obol]"	71	100	11	21110	0.11	0.1549295774647887	query_1	['GO:0019827', 'GO:0050793', 'GO:0051239']	['REST', 'NCOA3', 'HDAC1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'TEAD4', 'HDAC2', 'YAP1', 'SMARCC1']
252	REAC	REAC:R-HSA-8939211	ESR-mediated signaling	9.109289821640964e-11	True	ESR-mediated signaling	217	92	18	10790	0.1956521739130435	0.0829493087557603	query_1	['REAC:R-HSA-9006931']	['NRIP1', 'NCOA3', 'AKT1', 'CREBBP', 'CBFB', 'FOXO3', 'NCOA2', 'HDAC1', 'ELK1', 'RUNX1', 'EP300', 'ESR2', 'SP1', 'KAT2B', 'ESR1', 'KDM1A', 'SRF', 'NCOA1']
253	GO:MF	GO:0046332	SMAD binding	1.0102926363547244e-10	True	"""Binding to a SMAD signaling protein."" [GOC:ai]"	78	100	11	20195	0.11	0.141025641025641	query_1	['GO:0005515']	['CTNNB1', 'SMAD2', 'SMAD9', 'SMAD4', 'SKI', 'GATA4', 'FOXH1', 'SMAD3', 'MYOCD', 'SKIL', 'HIPK2']
254	GO:BP	GO:0010647	positive regulation of cell communication	1.048878833329278e-10	True	"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	1744	100	35	21110	0.35	0.0200688073394495	query_1	['GO:0007154', 'GO:0010646', 'GO:0048522']	['UBE2I', 'SOX9', 'RXRA', 'CREBBP', 'GBA1', 'CTNNB1', 'SMARCA4', 'TBL1X', 'TBX5', 'RXRB', 'NR1H3', 'AR', 'GPR37L1', 'SMAD2', 'SMARCB1', 'SMAD4', 'EP300', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'GPR37', 'SKI', 'NR1H4', 'GATA4', 'PDE8A', 'TBL1XR1', 'TP53', 'SMAD3', 'MYOCD', 'YAP1', 'THRB', 'SKIL', 'HIPK2', 'VDR']
255	GO:BP	GO:0007179	transforming growth factor beta receptor signaling pathway	1.1020995598533697e-10	True	"""The series of molecular signals initiated by an extracellular ligand binding to a transforming growth factor beta receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah, GOC:signaling]"	206	100	15	21110	0.15	0.0728155339805825	query_1	['GO:0007178', 'GO:0071560']	['CREBBP', 'HDAC1', 'SIN3A', 'SMAD2', 'SMAD9', 'SMAD4', 'EP300', 'SKI', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'SKIL', 'HIPK2']
256	REAC	REAC:R-HSA-9022537	Loss of MECP2 binding ability to the NCoR/SMRT complex	1.3136726554279002e-10	True	Loss of MECP2 binding ability to the NCoR/SMRT complex	6	92	6	10790	0.0652173913043478	1.0	query_1	['REAC:R-HSA-9005891']	['TBL1X', 'NCOR2', 'GPS2', 'NCOR1', 'HDAC3', 'TBL1XR1']
257	REAC	REAC:R-HSA-1266738	Developmental Biology	1.498908184548947e-10	True	Developmental Biology	1124	92	36	10790	0.391304347826087	0.0320284697508896	query_1	['REAC:0000000']	['SOX9', 'RXRA', 'NCOA3', 'AKT1', 'CREBBP', 'CBFB', 'FOXO3', 'NCOA2', 'CTNNB1', 'FLI1', 'SMARCA4', 'TBL1X', 'NCOR2', 'MED12', 'WWTR1', 'SMAD2', 'SMAD4', 'RUNX1', 'EP300', 'TEAD1', 'NCOR1', 'HDAC3', 'NR5A1', 'KAT2B', 'SRY', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'SMAD3', 'HDAC2', 'YAP1', 'ZFPM2', 'NCOA1']
258	WP	WP:WP4816	TGF-beta receptor signaling in skeletal dysplasias	1.5119967882946282e-10	True	TGF-beta receptor signaling in skeletal dysplasias	59	89	12	8133	0.1348314606741573	0.2033898305084746	query_1	['WP:000000']	['TGIF1', 'CREBBP', 'CTNNB1', 'SMAD2', 'SMAD9', 'SMAD4', 'EP300', 'RUNX2', 'SKI', 'FOXH1', 'SMAD3', 'SKIL']
259	GO:BP	GO:0009299	mRNA transcription	1.5705454224517635e-10	True	"""The cellular synthesis of messenger RNA (mRNA) from a DNA template."" [GOC:jl]"	54	100	10	21110	0.1	0.1851851851851851	query_1	['GO:0006351', 'GO:0016071']	['RXRA', 'NR1H2', 'NCOA2', 'RXRB', 'NR1H3', 'RARA', 'TP53', 'THRB', 'NCOA1', 'VDR']
260	GO:BP	GO:0071560	cellular response to transforming growth factor beta stimulus	2.0535222821859035e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:ecd, PMID:15451575]"	260	100	16	21110	0.16	0.0615384615384615	query_1	['GO:0071363', 'GO:0071559']	['SOX9', 'CREBBP', 'HDAC1', 'SIN3A', 'SMAD2', 'SMAD9', 'SMAD4', 'EP300', 'SKI', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'SKIL', 'HIPK2']
261	GO:BP	GO:0043401	steroid hormone mediated signaling pathway	2.1330716054116417e-10	True	"""The series of molecular signals mediated by a steroid hormone binding to a receptor."" [PMID:12606724]"	138	100	13	21110	0.13	0.0942028985507246	query_1	['GO:0009755', 'GO:0071383']	['RXRA', 'HDAC1', 'SMARCA4', 'NCOR2', 'RXRB', 'AR', 'EP300', 'NCOR1', 'ESR2', 'ESR1', 'FOXH1', 'YAP1', 'KDM1A']
