Branchio-oculo-facial syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
2	GO:BP	GO:1902679	negative regulation of RNA biosynthetic process	2.5029312548156247e-42	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1263	100	64	15719	0.64	0.0506730007917656	query_1	['GO:0010558', 'GO:0031327', 'GO:0032774', 'GO:0051253', 'GO:2001141']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
6	REAC	REAC:R-HSA-8953750	Transcriptional Regulation by E2F6	2.9229186886218918e-40	True	Transcriptional Regulation by E2F6	34	98	24	10022	0.2448979591836734	0.7058823529411765	query_1	['REAC:R-HSA-212436']	['BMI1', 'EZH2', 'EHMT2', 'CBX3', 'MAX', 'TFDP1', 'RING1', 'PHC1', 'RBBP4', 'EED', 'PCGF6', 'RYBP', 'E2F6', 'E2F1', 'MGA', 'EHMT1', 'SUZ12', 'PCGF2', 'YAF2', 'L3MBTL2', 'RNF2', 'TFDP2', 'EPC1', 'PHC3']
3	GO:BP	GO:0051253	negative regulation of RNA metabolic process	3.1274861487948957e-40	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1371	100	64	15719	0.64	0.0466812545587162	query_1	['GO:0010605', 'GO:0016070', 'GO:0045934', 'GO:0051252']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
4	GO:BP	GO:0010558	negative regulation of macromolecule biosynthetic process	1.0720721672055572e-39	True	"""Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1471	100	65	15719	0.65	0.0441876274643099	query_1	['GO:0009059', 'GO:0009890', 'GO:0010556', 'GO:0010605']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
5	GO:BP	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1.4272487564730854e-39	True	"""Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1482	100	65	15719	0.65	0.043859649122807	query_1	['GO:0006139', 'GO:0019219', 'GO:0031324', 'GO:0051172']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
6	GO:BP	GO:0031327	negative regulation of cellular biosynthetic process	2.8369678211538467e-39	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1508	100	65	15719	0.65	0.043103448275862	query_1	['GO:0009890', 'GO:0031324', 'GO:0031326', 'GO:0044249']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
8	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	2.8369678211538467e-39	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3145	100	83	15719	0.83	0.0263910969793322	query_1	['GO:0097659', 'GO:2001141']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
7	GO:BP	GO:0006355	regulation of DNA-templated transcription	2.8369678211538467e-39	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3143	100	83	15719	0.83	0.0264078905504295	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
9	GO:BP	GO:2001141	regulation of RNA biosynthetic process	4.1882624783161935e-39	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3166	100	83	15719	0.83	0.0262160454832596	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
10	GO:BP	GO:0009890	negative regulation of biosynthetic process	1.526537036127353e-38	True	"""Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	1554	100	65	15719	0.65	0.0418275418275418	query_1	['GO:0009058', 'GO:0009889', 'GO:0009892']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
12	GO:BP	GO:0006351	DNA-templated transcription	3.849483410897537e-38	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3265	100	83	15719	0.83	0.0254211332312404	query_1	['GO:0097659']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
