Thanatophoric dysplasia type 1	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
14	GO:CC	GO:0005829	cytosol	2.3054513537212294e-15	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5248	98	71	17376	0.7244897959183674	0.0135289634146341	query_1	['GO:0005737', 'GO:0110165']	['CYS1', 'RAPGEF1', 'LATS1', 'EPS15L1', 'NCK1', 'BCAR1', 'DOCK1', 'TBC1D13', 'SRC', 'CYCS', 'PIK3R1', 'UNC119B', 'WIPF3', 'CRK', 'APAF1', 'NPHP4', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'RPGRIP1L', 'WIPF1', 'NPHP1', 'PXN', 'ASAP1', 'WIPF2', 'FYN', 'B9D1', 'CENPN', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'GSTK1', 'LYN', 'SHB', 'GRB2', 'DVL2', 'CORO1B', 'LCP2', 'CASP9', 'APIP', 'SPATA7', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CYB5R3', 'HTRA2', 'GNAT1', 'SH3GL2', 'CRKL', 'XIAP', 'DOCK3', 'HAP1', 'B9D2', 'DIABLO', 'PTK2', 'DOCK2', 'LCK', 'CYB5A', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'NCK2', 'ELMO2']
15	GO:BP	GO:0018212	peptidyl-tyrosine modification	2.633451672188732e-15	True	"""The modification of peptidyl-tyrosine."" [GOC:go_curators]"	364	98	23	17376	0.2346938775510204	0.0631868131868131	query_1	['GO:0018193']	['MET', 'SRC', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'DVL2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'DOCK3', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
16	GO:BP	GO:0018108	peptidyl-tyrosine phosphorylation	2.633451672188732e-15	True	"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]"	362	98	23	17376	0.2346938775510204	0.0635359116022099	query_1	['GO:0006468', 'GO:0018212']	['MET', 'SRC', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FYN', 'ZAP70', 'LYN', 'FGFR3', 'DVL2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'DOCK3', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
17	GO:BP	GO:0035556	intracellular signal transduction	2.633451672188732e-15	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2546	98	51	17376	0.5204081632653061	0.0200314218381775	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'DOCK1', 'SRC', 'CYCS', 'PIK3R1', 'CRK', 'APAF1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'SLC44A2', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'UACA', 'LYN', 'FGFR3', 'GRB2', 'DVL2', 'LCP2', 'CASP9', 'ARL3', 'EGFR', 'APIP', 'VAV1', 'NEK8', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'HTRA2', 'CRKL', 'XIAP', 'DOCK3', 'DIABLO', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2']
18	REAC	REAC:R-HSA-9658195	Leishmania infection	3.646539407873649e-15	True	Leishmania infection	242	98	19	17376	0.1938775510204081	0.0785123966942148	query_1	['REAC:R-HSA-5663205']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'DVL2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
19	REAC	REAC:R-HSA-186797	Signaling by PDGF	4.4453675900142606e-15	True	Signaling by PDGF	53	98	12	17376	0.1224489795918367	0.2264150943396226	query_1	['REAC:R-HSA-9006934']	['RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PLCG1', 'CRKL', 'PTPN11', 'PDGFRA', 'NCK2']
20	GO:BP	GO:0007166	cell surface receptor signaling pathway	8.685247077319732e-15	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2641	98	51	17376	0.5204081632653061	0.019310867095797	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'TMEM231', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'RPGRIP1L', 'PXN', 'FYN', 'B9D1', 'LAT', 'ZAP70', 'LYN', 'FGFR3', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'ARL3', 'EGFR', 'AHI1', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'XIAP', 'HAP1', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'INVS']
21	REAC	REAC:R-HSA-6806834	Signaling by MET	8.869754660775333e-15	True	Signaling by MET	75	98	13	17376	0.1326530612244898	0.1733333333333333	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'SH3KBP1', 'SH3GL2', 'CRKL', 'PTK2', 'CBL', 'PTPN11']
22	GO:BP	GO:0051345	positive regulation of hydrolase activity	1.002524108380122e-14	True	"""Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds."" [GOC:ai]"	547	98	26	17376	0.2653061224489796	0.0475319926873857	query_1	['GO:0043085', 'GO:0051336']	['RAPGEF1', 'TBC1D13', 'CYCS', 'CRK', 'APAF1', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'RP2', 'DIABLO', 'LCK', 'PDGFRA']
23	GO:BP	GO:0043085	positive regulation of catalytic activity	1.0225008400160496e-14	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1075	98	34	17376	0.3469387755102041	0.0316279069767441	query_1	['GO:0044093', 'GO:0050790']	['MET', 'RAPGEF1', 'TBC1D13', 'SRC', 'CYCS', 'CRK', 'APAF1', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'LAT', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'LCP2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'RP2', 'DOCK3', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'PDGFRA']
24	GO:BP	GO:0050790	regulation of catalytic activity	1.3396912624724848e-14	True	"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]"	1766	98	42	17376	0.4285714285714285	0.0237825594563986	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'LATS1', 'TBC1D13', 'SRC', 'CYCS', 'PIK3R1', 'CRK', 'APAF1', 'HGF', 'SHC1', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'LAT', 'UACA', 'LYN', 'FGFR3', 'SHB', 'DVL2', 'LCP2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'XIAP', 'RP2', 'DOCK3', 'DIABLO', 'PKD1', 'PTK2', 'LCK', 'CBL', 'PDGFRA', 'NCK2']
25	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	3.7605423282561855e-14	True	Regulation of signaling by CBL	21	98	9	17376	0.0918367346938775	0.4285714285714285	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3R1', 'CRK', 'FYN', 'LYN', 'VAV1', 'SYK', 'CRKL', 'CBL']
26	GO:BP	GO:0051336	regulation of hydrolase activity	7.03099079905066e-14	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	932	98	31	17376	0.3163265306122449	0.0332618025751072	query_1	['GO:0050790']	['MET', 'RAPGEF1', 'TBC1D13', 'SRC', 'CYCS', 'CRK', 'APAF1', 'HGF', 'ITK', 'SOS1', 'ASAP1', 'FYN', 'UACA', 'LYN', 'FGFR3', 'DVL2', 'CASP9', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'CRKL', 'XIAP', 'RP2', 'DIABLO', 'PTK2', 'LCK', 'PDGFRA']
27	GO:BP	GO:0038093	Fc receptor signaling pathway	7.03099079905066e-14	True	"""The series of molecular signals initiated by the binding of the Fc portion of an immunoglobulin to an Fc receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, Wikipedia:Fc_receptor]"	56	98	12	17376	0.1224489795918367	0.2142857142857142	query_1	['GO:0002768']	['RAPGEF1', 'SRC', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'LCK']
28	REAC	REAC:R-HSA-9006335	Signaling by Erythropoietin	9.749560452530481e-14	True	Signaling by Erythropoietin	23	98	9	17376	0.0918367346938775	0.391304347826087	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'LYN', 'VAV1', 'PLCG1', 'CRKL']
29	REAC	REAC:R-HSA-114604	GPVI-mediated activation cascade	1.0076170173779225e-13	True	GPVI-mediated activation cascade	35	98	10	17376	0.1020408163265306	0.2857142857142857	query_1	['REAC:R-HSA-76002']	['PIK3R1', 'PLCG2', 'FYN', 'LAT', 'LYN', 'LCP2', 'VAV1', 'SYK', 'LCK', 'PTPN11']
30	REAC	REAC:R-HSA-9012999	RHO GTPase cycle	1.0195865122440101e-13	True	RHO GTPase cycle	441	98	22	17376	0.2244897959183673	0.0498866213151927	query_1	['REAC:R-HSA-194315']	['RAPGEF1', 'NCK1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'WASL', 'SOS1', 'WIPF1', 'WIPF2', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'VAV1', 'PTK2B', 'DOCK3', 'DOCK2', 'LCK', 'DOCK5', 'NCK2', 'ELMO2']
31	REAC	REAC:R-HSA-194315	Signaling by Rho GTPases	1.5896223741223372e-13	True	Signaling by Rho GTPases	689	98	26	17376	0.2653061224489796	0.0377358490566037	query_1	['REAC:R-HSA-9716542']	['RAPGEF1', 'NCK1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'WASL', 'SOS1', 'WIPF1', 'WIPF2', 'CENPN', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'DVL2', 'VAV1', 'PTK2B', 'DOCK3', 'B9D2', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'NCK2', 'ELMO2']
32	GO:BP	GO:0071363	cellular response to growth factor stimulus	2.309379830944996e-13	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	637	98	26	17376	0.2653061224489796	0.0408163265306122	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'LATS1', 'BCAR1', 'SRC', 'CRK', 'APAF1', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'FGFR3', 'GRB2', 'CORO1B', 'EGFR', 'PLCG1', 'ERBB2', 'HTRA2', 'SH3GL2', 'CRKL', 'XIAP', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'PDGFRA']
33	REAC	REAC:R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	2.402082413438684e-13	True	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	704	98	26	17376	0.2653061224489796	0.0369318181818181	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'NCK1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'WASL', 'SOS1', 'WIPF1', 'WIPF2', 'CENPN', 'WAS', 'DOCK4', 'ZAP70', 'UACA', 'DVL2', 'VAV1', 'PTK2B', 'DOCK3', 'B9D2', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'NCK2', 'ELMO2']
34	REAC	REAC:R-HSA-168256	Immune System	2.402082413438684e-13	True	Immune System	1957	98	41	17376	0.4183673469387755	0.0209504343382728	query_1	['REAC:0000000']	['RAPGEF1', 'NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'APAF1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'OSTF1', 'WASL', 'SOS1', 'WIPF1', 'SLC44A2', 'WIPF2', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'CASP9', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SH3KBP1', 'PTK2B', 'CYB5R3', 'SH3GL2', 'CRKL', 'PTK2', 'DOCK2', 'LCK', 'ELMO1', 'CBL', 'PTPN11', 'ELMO2']
35	GO:BP	GO:0007173	epidermal growth factor receptor signaling pathway	2.6959105599290255e-13	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	108	98	14	17376	0.1428571428571428	0.1296296296296296	query_1	['GO:0038127']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'NCK2']
36	GO:CC	GO:0035869	ciliary transition zone	4.734092655705599e-13	True	"""A region of the cilium between the basal body and proximal segment that is characterized by Y-shaped assemblages that connect axonemal microtubules to the ciliary membrane. The ciliary transition zone appears to function as a gate that controls ciliary membrane composition and separates the cytosol from the ciliary plasm."" [GOC:cilia, GOC:kmv, PMID:21422230]"	68	98	12	17376	0.1224489795918367	0.1764705882352941	query_1	['GO:0005929', 'GO:0110165']	['TMEM231', 'UNC119B', 'NPHP4', 'RPGRIP1L', 'NPHP1', 'B9D1', 'ARL3', 'SPATA7', 'AHI1', 'GNAT1', 'B9D2', 'RPGRIP1']
37	GO:BP	GO:0070848	response to growth factor	5.716403822676036e-13	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	666	98	26	17376	0.2653061224489796	0.039039039039039	query_1	['GO:0009719']	['RAPGEF1', 'LATS1', 'BCAR1', 'SRC', 'CRK', 'APAF1', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'FGFR3', 'GRB2', 'CORO1B', 'EGFR', 'PLCG1', 'ERBB2', 'HTRA2', 'SH3GL2', 'CRKL', 'XIAP', 'HAP1', 'PTK2', 'CBL', 'PTPN11', 'PDGFRA']
38	REAC	REAC:R-HSA-168249	Innate Immune System	5.907177417200049e-13	True	Innate Immune System	1023	98	30	17376	0.3061224489795918	0.0293255131964809	query_1	['REAC:R-HSA-168256']	['NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'APAF1', 'ITK', 'PLCG2', 'OSTF1', 'WASL', 'SOS1', 'WIPF1', 'SLC44A2', 'WIPF2', 'FYN', 'WAS', 'LYN', 'LCP2', 'CASP9', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'CYB5R3', 'PTK2', 'DOCK2', 'LCK', 'ELMO1', 'PTPN11', 'ELMO2']
39	REAC	REAC:R-HSA-111458	Formation of apoptosome	1.032885817087151e-12	True	Formation of apoptosome	11	98	7	17376	0.0714285714285714	0.6363636363636364	query_1	['REAC:R-HSA-111461']	['CYCS', 'APAF1', 'UACA', 'CASP9', 'APIP', 'XIAP', 'DIABLO']
40	REAC	REAC:R-HSA-9627069	Regulation of the apoptosome activity	1.032885817087151e-12	True	Regulation of the apoptosome activity	11	98	7	17376	0.0714285714285714	0.6363636363636364	query_1	['REAC:R-HSA-111458']	['CYCS', 'APAF1', 'UACA', 'CASP9', 'APIP', 'XIAP', 'DIABLO']
41	REAC	REAC:R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	1.0474136696948383e-12	True	Constitutive Signaling by Aberrant PI3K in Cancer	63	98	11	17376	0.1122448979591836	0.1746031746031746	query_1	['REAC:R-HSA-2219528']	['MET', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
42	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	1.0505195719265196e-12	True	Platelet activation, signaling and aggregation	252	98	17	17376	0.173469387755102	0.0674603174603174	query_1	['REAC:R-HSA-109582']	['BCAR1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'FYN', 'LAT', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PTK2', 'LCK', 'PTPN11']
43	GO:BP	GO:0007165	signal transduction	1.2505971155531621e-12	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5250	98	67	17376	0.6836734693877551	0.0127619047619047	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'DOCK1', 'SRC', 'CYCS', 'PIK3R1', 'TMEM231', 'CRK', 'APAF1', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'OSTF1', 'SOS1', 'RPGRIP1L', 'SLC44A2', 'NPHP1', 'PXN', 'FYN', 'B9D1', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'UACA', 'LYN', 'FGFR3', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'CASP9', 'ARL3', 'EGFR', 'APIP', 'AHI1', 'VAV1', 'NEK8', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'HTRA2', 'GNAT1', 'SH3GL2', 'CRKL', 'XIAP', 'DOCK3', 'HAP1', 'DIABLO', 'PKD1', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'ELMO1', 'CBL', 'PTPN11', 'PDGFRA', 'NCK2', 'INVS']
