Cerebrotendinous xanthomatosis	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
2	GO:BP	GO:0002252	immune effector process	7.04850527294807e-27	True	"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	604	98	39	15719	0.3979591836734694	0.064569536423841	query_1	['GO:0002376']	['MASP1', 'PTX3', 'C3', 'MASP2', 'CR1', 'SRC', 'TGFB3', 'FCN2', 'ELANE', 'FCN3', 'TFRC', 'COLEC11', 'CFP', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'LRP1', 'F2', 'APOA2', 'C4B_2', 'MPO', 'CFI', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'FCN1', 'PTK2', 'C9', 'C5', 'HPX']
1	REAC	REAC:R-HSA-977606	Regulation of Complement cascade	7.137368643771204e-26	True	Regulation of Complement cascade	51	97	20	10022	0.2061855670103092	0.392156862745098	query_1	['REAC:R-HSA-166658']	['C3', 'CR1', 'ELANE', 'CFP', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'PROS1', 'C4B_2', 'CFI', 'CFB', 'CFHR1', 'C2', 'C4BPA', 'VTN', 'C9', 'C5']
3	GO:BP	GO:0006950	response to stress	3.686015446481094e-24	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3764	98	74	15719	0.7551020408163265	0.0196599362380446	query_1	['GO:0050896']	['MASP1', 'PTX3', 'C3', 'F12', 'GP1BB', 'ITGB1', 'MASP2', 'CR1', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'ELANE', 'GP1BA', 'GP9', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'CFP', 'ITGA5', 'HFE', 'COLEC10', 'CRP', 'PRDX4', 'SERPIND1', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'F9', 'ORM2', 'TFR2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'FCN1', 'TLN1', 'PLAUR', 'PTK2', 'ITGB6', 'C9', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
7	GO:CC	GO:0031982	vesicle	5.08677686606537e-24	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3794	99	72	16420	0.7272727272727273	0.0189773326304691	query_1	['GO:0043227']	['RHOD', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'ELANE', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'CFP', 'ITGA2B', 'ITGA5', 'HFE', 'PRDX4', 'ITIH2', 'SERPIND1', 'WHAMM', 'CFH', 'C4A', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'F9', 'ORM2', 'TFR2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'C2', 'CTSG', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'FCN1', 'TLN1', 'PLAUR', 'C9', 'CP', 'A1BG', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
4	GO:BP	GO:0006952	defense response	5.4582680424649114e-24	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1650	98	53	15719	0.5408163265306123	0.0321212121212121	query_1	['GO:0006950']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'CR1', 'FN1', 'SRC', 'SPP1', 'FGA', 'SERPINA3', 'FCN2', 'ELANE', 'FCN3', 'TFRC', 'COLEC11', 'APOE', 'CFP', 'COLEC10', 'CRP', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'ORM2', 'TFR2', 'HP', 'FGB', 'APOA2', 'C4B_2', 'MPO', 'APOA4', 'CFI', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'SERPINA1', 'FCN1', 'PTK2', 'ITGB6', 'C9', 'C5', 'HPX', 'ORM1', 'HPR']
8	GO:CC	GO:0062023	collagen-containing extracellular matrix	7.664455279473362e-24	True	"""An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells."" [GOC:BHF, GOC:rph, PMID:21123617]"	387	99	30	16420	0.303030303030303	0.0775193798449612	query_1	['GO:0031012']	['F12', 'APOC3', 'FN1', 'FGA', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'ELANE', 'FCN3', 'APOE', 'CFP', 'INHBE', 'ITIH2', 'APOA1', 'F2', 'F9', 'ORM2', 'FGB', 'FGG', 'APOA4', 'SERPINC1', 'CTSG', 'MBL2', 'SERPINA1', 'VTN', 'FCN1', 'A1BG', 'HPX', 'ORM1']
5	GO:BP	GO:0007596	blood coagulation	1.1534915711734905e-23	True	"""The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers."" [http://www.graylab.ac.uk/omd/, ISBN:0198506732]"	221	98	26	15719	0.2653061224489796	0.1176470588235294	query_1	['GO:0007599', 'GO:0042060', 'GO:0050817']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'PLAUR']
6	GO:BP	GO:0050817	coagulation	1.5927185840526408e-23	True	"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]"	225	98	26	15719	0.2653061224489796	0.1155555555555555	query_1	['GO:0032501']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'PLAUR']
7	GO:BP	GO:0007599	hemostasis	1.7626516704330858e-23	True	"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]"	227	98	26	15719	0.2653061224489796	0.1145374449339207	query_1	['GO:0050878']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'PLAUR']
10	GO:CC	GO:0031012	extracellular matrix	4.304073815399324e-23	True	"""A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."" [GOC:BHF, GOC:mah, GOC:rph, NIF_Subcellular:nlx_subcell_20090513, PMID:21123617, PMID:28089324]"	499	99	32	16420	0.3232323232323232	0.064128256513026	query_1	['GO:0030312']	['PTX3', 'F12', 'APOC3', 'FN1', 'FGA', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'ELANE', 'GP1BA', 'FCN3', 'APOE', 'CFP', 'INHBE', 'ITIH2', 'APOA1', 'F2', 'F9', 'ORM2', 'FGB', 'FGG', 'APOA4', 'SERPINC1', 'CTSG', 'MBL2', 'SERPINA1', 'VTN', 'FCN1', 'A1BG', 'HPX', 'ORM1']
9	GO:CC	GO:0030312	external encapsulating structure	4.304073815399324e-23	True	"""A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space."" [GOC:go_curators]"	499	99	32	16420	0.3232323232323232	0.064128256513026	query_1	['GO:0071944', 'GO:0110165']	['PTX3', 'F12', 'APOC3', 'FN1', 'FGA', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'ELANE', 'GP1BA', 'FCN3', 'APOE', 'CFP', 'INHBE', 'ITIH2', 'APOA1', 'F2', 'F9', 'ORM2', 'FGB', 'FGG', 'APOA4', 'SERPINC1', 'CTSG', 'MBL2', 'SERPINA1', 'VTN', 'FCN1', 'A1BG', 'HPX', 'ORM1']
8	GO:BP	GO:0042060	wound healing	1.4300531297262498e-22	True	"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]"	424	98	31	15719	0.3163265306122449	0.0731132075471698	query_1	['GO:0009611']	['F12', 'GP1BB', 'ITGB1', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'ITGA5', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'PLAUR', 'PTK2', 'ITGB6']
9	GO:BP	GO:0008228	opsonization	8.513453375273719e-22	True	"""The process in which a microorganism (or other particulate material) is rendered more susceptible to phagocytosis by coating with an opsonin, a blood serum protein such as a complement component or antibody."" [GOC:add, GOC:mah, ISBN:0198506732, ISBN:068340007X, ISBN:0781735149]"	16	98	12	15719	0.1224489795918367	0.75	query_1	['GO:0002252', 'GO:0006910']	['PTX3', 'FCN2', 'FCN3', 'COLEC11', 'CFP', 'COLEC10', 'CRP', 'C4BPB', 'C4B_2', 'MBL2', 'C4BPA', 'FCN1']
10	GO:BP	GO:0009611	response to wounding	1.5573330468420796e-21	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]"	552	98	33	15719	0.336734693877551	0.0597826086956521	query_1	['GO:0006950']	['F12', 'GP1BB', 'ITGB1', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'ITGA5', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'FGB', 'PROS1', 'FGG', 'APOA4', 'SERPINC1', 'CTSG', 'SERPINA1', 'VTN', 'TLN1', 'PLAUR', 'PTK2', 'ITGB6']
2	REAC	REAC:R-HSA-166663	Initial triggering of complement	2.5046495900401607e-20	True	Initial triggering of complement	26	97	14	10022	0.1443298969072164	0.5384615384615384	query_1	['REAC:R-HSA-166658']	['MASP1', 'C3', 'FCN2', 'FCN3', 'COLEC11', 'CFP', 'COLEC10', 'CRP', 'C4A', 'C4B_2', 'CFB', 'C2', 'MBL2', 'FCN1']
11	GO:BP	GO:0006909	phagocytosis	3.8705493477869975e-20	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	242	98	24	15719	0.2448979591836734	0.0991735537190082	query_1	['GO:0006897']	['PTX3', 'C3', 'ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'FCN2', 'ELANE', 'FCN3', 'COLEC11', 'CFP', 'COLEC10', 'CRP', 'C4A', 'C4BPB', 'APOA1', 'LRP1', 'APOA2', 'C4B_2', 'C2', 'MBL2', 'C4BPA', 'FCN1', 'PTK2']
11	GO:CC	GO:1905370	serine-type endopeptidase complex	6.590333082761281e-20	True	"""A protein complex which is capable of serine-type endopeptidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:1689240]"	17	99	11	16420	0.1111111111111111	0.6470588235294118	query_1	['GO:1905286', 'GO:1905369']	['MASP1', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'CFH', 'F2', 'F9', 'MBL2', 'FCN1', 'PLAUR']
12	GO:BP	GO:0030100	regulation of endocytosis	6.879384082516603e-20	True	"""Any process that modulates the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	282	98	25	15719	0.2551020408163265	0.0886524822695035	query_1	['GO:0006897', 'GO:0051128', 'GO:0060627']	['PTX3', 'C3', 'APOC3', 'ITGAV', 'SRC', 'ITGB3', 'FCN2', 'FCN3', 'COLEC11', 'APOE', 'CFP', 'HFE', 'COLEC10', 'C4A', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'C4B_2', 'C2', 'MBL2', 'VTN', 'APOC2', 'FCN1']
12	GO:CC	GO:1905286	serine-type peptidase complex	1.5566077488777308e-19	True	"""A protein complex which is capable of serine-type peptidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:18640965]"	18	99	11	16420	0.1111111111111111	0.6111111111111112	query_1	['GO:1905368']	['MASP1', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'CFH', 'F2', 'F9', 'MBL2', 'FCN1', 'PLAUR']
13	GO:BP	GO:0002376	immune system process	2.3547863317388493e-19	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2394	98	56	15719	0.5714285714285714	0.023391812865497	query_1	['GO:0008150']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'CR1', 'INHA', 'FN1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'ELANE', 'GP1BA', 'FCN3', 'TFRC', 'COLEC11', 'APOE', 'CFP', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'ORM2', 'HP', 'FGB', 'APOA2', 'C4B_2', 'MPO', 'APOA4', 'CFI', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'VTN', 'SLC40A1', 'FCN1', 'PTK2', 'ITGB6', 'C9', 'C5', 'HPX', 'ORM1']
14	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	2.4061789107184805e-19	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1592	98	47	15719	0.4795918367346938	0.0295226130653266	query_1	['GO:0008150']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'CR1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'FGA', 'ITGB3', 'FCN2', 'ELANE', 'FCN3', 'TFRC', 'COLEC11', 'APOE', 'CFP', 'ITGA5', 'COLEC10', 'CRP', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'TF', 'HP', 'FGB', 'C4B_2', 'MPO', 'APOA4', 'CFI', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'FCN1', 'PTK2', 'ITGB6', 'C9', 'C5', 'HPX']
15	GO:BP	GO:0045807	positive regulation of endocytosis	3.873391873973754e-19	True	"""Any process that activates or increases the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	151	98	20	15719	0.2040816326530612	0.1324503311258278	query_1	['GO:0006897', 'GO:0030100', 'GO:0051050', 'GO:0051130']	['PTX3', 'C3', 'FCN2', 'FCN3', 'COLEC11', 'APOE', 'CFP', 'HFE', 'COLEC10', 'C4A', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'C4B_2', 'C2', 'MBL2', 'VTN', 'FCN1']
13	GO:CC	GO:0034774	secretory granule lumen	7.995641938000781e-19	True	"""The volume enclosed by the membrane of a secretory granule."" [GOC:rph]"	313	99	24	16420	0.2424242424242424	0.0766773162939297	query_1	['GO:0030141', 'GO:0060205']	['PTX3', 'C3', 'FN1', 'FGA', 'VWF', 'SERPINA3', 'TGFB3', 'ELANE', 'CFP', 'PRDX4', 'APOA1', 'TF', 'ORM2', 'HP', 'FGB', 'PROS1', 'FGG', 'MPO', 'CTSG', 'SERPINA1', 'FCN1', 'A1BG', 'ALB', 'ORM1']
