Ataxia-telangiectasia	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0006310	DNA recombination	7.414464736106359e-77	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	100	60	17376	0.6	0.1880877742946708	query_1	['GO:0006259']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MUS81', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'KDM1A', 'RNF8', 'PALB2', 'MSH6']
11	GO:BP	GO:0033554	cellular response to stress	5.468726091169792e-71	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1893	100	89	17376	0.89	0.0470153195985208	query_1	['GO:0006950', 'GO:0051716']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
12	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	3.384559626992398e-66	True	Homologous DNA Pairing and Strand Exchange	43	100	33	17376	0.33	0.7674418604651163	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'XRCC3', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
13	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	1.2308963613170848e-64	True	Diseases of DNA Double-Strand Break Repair	41	100	32	17376	0.32	0.7804878048780488	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
14	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	1.2308963613170848e-64	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	100	32	17376	0.32	0.7804878048780488	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
15	REAC	REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	1.661544892869797e-59	True	Presynaptic phase of homologous DNA pairing and strand exchange	40	100	30	17376	0.3	0.75	query_1	['REAC:R-HSA-5693579']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51D', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B']
16	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	1.3089219010892383e-55	True	HDR through Single Strand Annealing (SSA)	37	100	28	17376	0.28	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
17	GO:CC	GO:0005694	chromosome	8.102043796441747e-53	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1834	100	77	17376	0.77	0.0419847328244274	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'RPA4', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
18	GO:BP	GO:0000725	recombinational repair	1.192537396599154e-52	True	"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]"	171	100	40	17376	0.4	0.2339181286549707	query_1	['GO:0006281', 'GO:0006310']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'MUS81', 'TP53BP1', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'XRCC2', 'KAT5', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'KDM1A', 'PALB2']
19	GO:CC	GO:0031981	nuclear lumen	1.2800598978830141e-52	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	100	97	17376	0.97	0.022370848708487	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
20	GO:CC	GO:0005654	nucleoplasm	1.3247242151211277e-52	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	100	95	17376	0.95	0.0238334169593577	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
21	REAC	REAC:R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	9.788866719843622e-52	True	Resolution of D-loop Structures through Holliday Junction Intermediates	34	100	26	17376	0.26	0.7647058823529411	query_1	['REAC:R-HSA-5693537']	['RBBP8', 'BRIP1', 'NBN', 'MUS81', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
22	REAC	REAC:R-HSA-5693537	Resolution of D-Loop Structures	3.249548734647493e-51	True	Resolution of D-Loop Structures	35	100	26	17376	0.26	0.7428571428571429	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'BRIP1', 'NBN', 'MUS81', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
23	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	3.249548734647493e-51	True	Impaired BRCA2 binding to RAD51	35	100	26	17376	0.26	0.7428571428571429	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
24	REAC	REAC:R-HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	6.800392619728283e-51	True	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	27	100	24	17376	0.24	0.8888888888888888	query_1	['REAC:R-HSA-5693537']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'XRCC3', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
25	REAC	REAC:R-HSA-9709603	Impaired BRCA2 binding to PALB2	1.188813711208253e-50	True	Impaired BRCA2 binding to PALB2	24	100	23	17376	0.23	0.9583333333333334	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
