FG syndrome type 1	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
8	GO:BP	GO:0040011	locomotion	1.1429170600879195e-26	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	100	51	15719	0.51	0.0396887159533073	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'PIK3CB', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'ITGA4', 'CXCL12', 'LYN', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'CERS2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
9	GO:BP	GO:0030155	regulation of cell adhesion	1.481515466594147e-25	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	100	41	15719	0.41	0.0544488711819389	query_1	['GO:0007155', 'GO:0050794']	['PIK3CB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'TFRC', 'ITGA5', 'HFE', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'TNC', 'CXCR4', 'APOA1', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'PTPN11', 'SEMA4D', 'PLXNA1']
10	GO:BP	GO:0007160	cell-matrix adhesion	4.848509738632223e-25	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	220	100	27	15719	0.27	0.1227272727272727	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'FGB', 'VCL', 'FGG', 'PTK2B', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1']
11	GO:BP	GO:0002376	immune system process	5.105519832193844e-25	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2394	100	63	15719	0.63	0.0263157894736842	query_1	['GO:0008150']	['RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'HFE', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GRB2', 'LCP2', 'CXCR4', 'APOA1', 'TF', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'CD19', 'BLNK', 'CBL', 'PTPN11', 'ACKR3', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF']
12	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	8.867032453158828e-25	True	"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	962	100	44	15719	0.44	0.0457380457380457	query_1	['GO:0009967', 'GO:0035556', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'APOA1', 'PIK3CA', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1']
13	GO:BP	GO:0006950	response to stress	1.4215798178043243e-24	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3764	100	75	15719	0.75	0.0199256110520722	query_1	['GO:0050896']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'PXN', 'FYN', 'LAT', 'ZAP70', 'CXCL12', 'CERS6', 'LYN', 'GJB2', 'GRB2', 'TNC', 'CXCR4', 'VKORC1', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'CERS2', 'PTK2B', 'IGHM', 'VEGFA', 'SERPINA1', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'BLNK', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'CR2', 'PGF', 'HPR']
2	REAC	REAC:R-HSA-109582	Hemostasis	1.9988981194320593e-24	True	Hemostasis	608	99	43	10022	0.4343434343434343	0.0707236842105263	query_1	['REAC:0000000']	['ITGB1', 'PIK3CB', 'VEGFB', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'LAT', 'LYN', 'LCP2', 'APOA1', 'TF', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'IGHM', 'VEGFA', 'PIK3R3', 'SERPINA1', 'TLN1', 'L1CAM', 'PTK2', 'LCK', 'ALB', 'PTPN11']
3	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	2.1586886118221903e-24	True	Regulation of signaling by CBL	21	99	15	10022	0.1515151515151515	0.7142857142857143	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'CBL']
16	GO:BP	GO:0009719	response to endogenous stimulus	3.744684192324817e-24	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	100	53	15719	0.53	0.0326354679802955	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGB5', 'ADRA1A', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'PXN', 'FYN', 'ITGA4', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'NRP2', 'CXCR4', 'EGFR', 'PIK3CA', 'FGB', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
15	GO:BP	GO:0007154	cell communication	3.744684192324817e-24	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5768	100	88	15719	0.88	0.015256588072122	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'MED12', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'LCP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
17	GO:BP	GO:0009967	positive regulation of signal transduction	3.744684192324817e-24	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]"	1468	100	51	15719	0.51	0.0347411444141689	query_1	['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'ZAP70', 'LYN', 'CXCR4', 'EGFR', 'APOA1', 'PIK3CA', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1']
14	GO:BP	GO:2000147	positive regulation of cell motility	3.744684192324817e-24	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	100	35	15719	0.35	0.0656660412757973	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'PIK3CD', 'ITGA5', 'ITGA4', 'CXCL12', 'LYN', 'NRP2', 'CXCR4', 'EGFR', 'TF', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
18	GO:BP	GO:0042325	regulation of phosphorylation	4.466698669269508e-24	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1135	100	46	15719	0.46	0.0405286343612334	query_1	['GO:0016310', 'GO:0019220']	['MET', 'C3', 'PIK3CB', 'ADRA1A', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'SOS1', 'ITGA5', 'HFE', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'TF', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'CD19', 'CBL', 'PTPN11', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'PGF']
19	GO:BP	GO:0023056	positive regulation of signaling	5.4825820161973735e-24	True	"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	1641	100	53	15719	0.53	0.0322973796465569	query_1	['GO:0023051', 'GO:0023052', 'GO:0048518']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'ZAP70', 'LYN', 'CXCR4', 'EGFR', 'APOA1', 'TFR2', 'PIK3CA', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1']
20	GO:BP	GO:0010647	positive regulation of cell communication	5.539195244563149e-24	True	"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	1643	100	53	15719	0.53	0.032258064516129	query_1	['GO:0007154', 'GO:0010646', 'GO:0048522']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'ZAP70', 'LYN', 'CXCR4', 'EGFR', 'APOA1', 'TFR2', 'PIK3CA', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1']
21	GO:BP	GO:0031589	cell-substrate adhesion	6.2069865759756805e-24	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	345	100	30	15719	0.3	0.0869565217391304	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'APOA1', 'FGB', 'VCL', 'FGG', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1']
