ALG8-CDG	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0007599	hemostasis	5.340713705399658e-26	True	"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]"	227	97	27	17376	0.2783505154639175	0.118942731277533	query_1	['GO:0050878']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1']
11	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	1.283474689032461e-25	True	Platelet activation, signaling and aggregation	252	97	27	17376	0.2783505154639175	0.1071428571428571	query_1	['REAC:R-HSA-109582']	['GP1BB', 'FN1', 'SRC', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'GP1BA', 'GP9', 'FLNA', 'ITGA2B', 'A2M', 'APOA1', 'F2', 'TF', 'YWHAZ', 'FGB', 'PROS1', 'FGG', 'SERPINA1', 'GP5', 'KNG1', 'TLN1', 'PTK2', 'A1BG', 'ALB', 'ORM1']
12	GO:CC	GO:0005576	extracellular region	2.3754711993168877e-25	True	"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]"	3761	97	71	17376	0.7319587628865979	0.0188779579898963	query_1	['GO:0110165']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FCN2', 'GP1BA', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'ITGA2B', 'ANKFY1', 'HFE', 'COLEC10', 'CRP', 'A2M', 'NELL2', 'INHBE', 'INHBC', 'CFHR4', 'SERPIND1', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'GP5', 'APOC2', 'FCN1', 'KNG1', 'TLN1', 'C1QBP', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
13	GO:BP	GO:0009611	response to wounding	5.222158479107031e-24	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]"	552	97	34	17376	0.3505154639175257	0.0615942028985507	query_1	['GO:0006950']	['F12', 'GP1BB', 'ITGB1', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'ITGA5', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1', 'PTK2', 'ITGB6', 'PRCP']
14	GO:BP	GO:0006950	response to stress	1.0546726745063826e-23	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3769	97	70	17376	0.7216494845360825	0.0185725656672857	query_1	['GO:0050896']	['MASP1', 'PTX3', 'C3', 'F12', 'GP1BB', 'ITGB1', 'SIGMAR1', 'MASP2', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FCN2', 'GP1BA', 'GP9', 'BDKRB2', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'ITGA5', 'HFE', 'COLEC10', 'CRP', 'A2M', 'SERPIND1', 'CFH', 'C4A', 'C4BPB', 'BDKRB1', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'F9', 'TFR2', 'KLKB1', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'GP5', 'FCN1', 'KNG1', 'TLN1', 'PTK2', 'ITGB6', 'C1QBP', 'ALB', 'PRCP', 'VKORC1L1', 'HPX', 'ORM1']
15	GO:BP	GO:0006959	humoral immune response	1.3968629330414968e-23	True	"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]"	250	97	26	17376	0.268041237113402	0.104	query_1	['GO:0006955']	['MASP1', 'C3', 'MASP2', 'FGA', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'A2M', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'TF', 'FGB', 'C4B_2', 'CFI', 'CFB', 'C2', 'MBL2', 'C4BPA', 'FCN1', 'C1QBP', 'HPX']
16	REAC	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	4.556019588953442e-23	True	Platelet Aggregation (Plug Formation)	38	97	15	17376	0.1546391752577319	0.3947368421052631	query_1	['REAC:R-HSA-76002']	['GP1BB', 'FN1', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'ITGA2B', 'F2', 'FGB', 'FGG', 'GP5', 'TLN1', 'PTK2']
17	GO:BP	GO:0072376	protein activation cascade	5.2777564196594105e-23	True	"""A sequential series of modifications to a set of proteins where the product of one reaction catalyzes the following reaction, ultimately leading to the generation of a mature protein. Modifications typically include proteolysis or covalent modification, and may also include binding events."" [GOC:add, GOC:mah, GOC:pde]"	20	97	13	17376	0.134020618556701	0.65	query_1	['GO:0051604']	['F12', 'GP1BB', 'FN1', 'FGA', 'GP1BA', 'GP9', 'FLNA', 'KLKB1', 'FGB', 'FGG', 'SERPINC1', 'GP5', 'PRCP']
18	GO:CC	GO:0070062	extracellular exosome	5.840694811325342e-23	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2021	97	53	17376	0.5463917525773195	0.0262246412666996	query_1	['GO:0005615', 'GO:1903561']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'FCN2', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'ANKFY1', 'A2M', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
19	GO:CC	GO:1903561	extracellular vesicle	5.881042422348021e-23	True	"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]"	2044	97	53	17376	0.5463917525773195	0.0259295499021526	query_1	['GO:0031982', 'GO:0065010']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'FCN2', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'ANKFY1', 'A2M', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
20	GO:CC	GO:0065010	extracellular membrane-bounded organelle	5.881042422348021e-23	True	"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]"	2045	97	53	17376	0.5463917525773195	0.0259168704156479	query_1	['GO:0043227', 'GO:0043230']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'FCN2', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'ANKFY1', 'A2M', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
21	GO:CC	GO:0043230	extracellular organelle	5.881042422348021e-23	True	"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]"	2045	97	53	17376	0.5463917525773195	0.0259168704156479	query_1	['GO:0005576', 'GO:0043226']	['C3', 'F12', 'ITGB1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'FCN2', 'GP1BA', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'ANKFY1', 'A2M', 'SERPIND1', 'CFH', 'C4A', 'CD46', 'APOA1', 'F2', 'TF', 'F9', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
22	GO:BP	GO:0002252	immune effector process	9.962595712359658e-22	True	"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	605	97	33	17376	0.3402061855670103	0.0545454545454545	query_1	['GO:0002376']	['MASP1', 'PTX3', 'C3', 'MASP2', 'SRC', 'TGFB3', 'FCN2', 'FCN3', 'TFRC', 'COLEC11', 'HFE', 'COLEC10', 'CRP', 'A2M', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'APOA1', 'LRP1', 'F2', 'APOA2', 'C4B_2', 'CFI', 'CFB', 'C2', 'MBL2', 'C4BPA', 'FCN1', 'PTK2', 'C1QBP', 'HPX']
23	REAC	REAC:R-HSA-166663	Initial triggering of complement	1.1856595202259737e-21	True	Initial triggering of complement	26	97	13	17376	0.134020618556701	0.5	query_1	['REAC:R-HSA-166658']	['MASP1', 'C3', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'CRP', 'C4A', 'C4B_2', 'CFB', 'C2', 'MBL2', 'FCN1']
24	GO:BP	GO:0006952	defense response	1.5650513953781308e-21	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1654	97	48	17376	0.4948453608247423	0.0290205562273276	query_1	['GO:0006950']	['MASP1', 'PTX3', 'C3', 'F12', 'ITGB1', 'MASP2', 'FN1', 'SRC', 'SPP1', 'FGA', 'FCN2', 'BDKRB2', 'FCN3', 'TFRC', 'COLEC11', 'APOE', 'COLEC10', 'CRP', 'A2M', 'CFH', 'C4A', 'C4BPB', 'BDKRB1', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'TFR2', 'KLKB1', 'HP', 'FGB', 'APOA2', 'C4B_2', 'CFI', 'CFB', 'C2', 'MBL2', 'C4BPA', 'SERPINA1', 'FCN1', 'KNG1', 'PTK2', 'ITGB6', 'C1QBP', 'PRCP', 'HPX', 'ORM1']
25	GO:BP	GO:0050878	regulation of body fluid levels	4.451454881306119e-21	True	"""Any process that modulates the levels of body fluids."" [GOC:ai, GOC:dph, GOC:tb]"	356	97	27	17376	0.2783505154639175	0.0758426966292134	query_1	['GO:0065008']	['F12', 'GP1BB', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'F11', 'APOE', 'SERPIND1', 'C4BPB', 'F2', 'F9', 'KLKB1', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'SERPINA1', 'VTN', 'GP5', 'KNG1', 'TLN1']
26	GO:BP	GO:0030100	regulation of endocytosis	4.451454881306119e-21	True	"""Any process that modulates the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	281	97	25	17376	0.2577319587628865	0.0889679715302491	query_1	['GO:0006897', 'GO:0051128', 'GO:0060627']	['PTX3', 'C3', 'APOC3', 'ITGAV', 'SRC', 'ITGB3', 'FCN2', 'FCN3', 'COLEC11', 'APOE', 'ANKFY1', 'HFE', 'COLEC10', 'C4A', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'C4B_2', 'C2', 'MBL2', 'VTN', 'APOC2', 'FCN1']
27	REAC	REAC:R-HSA-114608	Platelet degranulation 	5.0530109964460615e-21	True	Platelet degranulation 	121	97	19	17376	0.1958762886597938	0.1570247933884297	query_1	['REAC:R-HSA-76005']	['FN1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FLNA', 'ITGA2B', 'A2M', 'APOA1', 'TF', 'FGB', 'PROS1', 'FGG', 'SERPINA1', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'ORM1']
28	GO:CC	GO:0031982	vesicle	7.649051154068172e-21	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3792	97	66	17376	0.6804123711340206	0.0174050632911392	query_1	['GO:0043227']	['RHOD', 'PTX3', 'C3', 'F12', 'ITGB1', 'SIGMAR1', 'MASP2', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FCN2', 'GP1BA', 'BDKRB2', 'GJA1', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA2B', 'ITGA5', 'ANKFY1', 'HFE', 'A2M', 'SERPIND1', 'WHAMM', 'CFH', 'C4A', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'F9', 'TFR2', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'CFI', 'SERPINC1', 'CFB', 'C2', 'SERPINA1', 'VTN', 'GP5', 'APOC2', 'FCN1', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'PRCP', 'HPX', 'ORM1']
29	REAC	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	1.0099096609824734e-20	True	Response to elevated platelet cytosolic Ca2+	126	97	19	17376	0.1958762886597938	0.1507936507936507	query_1	['REAC:R-HSA-76002']	['FN1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FLNA', 'ITGA2B', 'A2M', 'APOA1', 'TF', 'FGB', 'PROS1', 'FGG', 'SERPINA1', 'KNG1', 'TLN1', 'A1BG', 'ALB', 'ORM1']
30	GO:BP	GO:0045807	positive regulation of endocytosis	4.5371042775317994e-20	True	"""Any process that activates or increases the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	150	97	20	17376	0.2061855670103092	0.1333333333333333	query_1	['GO:0006897', 'GO:0030100', 'GO:0051050', 'GO:0051130']	['PTX3', 'C3', 'FCN2', 'FCN3', 'COLEC11', 'APOE', 'ANKFY1', 'HFE', 'COLEC10', 'C4A', 'APOA1', 'LRP1', 'TF', 'TFR2', 'APOA2', 'C4B_2', 'C2', 'MBL2', 'VTN', 'FCN1']
31	GO:BP	GO:0008228	opsonization	7.424798908431046e-20	True	"""The process in which a microorganism (or other particulate material) is rendered more susceptible to phagocytosis by coating with an opsonin, a blood serum protein such as a complement component or antibody."" [GOC:add, GOC:mah, ISBN:0198506732, ISBN:068340007X, ISBN:0781735149]"	16	97	11	17376	0.1134020618556701	0.6875	query_1	['GO:0002252', 'GO:0006910']	['PTX3', 'FCN2', 'FCN3', 'COLEC11', 'COLEC10', 'CRP', 'C4BPB', 'C4B_2', 'MBL2', 'C4BPA', 'FCN1']
32	GO:BP	GO:0072378	blood coagulation, fibrin clot formation	1.9632578452875352e-19	True	"""A protein activation cascade that contributes to blood coagulation and consists of the cascade of enzymatic reactions initiated by physical damage to the wall of a blood vessel, leading to the formation of a formation of a fibrin clot at the site of the injury. The process also includes numerous positive and negative regulatory events."" [GOC:add, GOC:mah, GOC:pde]"	17	97	11	17376	0.1134020618556701	0.6470588235294118	query_1	['GO:0007596', 'GO:0072376']	['F12', 'GP1BB', 'FN1', 'FGA', 'GP1BA', 'GP9', 'FLNA', 'FGB', 'FGG', 'SERPINC1', 'GP5']
33	REAC	REAC:0000000	REACTOME root term	3.099342172636401e-19	True	REACTOME root term	9962	97	95	17376	0.979381443298969	0.0095362377032724	query_1	[]	['RHOD', 'MASP1', 'PTX3', 'C3', 'F12', 'GP1BB', 'ITGB1', 'SIGMAR1', 'APOC3', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'TGFB3', 'FCN2', 'GP1BA', 'GP9', 'TJP1', 'BDKRB2', 'FCN3', 'GJA1', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'ITGA2B', 'ITGA5', 'ANKFY1', 'HFE', 'COLEC10', 'ENOPH1', 'CRP', 'A2M', 'NELL2', 'INHBE', 'INHBC', 'CFHR4', 'SERPIND1', 'WHAMM', 'AGPAT4', 'CFH', 'C4A', 'ALG8', 'C4BPB', 'ZNF655', 'BDKRB1', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'F9', 'GALNT12', 'TFR2', 'KLKB1', 'UAP1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'FITM2', 'CFI', 'FILIP1', 'SERPINC1', 'CFB', 'C2', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'GP5', 'APOC2', 'FCN1', 'KNG1', 'TLN1', 'PTK2', 'ITGB6', 'C1QBP', 'A1BG', 'ALB', 'PRCP', 'VKORC1L1', 'HPX', 'ORM1', 'SC5D', 'AGPAT3']
34	REAC	REAC:R-HSA-977606	Regulation of Complement cascade	4.0764730969714144e-19	True	Regulation of Complement cascade	51	97	14	17376	0.1443298969072164	0.2745098039215686	query_1	['REAC:R-HSA-166658']	['C3', 'CFHR4', 'CFH', 'C4A', 'C4BPB', 'CD46', 'F2', 'PROS1', 'C4B_2', 'CFI', 'CFB', 'C2', 'C4BPA', 'VTN']
35	REAC	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	5.706040648163406e-19	True	GRB2:SOS provides linkage to MAPK signaling for Integrins 	14	97	10	17376	0.1030927835051546	0.7142857142857143	query_1	['REAC:R-HSA-354192']	['FN1', 'SRC', 'FGA', 'ITGB3', 'VWF', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
