Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	2.2207633584706976e-39	True	Toll Like Receptor 4 (TLR4) Cascade	143	100	31	17376	0.31	0.2167832167832167	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
11	GO:BP	GO:1902531	regulation of intracellular signal transduction	3.673451726138552e-39	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1656	100	65	17376	0.65	0.0392512077294686	query_1	['GO:0009966', 'GO:0035556']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'BABAM2', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'MCL1', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'TNIP2', 'BID', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3', 'FBXW7', 'BCL10', 'UBE2N', 'BAD']
12	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	2.4871620875369437e-37	True	Toll-like Receptor Cascades	165	100	31	17376	0.31	0.1878787878787878	query_1	['REAC:R-HSA-168249']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
13	REAC	REAC:R-HSA-168249	Innate Immune System	5.718256993279177e-37	True	Innate Immune System	1023	100	53	17376	0.53	0.0518084066471163	query_1	['REAC:R-HSA-168256']	['CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'TNFRSF1B', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'RIPK1', 'SKP1', 'MALT1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'NLRP4', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3', 'CUL1', 'BCL10', 'UBE2N']
14	GO:BP	GO:0009607	response to biotic stimulus	3.46750913720148e-36	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1467	100	60	17376	0.6	0.0408997955010225	query_1	['GO:0050896']	['SHARPIN', 'BCL2L11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'NLRP2', 'CDC37']
15	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	2.2905220037059625e-35	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1596	100	61	17376	0.61	0.0382205513784461	query_1	['GO:0008150']	['SHARPIN', 'BCL2L11', 'BAX', 'TANK', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'BAD', 'NLRP2', 'CDC37']
16	GO:BP	GO:0080134	regulation of response to stress	2.2905220037059625e-35	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1380	100	58	17376	0.58	0.0420289855072463	query_1	['GO:0006950', 'GO:0048583']	['SHARPIN', 'BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BABAM2', 'UBE2V1', 'TRAF3', 'PYDC2', 'BCL2', 'BRCC3', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'MCL1', 'CASP5', 'IKBKE', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TNIP1', 'HSP90AA1', 'BIRC3', 'TRAF2', 'NLRP4', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'FBXW7', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
17	REAC	REAC:R-HSA-75893	TNF signaling	2.3471108655650928e-35	True	TNF signaling	42	100	21	17376	0.21	0.5	query_1	['REAC:R-HSA-73887']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'RIPK1', 'TRADD', 'TAX1BP1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'BIRC2', 'CASP8', 'TAB3']
18	GO:BP	GO:0051707	response to other organism	1.472048128655254e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1430	100	58	17376	0.58	0.0405594405594405	query_1	['GO:0043207', 'GO:0044419']	['SHARPIN', 'BAX', 'TANK', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'NLRP2', 'CDC37']
19	GO:BP	GO:0043207	response to external biotic stimulus	1.4882096883557691e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1433	100	58	17376	0.58	0.0404745289602233	query_1	['GO:0009605', 'GO:0009607']	['SHARPIN', 'BAX', 'TANK', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'NLRP2', 'CDC37']
20	GO:BP	GO:0034097	response to cytokine	1.6116995053637234e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]"	873	100	49	17376	0.49	0.0561282932416953	query_1	['GO:0010033']	['SHARPIN', 'STIP1', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'MCL1', 'IKBKE', 'AZI2', 'TBK1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'TRADD', 'SHMT1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'BAD', 'NLRP2', 'CDC37']
21	REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	2.155503314498384e-34	True	Cytokine Signaling in Immune system	706	100	45	17376	0.45	0.0637393767705382	query_1	['REAC:R-HSA-168256']	['BCL2L11', 'MAP3K8', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'BCL2', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'MCL1', 'RBX1', 'BTRC', 'TBK1', 'TNF', 'NFKB1', 'TNIP2', 'LTA', 'SKP1', 'TNFSF14', 'LTB', 'NFKB2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
22	REAC	REAC:R-HSA-5607764	CLEC7A (Dectin-1) signaling	1.1874368647923508e-33	True	CLEC7A (Dectin-1) signaling	97	100	25	17376	0.25	0.2577319587628865	query_1	['REAC:R-HSA-5621481']	['CARD11', 'UBE2V1', 'MAP3K14', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'MAP3K7', 'RELB', 'PYCARD', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'BCL10', 'UBE2N']
23	GO:BP	GO:0048583	regulation of response to stimulus	2.4322838314777722e-33	True	"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	3729	100	80	17376	0.8	0.0214534727809064	query_1	['GO:0050789', 'GO:0050896']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BABAM2', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'MCL1', 'CASP5', 'IKBKE', 'RBX1', 'FYB1', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'NLRP4', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TAB3', 'FBXW7', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
24	GO:BP	GO:0048584	positive regulation of response to stimulus	5.429112236563057e-33	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2115	100	65	17376	0.65	0.0307328605200945	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'BABAM2', 'UBE2V1', 'MAP3K14', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'MCL1', 'IKBKE', 'FYB1', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'BIRC2', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TAB3', 'FBXW7', 'BCL10', 'UBE2N', 'BAD']
25	GO:BP	GO:0033209	tumor necrosis factor-mediated signaling pathway	1.6328212149499346e-32	True	"""The series of molecular signals initiated by tumor necrosis factor binding to its receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	100	100	25	17376	0.25	0.25	query_1	['GO:0019221', 'GO:0071356']	['SHARPIN', 'HSPA1A', 'TNFRSF1B', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'FAS', 'RIPK1', 'TRADD', 'BIRC3', 'TRAF2', 'TNFAIP3', 'AIM2', 'PYCARD', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP1', 'CASP8', 'NLRP2']
