Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	REAC	REAC:R-HSA-73887	Death Receptor Signaling	1.2772484128407374e-33	True	Death Receptor Signaling	138	93	31	10022	0.3333333333333333	0.2246376811594203	query_1	['REAC:R-HSA-162582']	['SHARPIN', 'BCL2L11', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'TAX1BP1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'BAD']
5	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	1.7381906696950444e-33	True	Toll Like Receptor 4 (TLR4) Cascade	140	93	31	10022	0.3333333333333333	0.2214285714285714	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
6	GO:BP	GO:0080134	regulation of response to stress	5.5606266003161216e-33	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1380	100	58	15719	0.58	0.0420289855072463	query_1	['GO:0006950', 'GO:0048583']	['SHARPIN', 'BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BABAM2', 'UBE2V1', 'TRAF3', 'PYDC2', 'BCL2', 'BRCC3', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'MCL1', 'CASP5', 'IKBKE', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TNIP1', 'HSP90AA1', 'BIRC3', 'TRAF2', 'NLRP4', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'FBXW7', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
7	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	5.5606266003161216e-33	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1592	100	61	15719	0.61	0.0383165829145728	query_1	['GO:0008150']	['SHARPIN', 'BCL2L11', 'BAX', 'TANK', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'BAD', 'NLRP2', 'CDC37']
8	GO:BP	GO:0034097	response to cytokine	2.0665841662442236e-32	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]"	873	100	49	15719	0.49	0.0561282932416953	query_1	['GO:0010033']	['SHARPIN', 'STIP1', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'MCL1', 'IKBKE', 'AZI2', 'TBK1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'TRADD', 'SHMT1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'CASP1', 'CASP8', 'BAD', 'NLRP2', 'CDC37']
9	GO:BP	GO:0051707	response to other organism	2.630454704343105e-32	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1426	100	58	15719	0.58	0.0406732117812061	query_1	['GO:0043207', 'GO:0044419']	['SHARPIN', 'BAX', 'TANK', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'NLRP2', 'CDC37']
10	GO:BP	GO:0043207	response to external biotic stimulus	2.684743171655281e-32	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1429	100	58	15719	0.58	0.0405878236529041	query_1	['GO:0009605', 'GO:0009607']	['SHARPIN', 'BAX', 'TANK', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'NLRP2', 'CDC37']
6	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	2.028391454305307e-31	True	Toll-like Receptor Cascades	162	93	31	10022	0.3333333333333333	0.191358024691358	query_1	['REAC:R-HSA-168249']	['MAP3K8', 'TANK', 'NFKBIB', 'UBE2V1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'BTRC', 'TBK1', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
11	GO:BP	GO:0033209	tumor necrosis factor-mediated signaling pathway	2.261451717061237e-31	True	"""The series of molecular signals initiated by tumor necrosis factor binding to its receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	100	100	25	15719	0.25	0.25	query_1	['GO:0019221', 'GO:0071356']	['SHARPIN', 'HSPA1A', 'TNFRSF1B', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'FAS', 'RIPK1', 'TRADD', 'BIRC3', 'TRAF2', 'TNFAIP3', 'AIM2', 'PYCARD', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP1', 'CASP8', 'NLRP2']
7	REAC	REAC:R-HSA-75893	TNF signaling	5.307374872718941e-31	True	TNF signaling	42	93	21	10022	0.2258064516129032	0.5	query_1	['REAC:R-HSA-73887']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'RIPK1', 'TRADD', 'TAX1BP1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'BIRC2', 'CASP8', 'TAB3']
13	GO:BP	GO:0045862	positive regulation of proteolysis	2.1176859847794682e-30	True	"""Any process that activates or increases the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:go_curators]"	351	100	35	15719	0.35	0.0997150997150997	query_1	['GO:0006508', 'GO:0030162', 'GO:0051247']	['BCL2L11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'CASP10', 'CARD8', 'NLRC4', 'FASLG', 'RBX1', 'BTRC', 'TNF', 'FAS', 'FADD', 'BID', 'NLRP3', 'BBC3', 'CFLAR', 'MALT1', 'TNIP1', 'FBXW11', 'SNX33', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'BAK1', 'CASP1', 'CASP8', 'FBXW7', 'BCL10', 'BAD', 'NLRP2']
12	GO:BP	GO:0048584	positive regulation of response to stimulus	2.1176859847794682e-30	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2113	100	65	15719	0.65	0.0307619498343587	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'BABAM2', 'UBE2V1', 'MAP3K14', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'MCL1', 'IKBKE', 'FYB1', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'BIRC2', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TAB3', 'FBXW7', 'BCL10', 'UBE2N', 'BAD']
14	GO:BP	GO:0048583	regulation of response to stimulus	3.0300513870692073e-30	True	"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	3723	100	80	15719	0.8	0.021488047273704	query_1	['GO:0050789', 'GO:0050896']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BABAM2', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'MCL1', 'CASP5', 'IKBKE', 'RBX1', 'FYB1', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'NLRP4', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TAB3', 'FBXW7', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
0	GO:CC	GO:0005829	cytosol	3.414551890821602e-30	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5250	100	89	16420	0.89	0.0169523809523809	query_1	['GO:0005737', 'GO:0110165']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'NFKBIE', 'BABAM2', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'BRCC3', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FKBP5', 'MCL1', 'CASP5', 'IKBKE', 'RBX1', 'FYB1', 'RBCK1', 'BTRC', 'TBK1', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'BID', 'NLRP3', 'BBC3', 'RIPK1', 'SKP1', 'ABRAXAS2', 'CFLAR', 'TRADD', 'MALT1', 'SHMT1', 'TNIP1', 'NFKB2', 'XPNPEP3', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'NLRP4', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'TAB3', 'CUL1', 'FBXW7', 'RHPN2', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
15	GO:BP	GO:0006955	immune response	5.73211035784889e-30	True	"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]"	1662	100	59	15719	0.59	0.0354993983152827	query_1	['GO:0002376', 'GO:0050896']	['CARD11', 'BAX', 'TANK', 'HSPA1A', 'TNFRSF1B', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CHUK', 'CARD8', 'RELA', 'IKBKB', 'NLRC4', 'TBKBP1', 'FASLG', 'IKBKE', 'FYB1', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'NLRP3', 'LTA', 'TNFSF14', 'MALT1', 'LTB', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'NLRP1', 'SHMT2', 'BIRC2', 'NFKBIA', 'CASP1', 'CASP8', 'BCL10', 'UBE2N', 'NLRP2', 'CDC37']
16	GO:BP	GO:0012501	programmed cell death	1.4503461827566226e-29	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1850	100	61	15719	0.61	0.0329729729729729	query_1	['GO:0008219']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BABAM2', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CARD8', 'TNFRSF1A', 'RELA', 'NLRC4', 'FASLG', 'MCL1', 'CASP5', 'IKBKE', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'PYCARD', 'TRAF6', 'NLRP1', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'CUL1', 'FBXW7', 'BCL10', 'BAD', 'NLRP2']
