Progeroid syndrome, Petty type	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0001775	cell activation	9.690905336686692e-20	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1059	96	40	15719	0.4166666666666667	0.0377714825306893	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'FYN', 'WAS', 'LAT', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'TGFB1', 'LCP2', 'CD47', 'VCL', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SIRPG', 'TLN1', 'TGFBR1', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
1	GO:CC	GO:0005886	plasma membrane	1.3561957002823865e-19	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4850	98	75	16420	0.7653061224489796	0.0154639175257731	query_1	['GO:0016020', 'GO:0071944']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'CACNA2D2', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'ZDHHC2']
11	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	2.1120811819986907e-19	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	96	32	15719	0.3333333333333333	0.052892561983471	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
12	GO:BP	GO:0002682	regulation of immune system process	2.512233537867884e-19	True	"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]"	1382	96	44	15719	0.4583333333333333	0.0318379160636758	query_1	['GO:0002376', 'GO:0050789']	['RAPGEF1', 'NCK1', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'FYN', 'FYB1', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'TGFB1', 'LCP2', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CRKL', 'SIRPG', 'PTK2', 'LCK', 'SMAD3', 'PTPN11', 'NCK2']
13	GO:BP	GO:0070848	response to growth factor	2.819319193522732e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	96	33	15719	0.34375	0.0494752623688155	query_1	['GO:0009719']	['RAPGEF1', 'LATS1', 'SMURF2', 'ITGB5', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
2	GO:CC	GO:0071944	cell periphery	4.2272404728666604e-19	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	98	77	16420	0.7857142857142857	0.0145916240288042	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'DMBT1', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CKAP4', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'CACNA2D2', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'ZDHHC2']
14	GO:BP	GO:0006909	phagocytosis	5.379218649795698e-19	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	242	96	23	15719	0.2395833333333333	0.0950413223140495	query_1	['GO:0006897']	['MET', 'RAPGEF1', 'ITGB1', 'SFTPA1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'SFTPD', 'PLCG2', 'FYN', 'LYN', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'FCGR1A', 'SIRPA', 'SIRPG', 'PTK2', 'DOCK2', 'ELMO1', 'ELMO2']
2	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	5.504670582914393e-19	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	94	19	10022	0.202127659574468	0.2134831460674157	query_1	['REAC:R-HSA-168249']	['NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
15	GO:BP	GO:0042325	regulation of phosphorylation	8.444640285495196e-19	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1135	96	40	15719	0.4166666666666667	0.0352422907488986	query_1	['GO:0016310', 'GO:0019220']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
16	GO:BP	GO:0040011	locomotion	9.331741050580461e-19	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	96	42	15719	0.4375	0.0326848249027237	query_1	['GO:0008150']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SFTPD', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'WAS', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'DOCK2', 'SMAD3', 'DOCK5', 'PDGFRA', 'ELMO2']
3	REAC	REAC:R-HSA-391160	Signal regulatory protein family interactions	1.3544614730693615e-18	True	Signal regulatory protein family interactions	14	94	11	10022	0.1170212765957446	0.7857142857142857	query_1	['REAC:R-HSA-1500931']	['SFTPA1', 'SFTPD', 'FYB1', 'SKAP2', 'CD47', 'SIRPA', 'PTK2B', 'SIRPG', 'PTK2', 'PTPN11', 'SFTPA2']
17	GO:BP	GO:0006468	protein phosphorylation	2.884905847887664e-18	True	"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	1482	96	44	15719	0.4583333333333333	0.029689608636977	query_1	['GO:0016310', 'GO:0036211']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
18	GO:BP	GO:0030335	positive regulation of cell migration	2.8929039484242272e-18	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	96	29	15719	0.3020833333333333	0.056420233463035	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'PLCG1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
20	GO:BP	GO:0051174	regulation of phosphorus metabolic process	5.975128257331208e-18	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:ai]"	1281	96	41	15719	0.4270833333333333	0.0320062451209992	query_1	['GO:0006793', 'GO:0031323']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
19	GO:BP	GO:0019220	regulation of phosphate metabolic process	5.975128257331208e-18	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	1280	96	41	15719	0.4270833333333333	0.03203125	query_1	['GO:0006796', 'GO:0051174']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
21	GO:BP	GO:2000147	positive regulation of cell motility	6.79827782179485e-18	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	96	29	15719	0.3020833333333333	0.0544090056285178	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'PLCG1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
22	GO:BP	GO:0030036	actin cytoskeleton organization	7.185898097585832e-18	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	695	96	32	15719	0.3333333333333333	0.0460431654676259	query_1	['GO:0007010', 'GO:0030029']	['MET', 'LATS1', 'ITGB1', 'NCK1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'SHC1', 'WASL', 'WIPF1', 'NPHP1', 'PXN', 'WAS', 'GRB2', 'TGFB1', 'CD47', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'DOCK2', 'SMAD3', 'ELMO1', 'NCK2', 'PDGFRA', 'ELMO2']
