Neuroectodermal melanolysosomal disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-1640170	Cell Cycle	5.2031522160969705e-39	True	Cell Cycle	673	101	48	17376	0.4752475247524752	0.0713224368499257	query_1	['REAC:0000000']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT5', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'CCND1']
11	REAC	REAC:R-HSA-8953750	Transcriptional Regulation by E2F6	5.9803508190556e-38	True	Transcriptional Regulation by E2F6	34	101	21	17376	0.2079207920792079	0.6176470588235294	query_1	['REAC:R-HSA-212436']	['BMI1', 'EHMT2', 'CBX3', 'MAX', 'TFDP1', 'RING1', 'PHC1', 'RBBP4', 'PCGF6', 'RYBP', 'E2F6', 'E2F1', 'MGA', 'EHMT1', 'PCGF2', 'YAF2', 'L3MBTL2', 'RNF2', 'TFDP2', 'EPC1', 'PHC3']
12	GO:BP	GO:0044772	mitotic cell cycle phase transition	2.7792447253962347e-35	True	"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]"	446	101	41	17376	0.4059405940594059	0.0919282511210762	query_1	['GO:0044770', 'GO:1903047']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CCNB2', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
13	GO:BP	GO:0044843	cell cycle G1/S phase transition	1.7950268805061795e-34	True	"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]"	254	101	34	17376	0.3366336633663366	0.1338582677165354	query_1	['GO:0044770']	['CDKN2B', 'AKT1', 'MYC', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
14	GO:BP	GO:0000082	G1/S transition of mitotic cell cycle	1.7950268805061795e-34	True	"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]"	226	101	33	17376	0.3267326732673267	0.1460176991150442	query_1	['GO:0044772', 'GO:0044843']	['CDKN2B', 'AKT1', 'MYC', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
15	GO:CC	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	2.8506024233165316e-34	True	"""Cyclin-dependent protein kinases (CDKs) are enzyme complexes that contain a kinase catalytic subunit associated with a regulatory cyclin partner."" [GOC:krc, PMID:11602261]"	51	101	22	17376	0.2178217821782178	0.4313725490196078	query_1	['GO:1902554']	['CKS1B', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'RB1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDK1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1']
16	GO:CC	GO:0005654	nucleoplasm	3.203691443204644e-34	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	101	83	17376	0.8217821782178217	0.0208228800802809	query_1	['GO:0031981', 'GO:0110165']	['SMAD1', 'PKMYT1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
17	REAC	REAC:R-HSA-69242	S Phase	4.900325873133379e-34	True	S Phase	162	101	29	17376	0.2871287128712871	0.1790123456790123	query_1	['REAC:R-HSA-69278']	['AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'RBBP4', 'CCNE1', 'RBX1', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SKP1', 'E2F1', 'MNAT1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
18	REAC	REAC:R-HSA-2559583	Cellular Senescence	1.970806466545884e-33	True	Cellular Senescence	192	101	30	17376	0.297029702970297	0.15625	query_1	['REAC:R-HSA-2262752']	['CDKN2B', 'BMI1', 'EHMT2', 'STAT3', 'CCNA1', 'CCNE2', 'TFDP1', 'RING1', 'RB1', 'PHC1', 'RBBP4', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'E2F1', 'EHMT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'SP1', 'KAT5', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'CDK6', 'PHC3']
19	GO:BP	GO:0044770	cell cycle phase transition	3.256323517508709e-32	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	548	101	41	17376	0.4059405940594059	0.0748175182481751	query_1	['GO:0022402']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CCNB2', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
20	GO:CC	GO:0031981	nuclear lumen	1.5486149992029703e-31	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	101	83	17376	0.8217821782178217	0.0191420664206642	query_1	['GO:0005634', 'GO:0070013']	['SMAD1', 'PKMYT1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
21	GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	3.0704167498606504e-31	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5234	101	89	17376	0.8811881188118812	0.0170042032862055	query_1	['GO:0006807', 'GO:0019222']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
22	REAC	REAC:R-HSA-1538133	G0 and Early G1	3.208877111233298e-31	True	G0 and Early G1	26	101	17	17376	0.1683168316831683	0.6538461538461539	query_1	['REAC:R-HSA-453279']	['MYC', 'E2F4', 'CCNA1', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'CCNE1', 'E2F5', 'CCNA2', 'E2F1', 'CDK1', 'CDK2', 'TFDP2']
23	REAC	REAC:R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	5.245872031959487e-31	True	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	17	101	15	17376	0.1485148514851485	0.8823529411764706	query_1	['REAC:R-HSA-9687139']	['CCNE2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN1A', 'E2F2', 'CCND2', 'E2F1', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TFDP2', 'CDK6', 'CCND1']
24	REAC	REAC:R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	5.245872031959487e-31	True	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	17	101	15	17376	0.1485148514851485	0.8823529411764706	query_1	['REAC:R-HSA-9659787']	['CCNE2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN1A', 'E2F2', 'CCND2', 'E2F1', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TFDP2', 'CDK6', 'CCND1']
25	GO:CC	GO:0005667	transcription regulator complex	1.5829148811354537e-30	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	505	101	38	17376	0.3762376237623762	0.0752475247524752	query_1	['GO:0032991']	['SMAD1', 'MYC', 'CREBBP', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SIN3A', 'E2F5', 'E2F2', 'CCNH', 'SMAD2', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MNAT1', 'RCOR1', 'CDK2', 'SP1', 'ESR1', 'KAT5', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CCND1']
26	GO:CC	GO:1990234	transferase complex	1.6894025991474583e-30	True	"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]"	846	101	45	17376	0.4455445544554455	0.0531914893617021	query_1	['GO:1902494']	['BMI1', 'CKS1B', 'CREBBP', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'TRRAP', 'RING1', 'RB1', 'PHC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PCGF6', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'EP300', 'CCND2', 'MGA', 'RUVBL1', 'MNAT1', 'CDK1', 'CDK2', 'PCGF2', 'KAT5', 'CCND3', 'SKP2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
27	GO:BP	GO:0080090	regulation of primary metabolic process	3.4738115268672506e-30	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5398	101	89	17376	0.8811881188118812	0.0164875879955539	query_1	['GO:0019222', 'GO:0044238']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
28	GO:BP	GO:0060255	regulation of macromolecule metabolic process	3.2717501408460275e-29	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	5738	101	90	17376	0.8910891089108911	0.0156849076333217	query_1	['GO:0019222', 'GO:0043170']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
