Branchioskeletogenital syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	5.264955396844823e-43	True	Signaling by NOTCH1 PEST Domain Mutants in Cancer	55	100	26	17376	0.26	0.4727272727272727	query_1	['REAC:R-HSA-2644603']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
11	REAC	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	5.264955396844823e-43	True	Signaling by NOTCH1 in Cancer	55	100	26	17376	0.26	0.4727272727272727	query_1	['REAC:R-HSA-5663202']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
12	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	2.5570168352430775e-42	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1856	100	70	17376	0.7	0.0377155172413793	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
13	GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	4.381130527521168e-42	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1959	100	71	17376	0.71	0.0362429811128126	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CLNS1A', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
14	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	8.472324537242757e-42	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2346	100	75	17376	0.75	0.0319693094629156	query_1	['GO:0006355', 'GO:0006366']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
15	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	1.3949593472102484e-40	True	RNA Polymerase II Transcription	1272	100	60	17376	0.6	0.0471698113207547	query_1	['REAC:R-HSA-74160']	['SMAD1', 'MAML1', 'MAML2', 'RXRA', 'UBE2I', 'NOTCH3', 'TGIF1', 'AKT1', 'CDK8', 'CREBBP', 'CBFB', 'SRC', 'KAT2A', 'FOXO3', 'NR1H2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'RARA', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'SMARCC1', 'SKIL', 'HIPK2', 'CCNC']
16	GO:BP	GO:0006366	transcription by RNA polymerase II	1.4063929411149547e-40	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2443	100	75	17376	0.75	0.0306999590667212	query_1	['GO:0006351']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
17	GO:BP	GO:0009891	positive regulation of biosynthetic process	1.492799590782163e-40	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	1986	100	70	17376	0.7	0.0352467270896273	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
18	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	3.819421001933606e-40	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1931	100	69	17376	0.69	0.0357327809425168	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'CTBP1', 'NOTCH3', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'TBL1X', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'GPS2', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
19	REAC	REAC:R-HSA-1980143	Signaling by NOTCH1	1.2079663708121956e-39	True	Signaling by NOTCH1	70	100	26	17376	0.26	0.3714285714285714	query_1	['REAC:R-HSA-157118']	['MAML1', 'MAML2', 'CDK8', 'CREBBP', 'ADAM10', 'PSEN1', 'KAT2A', 'APH1B', 'HDAC1', 'NCSTN', 'TBL1X', 'NCOR2', 'DLL1', 'PSENEN', 'NOTCH1', 'EP300', 'RBPJ', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'MAML3', 'TBL1XR1', 'HDAC2', 'CCNC']
20	GO:BP	GO:0006355	regulation of DNA-templated transcription	5.581169488069111e-39	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3136	100	80	17376	0.8	0.0255102040816326	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
21	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	5.581169488069111e-39	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	100	80	17376	0.8	0.0254939451880178	query_1	['GO:0097659', 'GO:2001141']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
22	GO:BP	GO:2001141	regulation of RNA biosynthetic process	8.641828769856696e-39	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3159	100	80	17376	0.8	0.0253244697689142	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CBFB', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP']
