Mandibuloacral dysplasia with type A lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	REAC	REAC:R-HSA-9675135	Diseases of DNA repair	2.315755750234653e-50	True	Diseases of DNA repair	50	96	31	10022	0.3229166666666667	0.62	query_1	['REAC:R-HSA-1643685']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'MLH1', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'RAD1', 'RPA3', 'PMS2', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'NEIL1', 'MSH6']
5	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	6.648821941055343e-49	True	HDR through Homologous Recombination (HRR)	68	96	33	10022	0.34375	0.4852941176470588	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'RAD51AP1', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
6	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	1.0117628506301388e-41	True	HDR through Single Strand Annealing (SSA)	37	96	25	10022	0.2604166666666667	0.6756756756756757	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
6	GO:BP	GO:0006260	DNA replication	5.34720767914595e-39	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	100	38	15719	0.38	0.1397058823529411	query_1	['GO:0006259']	['RBBP8', 'RPA4', 'NBN', 'POLD3', 'RAD50', 'LIG3', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'POLA2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'POLE', 'POLD2']
7	GO:BP	GO:0006261	DNA-templated DNA replication	7.397263054355346e-38	True	"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]"	157	100	32	15719	0.32	0.2038216560509554	query_1	['GO:0006260']	['RBBP8', 'RPA4', 'NBN', 'POLD3', 'RAD50', 'LIG3', 'FEN1', 'POLD4', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'POLA2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'POLE2', 'PNKP', 'POLE', 'POLD2']
7	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	7.569529512637782e-38	True	Impaired BRCA2 binding to RAD51	35	96	23	10022	0.2395833333333333	0.6571428571428571	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
8	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	7.764842005707477e-38	True	Diseases of DNA Double-Strand Break Repair	41	96	24	10022	0.25	0.5853658536585366	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	7.764842005707477e-38	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	96	24	10022	0.25	0.5853658536585366	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
10	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	3.6761805827849295e-37	True	Homologous DNA Pairing and Strand Exchange	43	96	24	10022	0.25	0.5581395348837209	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
0	GO:CC	GO:0005694	chromosome	7.486790810226125e-37	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	102	67	16420	0.6568627450980392	0.0364923747276688	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
1	GO:CC	GO:0005654	nucleoplasm	1.574760254797963e-36	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	102	87	16420	0.8529411764705882	0.0217608804402201	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
2	GO:CC	GO:0031981	nuclear lumen	3.796142831567903e-36	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	102	89	16420	0.8725490196078431	0.0204597701149425	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'RPA4', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
11	REAC	REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	5.1807707698963224e-36	True	Presynaptic phase of homologous DNA pairing and strand exchange	40	96	23	10022	0.2395833333333333	0.575	query_1	['REAC:R-HSA-5693579']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
12	REAC	REAC:R-HSA-73933	Resolution of Abasic Sites (AP sites)	2.820574425439709e-35	True	Resolution of Abasic Sites (AP sites)	36	96	22	10022	0.2291666666666666	0.6111111111111112	query_1	['REAC:R-HSA-73884']	['POLD3', 'LIG3', 'FEN1', 'POLD4', 'RPA2', 'OGG1', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'POLE3', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'POLE2', 'PNKP', 'NEIL1', 'POLE', 'POLD2']
8	GO:BP	GO:0010212	response to ionizing radiation	5.5066815031168114e-34	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]"	143	100	29	15719	0.29	0.2027972027972027	query_1	['GO:0009314']	['HUS1', 'RAD9B', 'MSH2', 'TP53BP1', 'DCLRE1C', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'BARD1', 'POLB', 'WRN', 'TP53', 'RNF8']
9	GO:BP	GO:0000725	recombinational repair	2.885942342111483e-33	True	"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]"	171	100	30	15719	0.3	0.175438596491228	query_1	['GO:0006281', 'GO:0006310']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'TP53BP1', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'WRN', 'RMI2', 'RMI1']
5	GO:CC	GO:0070013	intracellular organelle lumen	3.095985584034785e-33	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5424	102	93	16420	0.9117647058823528	0.017146017699115	query_1	['GO:0043229', 'GO:0043233']	['RBBP8', 'HUS1', 'RPA4', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'APOOL', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'IMMT', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
