Dermatosparaxis Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
6	GO:BP	GO:0035556	intracellular signal transduction	2.666980237702357e-25	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	100	65	15719	0.65	0.0255402750491159	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'PIK3R3', 'LITAF', 'CRKL', 'GAB2', 'SHC3', 'DOCK3', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRAP2']
7	GO:BP	GO:0048870	cell motility	4.155829625493009e-25	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	100	54	15719	0.54	0.0335612181479179	query_1	['GO:0009987']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'PTPN23', 'HGF', 'RET', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'GFRA3', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2']
8	GO:BP	GO:0048584	positive regulation of response to stimulus	4.347691636464836e-25	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2113	100	60	15719	0.6	0.0283956460009465	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'BCAR1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'WAS', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'CD247', 'PTK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
9	GO:BP	GO:0007154	cell communication	4.347691636464836e-25	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5768	100	89	15719	0.89	0.0154299583911234	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'STAM2', 'PIK3R6', 'CRK', 'PTPN23', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'GRAP2']
4	REAC	REAC:R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	4.879428541687944e-25	True	Interleukin-3, Interleukin-5 and GM-CSF signaling	47	97	19	10022	0.1958762886597938	0.4042553191489361	query_1	['REAC:R-HSA-449147']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'GAB2', 'BLNK', 'PTPN11', 'CBL']
5	REAC	REAC:R-HSA-186763	Downstream signal transduction	6.913930013944056e-25	True	Downstream signal transduction	26	97	16	10022	0.1649484536082474	0.6153846153846154	query_1	['REAC:R-HSA-186797']	['RAPGEF1', 'NCK1', 'PIK3CB', 'PIK3R2', 'BCAR1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PIK3CA', 'PLCG1', 'CRKL', 'PTPN11', 'NCK2', 'PDGFRA', 'GRB7']
6	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	7.615017140412663e-25	True	Regulation of signaling by CBL	21	97	15	10022	0.1546391752577319	0.7142857142857143	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'CBL']
7	REAC	REAC:R-HSA-114604	GPVI-mediated activation cascade	3.3769804746614545e-24	True	GPVI-mediated activation cascade	35	97	17	10022	0.1752577319587628	0.4857142857142857	query_1	['REAC:R-HSA-76002']	['PIK3R5', 'PIK3CB', 'PIK3R2', 'PIK3CG', 'PIK3R1', 'PIK3R6', 'PLCG2', 'FYN', 'LAT', 'LYN', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'LCK', 'PTPN11']
10	GO:BP	GO:0001775	cell activation	3.893502773441928e-24	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1059	100	45	15719	0.45	0.0424929178470254	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'PIK3R6', 'NCR3', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'LCP2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'GAB2', 'CD247', 'TLN1', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
8	REAC	REAC:R-HSA-6806834	Signaling by MET	4.077464959127416e-24	True	Signaling by MET	75	97	21	10022	0.2164948453608247	0.28	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'HGS', 'PIK3R1', 'STAM2', 'CRK', 'HGF', 'SOS1', 'GAB1', 'STAM', 'PIK3CA', 'USP8', 'SH3KBP1', 'SH3GL2', 'CRKL', 'PTK2', 'PTPN11', 'CBL']
9	REAC	REAC:R-HSA-9006335	Signaling by Erythropoietin	4.436825674702995e-24	True	Signaling by Erythropoietin	23	97	15	10022	0.1546391752577319	0.6521739130434783	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'PIK3R5', 'PIK3CB', 'PIK3CG', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'GAB1', 'PIK3CD', 'LYN', 'PIK3CA', 'VAV1', 'PLCG1', 'CRKL']
10	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	4.436825674702995e-24	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	97	22	10022	0.2268041237113402	0.247191011235955	query_1	['REAC:R-HSA-168249']	['NCK1', 'PIK3CB', 'PIK3R2', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
0	GO:CC	GO:0005886	plasma membrane	5.26088719550478e-24	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4850	100	81	16420	0.81	0.016701030927835	query_1	['GO:0016020', 'GO:0071944']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'NCR3LG1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'RET', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'GRB7', 'GRAP2']
1	GO:CC	GO:0071944	cell periphery	1.3824648588942662e-23	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	100	83	16420	0.83	0.0157286336933863	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'NCR3LG1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'ADAMTS2', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'GRB7', 'GRAP2']
11	REAC	REAC:R-HSA-8853659	RET signaling	1.39582965265913e-23	True	RET signaling	38	97	17	10022	0.1752577319587628	0.4473684210526316	query_1	['REAC:R-HSA-422475']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'RET', 'SHC1', 'SOS1', 'GAB1', 'PIK3CD', 'GFRA3', 'PIK3CA', 'PLCG1', 'PIK3R3', 'GAB2', 'SHC3', 'ARTN', 'PTPN11', 'GRB7']
11	GO:BP	GO:0007155	cell adhesion	6.209102701585664e-23	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	100	49	15719	0.49	0.0347764371894961	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'PIK3R1', 'PIK3R6', 'CRK', 'PTPN23', 'RET', 'SHC1', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'SHB', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'CD3E', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2']
12	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	1.0749315781474396e-22	True	"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	962	100	42	15719	0.42	0.0436590436590436	query_1	['GO:0009967', 'GO:0035556', 'GO:1902531']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'PIK3CA', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'LITAF', 'CRKL', 'PTK2', 'LCK', 'GAREM1', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
