Cockayne syndrome type 2	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	1.124879928704039e-62	True	HDR through Homologous Recombination (HRR)	68	103	36	17376	0.3495145631067961	0.5294117647058824	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'RAD51AP1', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
11	GO:BP	GO:0006310	DNA recombination	1.5970060512252858e-62	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	103	53	17376	0.5145631067961165	0.1661442006269592	query_1	['GO:0006259']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'ERCC6', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'POLB', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'RNF8', 'MSH6']
12	GO:CC	GO:0005654	nucleoplasm	3.856252794171624e-56	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	103	99	17376	0.9611650485436892	0.0248369292523833	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'CUL3', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'CUL4B', 'DDB2', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'DDB1', 'MSH3', 'MDC1', 'OGG1', 'RBX1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'USP24', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'ERCC6', 'APEX1', 'PRIM2', 'EXO1', 'CAND1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'POLA2', 'XRCC1', 'ERCC8', 'KAT5', 'COPS5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'CUL1', 'TP53', 'PNKP', 'NEIL1', 'CUL4A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
13	GO:CC	GO:0031981	nuclear lumen	3.856252794171624e-56	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	103	101	17376	0.9805825242718448	0.0232933579335793	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'CUL3', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'CUL4B', 'DDB2', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'DDB1', 'MSH3', 'MDC1', 'OGG1', 'RBX1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'USP24', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'ERCC6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'CAND1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'ERCC8', 'KAT5', 'COPS5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'CUL1', 'TP53', 'PNKP', 'NEIL1', 'CUL4A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
14	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	6.193110401563294e-55	True	HDR through Single Strand Annealing (SSA)	37	103	28	17376	0.2718446601941747	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
15	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	1.5805693538664741e-50	True	Impaired BRCA2 binding to RAD51	35	103	26	17376	0.2524271844660194	0.7428571428571429	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
16	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	2.7433352747621433e-50	True	Diseases of DNA Double-Strand Break Repair	41	103	27	17376	0.2621359223300971	0.6585365853658537	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
17	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	2.7433352747621433e-50	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	103	27	17376	0.2621359223300971	0.6585365853658537	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
18	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	1.8608576574016414e-49	True	Homologous DNA Pairing and Strand Exchange	43	103	27	17376	0.2621359223300971	0.627906976744186	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
19	GO:BP	GO:0009314	response to radiation	1.3225324998060176e-48	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]"	433	103	49	17376	0.4757281553398058	0.1131639722863741	query_1	['GO:0009628']	['HUS1', 'AKT1', 'CUL4B', 'DDB2', 'XPA', 'RAD9B', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'H2AX', 'DDB1', 'OGG1', 'RBX1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'ERCC6', 'BRCA1', 'ERCC5', 'PRKDC', 'ERCC8', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'TP53', 'PNKP', 'CUL4A', 'RNF8', 'MSH6']
20	REAC	REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3.389879528992133e-48	True	Presynaptic phase of homologous DNA pairing and strand exchange	40	103	26	17376	0.2524271844660194	0.65	query_1	['REAC:R-HSA-5693579']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
21	GO:CC	GO:0005694	chromosome	1.8492082620834288e-47	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1834	103	74	17376	0.7184466019417476	0.0403489640130861	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'RPA4', 'DDB2', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'DDB1', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'ERCC6', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'COPS5', 'POLD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
22	GO:CC	GO:0070013	intracellular organelle lumen	3.340785600136252e-47	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5406	103	101	17376	0.9805825242718448	0.0186829448760636	query_1	['GO:0043229', 'GO:0043233']	['RBBP8', 'CUL3', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'CUL4B', 'DDB2', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'DDB1', 'MSH3', 'MDC1', 'OGG1', 'RBX1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'USP24', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'ERCC6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'CAND1', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'ERCC8', 'KAT5', 'COPS5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'CUL1', 'TP53', 'PNKP', 'NEIL1', 'CUL4A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
