KID syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0009605	response to external stimulus	3.163524658767872e-31	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2654	102	70	17376	0.6862745098039216	0.0263752825923134	query_1	['GO:0050896']	['MET', 'GJB6', 'C3', 'ITGA9', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'HFE', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'TNC', 'NRP2', 'CXCR4', 'VKORC1', 'APOA1', 'TF', 'PIK3CA', 'KDR', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'CERS2', 'PTK2B', 'IGHM', 'VEGFA', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
11	GO:BP	GO:0040011	locomotion	2.4635490515342647e-29	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1283	102	52	17376	0.5098039215686274	0.0405300077942322	query_1	['GO:0008150']	['MET', 'ITGB1', 'ITGA9', 'PIK3CB', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'ITGA4', 'CXCL12', 'LYN', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'CERS2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
12	REAC	REAC:R-HSA-162582	Signal Transduction	9.868665654505207e-29	True	Signal Transduction	2436	102	65	17376	0.6372549019607843	0.0266830870279146	query_1	['REAC:0000000']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ITGB5', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'CXCL12', 'LYN', 'NRP2', 'CXCR4', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'TLN1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
13	GO:BP	GO:0030155	regulation of cell adhesion	5.081834513477172e-28	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	102	42	17376	0.4117647058823529	0.0557768924302788	query_1	['GO:0007155', 'GO:0050794']	['PIK3CB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'TFRC', 'ITGA5', 'HFE', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'TNC', 'CXCR4', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'PTPN11', 'SEMA4D', 'PLXNA1']
14	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	7.382867619251918e-28	True	Regulation of signaling by CBL	21	102	15	17376	0.1470588235294117	0.7142857142857143	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'CBL']
15	GO:BP	GO:0007160	cell-matrix adhesion	1.69205601716836e-27	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	219	102	28	17376	0.2745098039215686	0.1278538812785388	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'KDR', 'FGB', 'VCL', 'FGG', 'PTK2B', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1']
16	GO:BP	GO:0006950	response to stress	1.7491265835419156e-27	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3769	102	76	17376	0.7450980392156863	0.0201644998673388	query_1	['GO:0050896']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'PXN', 'FYN', 'LAT', 'ZAP70', 'CXCL12', 'CERS6', 'LYN', 'GJB2', 'GRB2', 'TNC', 'CXCR4', 'VKORC1', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'CERS2', 'PTK2B', 'IGHM', 'VEGFA', 'SERPINA1', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'BLNK', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'CR2', 'PGF', 'HPR']
17	GO:BP	GO:0007154	cell communication	2.5027317742256423e-27	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5766	102	89	17376	0.8725490196078431	0.0154353104405133	query_1	['GO:0009987']	['MET', 'GJB6', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'LCP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'KDR', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
18	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	2.7845449851487848e-27	True	"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	962	102	45	17376	0.4411764705882353	0.0467775467775467	query_1	['GO:0009967', 'GO:0035556', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1']
19	GO:CC	GO:0071944	cell periphery	4.265568899359537e-27	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5270	102	86	17376	0.8431372549019608	0.0163187855787476	query_1	['GO:0110165']	['MET', 'GJB6', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ADRA1A', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'KCNK1', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'LCP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'SH3GL2', 'SERPINA1', 'CRKL', 'ABCC1', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'CBL', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PLXNA1']
20	REAC	REAC:R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	5.6685476547890836e-27	True	Interleukin-3, Interleukin-5 and GM-CSF signaling	47	102	18	17376	0.1764705882352941	0.3829787234042553	query_1	['REAC:R-HSA-449147']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'CBL', 'PTPN11']
21	GO:BP	GO:0023052	signaling	6.2897832653590714e-27	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	5661	102	88	17376	0.8627450980392157	0.0155449567214273	query_1	['GO:0050789']	['MET', 'GJB6', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'LCP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'KDR', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
22	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	7.088225772922816e-27	True	Diseases of signal transduction by growth factor receptors and second messengers	410	102	33	17376	0.3235294117647059	0.0804878048780487	query_1	['REAC:R-HSA-1643685']	['MET', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'FYN', 'LYN', 'GRB2', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'PLCG1', 'FGG', 'ERBB2', 'PIK3R3', 'TLN1', 'LCK', 'CD19', 'CBL', 'PTPN11', 'PDGFRA']
23	REAC	REAC:R-HSA-194138	Signaling by VEGF	7.27421568781266e-27	True	Signaling by VEGF	104	102	22	17376	0.2156862745098039	0.2115384615384615	query_1	['REAC:R-HSA-9006934']	['PIK3CB', 'VEGFB', 'ITGAV', 'PIK3R2', 'BCAR1', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'PXN', 'FYN', 'NRP2', 'PIK3CA', 'KDR', 'VAV1', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'FLT1', 'PGF']
24	GO:BP	GO:0002376	immune system process	7.397541707634804e-27	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2399	102	63	17376	0.6176470588235294	0.0262609420591913	query_1	['GO:0008150']	['RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'HFE', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'CXCL12', 'MS4A1', 'LYN', 'GRB2', 'LCP2', 'CXCR4', 'APOA1', 'TF', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'CD19', 'BLNK', 'CBL', 'PTPN11', 'ACKR3', 'HPX', 'SEMA4D', 'FLT1', 'CR2', 'PGF']
