Hoyeraal-Hreidarsson syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1	REAC	REAC:R-HSA-5693532	DNA Double-Strand Break Repair	6.486508414413929e-49	True	DNA Double-Strand Break Repair	168	100	43	10022	0.43	0.2559523809523809	query_1	['REAC:R-HSA-73894']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'RAD51AP1', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53', 'RNF8']
8	GO:BP	GO:0006302	double-strand break repair	6.257715117900069e-48	True	"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]"	296	104	45	15719	0.4326923076923077	0.152027027027027	query_1	['GO:0006281']	['RBBP8', 'HUS1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'POT1', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'DCLRE1B', 'HUS1B', 'BRCA1', 'PRKDC', 'XRCC1', 'RTEL1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'RNF8']
9	GO:BP	GO:0033554	cellular response to stress	2.9211506188648594e-46	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1891	104	77	15719	0.7403846153846154	0.0407191961924907	query_1	['GO:0006950', 'GO:0051716']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'TERT', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
2	REAC	REAC:R-HSA-9675135	Diseases of DNA repair	1.0721118868313132e-44	True	Diseases of DNA repair	50	100	29	10022	0.29	0.58	query_1	['REAC:R-HSA-1643685']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'MLH1', 'RPA2', 'MSH3', 'BRCA2', 'RAD1', 'RPA3', 'PMS2', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'NEIL1', 'MSH6']
10	GO:BP	GO:0010833	telomere maintenance via telomere lengthening	2.0524720125680377e-43	True	"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins and lengthening the telomeric DNA."" [GOC:dph, GOC:tb]"	82	104	30	15719	0.2884615384615384	0.3658536585365853	query_1	['GO:0000723']	['ACD', 'RAD50', 'TERF2', 'TERF2IP', 'CTNNB1', 'NHP2', 'DCP2', 'TERF1', 'TINF2', 'GAR1', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'DCLRE1B', 'SMG6', 'RTEL1', 'NOP10', 'TNKS', 'WRAP53', 'PNKP', 'PIF1']
11	GO:BP	GO:0051054	positive regulation of DNA metabolic process	9.562696085663655e-43	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	302	104	42	15719	0.4038461538461538	0.1390728476821192	query_1	['GO:0006259', 'GO:0010604', 'GO:0045935', 'GO:0051052']	['RBBP8', 'ACD', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'RAD51AP1', 'WDR48', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'APLF', 'MLH1', 'H2AX', 'TERF1', 'TINF2', 'PCNA', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'USP7', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'TNKS', 'WRAP53', 'PNKP', 'RNF8']
1	GO:CC	GO:0005694	chromosome	2.4508778372075798e-42	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	104	72	16420	0.6923076923076923	0.0392156862745098	query_1	['GO:0043232']	['RBBP8', 'HUS1', 'ACD', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'XRCC6', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'NHP2', 'RPA2', 'MDC1', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'POT1', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'WRN', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
2	GO:CC	GO:0098687	chromosomal region	5.746887290725942e-42	True	"""Any subdivision of a chromosome along its length."" [GOC:dos]"	393	104	44	16420	0.4230769230769231	0.1119592875318066	query_1	['GO:0005694', 'GO:0110165']	['ACD', 'NBN', 'MSH2', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'RAD51AP1', 'XRCC6', 'TERF2IP', 'LIG4', 'FEN1', 'H2AX', 'NHP2', 'RPA2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'TERT', 'TNKS2', 'POT1', 'PARP1', 'DAXX', 'XRCC5', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'DCLRE1B', 'SMG6', 'APEX1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'WRN', 'TNKS', 'WRAP53', 'PIF1', 'RNF8']
3	GO:CC	GO:0005654	nucleoplasm	8.678537265953462e-42	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	104	92	16420	0.8846153846153846	0.0230115057528764	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
4	GO:CC	GO:0031981	nuclear lumen	2.3633410725195884e-41	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	104	94	16420	0.903846153846154	0.0216091954022988	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
3	REAC	REAC:R-HSA-5693538	Homology Directed Repair	5.0176513233249146e-39	True	Homology Directed Repair	138	100	35	10022	0.35	0.2536231884057971	query_1	['REAC:R-HSA-5693532']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'RAD51AP1', 'LIG3', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'RNF8']
12	GO:BP	GO:0071897	DNA biosynthetic process	6.535132207349034e-39	True	"""The biosynthetic process resulting in the formation of DNA."" [GOC:mah]"	196	104	35	15719	0.3365384615384615	0.1785714285714285	query_1	['GO:0006259', 'GO:0009059', 'GO:0034654']	['ACD', 'USP1', 'RAD50', 'TERF2', 'LIG3', 'TERF2IP', 'LIG4', 'CTNNB1', 'NHP2', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'GAR1', 'PCNA', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'NAF1', 'SMG6', 'POLD1', 'POLB', 'WRN', 'NOP10', 'TNKS', 'TP53', 'WRAP53', 'PNKP', 'PIF1']
4	REAC	REAC:R-HSA-180786	Extension of Telomeres	5.877518047518314e-38	True	Extension of Telomeres	51	100	26	10022	0.26	0.5098039215686274	query_1	['REAC:R-HSA-157579']	['ACD', 'TERF2', 'TERF2IP', 'FEN1', 'SHQ1', 'NHP2', 'RPA2', 'LIG1', 'TERF1', 'TINF2', 'GAR1', 'PCNA', 'RPA3', 'TERT', 'DKC1', 'POT1', 'RPA1', 'BLM', 'CDK2', 'POLA2', 'RTEL1', 'POLD1', 'WRN', 'NOP10', 'WRAP53', 'PIF1']
13	GO:BP	GO:0007004	telomere maintenance via telomerase	9.318183384832856e-38	True	"""The maintenance of proper telomeric length by the addition of telomeric repeats by telomerase."" [GOC:elh]"	69	104	26	15719	0.25	0.3768115942028985	query_1	['GO:0006278', 'GO:0010833']	['ACD', 'RAD50', 'TERF2', 'TERF2IP', 'CTNNB1', 'NHP2', 'DCP2', 'TERF1', 'TINF2', 'GAR1', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'NAF1', 'SMG6', 'NOP10', 'TNKS', 'WRAP53', 'PNKP', 'PIF1']
14	GO:BP	GO:0006278	RNA-templated DNA biosynthetic process	1.3769710733609113e-37	True	"""A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand."" [GOC:mah, ISBN:0198506732]"	70	104	26	15719	0.25	0.3714285714285714	query_1	['GO:0071897']	['ACD', 'RAD50', 'TERF2', 'TERF2IP', 'CTNNB1', 'NHP2', 'DCP2', 'TERF1', 'TINF2', 'GAR1', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'XRCC5', 'RPA1', 'ATM', 'MRE11', 'NAF1', 'SMG6', 'NOP10', 'TNKS', 'WRAP53', 'PNKP', 'PIF1']
