Hutchinson-Gilford progeria syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	4.128642479579298e-58	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	94	44	10022	0.4680851063829787	0.3333333333333333	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
5	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	5.754388286765162e-56	True	HDR through Homologous Recombination (HRR)	68	94	36	10022	0.3829787234042553	0.5294117647058824	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'RAD51AP1', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
6	GO:BP	GO:0006260	DNA replication	9.537382883371748e-56	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	101	48	15719	0.4752475247524752	0.1764705882352941	query_1	['GO:0006259']	['RBBP8', 'MCM6', 'RPA4', 'NBN', 'MCM5', 'POLD3', 'RAD50', 'MCM7', 'LIG3', 'ZMPSTE24', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'MCM4', 'PRIM2', 'BRCA1', 'CDK2', 'MCM2', 'CHRAC1', 'POLA2', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'POLE', 'POLD2']
7	GO:BP	GO:0006261	DNA-templated DNA replication	1.9927872331614203e-54	True	"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]"	157	101	41	15719	0.4059405940594059	0.2611464968152866	query_1	['GO:0006260']	['RBBP8', 'MCM6', 'RPA4', 'NBN', 'MCM5', 'POLD3', 'RAD50', 'MCM7', 'LIG3', 'ZMPSTE24', 'FEN1', 'POLD4', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'MCM10', 'ATR', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'MCM4', 'PRIM2', 'BRCA1', 'CDK2', 'MCM2', 'POLA2', 'POLD1', 'POLB', 'BARD1', 'WRN', 'POLE2', 'MCM3', 'PNKP', 'POLE', 'POLD2']
0	GO:CC	GO:0005694	chromosome	1.1056720254814185e-52	True	"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]"	1836	102	79	16420	0.7745098039215687	0.0430283224400871	query_1	['GO:0043232']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'AR', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6', 'CDX1']
6	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	1.1748758200991245e-49	True	HDR through Single Strand Annealing (SSA)	37	94	28	10022	0.2978723404255319	0.7567567567567568	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
1	GO:CC	GO:0031981	nuclear lumen	1.3159688193903305e-49	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	102	98	16420	0.9607843137254902	0.0225287356321839	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
2	GO:CC	GO:0005654	nucleoplasm	1.3159688193903305e-49	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	102	96	16420	0.9411764705882352	0.0240120060030015	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
3	GO:CC	GO:0000228	nuclear chromosome	1.5268730000262055e-46	True	"""A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."" [GOC:dph, GOC:mah]"	228	102	40	16420	0.392156862745098	0.175438596491228	query_1	['GO:0005694', 'GO:0031981']	['MCM6', 'HUS1', 'RPA4', 'RAD9B', 'XPA', 'MCM5', 'POLD3', 'RAD50', 'MCM7', 'MLH1', 'POLD4', 'H2AX', 'RPA2', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'MCM10', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'RAD9A', 'POLE3', 'RAD51', 'MCM4', 'PRIM2', 'HUS1B', 'BRCA1', 'MCM2', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLE2', 'MCM3', 'POLE', 'POLD2']
8	GO:BP	GO:0051052	regulation of DNA metabolic process	2.263075890297971e-46	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	517	101	51	15719	0.504950495049505	0.0986460348162475	query_1	['GO:0006259', 'GO:0019219', 'GO:0060255']	['RBBP8', 'MCM6', 'LMNA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'MCM7', 'RAD52', 'RAD51AP1', 'LIG3', 'WDR48', 'ZMPSTE24', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'PCNA', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'MCM4', 'PRIM2', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'MCM3', 'TP53', 'PNKP', 'RNF8', 'MSH6']
7	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	1.2774862566813553e-45	True	Impaired BRCA2 binding to RAD51	35	94	26	10022	0.2765957446808511	0.7428571428571429	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	GO:BP	GO:0000725	recombinational repair	2.503931681943041e-45	True	"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]"	171	101	37	15719	0.3663366336633663	0.2163742690058479	query_1	['GO:0006281', 'GO:0006310']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'NBN', 'MCM5', 'TP53BP1', 'MCM7', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'HUS1B', 'BRCA1', 'MCM2', 'XRCC1', 'KAT5', 'WRN', 'RMI2', 'RMI1', 'MCM3']
8	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	3.3617245320627464e-45	True	Diseases of DNA Double-Strand Break Repair	41	94	27	10022	0.2872340425531915	0.6585365853658537	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	3.3617245320627464e-45	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	94	27	10022	0.2872340425531915	0.6585365853658537	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
