Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1	GO:BP	GO:0000082	G1/S transition of mitotic cell cycle	4.314444110027607e-36	True	"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]"	227	100	35	15719	0.35	0.1541850220264317	query_1	['GO:0044772', 'GO:0044843']	['CDKN2B', 'AKT1', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
2	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	3.687544786532688e-35	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3145	100	80	15719	0.8	0.0254372019077901	query_1	['GO:0097659', 'GO:2001141']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
3	GO:BP	GO:0006355	regulation of DNA-templated transcription	3.687544786532688e-35	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3143	100	80	15719	0.8	0.0254533884823417	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
4	GO:BP	GO:2001141	regulation of RNA biosynthetic process	4.894389314114992e-35	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3166	100	80	15719	0.8	0.0252684775742261	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
5	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	5.377496880663835e-35	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2347	100	72	15719	0.72	0.0306774605879846	query_1	['GO:0006355', 'GO:0006366']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SERTAD1', 'CBFB', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'FOXH1', 'CDK4', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
6	GO:BP	GO:0044772	mitotic cell cycle phase transition	1.6489076762841962e-34	True	"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]"	448	100	41	15719	0.41	0.0915178571428571	query_1	['GO:0044770', 'GO:1903047']	['CDKN2B', 'AKT1', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SMARCB1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'SMARCC2', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'SMARCC1', 'CDK6', 'CCND1']
8	GO:BP	GO:0006351	DNA-templated transcription	2.883733329652004e-34	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3265	100	80	15719	0.8	0.0245022970903522	query_1	['GO:0097659']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
7	GO:BP	GO:0097659	nucleic acid-templated transcription	2.883733329652004e-34	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3266	100	80	15719	0.8	0.024494794856093	query_1	['GO:0010467', 'GO:0032774']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
3	GO:CC	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	3.6325994839347362e-34	True	"""Cyclin-dependent protein kinases (CDKs) are enzyme complexes that contain a kinase catalytic subunit associated with a regulatory cyclin partner."" [GOC:krc, PMID:11602261]"	52	101	22	16420	0.2178217821782178	0.4230769230769231	query_1	['GO:1902554']	['CKS1B', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDK1', 'SNW1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1', 'CCNC']
9	GO:BP	GO:0006366	transcription by RNA polymerase II	5.471822931512193e-34	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2450	100	72	15719	0.72	0.0293877551020408	query_1	['GO:0006351']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SERTAD1', 'CBFB', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'E2F6', 'RUNX1', 'POU3F1', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'FOXH1', 'CDK4', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
10	GO:BP	GO:0032774	RNA biosynthetic process	5.471822931512193e-34	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3299	100	80	15719	0.8	0.0242497726583813	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
12	GO:BP	GO:0051252	regulation of RNA metabolic process	8.143080555524195e-34	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	3448	100	81	15719	0.81	0.023491879350348	query_1	['GO:0016070', 'GO:0019219', 'GO:0060255']	['REST', 'MAML1', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'CKS1B', 'SERTAD1', 'CBFB', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'TBX5', 'SIN3A', 'EGR2', 'SOX10', 'TEAD2', 'E2F5', 'CCNA2', 'MAGEB2', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'CHD4', 'SMAD4', 'NOTCH1', 'VGLL4', 'E2F6', 'RUNX1', 'POU3F1', 'NAB2', 'EP300', 'RBPJ', 'TEAD1', 'TEAD4', 'E2F1', 'PRMT5', 'NOTCH2', 'MNAT1', 'POU3F2', 'SMARCC2', 'CDKN2A', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'TEAD3', 'TBP', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'NAB1', 'FOXH1', 'CDK4', 'CDKN1B', 'CLNS1A', 'EGR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'SMARCC1', 'CDK6', 'CCND1', 'CCNC']
