Acquired partial lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
9	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	1.4323894496107968e-34	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	100	45	15719	0.45	0.0743801652892562	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'NRP2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
10	GO:BP	GO:0031589	cell-substrate adhesion	1.932124870824659e-33	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	345	100	37	15719	0.37	0.1072463768115942	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'FBLN5', 'FBLN2', 'JAM3', 'ITGAE', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ITGA2']
11	GO:BP	GO:0007229	integrin-mediated signaling pathway	1.932124870824659e-33	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	100	27	15719	0.27	0.2389380530973451	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'ITGA2']
12	GO:BP	GO:0030335	positive regulation of cell migration	2.5672573029115067e-32	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	100	41	15719	0.41	0.0797665369649805	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
13	GO:BP	GO:0030334	regulation of cell migration	3.03144861720966e-32	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	886	100	49	15719	0.49	0.0553047404063205	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
1	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	5.821569609358553e-32	True	Signaling by Receptor Tyrosine Kinases	495	98	46	10022	0.4693877551020408	0.0929292929292929	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'MEMO1', 'LYN', 'NRP2', 'EGFR', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3KBP1', 'SH3GL2', 'ADAM12', 'CRKL', 'VEGFD', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
14	GO:BP	GO:0009653	anatomical structure morphogenesis	6.19904136153185e-32	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2539	100	71	15719	0.71	0.0279637652619141	query_1	['GO:0032502', 'GO:0048856']	['MET', 'ITGB1', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'SH3PXD2A', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'FBN1', 'KDR', 'VCL', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'SH3GL2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'ELN', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
2	REAC	REAC:R-HSA-1566948	Elastic fibre formation	8.109743116684198e-32	True	Elastic fibre formation	43	98	22	10022	0.2244897959183673	0.5116279069767442	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'LOX', 'ITGA5', 'FBLN5', 'MFAP3', 'FBLN2', 'LOXL1', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'EMILIN1', 'ELN', 'MFAP4']
15	GO:BP	GO:2000147	positive regulation of cell motility	9.128416043118592e-32	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	100	41	15719	0.41	0.0769230769230769	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
16	GO:BP	GO:0040017	positive regulation of locomotion	2.850054869643581e-31	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	100	41	15719	0.41	0.0746812386156648	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
17	GO:BP	GO:2000145	regulation of cell motility	3.492706280815169e-31	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	938	100	49	15719	0.49	0.0522388059701492	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
0	GO:CC	GO:0071944	cell periphery	2.2755472458823643e-30	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	101	90	16420	0.8910891089108911	0.0170551449687322	query_1	['GO:0110165']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'MFAP3', 'TGFB1', 'NRP2', 'LCP2', 'FBLN2', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'SH3GL2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELN', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PLXNA1', 'MFAP4']
18	GO:BP	GO:0040012	regulation of locomotion	2.8563155247878967e-30	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	982	100	49	15719	0.49	0.0498981670061099	query_1	['GO:0040011', 'GO:0050789']	['MET', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'FLT4', 'TGFBR2', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'KDR', 'VCL', 'PLCG1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
19	GO:BP	GO:0033627	cell adhesion mediated by integrin	9.738575359229386e-30	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	100	23	15719	0.23	0.2705882352941176	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'JAM3', 'FBN1', 'ITGAE', 'SYK', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'EMILIN1', 'ITGB7', 'ITGA3', 'PTPN11', 'ITGA2']
20	GO:BP	GO:0009719	response to endogenous stimulus	1.7376426343397718e-29	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	100	58	15719	0.58	0.0357142857142857	query_1	['GO:0050896']	['RAPGEF1', 'ITGB1', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
3	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	2.0428284424052426e-29	True	Integrin cell surface interactions	83	98	25	10022	0.2551020408163265	0.3012048192771084	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'TNC', 'JAM3', 'FBN1', 'ITGAE', 'KDR', 'CDH1', 'AGRN', 'VTN', 'VCAM1', 'ITGB6', 'THBS1', 'ITGB7', 'ITGA3', 'JAM2', 'ITGA2']
4	REAC	REAC:R-HSA-2129379	Molecules associated with elastic fibres	8.60009552861419e-28	True	Molecules associated with elastic fibres	36	98	19	10022	0.1938775510204081	0.5277777777777778	query_1	['REAC:R-HSA-1566948']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'FBLN5', 'MFAP3', 'FBLN2', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'VTN', 'ITGB6', 'EMILIN1', 'ELN', 'MFAP4']
