SHORT syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	5.6973948412483534e-30	True	Diseases of signal transduction by growth factor receptors and second messengers	410	99	35	17376	0.3535353535353535	0.0853658536585365	query_1	['REAC:R-HSA-1643685']	['MET', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'FGFR2', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'PIK3AP1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'SQSTM1', 'FYN', 'LYN', 'GRB2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'ERBB2', 'PIK3R3', 'TLN1', 'TGFBR1', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
11	REAC	REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	5.6973948412483534e-30	True	VEGFA-VEGFR2 Pathway	94	99	23	17376	0.2323232323232323	0.2446808510638297	query_1	['REAC:R-HSA-194138']	['NCK1', 'PIK3CB', 'ITGAV', 'PIK3R2', 'BCAR1', 'DOCK1', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'PXN', 'FYN', 'SHB', 'PIK3CA', 'KDR', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'PRKCZ', 'ELMO1', 'NCK2', 'ELMO2']
12	REAC	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	9.016123847641597e-30	True	Platelet activation, signaling and aggregation	252	99	30	17376	0.303030303030303	0.119047619047619	query_1	['REAC:R-HSA-109582']	['PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'ITGA2B', 'FYN', 'LAT', 'LYN', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'VEGFA', 'PIK3R3', 'TLN1', 'PTK2', 'LCK', 'PRKCZ', 'PTPN11']
13	GO:BP	GO:0006468	protein phosphorylation	2.786721696272023e-29	True	"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	1479	99	54	17376	0.5454545454545454	0.0365111561866125	query_1	['GO:0016310', 'GO:0036211']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PKN3', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
14	GO:BP	GO:0007155	cell adhesion	2.786721696272023e-29	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1407	99	53	17376	0.5353535353535354	0.0376687988628287	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'DOCK8', 'FYN', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
15	GO:BP	GO:0071363	cellular response to growth factor stimulus	5.354439808192408e-29	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	637	99	40	17376	0.404040404040404	0.0627943485086342	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
16	REAC	REAC:R-HSA-1643685	Disease	6.802507623918576e-29	True	Disease	1725	99	56	17376	0.5656565656565656	0.032463768115942	query_1	['REAC:0000000']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'FGFR2', 'ITGB3', 'PIK3R1', 'WIPF3', 'CRK', 'HGF', 'SHC1', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'WIPF1', 'ITGA2B', 'SQSTM1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'TRAF6', 'TLN1', 'TGFBR1', 'PTK2', 'DOCK2', 'LCK', 'BLNK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'PDGFRA', 'ELMO2']
17	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	7.066654805331753e-29	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	99	22	17376	0.2222222222222222	0.247191011235955	query_1	['REAC:R-HSA-168249']	['NCK1', 'PIK3CB', 'PIK3R2', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
18	GO:BP	GO:0016310	phosphorylation	1.6952718637960515e-28	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1701	99	56	17376	0.5656565656565656	0.0329218106995884	query_1	['GO:0006796']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PKN3', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
19	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	2.307395991802959e-28	True	Regulation of signaling by CBL	21	99	15	17376	0.1515151515151515	0.7142857142857143	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'CBL']
20	GO:BP	GO:0070848	response to growth factor	2.487537621478125e-28	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	666	99	40	17376	0.404040404040404	0.06006006006006	query_1	['GO:0009719']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
21	GO:BP	GO:0042325	regulation of phosphorylation	3.0031522393734e-28	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]"	1133	99	48	17376	0.4848484848484848	0.0423654015887025	query_1	['GO:0016310', 'GO:0019220']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
22	GO:BP	GO:0007165	signal transduction	3.5316484621334606e-28	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5250	99	85	17376	0.8585858585858586	0.0161904761904761	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'DOCK8', 'FYN', 'PRKCI', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'NYAP2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'PLEKHH3', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'PKN3', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
23	GO:BP	GO:0030335	positive regulation of cell migration	1.7293058283119706e-27	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	99	36	17376	0.3636363636363636	0.0700389105058365	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['RHOJ', 'MET', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'PIK3CD', 'ITGA5', 'DOCK8', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
24	REAC	REAC:R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	1.7439749771961624e-27	True	Interleukin-3, Interleukin-5 and GM-CSF signaling	47	99	18	17376	0.1818181818181818	0.3829787234042553	query_1	['REAC:R-HSA-449147']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'PIK3R3', 'CRKL', 'BLNK', 'PTPN11', 'CBL']
25	GO:BP	GO:0001775	cell activation	2.7468262938025208e-27	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1063	99	46	17376	0.4646464646464646	0.0432737535277516	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'DOCK8', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'TRAF6', 'TLN1', 'TGFBR1', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
26	REAC	REAC:R-HSA-168256	Immune System	2.9306625912686e-27	True	Immune System	1957	99	57	17376	0.5757575757575758	0.029126213592233	query_1	['REAC:0000000']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'SMAD7', 'PIK3R1', 'WIPF3', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'PIK3CD', 'WIPF1', 'SQSTM1', 'WIPF2', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'PTK2', 'DOCK2', 'LCK', 'BLNK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'ELMO2']
