Laron syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:BP	GO:0036211	protein modification process	1.8410804592088948e-25	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3617	99	67	21110	0.6767676767676768	0.0185236383743433	query_1	['GO:0019538', 'GO:0043412']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'EGLN1', 'VHL', 'BCKDK', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'PRLR']
11	GO:BP	GO:0043412	macromolecule modification	7.196451410783395e-25	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3840	99	68	21110	0.6868686868686869	0.0177083333333333	query_1	['GO:0043170']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'EGLN1', 'VHL', 'BCKDK', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'NSUN6', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'PRLR']
12	REAC	REAC:R-HSA-75893	TNF signaling	9.773775102512775e-25	True	TNF signaling	42	91	18	10790	0.1978021978021978	0.4285714285714285	query_1	['REAC:R-HSA-73887']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'RIPK1', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'BIRC2', 'CASP8']
13	KEGG	KEGG:04064	NF-kappa B signaling pathway	1.2564549238275479e-24	True	NF-kappa B signaling pathway	102	88	24	8161	0.2727272727272727	0.2352941176470588	query_1	['KEGG:00000']	['MAP3K14', 'TRAF3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TNF', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'NFKB2', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'RELB', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10']
14	REAC	REAC:R-HSA-73887	Death Receptor Signaling	2.363167570677344e-24	True	Death Receptor Signaling	140	91	25	10790	0.2747252747252747	0.1785714285714285	query_1	['REAC:R-HSA-162582']	['SHARPIN', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8']
15	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	4.149884549301772e-24	True	Toll Like Receptor 4 (TLR4) Cascade	143	91	25	10790	0.2747252747252747	0.1748251748251748	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
16	REAC	REAC:R-HSA-5357956	TNFR1-induced NFkappaB signaling pathway	8.947221633400749e-24	True	TNFR1-induced NFkappaB signaling pathway	30	91	16	10790	0.1758241758241758	0.5333333333333333	query_1	['REAC:R-HSA-75893']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'RIPK1', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'BIRC2']
17	KEGG	KEGG:04668	TNF signaling pathway	1.838851260934819e-23	True	TNF signaling pathway	113	88	24	8161	0.2727272727272727	0.2123893805309734	query_1	['KEGG:00000']	['MAP3K8', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TNF', 'FAS', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'BIRC2', 'NFKBIA', 'CASP8']
18	GO:CC	GO:0005737	cytoplasm	2.4867362644775566e-23	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	12365	99	99	22122	1.0	0.0080064698746461	query_1	['GO:0005622', 'GO:0110165']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'DLST', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'PDHA2', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'DBT', 'TNF', 'RNF31', 'FAS', 'FADD', 'SIL1', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'TRADD', 'FLYWCH1', 'SOCS2', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'AHR', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'NSUN6', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'ABHD6', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'STAT5B', 'BCKDHA', 'PRLR']
19	GO:BP	GO:0009966	regulation of signal transduction	3.5792244236721363e-23	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	3003	99	60	21110	0.6060606060606061	0.0199800199800199	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['SNX6', 'SHARPIN', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIB', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'ARNT', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'REL', 'TRAF6', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'ABHD6', 'FBXW7', 'UBA5', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'PRLR']
20	GO:BP	GO:0071310	cellular response to organic substance	6.315967349333728e-23	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	2019	99	51	21110	0.5151515151515151	0.025260029717682	query_1	['GO:0010033', 'GO:0070887']	['SNX6', 'SHARPIN', 'PDK4', 'GSK3B', 'CDK5RAP3', 'NFKBIB', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'OS9', 'DDRGK1', 'UFL1', 'METTL21C', 'BTRC', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'PDK3', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'AHR', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'STAT5A', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'UBA5', 'BCL10', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
21	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	1.7818366670338217e-22	True	Toll-like Receptor Cascades	165	91	25	10790	0.2747252747252747	0.1515151515151515	query_1	['REAC:R-HSA-168249']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
22	WP	WP:WP254	Apoptosis	3.0898473965147457e-22	True	Apoptosis	87	80	21	8133	0.2625	0.2413793103448276	query_1	['WP:000000']	['NFKBIE', 'NFKBIB', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'FAS', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IKBKG', 'BIRC3', 'TRAF2', 'BIRC2', 'NFKBIA', 'CASP8']
23	REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	3.4728519243084796e-22	True	Cytokine Signaling in Immune system	714	91	41	10790	0.4505494505494505	0.057422969187675	query_1	['REAC:R-HSA-168256']	['MAP3K8', 'NFKBIB', 'MAP3K14', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'RBX1', 'BTRC', 'TNF', 'NFKB1', 'TNIP2', 'GH2', 'HIF1A', 'SKP1', 'ELOC', 'SOCS2', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'CUL5', 'NFKBIA', 'CASP8', 'CUL1', 'PRL', 'STAT5B', 'PRLR']
24	GO:BP	GO:0009967	positive regulation of signal transduction	5.6104634278283e-22	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]"	1538	99	45	21110	0.4545454545454545	0.0292587776332899	query_1	['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']	['SHARPIN', 'CDK5RAP3', 'CREBBP', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'EP300', 'ARNT', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'REL', 'TRAF6', 'BIRC2', 'SKP2', 'CASP8', 'FBXW7', 'BCL10', 'PRL', 'CSH2', 'PRLR']
25	GO:BP	GO:0019538	protein metabolic process	6.823109625286975e-22	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	5449	99	75	21110	0.7575757575757576	0.0137639933932831	query_1	['GO:0043170', 'GO:0044238', 'GO:1901564']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'EGLN1', 'VHL', 'BCKDK', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'PRLR']
26	GO:BP	GO:0008219	cell death	7.44843465486691e-22	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2129	99	51	21110	0.5151515151515151	0.0239549084077031	query_1	['GO:0009987']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'GSK3B', 'CDK5RAP3', 'TRAF3', 'CASP10', 'HSP90AB1', 'TNFRSF1A', 'RELA', 'DDRGK1', 'UFL1', 'METTL21C', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'PDK1', 'AHR', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'BIRC2', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'BCL10', 'UFM1', 'STAT5B', 'PRLR']
27	GO:BP	GO:0012501	programmed cell death	1.6938336921515993e-21	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1961	99	49	21110	0.494949494949495	0.0249872514023457	query_1	['GO:0008219']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'GSK3B', 'CDK5RAP3', 'TRAF3', 'CASP10', 'HSP90AB1', 'TNFRSF1A', 'RELA', 'DDRGK1', 'UFL1', 'METTL21C', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'PDK1', 'AHR', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'BCL10', 'UFM1', 'STAT5B', 'PRLR']
28	GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	3.0136876207498946e-21	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	3131	99	59	21110	0.5959595959595959	0.0188438198658575	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']	['EGLN3', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIB', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'DDRGK1', 'RBX1', 'RBCK1', 'BTRC', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'SKP2', 'CASP8', 'FBXW7', 'BCL10', 'PRL', 'CSH2', 'STAT5B', 'PRLR']
