Classical Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
5	GO:BP	GO:0031589	cell-substrate adhesion	3.895986347667431e-30	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	345	101	35	15719	0.3465346534653465	0.1014492753623188	query_1	['GO:0007155']	['P4HB', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ITGA2']
5	REAC	REAC:R-HSA-3000178	ECM proteoglycans	8.622527405061314e-30	True	ECM proteoglycans	73	95	24	10022	0.2526315789473684	0.3287671232876712	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGA9', 'COL4A3', 'ITGB5', 'FN1', 'ITGAV', 'COL5A2', 'ITGB3', 'TGFB3', 'COL2A1', 'COL3A1', 'ITGA2B', 'COL4A2', 'COL1A2', 'TNC', 'COL4A4', 'COL5A1', 'COL1A1', 'VTN', 'ITGB6', 'COL4A5', 'COL4A1', 'ITGA2', 'COL4A6']
6	REAC	REAC:R-HSA-6806834	Signaling by MET	1.5866226578230958e-29	True	Signaling by MET	75	95	24	10022	0.2526315789473684	0.32	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'PTPN2', 'ITGB1', 'FN1', 'COL5A2', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'COL2A1', 'SOS1', 'COL3A1', 'COL1A2', 'COL5A1', 'SH3KBP1', 'SH3GL2', 'COL1A1', 'CRKL', 'PTK2', 'ITGA3', 'PTPN11', 'CBL', 'ITGA2']
6	GO:BP	GO:0007160	cell-matrix adhesion	2.6027726357092494e-29	True	"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]"	220	101	30	15719	0.297029702970297	0.1363636363636363	query_1	['GO:0031589']	['ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'ITGA4', 'MADCAM1', 'JAM3', 'ITGAE', 'VEGFA', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ITGA2']
7	GO:BP	GO:0007166	cell surface receptor signaling pathway	4.146696998689953e-29	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	101	70	15719	0.693069306930693	0.026535253980288	query_1	['GO:0007165']	['PTP4A3', 'P4HB', 'MET', 'RAPGEF1', 'PTPN2', 'ITGB1', 'ITGA9', 'COL4A3', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'LCP2', 'EGFR', 'ITGAE', 'VAV1', 'AGPAT1', 'PLCG1', 'ERBB2', 'VEGFA', 'COL1A1', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'ITGB6', 'PTK2', 'NRP1', 'COL4A5', 'COL4A1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1', 'COL4A6']
0	GO:CC	GO:0098636	protein complex involved in cell adhesion	2.2203724989315435e-28	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	56	102	20	16420	0.196078431372549	0.3571428571428571	query_1	['GO:0032991']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGA11', 'ITGB3', 'ITGA1', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'TNC', 'JAM3', 'ITGAE', 'VTN', 'ITGB6', 'ITGB7', 'ITGA3', 'JAM2', 'ITGA2']
8	GO:BP	GO:0071363	cellular response to growth factor stimulus	3.128627091328588e-28	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	101	41	15719	0.4059405940594059	0.0642633228840125	query_1	['GO:0070848', 'GO:0071495']	['PTP4A3', 'RAPGEF1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'COL3A1', 'ITGA5', 'FYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
9	GO:BP	GO:0048870	cell motility	4.787848999638548e-28	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	101	57	15719	0.5643564356435643	0.0354257302672467	query_1	['GO:0009987']	['PTP4A3', 'MET', 'ITGB1', 'ITGA9', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'COL5A1', 'VAV1', 'PLCG1', 'SH3KBP1', 'CDH1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
10	GO:BP	GO:0070848	response to growth factor	1.3750322925548811e-27	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	667	101	41	15719	0.4059405940594059	0.0614692653673163	query_1	['GO:0009719']	['PTP4A3', 'RAPGEF1', 'ITGB5', 'VEGFB', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'COL3A1', 'ITGA5', 'FYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF']
11	GO:BP	GO:0033627	cell adhesion mediated by integrin	1.3750322925548811e-27	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	101	22	15719	0.2178217821782178	0.2588235294117647	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGA11', 'ITGB3', 'CRK', 'ITGA1', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'JAM3', 'ITGAE', 'CRKL', 'VTN', 'ITGB6', 'PTK2', 'ITGB7', 'ITGA3', 'PTPN11', 'ITGA2']
1	GO:CC	GO:0008305	integrin complex	1.516868321977911e-26	True	"""A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands."" [PMID:17543136]"	29	102	16	16420	0.1568627450980392	0.5517241379310345	query_1	['GO:0098636', 'GO:0098802']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGA11', 'ITGB3', 'ITGA1', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'ITGAE', 'ITGB6', 'ITGB7', 'ITGA3', 'ITGA2']
2	GO:CC	GO:0005788	endoplasmic reticulum lumen	2.2404956392019278e-26	True	"""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]"	296	102	30	16420	0.2941176470588235	0.1013513513513513	query_1	['GO:0005783', 'GO:0070013']	['P4HB', 'P4HA3', 'GPX7', 'COL4A3', 'FN1', 'PDGFB', 'COL5A2', 'SPP1', 'GPX8', 'P4HA2', 'COL2A1', 'COL8A2', 'COL3A1', 'COL4A2', 'COL1A2', 'TNC', 'COL4A4', 'COL5A1', 'P4HA1', 'COL10A1', 'COL1A1', 'ERO1A', 'VTN', 'COL4A5', 'COL4A1', 'THBS1', 'RCN2', 'RCN1', 'CALU', 'COL4A6']
12	GO:BP	GO:0040011	locomotion	1.425791695109375e-25	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	101	50	15719	0.495049504950495	0.0389105058365758	query_1	['GO:0008150']	['MET', 'PTPN2', 'ITGB1', 'ITGA9', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'CDH1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
13	GO:BP	GO:0030335	positive regulation of cell migration	1.7201837227694026e-24	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	101	35	15719	0.3465346534653465	0.0680933852140077	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
14	GO:BP	GO:2000147	positive regulation of cell motility	5.511612101514172e-24	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	101	35	15719	0.3465346534653465	0.0656660412757973	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
15	GO:BP	GO:0040017	positive regulation of locomotion	1.4067991982374864e-23	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	101	35	15719	0.3465346534653465	0.0637522768670309	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
16	GO:BP	GO:0009653	anatomical structure morphogenesis	1.915971977678025e-23	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2539	101	63	15719	0.6237623762376238	0.0248129184718393	query_1	['GO:0032502', 'GO:0048856']	['MET', 'NES', 'ITGB1', 'COL4A3', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'COL5A2', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'COCH', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'COL8A2', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'SH3PXD2A', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'COL5A1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'CDH1', 'VEGFA', 'SH3GL2', 'COL1A1', 'ADAM12', 'CRKL', 'VTN', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'COL4A1', 'THBS1', 'ADAM15', 'ITGA3', 'PTPN11', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
7	REAC	REAC:R-HSA-8875878	MET promotes cell motility	2.4911926218426725e-23	True	MET promotes cell motility	39	95	17	10022	0.1789473684210526	0.4358974358974359	query_1	['REAC:R-HSA-6806834']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'COL5A2', 'SRC', 'CRK', 'HGF', 'COL2A1', 'COL3A1', 'COL1A2', 'COL5A1', 'COL1A1', 'CRKL', 'PTK2', 'ITGA3', 'ITGA2']
17	GO:BP	GO:0071495	cellular response to endogenous stimulus	3.418641181474747e-23	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]"	1385	101	49	15719	0.4851485148514851	0.0353790613718411	query_1	['GO:0009719']	['PTP4A3', 'RAPGEF1', 'PTPN2', 'ITGB5', 'VEGFB', 'PDGFB', 'COL5A2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'COL4A1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'PGF', 'COL4A6']
18	GO:BP	GO:0009719	response to endogenous stimulus	5.303024266708586e-23	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	101	52	15719	0.5148514851485149	0.0320197044334975	query_1	['GO:0050896']	['PTP4A3', 'RAPGEF1', 'PTPN2', 'ITGB1', 'ITGB5', 'VEGFB', 'PDGFB', 'COL5A2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'COL4A1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF', 'COL4A6']
19	GO:BP	GO:0030334	regulation of cell migration	5.451452673300913e-23	True	"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]"	886	101	41	15719	0.4059405940594059	0.04627539503386	query_1	['GO:0016477', 'GO:2000145']	['MET', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'COL3A1', 'ITGA5', 'ITGA4', 'MADCAM1', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'JAM3', 'EGFR', 'PLCG1', 'CDH1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
3	GO:CC	GO:0098644	complex of collagen trimers	1.5094724057860907e-22	True	"""A complex of collagen trimers such as a fibril or collagen network."" [GOC:dos]"	21	102	13	16420	0.1274509803921568	0.6190476190476191	query_1	['GO:0062023', 'GO:0099080']	['COL4A3', 'COL5A2', 'COL2A1', 'COL3A1', 'COL4A2', 'COL1A2', 'COL4A4', 'COL5A1', 'COL10A1', 'COL1A1', 'COL4A5', 'COL4A1', 'COL4A6']
